Date,HCP,Price
2006-04-28,59,27.42
2006-05-05,52,26.55
2006-05-12,51,25.55
2006-05-19,48,25.80
2006-05-26,44,26.29
2006-06-02,58,26.50
2006-06-09,51,26.44
2006-06-16,52,26.10
2006-06-23,42,25.70
2006-06-30,60,26.74
2006-07-07,71,26.68
2006-07-14,59,26.40
2006-07-21,45,26.59
2006-07-28,59,27.42
2006-08-04,61,27.58
2006-08-11,45,28.00
2006-08-18,52,28.37
2006-08-25,57,28.72
2006-09-01,40,29.89
2006-09-08,65,30.27
2006-09-15,59,30.51
2006-09-22,61,30.29
2006-09-29,36,31.05
2006-10-06,58,31.64
2006-10-13,56,32.53
2006-10-20,63,31.55
2006-10-27,64,31.49
2006-11-03,60,30.36
2006-11-10,54,32.00
2006-11-17,52,32.67
2006-11-24,57,34.94
2006-12-01,52,36.42
2006-12-08,49,36.17
2006-12-15,43,36.07
2006-12-22,41,35.70
2006-12-29,25,36.82
2007-01-05,44,37.50
2007-01-12,55,39.38
2007-01-19,52,39.09
2007-01-26,64,39.72
2007-02-02,47,41.11
2007-02-09,73,40.90
2007-02-16,53,39.42
2007-02-23,53,38.13
2007-03-02,50,36.52
2007-03-09,50,37.84
2007-03-16,57,36.42
2007-03-23,61,36.73
2007-03-30,51,36.03
2007-04-06,51,
2007-04-13,49,36.31
2007-04-20,58,36.50
2007-04-27,56,35.99
2007-05-04,54,34.37
2007-05-11,52,33.90
2007-05-18,69,31.50
2007-05-25,61,31.20
2007-06-01,47,32.41
2007-06-08,55,30.51
2007-06-15,59,29.77
2007-06-22,54,28.80
2007-06-29,52,28.93
2007-07-06,55,30.84
2007-07-13,42,30.53
2007-07-20,50,29.27
2007-07-27,45,25.76
2007-08-03,48,25.84
2007-08-10,42,27.91
2007-08-17,44,27.95
2007-08-24,56,29.26
2007-08-31,53,30.42
2007-09-07,61,29.96
2007-09-14,64,33.23
2007-09-21,62,32.50
2007-09-28,48,33.17
2007-10-05,46,34.77
2007-10-12,56,34.64
2007-10-19,61,31.80
2007-10-26,56,34.15
2007-11-02,52,31.18
2007-11-09,65,30.90
2007-11-16,56,32.48
2007-11-23,52,31.95
2007-11-30,59,33.45
2007-12-07,60,34.45
2007-12-14,47,31.52
2007-12-21,42,32.21
2007-12-28,37,34.33
2008-01-04,30,30.84
2008-01-11,46,31.26
2008-01-18,54,30.16
2008-01-25,47,31.95
2008-02-01,59,31.60
2008-02-08,59,30.11
2008-02-15,51,29.64
2008-02-22,46,29.36
2008-02-29,50,29.18
2008-03-07,44,27.95
2008-03-14,48,29.92
2008-03-21,55,
2008-03-28,46,32.82
2008-04-04,56,36.17
2008-04-11,61,35.70
2008-04-18,48,37.14
2008-04-25,54,38.35
2008-05-02,59,35.70
2008-05-09,51,34.48
2008-05-16,46,34.70
2008-05-23,49,33.75
2008-05-30,51,34.26
2008-06-06,60,33.76
2008-06-13,58,34.36
2008-06-20,53,32.72
2008-06-27,49,31.52
2008-07-04,51,
2008-07-11,49,32.10
2008-07-18,54,35.19
2008-07-25,53,34.54
2008-08-01,51,35.93
2008-08-08,48,36.04
2008-08-15,45,35.36
2008-08-22,48,35.46
2008-08-29,45,36.22
2008-09-05,49,34.30
2008-09-12,63,35.27
2008-09-19,58,40.13
2008-09-26,61,39.47
2008-10-03,58,35.62
2008-10-10,64,32.34
2008-10-17,45,30.15
2008-10-24,63,27.28
2008-10-31,58,29.92
2008-11-07,49,26.97
2008-11-14,45,21.58
2008-11-21,47,16.90
2008-11-28,44,20.67
2008-12-05,53,21.73
2008-12-12,48,22.66
2008-12-19,46,26.18
2008-12-26,38,26.45
2009-01-02,42,26.26
2009-01-09,56,22.48
2009-01-16,53,23.27
2009-01-23,50,22.65
2009-01-30,64,23.34
2009-02-06,57,24.97
2009-02-13,57,20.07
2009-02-20,55,20.16
2009-02-27,45,18.27
2009-03-06,71,16.08
2009-03-13,62,18.76
2009-03-20,57,16.93
2009-03-27,63,17.36
2009-04-03,62,20.17
2009-04-10,64,
2009-04-17,59,21.79
2009-04-24,67,22.04
2009-05-01,65,20.96
2009-05-08,65,22.98
2009-05-15,74,20.60
2009-05-22,65,21.13
2009-05-29,58,23.23
2009-06-05,57,23.47
2009-06-12,73,23.41
2009-06-19,67,20.75
2009-06-26,69,21.10
2009-07-03,67,
2009-07-10,73,20.37
2009-07-17,71,22.04
2009-07-24,58,24.41
2009-07-31,51,25.76
2009-08-07,60,28.08
2009-08-14,70,28.52
2009-08-21,70,28.46
2009-08-28,70,29.19
2009-09-04,61,26.64
2009-09-11,76,28.06
2009-09-18,73,30.05
2009-09-25,72,28.47
2009-10-02,74,27.23
2009-10-09,79,29.33
2009-10-16,74,30.13
2009-10-23,66,29.96
2009-10-30,74,29.59
2009-11-06,71,27.75
2009-11-13,70,29.14
2009-11-20,65,30.03
2009-11-27,60,29.73
2009-12-04,61,32.84
2009-12-11,61,31.47
2009-12-18,59,30.73
2009-12-25,53,
2010-01-01,52,
2010-01-08,68,30.42
2010-01-15,67,30.35
2010-01-22,66,29.35
2010-01-29,70,28.35
2010-02-05,86,28.03
2010-02-12,67,27.54
2010-02-19,100,29.88
2010-02-26,76,28.78
2010-03-05,67,30.40
2010-03-12,61,32.13
2010-03-19,67,33.11
2010-03-26,63,33.37
2010-04-02,71,
2010-04-09,74,33.26
2010-04-16,76,31.17
2010-04-23,69,33.09
2010-04-30,70,32.12
2010-05-07,60,31.02
2010-05-14,80,32.59
2010-05-21,83,31.04
2010-05-28,72,31.86
2010-06-04,72,30.18
2010-06-11,76,32.85
2010-06-18,84,32.72
2010-06-25,65,32.75
2010-07-02,65,31.75
2010-07-09,66,33.51
2010-07-16,70,33.46
2010-07-23,60,35.13
2010-07-30,65,35.47
2010-08-06,64,35.30
2010-08-13,66,34.51
2010-08-20,68,34.19
2010-08-27,64,35.11
2010-09-03,65,37.30
2010-09-10,64,36.45
2010-09-17,73,37.11
2010-09-24,68,36.66
2010-10-01,73,35.85
2010-10-08,73,36.30
2010-10-15,72,36.29
2010-10-22,78,36.37
2010-10-29,68,36.01
2010-11-05,60,36.39
2010-11-12,64,33.77
2010-11-19,69,32.56
2010-11-26,67,32.74
2010-12-03,58,33.58
2010-12-10,59,32.36
2010-12-17,68,34.74
2010-12-24,49,
2010-12-31,49,36.79
2011-01-07,59,36.48
2011-01-14,62,36.23
2011-01-21,61,35.93
2011-01-28,65,36.55
2011-02-04,58,36.77
2011-02-11,55,36.88
2011-02-18,62,37.19
2011-02-25,67,37.04
2011-03-04,56,36.94
2011-03-11,61,38.02
2011-03-18,62,37.85
2011-03-25,58,36.73
2011-04-01,65,37.73
2011-04-08,54,37.18
2011-04-15,64,38.03
2011-04-22,66,
2011-04-29,61,39.62
2011-05-06,59,37.74
2011-05-13,63,36.80
2011-05-20,55,36.96
2011-05-27,56,37.22
2011-06-03,59,36.88
2011-06-10,54,35.03
2011-06-17,51,37.09
2011-06-24,61,36.55
2011-07-01,56,37.23
2011-07-08,55,38.20
2011-07-15,60,37.46
2011-07-22,61,37.91
2011-07-29,57,36.73
2011-08-05,65,32.01
2011-08-12,63,33.16
2011-08-19,59,33.23
2011-08-26,58,35.75
2011-09-02,59,35.54
2011-09-09,58,34.94
2011-09-16,60,37.42
2011-09-23,60,35.15
2011-09-30,72,35.06
2011-10-07,65,35.21
2011-10-14,63,36.43
2011-10-21,58,37.97
2011-10-28,55,40.19
2011-11-04,63,38.01
2011-11-11,53,38.86
2011-11-18,62,37.72
2011-11-25,53,36.09
2011-12-02,57,37.69
2011-12-09,51,38.81
2011-12-16,55,39.01
2011-12-23,46,41.18
2011-12-30,42,41.43
2012-01-06,47,40.34
2012-01-13,54,41.11
2012-01-20,47,40.85
2012-01-27,52,41.92
2012-02-03,57,41.74
2012-02-10,56,41.38
2012-02-17,56,40.38
2012-02-24,56,39.08
2012-03-02,56,39.63
2012-03-09,51,39.03
2012-03-16,51,40.21
2012-03-23,55,39.53
2012-03-30,59,39.46
2012-04-06,54,
2012-04-13,54,38.93
2012-04-20,61,39.60
2012-04-27,53,41.33
2012-05-04,56,40.71
2012-05-11,54,41.44
2012-05-18,56,40.00
2012-05-25,55,40.98
2012-06-01,51,39.61
2012-06-08,55,41.71
2012-06-15,52,42.88
2012-06-22,51,42.45
2012-06-29,49,44.15
2012-07-06,46,44.41
2012-07-13,49,45.40
2012-07-20,50,45.19
2012-07-27,49,47.17
2012-08-03,52,46.43
2012-08-10,53,45.45
2012-08-17,51,44.99
2012-08-24,47,44.83
2012-08-31,52,45.86
2012-09-07,52,46.64
2012-09-14,57,46.42
2012-09-21,54,44.93
2012-09-28,62,44.48
2012-10-05,59,45.51
2012-10-12,62,45.18
2012-10-19,53,45.08
2012-10-26,51,44.02
2012-11-02,48,43.89
2012-11-09,53,44.15
2012-11-16,53,44.56
2012-11-23,50,45.69
2012-11-30,47,45.05
2012-12-07,52,45.37
2012-12-14,52,44.19
2012-12-21,49,44.78
2012-12-28,41,44.84
2013-01-04,46,45.78
2013-01-11,58,46.00
2013-01-18,55,46.48
2013-01-25,58,47.00
2013-02-01,60,46.69
2013-02-08,62,46.70
2013-02-15,58,47.80
2013-02-22,58,48.61
2013-03-01,59,48.90
2013-03-08,59,48.92
2013-03-15,54,48.68
2013-03-22,47,48.91
2013-03-29,48,
2013-04-05,50,51.15
2013-04-12,60,52.02
2013-04-19,58,52.71
2013-04-26,57,52.77
2013-05-03,58,53.47
2013-05-10,58,51.96
2013-05-17,62,54.38
2013-05-24,52,50.83
2013-05-31,57,47.38
2013-06-07,60,47.56
2013-06-14,56,45.95
2013-06-21,55,43.19
2013-06-28,55,45.44
2013-07-05,53,44.45
2013-07-12,52,46.38
2013-07-19,54,46.49
2013-07-26,53,45.33
2013-08-02,52,42.81
2013-08-09,47,42.38
2013-08-16,45,39.39
2013-08-23,45,40.95
2013-08-30,52,40.73
2013-09-06,50,40.89
2013-09-13,52,41.43
2013-09-20,50,42.09
2013-09-27,59,41.55
2013-10-04,61,39.05
2013-10-11,56,41.54
2013-10-18,51,42.57
2013-10-25,51,43.05
2013-11-01,52,41.71
2013-11-08,45,39.63
2013-11-15,44,39.81
2013-11-22,47,38.27
2013-11-29,44,36.77
2013-12-06,44,36.57
2013-12-13,45,35.77
2013-12-20,43,36.08
2013-12-27,30,36.50
2014-01-03,34,36.18
2014-01-10,43,38.87
2014-01-17,49,38.04
2014-01-24,51,38.60
2014-01-31,53,39.15
2014-02-07,46,38.42
2014-02-14,50,37.69
2014-02-21,52,37.11
2014-02-28,49,38.77
2014-03-07,51,37.68
2014-03-14,46,37.16
2014-03-21,57,36.87
2014-03-28,63,38.17
2014-04-04,62,39.47
2014-04-11,57,40.22
2014-04-18,57,
2014-04-25,61,40.76
2014-05-02,61,
