Date,Nordstrom,Price
2005-07-08,24,35.55
2005-07-15,31,36.00
2005-07-22,32,37.14
2005-07-29,30,37.01
2005-08-05,27,31.99
2005-08-12,29,32.40
2005-08-19,27,33.55
2005-08-26,27,32.87
2005-09-02,25,33.10
2005-09-09,26,36.88
2005-09-16,27,35.88
2005-09-23,28,34.35
2005-09-30,27,34.32
2005-10-07,29,33.24
2005-10-14,30,32.91
2005-10-21,29,33.66
2005-10-28,28,32.77
2005-11-04,31,37.18
2005-11-11,32,37.63
2005-11-18,36,37.51
2005-11-25,35,38.25
2005-12-02,39,36.63
2005-12-09,42,37.54
2005-12-16,45,36.38
2005-12-23,44,37.51
2005-12-30,43,37.40
2006-01-06,30,39.50
2006-01-13,30,39.98
2006-01-20,27,39.40
2006-01-27,27,42.28
2006-02-03,28,42.20
2006-02-10,27,40.90
2006-02-17,27,40.08
2006-02-24,26,38.30
2006-03-03,28,39.66
2006-03-10,28,41.22
2006-03-17,30,41.22
2006-03-24,29,40.39
2006-03-31,27,39.18
2006-04-07,28,39.93
2006-04-14,29,
2006-04-21,29,38.64
2006-04-28,29,38.33
2006-05-05,32,38.66
2006-05-12,30,36.65
2006-05-19,29,35.28
2006-05-26,30,36.09
2006-06-02,28,37.04
2006-06-09,33,36.34
2006-06-16,31,35.85
2006-06-23,28,36.76
2006-06-30,29,36.50
2006-07-07,29,36.95
2006-07-14,39,33.44
2006-07-21,38,32.45
2006-07-28,36,33.84
2006-08-04,33,34.88
2006-08-11,31,34.31
2006-08-18,32,36.68
2006-08-25,32,34.05
2006-09-01,32,37.94
2006-09-08,30,39.51
2006-09-15,33,41.60
2006-09-22,33,42.58
2006-09-29,31,42.30
2006-10-06,34,44.69
2006-10-13,32,47.07
2006-10-20,34,47.20
2006-10-27,33,46.83
2006-11-03,33,46.06
2006-11-10,40,46.75
2006-11-17,36,48.08
2006-11-24,38,50.00
2006-12-01,41,47.81
2006-12-08,44,48.61
2006-12-15,46,50.30
2006-12-22,46,48.85
2006-12-29,53,49.34
2007-01-05,36,51.28
2007-01-12,33,54.81
2007-01-19,31,55.03
2007-01-26,33,53.65
2007-02-02,31,56.68
2007-02-09,31,56.88
2007-02-16,33,58.46
2007-02-23,34,58.22
2007-03-02,31,52.41
2007-03-09,33,51.57
2007-03-16,32,50.96
2007-03-23,32,53.45
2007-03-30,35,52.94
2007-04-06,36,
2007-04-13,34,54.92
2007-04-20,33,56.72
2007-04-27,33,56.21
2007-05-04,34,55.60
2007-05-11,34,53.98
2007-05-18,32,53.35
2007-05-25,32,51.79
2007-06-01,30,53.43
2007-06-08,36,52.92
2007-06-15,35,52.96
2007-06-22,31,51.01
2007-06-29,31,51.12
2007-07-06,31,49.58
2007-07-13,32,49.41
2007-07-20,41,47.45
2007-07-27,39,43.91
2007-08-03,36,46.07
2007-08-10,34,48.66
2007-08-17,34,47.01
2007-08-24,32,48.83
2007-08-31,31,48.10
2007-09-07,31,46.98
2007-09-14,32,49.42
2007-09-21,35,50.74
2007-09-28,33,46.89
2007-10-05,32,50.01
2007-10-12,35,43.80
2007-10-19,35,38.59
2007-10-26,32,38.85
2007-11-02,33,36.50
2007-11-09,41,32.38
2007-11-16,40,32.51
2007-11-23,48,35.72
2007-11-30,52,33.54
2007-12-07,57,38.52
2007-12-14,50,34.62
2007-12-21,51,36.28
2007-12-28,53,36.93
2008-01-04,42,31.50
2008-01-11,33,31.47
2008-01-18,37,29.87
2008-01-25,32,35.00
2008-02-01,32,39.74
2008-02-08,33,37.10
2008-02-15,32,36.27
2008-02-22,35,36.00
2008-02-29,32,37.03
2008-03-07,34,32.75
2008-03-14,34,33.02
2008-03-21,35,
2008-03-28,35,32.62
2008-04-04,36,33.96
2008-04-11,34,33.84
2008-04-18,36,36.19
2008-04-25,35,36.61
2008-05-02,35,36.46
2008-05-09,35,34.39
2008-05-16,32,38.44
2008-05-23,35,33.17
2008-05-30,31,34.98
2008-06-06,33,33.99
2008-06-13,31,34.73
2008-06-20,29,33.78
2008-06-27,29,31.07
2008-07-04,27,
2008-07-11,30,27.38
2008-07-18,40,30.03
2008-07-25,41,28.94
2008-08-01,36,28.92
2008-08-08,33,29.59
2008-08-15,33,31.54
2008-08-22,31,29.91
2008-08-29,34,31.10
2008-09-05,35,32.56
2008-09-12,35,34.07
2008-09-19,37,33.93
2008-09-26,39,29.19
2008-10-03,38,23.62
2008-10-10,38,18.38
2008-10-17,37,16.66
2008-10-24,39,15.31
2008-10-31,37,18.04
2008-11-07,45,15.50
2008-11-14,47,11.74
2008-11-21,44,7.81
2008-11-28,50,11.37
2008-12-05,53,12.80
2008-12-12,56,12.66
2008-12-19,58,12.70
2008-12-26,65,11.91
2009-01-02,55,14.55
2009-01-09,38,13.96
2009-01-16,37,12.99
2009-01-23,39,13.30
2009-01-30,37,12.69
2009-02-06,34,14.19
2009-02-13,35,13.18
2009-02-20,35,11.89
2009-02-27,36,13.47
2009-03-06,36,12.16
2009-03-13,35,15.55
2009-03-20,37,14.38
2009-03-27,37,17.79
2009-04-03,36,19.48
2009-04-10,37,
2009-04-17,38,22.26
2009-04-24,37,22.50
2009-05-01,35,22.50
2009-05-08,35,23.10
2009-05-15,35,22.58
2009-05-22,37,20.84
2009-05-29,32,19.69
2009-06-05,31,21.09
2009-06-12,32,20.77
2009-06-19,33,19.21
2009-06-26,30,19.53
2009-07-03,30,
2009-07-10,36,19.52
2009-07-17,45,22.00
2009-07-24,44,26.64
2009-07-31,40,26.44
2009-08-07,39,30.30
2009-08-14,38,27.87
2009-08-21,37,28.17
2009-08-28,35,28.60
2009-09-04,35,29.23
2009-09-11,37,29.33
2009-09-18,40,31.88
2009-09-25,40,30.21
2009-10-02,39,28.95
2009-10-09,40,33.25
2009-10-16,44,34.42
2009-10-23,41,33.64
2009-10-30,39,31.78
2009-11-06,45,33.93
2009-11-13,46,33.99
2009-11-20,47,33.95
2009-11-27,55,34.02
2009-12-04,56,35.24
2009-12-11,59,36.05
2009-12-18,60,35.68
2009-12-25,61,
2010-01-01,61,
2010-01-08,44,37.79
2010-01-15,40,36.02
2010-01-22,39,34.14
2010-01-29,39,34.54
2010-02-05,40,33.94
2010-02-12,40,34.20
2010-02-19,39,35.70
2010-02-26,38,36.94
2010-03-05,39,39.01
2010-03-12,40,39.83
2010-03-19,42,40.42
2010-03-26,40,41.75
2010-04-02,41,
2010-04-09,42,42.55
2010-04-16,39,42.95
2010-04-23,42,45.90
2010-04-30,41,41.33
2010-05-07,41,40.06
2010-05-14,42,39.76
2010-05-21,40,38.12
2010-05-28,44,39.70
2010-06-04,39,36.47
2010-06-11,39,37.85
2010-06-18,39,38.66
2010-06-25,36,35.54
2010-07-02,37,32.17
2010-07-09,40,34.54
2010-07-16,50,32.25
2010-07-23,49,34.08
2010-07-30,45,34.00
2010-08-06,45,33.96
2010-08-13,40,31.05
2010-08-20,41,31.77
2010-08-27,41,30.28
2010-09-03,40,33.47
2010-09-10,45,33.27
2010-09-17,46,36.09
2010-09-24,45,36.51
2010-10-01,43,37.11
2010-10-08,47,39.06
2010-10-15,44,38.80
2010-10-22,47,36.89
2010-10-29,45,38.51
2010-11-05,53,42.50
2010-11-12,55,41.40
2010-11-19,59,42.17
2010-11-26,73,43.61
2010-12-03,71,41.82
2010-12-10,70,42.18
2010-12-17,73,42.31
2010-12-24,77,
2010-12-31,82,42.38
2011-01-07,55,42.35
2011-01-14,50,42.09
2011-01-21,50,41.37
2011-01-28,48,40.91
2011-02-04,49,43.71
2011-02-11,50,46.15
2011-02-18,47,46.91
2011-02-25,47,45.49
2011-03-04,47,44.08
2011-03-11,49,44.46
2011-03-18,47,41.33
2011-03-25,51,43.60
2011-04-01,50,45.11
2011-04-08,52,46.22
2011-04-15,50,46.18
2011-04-22,52,
2011-04-29,52,47.55
2011-05-06,52,47.39
2011-05-13,51,47.63
2011-05-20,50,45.60
2011-05-27,56,46.40
2011-06-03,52,43.53
2011-06-10,48,42.13
2011-06-17,49,43.76
2011-06-24,48,44.90
2011-07-01,49,48.24
2011-07-08,52,50.25
2011-07-15,61,50.44
2011-07-22,62,51.50
2011-07-29,57,50.16
2011-08-05,54,44.31
2011-08-12,51,44.28
2011-08-19,53,37.45
2011-08-26,51,42.09
2011-09-02,51,43.26
2011-09-09,53,44.05
2011-09-16,57,47.89
2011-09-23,56,45.52
2011-09-30,56,45.68
2011-10-07,54,48.69
2011-10-14,52,50.70
2011-10-21,56,51.59
2011-10-28,55,51.17
2011-11-04,63,50.39
2011-11-11,66,49.48
2011-11-18,62,46.98
2011-11-25,78,44.29
2011-12-02,79,47.17
2011-12-09,78,48.20
2011-12-16,84,47.03
2011-12-23,88,49.83
2011-12-30,91,49.71
2012-01-06,64,49.74
2012-01-13,56,48.48
2012-01-20,59,50.02
2012-01-27,55,48.55
2012-02-03,54,50.27
2012-02-10,57,50.78
2012-02-17,58,51.14
2012-02-24,58,53.17
2012-03-02,57,53.55
2012-03-09,60,54.08
2012-03-16,62,54.88
2012-03-23,59,54.54
2012-03-30,58,55.72
2012-04-06,58,
2012-04-13,55,54.99
2012-04-20,56,55.11
2012-04-27,56,56.05
2012-05-04,61,55.90
2012-05-11,57,50.96
2012-05-18,55,48.89
2012-05-25,60,50.74
2012-06-01,57,46.80
2012-06-08,54,48.77
2012-06-15,53,49.15
2012-06-22,54,48.92
2012-06-29,54,49.69
2012-07-06,53,51.89
2012-07-13,64,51.89
2012-07-20,70,52.44
2012-07-27,68,54.40
2012-08-03,61,54.35
2012-08-10,58,56.13
2012-08-17,58,57.26
2012-08-24,59,57.95
2012-08-31,56,57.83
2012-09-07,58,57.51
2012-09-14,59,57.56
2012-09-21,59,56.05
2012-09-28,58,55.18
2012-10-05,57,56.18
2012-10-12,59,54.93
2012-10-19,60,56.43
2012-10-26,57,55.77
2012-11-02,59,56.48
2012-11-09,65,54.79
2012-11-16,67,54.87
2012-11-23,83,56.55
2012-11-30,85,54.09
2012-12-07,78,52.80
2012-12-14,81,52.20
2012-12-21,86,52.45
2012-12-28,99,52.16
2013-01-04,77,54.73
2013-01-11,62,53.84
2013-01-18,58,55.52
2013-01-25,57,56.05
2013-02-01,55,55.12
2013-02-08,56,55.82
2013-02-15,59,55.40
2013-02-22,56,53.99
2013-03-01,56,54.07
2013-03-08,60,54.72
2013-03-15,58,53.99
2013-03-22,60,53.32
2013-03-29,60,
2013-04-05,58,55.46
2013-04-12,59,56.82
2013-04-19,59,54.90
2013-04-26,60,56.71
2013-05-03,60,58.21
2013-05-10,59,59.17
2013-05-17,58,60.68
2013-05-24,63,59.87
2013-05-31,58,58.82
2013-06-07,55,59.52
2013-06-14,57,58.94
2013-06-21,53,58.20
2013-06-28,53,59.94
2013-07-05,51,62.04
2013-07-12,62,62.26
2013-07-19,69,61.56
2013-07-26,68,61.52
2013-08-02,63,61.99
2013-08-09,61,58.79
2013-08-16,59,56.43
2013-08-23,55,57.28
2013-08-30,54,55.73
2013-09-06,56,55.92
2013-09-13,56,57.28
2013-09-20,60,57.00
2013-09-27,57,56.45
2013-10-04,56,57.13
2013-10-11,61,56.84
2013-10-18,61,58.74
2013-10-25,59,59.27
2013-11-01,58,59.97
2013-11-08,70,61.02
2013-11-15,75,62.80
2013-11-22,74,62.10
2013-11-29,96,62.21
2013-12-06,96,60.36
2013-12-13,94,60.09
2013-12-20,95,61.19
2013-12-27,100,61.42
2014-01-03,82,62.17
2014-01-10,65,61.11
2014-01-17,61,59.93
2014-01-24,62,58.16
2014-01-31,57,57.45
2014-02-07,58,58.79
2014-02-14,64,58.47
2014-02-21,62,59.24
2014-02-28,59,61.48
2014-03-07,62,62.41
2014-03-14,60,61.33
2014-03-21,62,62.50
2014-03-28,62,61.83
2014-04-04,61,63.47
2014-04-11,62,60.46
2014-04-18,65,
2014-04-25,63,61.48
2014-05-02,67,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
