Date,MAT,Price
2010-04-16,49,23.84
2010-04-23,51,23.54
2010-04-30,52,23.02
2010-05-07,52,21.45
2010-05-14,53,21.97
2010-05-21,54,21.45
2010-05-28,54,21.66
2010-06-04,53,20.85
2010-06-11,53,21.55
2010-06-18,51,22.50
2010-06-25,55,21.99
2010-07-02,53,20.95
2010-07-09,55,22.57
2010-07-16,56,20.81
2010-07-23,55,21.24
2010-07-30,55,21.16
2010-08-06,58,22.05
2010-08-13,59,21.74
2010-08-20,58,21.73
2010-08-27,59,21.27
2010-09-03,54,21.94
2010-09-10,56,22.04
2010-09-17,56,22.59
2010-09-24,56,23.76
2010-10-01,56,23.61
2010-10-08,56,23.95
2010-10-15,57,22.45
2010-10-22,59,23.25
2010-10-29,59,23.33
2010-11-05,60,23.94
2010-11-12,59,23.69
2010-11-19,60,25.10
2010-11-26,59,25.73
2010-12-03,62,26.02
2010-12-10,61,25.48
2010-12-17,58,25.66
2010-12-24,60,
2010-12-31,62,25.43
2011-01-07,59,24.18
2011-01-14,61,23.95
2011-01-21,59,23.51
2011-01-28,57,23.51
2011-02-04,52,25.25
2011-02-11,55,25.56
2011-02-18,59,25.54
2011-02-25,61,24.92
2011-03-04,63,25.52
2011-03-11,61,25.07
2011-03-18,64,24.64
2011-03-25,64,25.20
2011-04-01,64,25.26
2011-04-08,64,25.37
2011-04-15,65,26.80
2011-04-22,65,
2011-04-29,65,26.72
2011-05-06,63,26.65
2011-05-13,67,26.55
2011-05-20,69,26.69
2011-05-27,68,26.11
2011-06-03,66,25.69
2011-06-10,61,25.37
2011-06-17,65,26.12
2011-06-24,61,26.75
2011-07-01,60,27.99
2011-07-08,60,27.65
2011-07-15,60,27.29
2011-07-22,63,27.01
2011-07-29,61,26.66
2011-08-05,65,24.50
2011-08-12,65,24.42
2011-08-19,63,23.68
2011-08-26,62,25.52
2011-09-02,63,26.23
2011-09-09,64,26.13
2011-09-16,65,27.06
2011-09-23,66,25.59
2011-09-30,66,25.89
2011-10-07,68,26.75
2011-10-14,66,27.51
2011-10-21,68,27.69
2011-10-28,67,28.79
2011-11-04,65,28.80
2011-11-11,67,29.06
2011-11-18,70,28.39
2011-11-25,67,27.55
2011-12-02,68,28.45
2011-12-09,71,28.73
2011-12-16,68,27.95
2011-12-23,67,28.14
2011-12-30,66,27.76
2012-01-06,67,28.16
2012-01-13,65,28.14
2012-01-20,59,28.53
2012-01-27,53,29.35
2012-02-03,62,31.53
2012-02-10,65,32.17
2012-02-17,65,32.44
2012-02-24,69,32.16
2012-03-02,69,32.68
2012-03-09,68,33.39
2012-03-16,69,33.06
2012-03-23,66,33.76
2012-03-30,64,33.66
2012-04-06,65,
2012-04-13,67,34.13
2012-04-20,67,32.06
2012-04-27,66,33.52
2012-05-04,66,32.98
2012-05-11,67,32.47
2012-05-18,66,31.13
2012-05-25,66,31.26
2012-06-01,66,30.56
2012-06-08,66,31.69
2012-06-15,63,32.40
2012-06-22,64,32.21
2012-06-29,64,32.44
2012-07-06,65,32.41
2012-07-13,65,31.23
2012-07-20,65,34.39
2012-07-27,67,35.28
2012-08-03,67,35.22
2012-08-10,70,35.65
2012-08-17,71,35.76
2012-08-24,70,35.65
2012-08-31,68,35.14
2012-09-07,72,35.50
2012-09-14,73,36.17
2012-09-21,72,35.84
2012-09-28,68,35.47
2012-10-05,68,35.94
2012-10-12,67,36.01
2012-10-19,68,37.50
2012-10-26,67,36.85
2012-11-02,66,36.46
2012-11-09,69,35.99
2012-11-16,68,35.31
2012-11-23,69,36.87
2012-11-30,71,37.51
2012-12-07,69,37.07
2012-12-14,69,36.94
2012-12-21,69,36.89
2012-12-28,69,35.84
2013-01-04,73,36.45
2013-01-11,74,37.13
2013-01-18,73,38.03
2013-01-25,73,37.15
2013-02-01,71,38.26
2013-02-08,66,40.32
2013-02-15,62,40.85
2013-02-22,73,40.52
2013-03-01,74,40.50
2013-03-08,75,41.43
2013-03-15,76,42.14
2013-03-22,77,43.24
2013-03-29,74,
2013-04-05,73,42.64
2013-04-12,75,44.02
2013-04-19,76,44.01
2013-04-26,75,44.65
2013-05-03,75,45.35
2013-05-10,74,45.98
2013-05-17,74,46.79
2013-05-24,76,45.63
2013-05-31,75,44.75
2013-06-07,76,45.18
2013-06-14,76,44.71
2013-06-21,75,44.12
2013-06-28,74,45.31
2013-07-05,79,45.69
2013-07-12,78,47.08
2013-07-19,76,42.38
2013-07-26,76,42.77
2013-08-02,71,42.84
2013-08-09,71,42.88
2013-08-16,73,41.65
2013-08-23,70,41.73
2013-08-30,79,40.50
2013-09-06,76,41.23
2013-09-13,73,42.03
2013-09-20,75,43.04
2013-09-27,92,42.09
2013-10-04,76,42.55
2013-10-11,74,41.75
2013-10-18,74,42.69
2013-10-25,69,44.05
2013-11-01,74,44.81
2013-11-08,75,44.17
2013-11-15,80,46.18
2013-11-22,79,45.71
2013-11-29,77,46.27
2013-12-06,75,46.26
2013-12-13,76,45.37
2013-12-20,71,45.52
2013-12-27,67,46.99
2014-01-03,70,46.87
2014-01-10,69,45.26
2014-01-17,68,44.00
2014-01-24,64,43.00
2014-01-31,57,37.84
2014-02-07,60,36.94
2014-02-14,64,36.65
2014-02-21,70,35.55
2014-02-28,72,37.31
2014-03-07,71,37.78
2014-03-14,100,37.28
2014-03-21,87,38.69
2014-03-28,83,39.95
2014-04-04,79,39.41
2014-04-11,81,37.82
2014-04-18,83,
2014-04-25,78,37.99
2014-05-02,83,
