Date,RSG,Price
2005-11-18,57,36.12
2005-11-25,57,36.26
2005-12-02,52,36.24
2005-12-09,42,35.91
2005-12-16,40,37.75
2005-12-23,61,38.08
2005-12-30,47,37.55
2006-01-06,46,38.34
2006-01-13,50,38.38
2006-01-20,57,37.37
2006-01-27,57,37.30
2006-02-03,51,37.76
2006-02-10,51,39.04
2006-02-17,55,39.22
2006-02-24,54,39.29
2006-03-03,54,39.13
2006-03-10,51,40.28
2006-03-17,56,41.34
2006-03-24,55,41.64
2006-03-31,61,42.51
2006-04-07,55,42.87
2006-04-14,59,
2006-04-21,58,43.87
2006-04-28,55,44.01
2006-05-05,57,43.81
2006-05-12,64,41.49
2006-05-19,76,41.29
2006-05-26,71,40.78
2006-06-02,78,41.60
2006-06-09,56,40.63
2006-06-16,66,39.49
2006-06-23,68,39.31
2006-06-30,51,40.34
2006-07-07,50,39.65
2006-07-14,47,38.79
2006-07-21,57,39.25
2006-07-28,60,40.41
2006-08-04,66,41.00
2006-08-11,43,39.27
2006-08-18,62,39.79
2006-08-25,44,38.25
2006-09-01,60,39.28
2006-09-08,67,38.05
2006-09-15,68,37.89
2006-09-22,59,39.02
2006-09-29,58,40.21
2006-10-06,59,40.95
2006-10-13,62,42.04
2006-10-20,57,41.20
2006-10-27,56,41.41
2006-11-03,42,41.83
2006-11-10,49,42.82
2006-11-17,59,43.12
2006-11-24,56,42.05
2006-12-01,56,41.39
2006-12-08,62,41.84
2006-12-15,44,41.10
2006-12-22,56,40.32
2006-12-29,40,40.67
2007-01-05,50,41.28
2007-01-12,59,41.87
2007-01-19,79,42.32
2007-01-26,62,42.51
2007-02-02,72,43.97
2007-02-09,65,43.05
2007-02-16,55,43.72
2007-02-23,62,43.08
2007-03-02,51,41.57
2007-03-09,57,41.05
2007-03-16,61,40.48
2007-03-23,60,28.28
2007-03-30,64,27.82
2007-04-06,47,
2007-04-13,57,27.50
2007-04-20,65,27.63
2007-04-27,52,28.56
2007-05-04,54,28.58
2007-05-11,63,28.65
2007-05-18,68,29.02
2007-05-25,69,29.41
2007-06-01,59,30.43
2007-06-08,74,30.21
2007-06-15,78,30.50
2007-06-22,76,30.39
2007-06-29,74,30.64
2007-07-06,68,31.18
2007-07-13,66,32.23
2007-07-20,54,30.52
2007-07-27,55,31.29
2007-08-03,43,31.75
2007-08-10,48,29.98
2007-08-17,54,29.81
2007-08-24,59,30.35
2007-08-31,64,31.09
2007-09-07,64,31.30
2007-09-14,77,31.22
2007-09-21,70,32.35
2007-09-28,61,32.71
2007-10-05,58,33.53
2007-10-12,58,33.70
2007-10-19,63,32.87
2007-10-26,50,33.47
2007-11-02,54,33.84
2007-11-09,57,32.82
2007-11-16,57,33.95
2007-11-23,67,32.52
2007-11-30,54,33.17
2007-12-07,56,33.06
2007-12-14,60,31.62
2007-12-21,56,32.58
2007-12-28,42,31.80
2008-01-04,54,29.69
2008-01-11,70,30.22
2008-01-18,55,29.56
2008-01-25,68,28.97
2008-02-01,65,30.22
2008-02-08,56,30.27
2008-02-15,58,31.18
2008-02-22,56,31.04
2008-02-29,51,30.53
2008-03-07,69,29.93
2008-03-14,62,29.32
2008-03-21,64,
2008-03-28,55,28.92
2008-04-04,61,30.21
2008-04-11,63,29.78
2008-04-18,62,31.50
2008-04-25,64,31.97
2008-05-02,53,32.12
2008-05-09,53,31.99
2008-05-16,59,32.97
2008-05-23,64,32.44
2008-05-30,69,32.93
2008-06-06,79,34.01
2008-06-13,74,33.85
2008-06-20,77,31.19
2008-06-27,70,29.69
2008-07-04,59,
2008-07-11,63,27.90
2008-07-18,61,32.45
2008-07-25,56,32.71
2008-08-01,56,32.51
2008-08-08,55,34.86
2008-08-15,64,33.15
2008-08-22,72,33.21
2008-08-29,62,32.87
2008-09-05,66,33.09
2008-09-12,70,34.50
2008-09-19,67,31.84
2008-09-26,57,31.23
2008-10-03,74,28.35
2008-10-10,71,22.50
2008-10-17,59,22.24
2008-10-24,62,19.86
2008-10-31,61,23.70
2008-11-07,61,23.96
2008-11-14,58,24.70
2008-11-21,63,21.13
2008-11-28,62,24.00
2008-12-05,69,22.60
2008-12-12,54,23.83
2008-12-19,56,23.51
2008-12-26,43,23.11
2009-01-02,35,25.07
2009-01-09,69,25.23
2009-01-16,66,25.54
2009-01-23,69,25.46
2009-01-30,64,25.86
2009-02-06,63,24.44
2009-02-13,72,24.10
2009-02-20,63,23.81
2009-02-27,55,19.90
2009-03-06,70,16.47
2009-03-13,63,17.19
2009-03-20,66,16.97
2009-03-27,63,17.54
2009-04-03,65,18.18
2009-04-10,57,
2009-04-17,55,20.43
2009-04-24,74,19.51
2009-05-01,51,22.68
2009-05-08,71,23.77
2009-05-15,70,22.17
2009-05-22,65,21.54
2009-05-29,74,22.79
2009-06-05,64,23.00
2009-06-12,69,23.49
2009-06-19,79,23.49
2009-06-26,78,23.93
2009-07-03,66,
2009-07-10,62,23.99
2009-07-17,58,26.20
2009-07-24,54,26.49
2009-07-31,54,26.60
2009-08-07,56,25.01
2009-08-14,55,25.24
2009-08-21,65,26.02
2009-08-28,69,25.73
2009-09-04,78,25.96
2009-09-11,74,26.39
2009-09-18,66,27.30
2009-09-25,62,26.31
2009-10-02,64,25.77
2009-10-09,69,26.97
2009-10-16,63,27.64
2009-10-23,51,26.80
2009-10-30,66,25.91
2009-11-06,60,26.66
2009-11-13,72,27.52
2009-11-20,69,27.40
2009-11-27,60,28.03
2009-12-04,57,28.78
2009-12-11,63,29.57
2009-12-18,57,27.83
2009-12-25,46,
2010-01-01,36,
2010-01-08,56,28.93
2010-01-15,58,28.38
2010-01-22,70,27.58
2010-01-29,72,26.79
2010-02-05,93,25.68
2010-02-12,67,26.03
2010-02-19,64,28.08
2010-02-26,54,28.14
2010-03-05,69,29.51
2010-03-12,63,28.71
2010-03-19,65,28.55
2010-03-26,67,28.97
2010-04-02,54,
2010-04-09,61,29.95
2010-04-16,62,30.38
2010-04-23,64,30.27
2010-04-30,61,31.03
2010-05-07,56,28.95
2010-05-14,61,29.58
2010-05-21,65,28.65
2010-05-28,65,29.12
2010-06-04,55,28.51
2010-06-11,66,30.67
2010-06-18,64,31.52
2010-06-25,62,30.97
2010-07-02,60,29.26
2010-07-09,54,30.60
2010-07-16,56,29.98
2010-07-23,51,32.06
2010-07-30,48,31.86
2010-08-06,50,31.64
2010-08-13,52,29.40
2010-08-20,59,30.51
2010-08-27,66,30.25
2010-09-03,61,31.14
2010-09-10,64,30.60
2010-09-17,66,31.21
2010-09-24,71,30.53
2010-10-01,62,30.56
2010-10-08,63,31.22
2010-10-15,68,30.74
2010-10-22,56,30.71
2010-10-29,59,29.81
2010-11-05,69,29.04
2010-11-12,74,28.27
2010-11-19,64,28.17
2010-11-26,64,28.27
2010-12-03,63,28.79
2010-12-10,93,29.93
2010-12-17,83,30.41
2010-12-24,75,
2010-12-31,43,29.86
2011-01-07,68,29.63
2011-01-14,71,29.85
2011-01-21,63,30.24
2011-01-28,70,30.69
2011-02-04,61,30.10
2011-02-11,65,30.05
2011-02-18,65,29.99
2011-02-25,57,29.25
2011-03-04,60,29.78
2011-03-11,61,29.69
2011-03-18,57,29.27
2011-03-25,59,29.87
2011-04-01,62,30.10
2011-04-08,66,29.91
2011-04-15,68,29.79
2011-04-22,59,
2011-04-29,56,31.62
2011-05-06,54,31.89
2011-05-13,61,32.36
2011-05-20,66,32.15
2011-05-27,61,31.54
2011-06-03,62,30.61
2011-06-10,69,29.87
2011-06-17,59,30.46
2011-06-24,71,30.49
2011-07-01,61,31.11
2011-07-08,66,31.28
2011-07-15,56,29.65
2011-07-22,65,30.27
2011-07-29,60,29.03
2011-08-05,46,26.83
2011-08-12,55,26.91
2011-08-19,62,27.50
2011-08-26,60,29.68
2011-09-02,61,29.00
2011-09-09,63,28.23
2011-09-16,71,28.84
2011-09-23,79,27.79
2011-09-30,68,28.06
2011-10-07,65,28.08
2011-10-14,69,29.01
2011-10-21,57,28.98
2011-10-28,64,28.98
2011-11-04,66,28.18
2011-11-11,69,27.72
2011-11-18,66,26.76
2011-11-25,67,25.82
2011-12-02,62,26.78
2011-12-09,61,27.40
2011-12-16,65,26.46
2011-12-23,62,27.87
2011-12-30,40,27.55
2012-01-06,51,27.84
2012-01-13,70,27.73
2012-01-20,74,28.10
2012-01-27,71,28.95
2012-02-03,71,30.04
2012-02-10,77,30.15
2012-02-17,66,29.60
2012-02-24,64,29.84
2012-03-02,60,29.82
2012-03-09,76,30.55
2012-03-16,69,30.50
2012-03-23,61,30.24
2012-03-30,63,30.56
2012-04-06,57,
2012-04-13,61,30.78
2012-04-20,69,31.01
2012-04-27,69,27.01
2012-05-04,52,26.88
2012-05-11,64,26.72
2012-05-18,66,25.99
2012-05-25,71,26.81
2012-06-01,62,26.05
2012-06-08,67,26.29
2012-06-15,66,25.78
2012-06-22,67,25.58
2012-06-29,71,26.46
2012-07-06,65,25.85
2012-07-13,63,26.87
2012-07-20,56,27.22
2012-07-27,53,28.17
2012-08-03,54,28.73
2012-08-10,65,28.84
2012-08-17,57,28.81
2012-08-24,64,27.84
2012-08-31,64,27.65
2012-09-07,71,28.38
2012-09-14,79,28.61
2012-09-21,75,28.01
2012-09-28,74,27.51
2012-10-05,68,27.86
2012-10-12,73,27.80
2012-10-19,67,28.34
2012-10-26,75,28.22
2012-11-02,72,26.48
2012-11-09,73,26.75
2012-11-16,68,27.01
2012-11-23,70,27.93
2012-11-30,72,28.47
2012-12-07,69,29.10
2012-12-14,70,29.13
2012-12-21,60,29.79
2012-12-28,41,29.01
2013-01-04,45,29.86
2013-01-11,73,30.19
2013-01-18,76,30.60
2013-01-25,76,31.11
2013-02-01,74,31.82
2013-02-08,69,31.12
2013-02-15,67,31.31
2013-02-22,63,31.34
2013-03-01,64,31.09
2013-03-08,66,31.30
2013-03-15,70,31.97
2013-03-22,58,32.65
2013-03-29,64,
2013-04-05,56,32.38
2013-04-12,66,33.52
2013-04-19,67,32.68
2013-04-26,64,34.31
2013-05-03,53,34.48
2013-05-10,63,33.95
2013-05-17,66,34.89
2013-05-24,65,34.62
2013-05-31,69,34.10
2013-06-07,70,33.92
2013-06-14,76,34.06
2013-06-21,74,33.45
2013-06-28,65,33.94
2013-07-05,59,34.15
2013-07-12,51,35.26
2013-07-19,56,35.30
2013-07-26,51,34.27
2013-08-02,51,34.54
2013-08-09,49,34.83
2013-08-16,57,33.49
2013-08-23,62,33.78
2013-08-30,70,32.51
2013-09-06,72,32.17
2013-09-13,73,33.00
2013-09-20,68,34.18
2013-09-27,61,33.75
2013-10-04,70,33.03
2013-10-11,66,33.05
2013-10-18,62,33.12
2013-10-25,57,33.74
2013-11-01,70,34.34
2013-11-08,75,34.32
2013-11-15,74,35.11
2013-11-22,69,35.02
2013-11-29,70,34.91
2013-12-06,67,34.90
2013-12-13,66,33.94
2013-12-20,60,33.29
2013-12-27,38,33.58
2014-01-03,46,32.98
2014-01-10,61,32.42
2014-01-17,68,32.25
2014-01-24,67,31.74
2014-01-31,70,32.03
2014-02-07,68,33.40
2014-02-14,65,34.40
2014-02-21,63,33.76
2014-02-28,61,34.11
2014-03-07,61,34.24
2014-03-14,65,33.33
2014-03-21,62,34.03
2014-03-28,63,33.66
2014-04-04,63,34.52
2014-04-11,66,34.07
2014-04-18,61,
2014-04-25,57,34.40
2014-05-02,50,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
