Date,LMT,Price
2006-03-31,56,75.13
2006-04-07,40,73.81
2006-04-14,49,
2006-04-21,56,77.04
2006-04-28,43,75.90
2006-05-05,43,76.39
2006-05-12,49,74.62
2006-05-19,37,74.33
2006-05-26,54,72.33
2006-06-02,46,73.12
2006-06-09,50,72.06
2006-06-16,47,71.32
2006-06-23,48,71.31
2006-06-30,47,71.74
2006-07-07,45,73.22
2006-07-14,52,75.30
2006-07-21,45,75.63
2006-07-28,47,80.49
2006-08-04,38,83.54
2006-08-11,58,81.82
2006-08-18,52,83.55
2006-08-25,48,83.08
2006-09-01,62,83.68
2006-09-08,58,83.42
2006-09-15,55,83.00
2006-09-22,50,82.85
2006-09-29,51,86.06
2006-10-06,43,87.38
2006-10-13,57,88.60
2006-10-20,60,87.00
2006-10-27,54,84.61
2006-11-03,43,87.00
2006-11-10,46,85.75
2006-11-17,56,89.15
2006-11-24,50,89.33
2006-12-01,54,90.35
2006-12-08,50,91.82
2006-12-15,55,90.04
2006-12-22,55,91.70
2006-12-29,44,92.07
2007-01-05,51,92.02
2007-01-12,53,96.31
2007-01-19,48,97.27
2007-01-26,56,96.67
2007-02-02,59,98.46
2007-02-09,53,101.16
2007-02-16,69,101.95
2007-02-23,59,102.11
2007-03-02,55,95.44
2007-03-09,48,96.89
2007-03-16,58,97.80
2007-03-23,55,99.15
2007-03-30,52,97.02
2007-04-06,47,
2007-04-13,55,96.24
2007-04-20,45,95.40
2007-04-27,51,96.69
2007-05-04,47,96.64
2007-05-11,55,98.84
2007-05-18,49,98.16
2007-05-25,50,97.01
2007-06-01,50,97.43
2007-06-08,46,96.89
2007-06-15,61,96.55
2007-06-22,52,93.39
2007-06-29,47,94.13
2007-07-06,48,96.63
2007-07-13,50,97.34
2007-07-20,48,97.89
2007-07-27,55,99.28
2007-08-03,50,99.37
2007-08-10,67,94.31
2007-08-17,56,96.22
2007-08-24,47,100.02
2007-08-31,56,99.14
2007-09-07,50,96.64
2007-09-14,54,101.34
2007-09-21,52,103.20
2007-09-28,55,108.49
2007-10-05,56,108.70
2007-10-12,53,111.67
2007-10-19,56,106.16
2007-10-26,49,108.61
2007-11-02,53,110.12
2007-11-09,56,109.35
2007-11-16,54,111.37
2007-11-23,56,111.01
2007-11-30,63,110.67
2007-12-07,64,111.01
2007-12-14,50,110.48
2007-12-21,48,110.48
2007-12-28,50,106.78
2008-01-04,49,106.50
2008-01-11,51,109.46
2008-01-18,50,101.88
2008-01-25,58,105.49
2008-02-01,58,108.12
2008-02-08,55,105.76
2008-02-15,60,105.76
2008-02-22,51,105.12
2008-02-29,57,103.20
2008-03-07,56,103.18
2008-03-14,60,100.54
2008-03-21,60,
2008-03-28,50,100.18
2008-04-04,59,100.81
2008-04-11,57,103.01
2008-04-18,60,106.24
2008-04-25,65,107.63
2008-05-02,48,106.93
2008-05-09,63,105.84
2008-05-16,63,109.16
2008-05-23,60,107.42
2008-05-30,51,109.44
2008-06-06,56,103.75
2008-06-13,53,104.07
2008-06-20,60,102.07
2008-06-27,54,99.62
2008-07-04,51,
2008-07-11,66,102.68
2008-07-18,61,100.99
2008-07-25,47,104.62
2008-08-01,55,103.97
2008-08-08,58,112.06
2008-08-15,61,116.67
2008-08-22,52,115.77
2008-08-29,59,116.44
2008-09-05,52,115.72
2008-09-12,55,117.27
2008-09-19,62,110.88
2008-09-26,64,112.55
2008-10-03,72,105.01
2008-10-10,69,87.48
2008-10-17,64,90.75
2008-10-24,66,75.84
2008-10-31,59,85.05
2008-11-07,64,78.75
2008-11-14,65,72.26
2008-11-21,65,72.68
2008-11-28,58,77.11
2008-12-05,67,80.19
2008-12-12,67,77.80
2008-12-19,60,80.01
2008-12-26,58,81.11
2009-01-02,53,85.55
2009-01-09,64,80.76
2009-01-16,60,82.16
2009-01-23,55,80.98
2009-01-30,59,82.04
2009-02-06,57,79.37
2009-02-13,75,78.47
2009-02-20,67,77.75
2009-02-27,63,63.11
2009-03-06,63,58.85
2009-03-13,58,61.20
2009-03-20,58,67.78
2009-03-27,69,71.28
2009-04-03,65,67.31
2009-04-10,64,
2009-04-17,59,76.94
2009-04-24,61,77.08
2009-05-01,59,81.59
2009-05-08,54,82.46
2009-05-15,60,79.93
2009-05-22,73,81.44
2009-05-29,68,83.63
2009-06-05,56,86.17
2009-06-12,66,82.77
2009-06-19,57,82.55
2009-06-26,56,80.97
2009-07-03,55,
2009-07-10,61,77.91
2009-07-17,61,81.09
2009-07-24,65,74.08
2009-07-31,61,74.76
2009-08-07,61,76.76
2009-08-14,65,74.59
2009-08-21,68,74.92
2009-08-28,60,74.95
2009-09-04,62,75.28
2009-09-11,60,75.64
2009-09-18,54,80.08
2009-09-25,58,77.89
2009-10-02,56,75.37
2009-10-09,58,75.82
2009-10-16,61,75.44
2009-10-23,57,72.19
2009-10-30,57,68.79
2009-11-06,61,73.77
2009-11-13,53,76.07
2009-11-20,53,76.10
2009-11-27,55,77.10
2009-12-04,57,78.21
2009-12-11,61,76.78
2009-12-18,64,76.34
2009-12-25,57,
2010-01-01,48,
2010-01-08,55,75.61
2010-01-15,59,76.76
2010-01-22,60,75.58
2010-01-29,56,74.52
2010-02-05,66,75.72
2010-02-12,62,75.58
2010-02-19,61,77.21
2010-02-26,58,77.76
2010-03-05,61,81.27
2010-03-12,62,83.09
2010-03-19,58,86.90
2010-03-26,54,84.24
2010-04-02,62,
2010-04-09,67,82.79
2010-04-16,64,82.99
2010-04-23,59,86.92
2010-04-30,59,84.89
2010-05-07,55,81.27
2010-05-14,56,80.79
2010-05-21,61,81.16
2010-05-28,59,79.92
2010-06-04,62,77.39
2010-06-11,61,78.75
2010-06-18,55,80.69
2010-06-25,51,78.05
2010-07-02,60,74.44
2010-07-09,59,75.24
2010-07-16,58,73.93
2010-07-23,57,73.95
2010-07-30,64,75.15
2010-08-06,56,75.07
2010-08-13,66,72.72
2010-08-20,64,73.20
2010-08-27,58,72.27
2010-09-03,56,70.72
2010-09-10,59,70.38
2010-09-17,64,69.75
2010-09-24,61,73.13
2010-10-01,60,69.61
2010-10-08,57,70.10
2010-10-15,63,70.02
2010-10-22,69,71.78
2010-10-29,62,71.29
2010-11-05,69,73.27
2010-11-12,73,69.49
2010-11-19,71,69.43
2010-11-26,97,68.80
2010-12-03,81,69.18
2010-12-10,83,68.84
2010-12-17,98,70.07
2010-12-24,80,
2010-12-31,81,69.91
2011-01-07,69,73.63
2011-01-14,71,74.50
2011-01-21,72,79.22
2011-01-28,73,78.20
2011-02-04,90,80.71
2011-02-11,76,81.69
2011-02-18,74,81.81
2011-02-25,71,80.11
2011-03-04,73,79.85
2011-03-11,66,80.47
2011-03-18,68,80.53
2011-03-25,70,80.37
2011-04-01,69,80.98
2011-04-08,70,80.50
2011-04-15,75,78.19
2011-04-22,68,
2011-04-29,67,79.25
2011-05-06,67,79.95
2011-05-13,69,79.59
2011-05-20,71,79.75
2011-05-27,71,77.26
2011-06-03,65,76.28
2011-06-10,67,77.30
2011-06-17,77,80.01
2011-06-24,72,79.20
2011-07-01,72,81.97
2011-07-08,69,80.51
2011-07-15,75,78.37
2011-07-22,67,79.60
2011-07-29,75,75.73
2011-08-05,68,72.82
2011-08-12,84,69.12
2011-08-19,79,69.39
2011-08-26,71,73.25
2011-09-02,78,71.37
2011-09-09,82,71.57
2011-09-16,75,76.03
2011-09-23,76,72.09
2011-09-30,68,72.64
2011-10-07,81,74.00
2011-10-14,71,75.99
2011-10-21,66,77.40
2011-10-28,85,75.43
2011-11-04,70,76.52
2011-11-11,77,77.42
2011-11-18,80,75.10
2011-11-25,94,75.39
2011-12-02,90,77.82
2011-12-09,98,77.42
2011-12-16,100,77.10
2011-12-23,85,81.41
2011-12-30,84,80.90
2012-01-06,77,79.98
2012-01-13,72,81.52
2012-01-20,72,82.78
2012-01-27,75,82.02
2012-02-03,79,84.59
2012-02-10,73,87.51
2012-02-17,75,87.99
2012-02-24,75,89.53
2012-03-02,81,88.50
2012-03-09,73,88.91
2012-03-16,72,89.32
2012-03-23,70,89.77
2012-03-30,72,89.86
2012-04-06,76,
2012-04-13,66,89.30
2012-04-20,68,90.84
2012-04-27,71,91.30
2012-05-04,66,87.83
2012-05-11,70,85.21
2012-05-18,65,82.78
2012-05-25,69,82.71
2012-06-01,70,81.22
2012-06-08,74,83.29
2012-06-15,73,83.45
2012-06-22,77,85.35
2012-06-29,77,87.08
2012-07-06,76,86.86
2012-07-13,78,87.25
2012-07-20,72,87.71
2012-07-27,77,90.20
2012-08-03,77,89.39
2012-08-10,74,91.03
2012-08-17,72,92.40
2012-08-24,71,92.45
2012-08-31,77,91.14
2012-09-07,89,92.18
2012-09-14,84,92.52
2012-09-21,78,91.29
2012-09-28,70,93.38
2012-10-05,72,94.37
2012-10-12,75,92.96
2012-10-19,67,92.89
2012-10-26,68,92.84
2012-11-02,64,93.72
2012-11-09,78,89.98
2012-11-16,79,88.46
2012-11-23,74,91.83
2012-11-30,79,93.30
2012-12-07,78,91.90
2012-12-14,87,88.96
2012-12-21,87,93.13
2012-12-28,75,91.34
2013-01-04,74,93.90
2013-01-11,78,93.71
2013-01-18,70,93.97
2013-01-25,75,92.39
2013-02-01,80,87.22
2013-02-08,75,88.01
2013-02-15,77,87.87
2013-02-22,71,88.12
2013-03-01,78,88.17
2013-03-08,80,89.99
2013-03-15,69,92.74
2013-03-22,75,92.26
2013-03-29,71,
2013-04-05,76,94.53
2013-04-12,74,97.18
2013-04-19,62,96.28
2013-04-26,72,98.97
2013-05-03,74,102.01
2013-05-10,74,101.94
2013-05-17,69,106.41
2013-05-24,71,107.06
2013-05-31,78,105.83
2013-06-07,88,107.36
2013-06-14,80,107.70
2013-06-21,77,105.06
2013-06-28,74,108.46
2013-07-05,76,108.66
2013-07-12,76,112.53
2013-07-19,74,115.55
2013-07-26,78,120.00
2013-08-02,73,123.77
2013-08-09,74,124.02
2013-08-16,77,122.20
2013-08-23,73,126.00
2013-08-30,76,122.42
2013-09-06,74,123.73
2013-09-13,76,127.25
2013-09-20,71,128.00
2013-09-27,70,129.24
2013-10-04,68,122.50
2013-10-11,71,126.17
2013-10-18,63,128.90
2013-10-25,73,134.00
2013-11-01,73,134.55
2013-11-08,69,138.11
2013-11-15,73,137.45
2013-11-22,71,140.88
2013-11-29,75,141.67
2013-12-06,78,138.19
2013-12-13,84,139.03
2013-12-20,74,144.21
2013-12-27,69,148.13
2014-01-03,68,147.06
2014-01-10,69,149.45
2014-01-17,73,153.82
2014-01-24,69,147.76
2014-01-31,70,150.91
2014-02-07,64,155.13
2014-02-14,67,162.89
2014-02-21,67,164.33
2014-02-28,68,162.30
2014-03-07,69,166.57
2014-03-14,64,162.42
2014-03-21,63,157.40
2014-03-28,61,160.54
2014-04-04,63,159.61
2014-04-11,66,153.82
2014-04-18,64,
2014-04-25,62,161.09
2014-05-02,54,
