Date,FE,Price
2008-06-13,68,79.79
2008-06-20,65,80.94
2008-06-27,67,80.01
2008-07-04,69,
2008-07-11,69,83.21
2008-07-18,67,76.69
2008-07-25,70,72.22
2008-08-01,70,71.49
2008-08-08,73,69.76
2008-08-15,71,71.51
2008-08-22,67,73.63
2008-08-29,71,72.64
2008-09-05,67,68.70
2008-09-12,66,69.42
2008-09-19,69,68.93
2008-09-26,67,68.64
2008-10-03,65,61.01
2008-10-10,65,45.45
2008-10-17,63,49.99
2008-10-24,65,49.18
2008-10-31,64,52.16
2008-11-07,61,54.74
2008-11-14,63,52.75
2008-11-21,62,56.82
2008-11-28,60,58.58
2008-12-05,62,54.59
2008-12-12,62,54.13
2008-12-19,62,49.98
2008-12-26,62,45.93
2009-01-02,63,49.66
2009-01-09,63,48.90
2009-01-16,64,50.03
2009-01-23,62,49.57
2009-01-30,65,49.99
2009-02-06,67,52.96
2009-02-13,66,51.36
2009-02-20,67,47.39
2009-02-27,67,42.56
2009-03-06,69,37.54
2009-03-13,67,35.79
2009-03-20,68,39.65
2009-03-27,66,40.30
2009-04-03,67,39.44
2009-04-10,65,
2009-04-17,71,40.16
2009-04-24,71,40.04
2009-05-01,68,42.38
2009-05-08,69,42.48
2009-05-15,70,36.47
2009-05-22,70,37.00
2009-05-29,68,37.79
2009-06-05,71,39.13
2009-06-12,69,40.48
2009-06-19,71,38.58
2009-06-26,75,39.39
2009-07-03,79,
2009-07-10,74,39.02
2009-07-17,76,40.65
2009-07-24,76,42.82
2009-07-31,79,41.20
2009-08-07,83,42.87
2009-08-14,77,44.18
2009-08-21,79,45.38
2009-08-28,78,45.73
2009-09-04,74,45.87
2009-09-11,73,45.91
2009-09-18,73,46.98
2009-09-25,72,45.67
2009-10-02,74,44.79
2009-10-09,73,45.81
2009-10-16,70,47.13
2009-10-23,69,45.93
2009-10-30,71,43.28
2009-11-06,73,42.39
2009-11-13,73,42.07
2009-11-20,73,41.95
2009-11-27,68,42.61
2009-12-04,71,44.60
2009-12-11,68,46.69
2009-12-18,68,46.87
2009-12-25,66,
2010-01-01,70,
2010-01-08,71,45.81
2010-01-15,68,46.69
2010-01-22,70,44.13
2010-01-29,69,43.62
2010-02-05,76,41.55
2010-02-12,75,39.19
2010-02-19,76,39.70
2010-02-26,74,38.65
2010-03-05,74,39.61
2010-03-12,71,39.45
2010-03-19,75,39.78
2010-03-26,74,38.79
2010-04-02,72,
2010-04-09,74,39.57
2010-04-16,76,37.85
2010-04-23,77,37.51
2010-04-30,76,37.87
2010-05-07,73,35.06
2010-05-14,74,36.74
2010-05-21,72,34.88
2010-05-28,72,35.21
2010-06-04,79,35.22
2010-06-11,73,36.88
2010-06-18,72,38.47
2010-06-25,72,36.01
2010-07-02,74,34.60
2010-07-09,73,37.01
2010-07-16,74,37.11
2010-07-23,79,37.84
2010-07-30,77,37.70
2010-08-06,78,37.52
2010-08-13,78,36.24
2010-08-20,78,35.84
2010-08-27,77,36.66
2010-09-03,75,37.78
2010-09-10,75,37.40
2010-09-17,74,36.31
2010-09-24,75,38.10
2010-10-01,77,38.89
2010-10-08,75,38.47
2010-10-15,74,38.93
2010-10-22,76,37.52
2010-10-29,74,36.32
2010-11-05,77,35.89
2010-11-12,74,35.37
2010-11-19,75,36.25
2010-11-26,70,35.23
2010-12-03,72,35.63
2010-12-10,69,35.65
2010-12-17,71,36.28
2010-12-24,71,
2010-12-31,70,37.02
2011-01-07,73,38.25
2011-01-14,70,38.60
2011-01-21,72,39.57
2011-01-28,74,38.77
2011-02-04,76,39.63
2011-02-11,79,39.74
2011-02-18,82,37.90
2011-02-25,81,37.75
2011-03-04,77,37.01
2011-03-11,73,38.45
2011-03-18,76,36.52
2011-03-25,76,36.54
2011-04-01,78,37.25
2011-04-08,78,37.13
2011-04-15,79,38.40
2011-04-22,77,
2011-04-29,82,39.96
2011-05-06,79,41.58
2011-05-13,82,42.53
2011-05-20,87,44.76
2011-05-27,86,44.35
2011-06-03,82,43.67
2011-06-10,79,43.21
2011-06-17,82,43.74
2011-06-24,83,43.05
2011-07-01,84,44.63
2011-07-08,79,44.64
2011-07-15,84,43.28
2011-07-22,86,44.36
2011-07-29,100,44.65
2011-08-05,86,41.36
2011-08-12,88,41.31
2011-08-19,87,41.75
2011-08-26,83,42.53
2011-09-02,83,43.02
2011-09-09,80,42.71
2011-09-16,81,45.43
2011-09-23,82,45.12
2011-09-30,83,44.91
2011-10-07,82,44.29
2011-10-14,76,44.30
2011-10-21,82,45.86
2011-10-28,84,45.41
2011-11-04,79,45.51
2011-11-11,82,45.45
2011-11-18,80,44.28
2011-11-25,79,41.94
2011-12-02,77,44.29
2011-12-09,74,44.77
2011-12-16,83,43.43
2011-12-23,76,44.38
2011-12-30,76,44.30
2012-01-06,76,42.21
2012-01-13,78,42.17
2012-01-20,76,41.53
2012-01-27,78,42.26
2012-02-03,81,43.53
2012-02-10,82,42.65
2012-02-17,77,43.38
2012-02-24,82,44.07
2012-03-02,82,44.48
2012-03-09,84,44.71
2012-03-16,81,44.50
2012-03-23,81,44.72
2012-03-30,79,45.59
2012-04-06,76,
2012-04-13,82,44.94
2012-04-20,85,45.75
2012-04-27,83,47.01
2012-05-04,79,46.97
2012-05-11,81,47.81
2012-05-18,81,47.80
2012-05-25,81,46.85
2012-06-01,85,46.51
2012-06-08,79,47.86
2012-06-15,80,48.49
2012-06-22,79,48.12
2012-06-29,82,49.19
2012-07-06,82,49.18
2012-07-13,79,49.34
2012-07-20,83,50.37
2012-07-27,82,50.45
2012-08-03,83,49.51
2012-08-10,84,45.85
2012-08-17,86,45.87
2012-08-24,87,44.74
2012-08-31,82,43.70
2012-09-07,84,43.12
2012-09-14,81,43.28
2012-09-21,84,44.19
2012-09-28,84,44.10
2012-10-05,84,44.82
2012-10-12,84,44.91
2012-10-19,80,45.98
2012-10-26,87,45.63
2012-11-02,79,44.46
2012-11-09,82,42.48
2012-11-16,80,41.37
2012-11-23,76,41.07
2012-11-30,76,42.46
2012-12-07,76,41.45
2012-12-14,75,40.76
2012-12-21,77,41.61
2012-12-28,73,41.18
2013-01-04,76,42.01
2013-01-11,78,39.89
2013-01-18,78,39.89
2013-01-25,82,40.27
2013-02-01,80,40.49
2013-02-08,85,40.22
2013-02-15,82,40.57
2013-02-22,84,40.54
2013-03-01,85,39.50
2013-03-08,86,40.90
2013-03-15,85,42.10
2013-03-22,83,40.85
2013-03-29,80,
2013-04-05,80,44.09
2013-04-12,86,45.72
2013-04-19,84,45.65
2013-04-26,84,46.48
2013-05-03,87,44.99
2013-05-10,85,42.91
2013-05-17,87,43.78
2013-05-24,84,42.62
2013-05-31,86,39.01
2013-06-07,84,38.94
2013-06-14,82,38.33
2013-06-21,79,36.51
2013-06-28,83,37.34
2013-07-05,86,35.85
2013-07-12,90,37.45
2013-07-19,91,38.92
2013-07-26,84,38.91
2013-08-02,87,38.13
2013-08-09,88,37.90
2013-08-16,89,36.81
2013-08-23,84,38.13
2013-08-30,85,37.47
2013-09-06,84,36.99
2013-09-13,81,37.11
2013-09-20,82,36.66
2013-09-27,84,36.59
2013-10-04,82,36.97
2013-10-11,83,37.91
2013-10-18,83,37.94
2013-10-25,84,37.88
2013-11-01,87,38.12
2013-11-08,80,38.84
2013-11-15,81,35.47
2013-11-22,81,33.35
2013-11-29,80,32.63
2013-12-06,80,32.44
2013-12-13,80,31.71
2013-12-20,76,32.61
2013-12-27,73,32.79
2014-01-03,77,32.01
2014-01-10,80,32.40
2014-01-17,78,32.61
2014-01-24,82,31.07
2014-01-31,84,31.49
2014-02-07,86,30.76
2014-02-14,86,31.75
2014-02-21,88,31.70
2014-02-28,89,30.78
2014-03-07,82,30.67
2014-03-14,86,31.40
2014-03-21,86,32.85
2014-03-28,81,34.08
2014-04-04,89,34.03
2014-04-11,85,33.15
2014-04-18,84,
2014-04-25,86,34.65
2014-05-02,85,
