Date,AIG,Price
2006-03-17,5,68.82
2006-03-24,5,67.43
2006-03-31,5,66.09
2006-04-07,7,64.38
2006-04-14,6,
2006-04-21,6,63.81
2006-04-28,5,65.25
2006-05-05,5,65.14
2006-05-12,6,63.18
2006-05-19,5,61.16
2006-05-26,5,61.47
2006-06-02,5,61.11
2006-06-09,5,60.21
2006-06-16,5,59.87
2006-06-23,5,59.26
2006-06-30,5,59.05
2006-07-07,6,58.97
2006-07-14,7,57.76
2006-07-21,6,59.16
2006-07-28,6,60.90
2006-08-04,6,60.07
2006-08-11,6,61.57
2006-08-18,6,63.90
2006-08-25,6,63.15
2006-09-01,6,64.13
2006-09-08,5,64.24
2006-09-15,6,65.72
2006-09-22,6,65.05
2006-09-29,6,66.26
2006-10-06,8,67.02
2006-10-13,6,67.27
2006-10-20,5,66.48
2006-10-27,5,67.39
2006-11-03,5,66.82
2006-11-10,6,69.63
2006-11-17,6,72.05
2006-11-24,5,71.20
2006-12-01,5,69.77
2006-12-08,6,70.35
2006-12-15,6,72.13
2006-12-22,5,71.67
2006-12-29,4,71.66
2007-01-05,6,71.18
2007-01-12,6,71.07
2007-01-19,6,71.37
2007-01-26,6,68.59
2007-02-02,6,69.07
2007-02-09,6,68.94
2007-02-16,6,69.56
2007-02-23,6,68.79
2007-03-02,6,69.54
2007-03-09,6,69.07
2007-03-16,6,66.87
2007-03-23,6,68.12
2007-03-30,6,67.22
2007-04-06,6,
2007-04-13,6,66.91
2007-04-20,6,69.53
2007-04-27,6,70.14
2007-05-04,6,70.85
2007-05-11,6,72.58
2007-05-18,6,72.22
2007-05-25,6,71.95
2007-06-01,6,72.65
2007-06-08,6,71.53
2007-06-15,6,72.54
2007-06-22,6,71.25
2007-06-29,6,70.03
2007-07-06,6,70.08
2007-07-13,6,69.55
2007-07-20,6,69.04
2007-07-27,6,65.36
2007-08-03,6,61.64
2007-08-10,7,64.67
2007-08-17,6,65.96
2007-08-24,6,67.60
2007-08-31,6,66.00
2007-09-07,6,63.55
2007-09-14,6,64.96
2007-09-21,7,67.23
2007-09-28,7,67.65
2007-10-05,8,69.39
2007-10-12,6,68.09
2007-10-19,6,63.27
2007-10-26,6,62.15
2007-11-02,6,59.12
2007-11-09,6,57.06
2007-11-16,6,56.44
2007-11-23,5,53.03
2007-11-30,6,58.13
2007-12-07,6,61.45
2007-12-14,6,55.65
2007-12-21,6,58.33
2007-12-28,5,57.94
2008-01-04,6,55.30
2008-01-11,7,57.68
2008-01-18,6,52.05
2008-01-25,7,53.22
2008-02-01,7,55.73
2008-02-08,7,50.68
2008-02-15,7,46.11
2008-02-22,7,48.88
2008-02-29,7,46.86
2008-03-07,7,42.88
2008-03-14,6,41.18
2008-03-21,6,
2008-03-28,6,42.80
2008-04-04,7,47.30
2008-04-11,7,44.05
2008-04-18,6,48.23
2008-04-25,6,47.53
2008-05-02,6,49.04
2008-05-09,8,40.28
2008-05-16,7,39.34
2008-05-23,7,36.95
2008-05-30,6,36.00
2008-06-06,6,33.93
2008-06-13,7,34.18
2008-06-20,7,32.10
2008-06-27,7,27.75
2008-07-04,7,
2008-07-11,7,23.08
2008-07-18,7,25.07
2008-07-25,7,27.24
2008-08-01,7,26.79
2008-08-08,8,24.87
2008-08-15,7,22.99
2008-08-22,7,19.87
2008-08-29,7,21.49
2008-09-05,6,22.34
2008-09-12,8,12.14
2008-09-19,100,3.85
2008-09-26,30,3.15
2008-10-03,27,3.86
2008-10-10,30,2.33
2008-10-17,18,2.10
2008-10-24,14,1.70
2008-10-31,12,1.91
2008-11-07,11,2.11
2008-11-14,15,2.08
2008-11-21,11,1.60
2008-11-28,9,2.01
2008-12-05,9,1.94
2008-12-12,9,1.80
2008-12-19,9,1.60
2008-12-26,6,1.57
2009-01-02,7,1.69
2009-01-09,8,1.62
2009-01-16,8,1.42
2009-01-23,8,1.37
2009-01-30,8,1.28
2009-02-06,7,1.04
2009-02-13,7,0.85
2009-02-20,8,0.54
2009-02-27,12,0.42
2009-03-06,18,0.35
2009-03-13,10,0.50
2009-03-20,41,1.26
2009-03-27,24,1.02
2009-04-03,13,1.14
2009-04-10,10,
2009-04-17,12,1.62
2009-04-24,10,1.46
2009-05-01,8,1.38
2009-05-08,11,2.01
2009-05-15,9,1.72
2009-05-22,9,1.70
2009-05-29,8,1.69
2009-06-05,8,1.71
2009-06-12,7,1.61
2009-06-19,7,1.53
2009-06-26,6,1.46
2009-07-03,10,
2009-07-10,9,11.74
2009-07-17,8,13.52
2009-07-24,7,12.46
2009-07-31,7,13.14
2009-08-07,10,27.14
2009-08-14,8,24.37
2009-08-21,8,32.85
2009-08-28,9,50.23
2009-09-04,9,40.05
2009-09-11,7,37.55
2009-09-18,7,39.91
2009-09-25,7,44.60
2009-10-02,6,43.08
2009-10-09,6,44.22
2009-10-16,6,43.20
2009-10-23,6,38.90
2009-10-30,6,33.62
2009-11-06,7,35.48
2009-11-13,6,36.39
2009-11-20,5,35.10
2009-11-27,4,33.30
2009-12-04,5,30.12
2009-12-11,5,28.37
2009-12-18,4,28.19
2009-12-25,4,
2010-01-01,4,
2010-01-08,5,29.34
2010-01-15,5,28.06
2010-01-22,4,26.50
2010-01-29,5,24.23
2010-02-05,5,22.41
2010-02-12,4,26.82
2010-02-19,4,26.53
2010-02-26,4,24.77
2010-03-05,5,28.08
2010-03-12,5,34.23
2010-03-19,4,34.80
2010-03-26,4,34.21
2010-04-02,4,
2010-04-09,4,38.14
2010-04-16,4,39.15
2010-04-23,4,44.38
2010-04-30,4,38.90
2010-05-07,4,38.70
2010-05-14,4,39.72
2010-05-21,3,35.96
2010-05-28,3,35.38
2010-06-04,3,34.75
2010-06-11,3,35.08
2010-06-18,3,37.91
2010-06-25,3,36.95
2010-07-02,3,33.10
2010-07-09,3,35.90
2010-07-16,3,35.64
2010-07-23,3,36.77
2010-07-30,3,38.47
2010-08-06,3,40.93
2010-08-13,3,36.67
2010-08-20,3,35.17
2010-08-27,3,35.20
2010-09-03,3,36.70
2010-09-10,3,36.35
2010-09-17,3,35.64
2010-09-24,3,36.47
2010-10-01,3,38.86
2010-10-08,3,40.91
2010-10-15,3,41.47
2010-10-22,3,41.56
2010-10-29,3,42.01
2010-11-05,3,45.61
2010-11-12,3,41.81
2010-11-19,3,42.73
2010-11-26,2,41.25
2010-12-03,3,43.76
2010-12-10,3,48.95
2010-12-17,3,52.56
2010-12-24,3,
2010-12-31,3,57.62
2011-01-07,3,61.18
2011-01-14,3,54.00
2011-01-21,3,43.00
2011-01-28,3,40.26
2011-02-04,3,40.00
2011-02-11,3,41.63
2011-02-18,3,41.51
2011-02-25,3,38.54
2011-03-04,3,37.39
2011-03-11,3,37.35
2011-03-18,2,34.95
2011-03-25,2,36.53
2011-04-01,2,35.00
2011-04-08,2,34.49
2011-04-15,2,33.46
2011-04-22,2,
2011-04-29,2,31.15
2011-05-06,2,30.70
2011-05-13,2,30.42
2011-05-20,2,30.80
2011-05-27,3,28.88
2011-06-03,2,27.65
2011-06-10,2,28.96
2011-06-17,2,27.98
2011-06-24,2,28.45
2011-07-01,2,29.98
2011-07-08,2,29.94
2011-07-15,2,28.23
2011-07-22,2,29.09
2011-07-29,2,28.70
2011-08-05,2,25.10
2011-08-12,3,23.13
2011-08-19,2,22.16
2011-08-26,2,23.26
2011-09-02,2,23.66
2011-09-09,2,23.36
2011-09-16,2,25.44
2011-09-23,2,22.19
2011-09-30,2,21.95
2011-10-07,2,20.97
2011-10-14,2,23.37
2011-10-21,2,24.01
2011-10-28,2,26.34
2011-11-04,2,23.91
2011-11-11,2,23.85
2011-11-18,2,21.88
2011-11-25,2,20.07
2011-12-02,2,23.18
2011-12-09,2,24.11
2011-12-16,2,23.36
2011-12-23,2,24.20
2011-12-30,2,23.20
2012-01-06,2,23.54
2012-01-13,2,24.95
2012-01-20,2,25.65
2012-01-27,2,25.25
2012-02-03,2,27.17
2012-02-10,2,26.66
2012-02-17,2,27.23
2012-02-24,2,28.41
2012-03-02,2,29.80
2012-03-09,2,28.25
2012-03-16,2,28.03
2012-03-23,2,28.27
2012-03-30,2,30.83
2012-04-06,2,
2012-04-13,2,32.48
2012-04-20,2,32.06
2012-04-27,2,34.46
2012-05-04,2,32.83
2012-05-11,2,31.75
2012-05-18,2,28.33
2012-05-25,2,28.99
2012-06-01,2,27.21
2012-06-08,2,30.48
2012-06-15,2,31.48
2012-06-22,2,31.44
2012-06-29,2,32.09
2012-07-06,2,31.57
2012-07-13,2,31.44
2012-07-20,2,31.03
2012-07-27,1,31.57
2012-08-03,2,31.34
2012-08-10,2,32.60
2012-08-17,2,34.80
2012-08-24,2,34.47
2012-08-31,2,34.33
2012-09-07,2,33.99
2012-09-14,2,35.02
2012-09-21,2,33.63
2012-09-28,2,32.79
2012-10-05,2,35.23
2012-10-12,2,35.46
2012-10-19,2,35.70
2012-10-26,2,34.72
2012-11-02,2,32.68
2012-11-09,2,32.17
2012-11-16,2,31.80
2012-11-23,1,32.83
2012-11-30,2,33.13
2012-12-07,2,34.13
2012-12-14,2,33.94
2012-12-21,2,34.74
2012-12-28,1,34.58
2013-01-04,2,36.30
2013-01-11,4,35.23
2013-01-18,2,35.09
2013-01-25,2,36.70
2013-02-01,2,38.86
2013-02-08,2,38.79
2013-02-15,2,38.35
2013-02-22,2,38.45
2013-03-01,2,37.85
2013-03-08,2,39.58
2013-03-15,2,38.97
2013-03-22,2,37.79
2013-03-29,2,
2013-04-05,2,38.62
2013-04-12,2,40.13
2013-04-19,2,38.88
2013-04-26,2,40.87
2013-05-03,2,44.52
2013-05-10,2,44.18
2013-05-17,2,45.23
2013-05-24,2,44.69
2013-05-31,2,44.46
2013-06-07,2,45.28
2013-06-14,2,45.38
2013-06-21,2,43.69
2013-06-28,2,44.70
2013-07-05,2,45.19
2013-07-12,2,46.74
2013-07-19,2,46.88
2013-07-26,2,46.54
2013-08-02,2,48.33
2013-08-09,2,48.03
2013-08-16,2,47.10
2013-08-23,2,47.39
2013-08-30,2,46.46
2013-09-06,2,48.18
2013-09-13,2,49.70
2013-09-20,2,49.95
2013-09-27,2,49.15
2013-10-04,2,49.53
2013-10-11,2,50.00
2013-10-18,2,52.30
2013-10-25,2,51.85
2013-11-01,2,48.28
2013-11-08,2,48.54
2013-11-15,2,49.30
2013-11-22,2,49.59
2013-11-29,2,49.75
2013-12-06,2,49.55
2013-12-13,2,49.73
2013-12-20,2,51.03
2013-12-27,1,51.18
2014-01-03,2,50.92
2014-01-10,2,52.22
2014-01-17,2,50.89
2014-01-24,2,47.86
2014-01-31,2,47.96
2014-02-07,2,49.01
2014-02-14,2,48.98
2014-02-21,2,48.98
2014-02-28,2,49.77
2014-03-07,2,51.25
2014-03-14,2,48.59
2014-03-21,2,50.02
2014-03-28,2,49.88
2014-04-04,2,50.55
2014-04-11,2,49.40
2014-04-18,2,
2014-04-25,2,51.61
2014-05-02,2,
