Date,AA,Price
2007-05-18,82,39.73
2007-05-25,85,40.90
2007-06-01,80,41.46
2007-06-08,87,39.66
2007-06-15,87,41.60
2007-06-22,91,40.00
2007-06-29,98,40.53
2007-07-06,94,41.66
2007-07-13,93,47.35
2007-07-20,100,43.08
2007-07-27,95,37.41
2007-08-03,91,36.18
2007-08-10,89,34.69
2007-08-17,90,33.29
2007-08-24,91,36.69
2007-08-31,83,36.53
2007-09-07,81,34.87
2007-09-14,82,35.48
2007-09-21,80,37.40
2007-09-28,78,39.12
2007-10-05,79,38.79
2007-10-12,78,38.13
2007-10-19,76,37.44
2007-10-26,74,39.35
2007-11-02,77,38.56
2007-11-09,71,37.09
2007-11-16,74,36.31
2007-11-23,81,35.15
2007-11-30,81,36.37
2007-12-07,77,36.91
2007-12-14,66,35.19
2007-12-21,65,36.35
2007-12-28,57,36.86
2008-01-04,67,34.87
2008-01-11,72,31.73
2008-01-18,73,29.10
2008-01-25,75,30.69
2008-02-01,73,34.28
2008-02-08,73,33.76
2008-02-15,72,35.72
2008-02-22,74,36.55
2008-02-29,74,37.14
2008-03-07,73,36.60
2008-03-14,75,38.39
2008-03-21,74,
2008-03-28,70,36.11
2008-04-04,71,39.00
2008-04-11,73,35.15
2008-04-18,71,36.26
2008-04-25,73,35.72
2008-05-02,76,36.11
2008-05-09,70,39.04
2008-05-16,71,43.15
2008-05-23,75,40.25
2008-05-30,72,40.59
2008-06-06,73,39.22
2008-06-13,75,39.46
2008-06-20,75,37.34
2008-06-27,76,35.38
2008-07-04,79,
2008-07-11,79,34.64
2008-07-18,76,33.81
2008-07-25,78,31.81
2008-08-01,76,32.14
2008-08-08,78,31.76
2008-08-15,79,31.81
2008-08-22,74,32.28
2008-08-29,69,32.13
2008-09-05,72,28.30
2008-09-12,68,28.67
2008-09-19,68,26.79
2008-09-26,66,23.54
2008-10-03,66,19.24
2008-10-10,65,11.25
2008-10-17,65,11.80
2008-10-24,63,9.41
2008-10-31,63,11.50
2008-11-07,60,11.19
2008-11-14,61,10.84
2008-11-21,59,8.44
2008-11-28,62,10.76
2008-12-05,62,8.15
2008-12-12,58,10.08
2008-12-19,55,9.70
2008-12-26,49,9.78
2009-01-02,52,12.11
2009-01-09,60,10.81
2009-01-16,61,9.43
2009-01-23,60,8.33
2009-01-30,63,7.79
2009-02-06,71,8.40
2009-02-13,62,7.48
2009-02-20,61,6.29
2009-02-27,62,6.23
2009-03-06,61,5.22
2009-03-13,61,5.73
2009-03-20,61,6.54
2009-03-27,65,7.80
2009-04-03,67,8.17
2009-04-10,64,
2009-04-17,61,9.26
2009-04-24,61,9.14
2009-05-01,63,9.69
2009-05-08,61,10.01
2009-05-15,63,9.03
2009-05-22,65,8.86
2009-05-29,60,9.22
2009-06-05,63,10.94
2009-06-12,66,11.99
2009-06-19,67,11.00
2009-06-26,66,10.76
2009-07-03,65,
2009-07-10,69,9.34
2009-07-17,68,10.22
2009-07-24,70,11.02
2009-07-31,71,11.76
2009-08-07,69,13.00
2009-08-14,67,13.27
2009-08-21,69,12.56
2009-08-28,66,12.50
2009-09-04,63,12.18
2009-09-11,62,12.99
2009-09-18,72,14.06
2009-09-25,66,13.08
2009-10-02,61,12.82
2009-10-09,59,14.24
2009-10-16,58,14.04
2009-10-23,58,13.73
2009-10-30,57,12.42
2009-11-06,56,12.89
2009-11-13,55,13.18
2009-11-20,58,13.13
2009-11-27,55,12.66
2009-12-04,54,12.99
2009-12-11,51,14.61
2009-12-18,51,14.58
2009-12-25,59,
2010-01-01,51,
2010-01-08,62,17.02
2010-01-15,55,15.63
2010-01-22,53,13.40
2010-01-29,53,12.73
2010-02-05,55,13.18
2010-02-12,54,13.28
2010-02-19,56,13.53
2010-02-26,55,13.30
2010-03-05,56,13.84
2010-03-12,53,13.60
2010-03-19,54,14.26
2010-03-26,56,14.27
2010-04-02,56,
2010-04-09,54,14.39
2010-04-16,55,13.91
2010-04-23,57,14.11
2010-04-30,59,13.43
2010-05-07,54,12.00
2010-05-14,57,12.36
2010-05-21,57,11.35
2010-05-28,60,11.64
2010-06-04,57,10.84
2010-06-11,59,11.36
2010-06-18,57,11.11
2010-06-25,59,11.23
2010-07-02,60,10.00
2010-07-09,63,10.94
2010-07-16,61,10.41
2010-07-23,63,11.05
2010-07-30,64,11.17
2010-08-06,63,11.59
2010-08-13,62,10.64
2010-08-20,62,10.57
2010-08-27,60,10.32
2010-09-03,56,10.88
2010-09-10,58,11.17
2010-09-17,56,11.17
2010-09-24,55,12.20
2010-10-01,56,12.23
2010-10-08,55,12.89
2010-10-15,53,13.13
2010-10-22,53,12.72
2010-10-29,51,13.14
2010-11-05,54,14.00
2010-11-12,52,13.49
2010-11-19,51,13.38
2010-11-26,52,13.17
2010-12-03,59,14.23
2010-12-10,49,14.25
2010-12-17,48,14.56
2010-12-24,52,
2010-12-31,44,15.39
2011-01-07,50,16.42
2011-01-14,51,15.97
2011-01-21,53,15.79
2011-01-28,51,16.13
2011-02-04,50,17.14
2011-02-11,53,17.37
2011-02-18,51,17.28
2011-02-25,52,16.68
2011-03-04,52,16.58
2011-03-11,49,16.03
2011-03-18,48,16.11
2011-03-25,51,17.09
2011-04-01,52,17.47
2011-04-08,52,17.92
2011-04-15,53,16.52
2011-04-22,52,
2011-04-29,50,17.00
2011-05-06,51,17.15
2011-05-13,53,17.10
2011-05-20,55,16.26
2011-05-27,53,16.48
2011-06-03,52,15.92
2011-06-10,52,15.28
2011-06-17,54,14.72
2011-06-24,55,15.23
2011-07-01,56,16.31
2011-07-08,56,16.38
2011-07-15,55,15.48
2011-07-22,55,15.83
2011-07-29,57,14.73
2011-08-05,55,12.79
2011-08-12,55,12.26
2011-08-19,56,11.21
2011-08-26,54,11.86
2011-09-02,51,12.04
2011-09-09,50,11.58
2011-09-16,50,11.97
2011-09-23,51,10.07
2011-09-30,50,9.57
2011-10-07,49,9.71
2011-10-14,48,10.26
2011-10-21,49,10.23
2011-10-28,48,11.57
2011-11-04,47,10.93
2011-11-11,48,10.60
2011-11-18,47,9.69
2011-11-25,45,8.95
2011-12-02,47,9.91
2011-12-09,45,9.64
2011-12-16,45,8.81
2011-12-23,42,8.86
2011-12-30,40,8.65
2012-01-06,46,9.16
2012-01-13,47,9.80
2012-01-20,47,10.17
2012-01-27,46,10.43
2012-02-03,46,10.76
2012-02-10,46,10.29
2012-02-17,46,10.15
2012-02-24,47,10.43
2012-03-02,48,10.24
2012-03-09,49,9.81
2012-03-16,46,10.54
2012-03-23,47,10.11
2012-03-30,46,10.02
2012-04-06,51,
2012-04-13,53,9.85
2012-04-20,56,9.70
2012-04-27,57,9.75
2012-05-04,52,9.37
2012-05-11,47,9.06
2012-05-18,48,8.43
2012-05-25,49,8.63
2012-06-01,51,8.30
2012-06-08,47,8.52
2012-06-15,49,8.82
2012-06-22,51,8.62
2012-06-29,49,8.75
2012-07-06,53,8.73
2012-07-13,51,8.42
2012-07-20,49,8.26
2012-07-27,50,8.45
2012-08-03,49,8.37
2012-08-10,49,8.98
2012-08-17,49,8.75
2012-08-24,50,8.63
2012-08-31,47,8.56
2012-09-07,47,9.10
2012-09-14,46,9.84
2012-09-21,46,9.13
2012-09-28,45,8.86
2012-10-05,45,9.09
2012-10-12,44,8.69
2012-10-19,42,9.01
2012-10-26,44,8.65
2012-11-02,43,8.65
2012-11-09,42,8.43
2012-11-16,41,8.18
2012-11-23,43,8.35
2012-11-30,42,8.41
2012-12-07,42,8.50
2012-12-14,40,8.74
2012-12-21,39,8.57
2012-12-28,38,8.50
2013-01-04,42,9.26
2013-01-11,42,8.94
2013-01-18,44,9.00
2013-01-25,44,9.03
2013-02-01,43,9.00
2013-02-08,42,8.94
2013-02-15,42,9.32
2013-02-22,42,8.64
2013-03-01,42,8.44
2013-03-08,43,8.61
2013-03-15,43,8.63
2013-03-22,44,8.45
2013-03-29,42,
2013-04-05,40,8.24
2013-04-12,41,8.22
2013-04-19,42,8.08
2013-04-26,42,8.27
2013-05-03,43,8.62
2013-05-10,41,8.70
2013-05-17,42,8.61
2013-05-24,43,8.48
2013-05-31,41,8.50
2013-06-07,42,8.33
2013-06-14,44,8.12
2013-06-21,43,7.98
2013-06-28,44,7.82
2013-07-05,44,7.81
2013-07-12,46,8.10
2013-07-19,47,8.07
2013-07-26,46,8.07
2013-08-02,46,7.97
2013-08-09,46,8.22
2013-08-16,47,8.12
2013-08-23,46,8.05
2013-08-30,45,7.70
2013-09-06,44,7.92
2013-09-13,43,8.08
2013-09-20,42,8.29
2013-09-27,41,8.20
2013-10-04,41,7.96
2013-10-11,41,8.32
2013-10-18,39,8.63
2013-10-25,39,9.24
2013-11-01,40,9.27
2013-11-08,39,9.06
2013-11-15,38,9.03
2013-11-22,38,9.24
2013-11-29,38,9.61
2013-12-06,39,9.36
2013-12-13,38,9.51
2013-12-20,36,9.94
2013-12-27,36,10.69
2014-01-03,38,10.57
2014-01-10,40,10.11
2014-01-17,40,11.36
2014-01-24,39,11.44
2014-01-31,40,11.51
2014-02-07,40,11.19
2014-02-14,41,11.37
2014-02-21,39,11.73
2014-02-28,40,11.74
2014-03-07,40,12.16
2014-03-14,39,11.84
2014-03-21,38,12.01
2014-03-28,39,12.48
2014-04-04,42,12.63
2014-04-11,41,12.54
2014-04-18,40,
2014-04-25,40,13.33
2014-05-02,41,
