Date,Harley-Davidson,Price
2006-06-23,59,52.64
2006-06-30,63,54.89
2006-07-07,64,54.30
2006-07-14,71,51.37
2006-07-21,71,52.90
2006-07-28,56,56.64
2006-08-04,63,57.19
2006-08-11,59,56.90
2006-08-18,62,59.45
2006-08-25,57,57.76
2006-09-01,57,59.14
2006-09-08,54,59.40
2006-09-15,52,61.00
2006-09-22,54,61.18
2006-09-29,49,62.75
2006-10-06,47,64.16
2006-10-13,51,63.81
2006-10-20,40,67.29
2006-10-27,42,67.62
2006-11-03,39,67.67
2006-11-10,47,71.00
2006-11-17,45,73.34
2006-11-24,39,74.93
2006-12-01,42,73.23
2006-12-08,46,71.00
2006-12-15,41,69.51
2006-12-22,47,70.20
2006-12-29,39,70.47
2007-01-05,44,69.53
2007-01-12,43,72.80
2007-01-19,34,71.60
2007-01-26,45,70.89
2007-02-02,48,70.10
2007-02-09,50,67.80
2007-02-16,40,68.04
2007-02-23,52,69.01
2007-03-02,43,63.77
2007-03-09,52,63.37
2007-03-16,47,60.78
2007-03-23,49,61.20
2007-03-30,55,58.75
2007-04-06,51,
2007-04-13,58,61.15
2007-04-20,54,64.82
2007-04-27,65,64.26
2007-05-04,54,63.29
2007-05-11,58,64.96
2007-05-18,49,62.90
2007-05-25,53,62.14
2007-06-01,51,62.22
2007-06-08,51,60.44
2007-06-15,58,60.81
2007-06-22,52,62.55
2007-06-29,49,59.61
2007-07-06,54,60.98
2007-07-13,60,62.48
2007-07-20,62,58.21
2007-07-27,58,56.40
2007-08-03,54,55.20
2007-08-10,51,57.20
2007-08-17,51,55.62
2007-08-24,52,54.32
2007-08-31,47,53.79
2007-09-07,40,49.09
2007-09-14,47,46.50
2007-09-21,52,48.05
2007-09-28,43,46.21
2007-10-05,44,49.66
2007-10-12,43,50.09
2007-10-19,40,48.30
2007-10-26,40,49.76
2007-11-02,45,49.46
2007-11-09,39,48.16
2007-11-16,38,47.88
2007-11-23,38,46.53
2007-11-30,42,48.02
2007-12-07,44,48.99
2007-12-14,34,44.96
2007-12-21,37,47.34
2007-12-28,41,47.15
2008-01-04,34,42.38
2008-01-11,37,39.84
2008-01-18,36,37.00
2008-01-25,41,37.96
2008-02-01,43,40.95
2008-02-08,38,36.96
2008-02-15,38,37.68
2008-02-22,36,38.42
2008-02-29,43,37.16
2008-03-07,42,35.05
2008-03-14,40,35.41
2008-03-21,48,
2008-03-28,43,37.93
2008-04-04,43,39.22
2008-04-11,43,37.06
2008-04-18,49,37.76
2008-04-25,49,39.35
2008-05-02,49,39.04
2008-05-09,54,38.05
2008-05-16,51,39.95
2008-05-23,43,37.94
2008-05-30,44,41.57
2008-06-06,49,39.79
2008-06-13,58,38.93
2008-06-20,53,37.24
2008-06-27,48,36.63
2008-07-04,50,
2008-07-11,50,33.33
2008-07-18,60,37.45
2008-07-25,62,37.14
2008-08-01,53,37.86
2008-08-08,52,41.75
2008-08-15,50,42.56
2008-08-22,53,39.78
2008-08-29,49,39.78
2008-09-05,41,39.20
2008-09-12,38,40.49
2008-09-19,38,42.80
2008-09-26,38,40.04
2008-10-03,40,32.60
2008-10-10,35,29.54
2008-10-17,35,25.81
2008-10-24,35,19.88
2008-10-31,29,24.48
2008-11-07,27,21.31
2008-11-14,27,15.35
2008-11-21,32,12.04
2008-11-28,33,17.01
2008-12-05,27,16.60
2008-12-12,28,16.31
2008-12-19,28,16.59
2008-12-26,26,15.82
2009-01-02,28,18.40
2009-01-09,29,16.00
2009-01-16,28,13.70
2009-01-23,32,11.50
2009-01-30,33,12.18
2009-02-06,29,14.42
2009-02-13,31,12.30
2009-02-20,31,10.82
2009-02-27,33,10.10
2009-03-06,30,8.33
2009-03-13,29,10.74
2009-03-20,32,12.70
2009-03-27,34,14.46
2009-04-03,29,16.56
2009-04-10,29,
2009-04-17,29,18.92
2009-04-24,28,20.44
2009-05-01,33,21.52
2009-05-08,28,20.20
2009-05-15,35,17.48
2009-05-22,33,16.46
2009-05-29,28,16.97
2009-06-05,31,17.47
2009-06-12,28,16.68
2009-06-19,26,16.56
2009-06-26,23,16.67
2009-07-03,26,
2009-07-10,27,16.18
2009-07-17,34,18.92
2009-07-24,28,21.74
2009-07-31,29,22.60
2009-08-07,30,23.76
2009-08-14,28,22.70
2009-08-21,29,22.21
2009-08-28,29,23.33
2009-09-04,23,23.29
2009-09-11,25,25.04
2009-09-18,21,24.91
2009-09-25,24,22.97
2009-10-02,17,21.01
2009-10-09,22,23.75
2009-10-16,22,27.86
2009-10-23,19,27.73
2009-10-30,18,24.92
2009-11-06,19,25.73
2009-11-13,20,27.00
2009-11-20,19,27.84
2009-11-27,17,28.69
2009-12-04,19,28.52
2009-12-11,20,27.64
2009-12-18,17,25.99
2009-12-25,15,
2010-01-01,16,
2010-01-08,16,25.53
2010-01-15,18,25.08
2010-01-22,20,23.59
2010-01-29,20,22.74
2010-02-05,19,22.57
2010-02-12,18,23.49
2010-02-19,19,24.43
2010-02-26,21,24.61
2010-03-05,20,26.82
2010-03-12,18,26.85
2010-03-19,22,28.31
2010-03-26,22,27.92
2010-04-02,22,
2010-04-09,23,32.92
2010-04-16,22,33.08
2010-04-23,20,35.49
2010-04-30,23,33.83
2010-05-07,25,30.18
2010-05-14,22,32.34
2010-05-21,22,30.87
2010-05-28,19,30.21
2010-06-04,22,27.35
2010-06-11,24,27.05
2010-06-18,21,26.81
2010-06-25,20,24.49
2010-07-02,19,21.86
2010-07-09,23,23.79
2010-07-16,23,23.55
2010-07-23,26,28.36
2010-07-30,26,27.23
2010-08-06,23,28.00
2010-08-13,23,25.57
2010-08-20,24,25.21
2010-08-27,22,25.00
2010-09-03,19,27.13
2010-09-10,20,26.61
2010-09-17,16,28.28
2010-09-24,20,28.50
2010-10-01,17,28.57
2010-10-08,18,31.69
2010-10-15,17,32.30
2010-10-22,17,31.32
2010-10-29,14,30.66
2010-11-05,16,33.63
2010-11-12,18,31.70
2010-11-19,19,31.90
2010-11-26,16,31.33
2010-12-03,14,33.25
2010-12-10,13,33.69
2010-12-17,15,34.50
2010-12-24,12,
2010-12-31,15,34.67
2011-01-07,15,36.50
2011-01-14,17,36.99
2011-01-21,16,35.99
2011-01-28,17,39.37
2011-02-04,19,41.11
2011-02-11,20,43.11
2011-02-18,18,42.12
2011-02-25,18,40.87
2011-03-04,20,39.75
2011-03-11,21,40.96
2011-03-18,21,40.29
2011-03-25,19,40.96
2011-04-01,22,42.15
2011-04-08,22,39.56
2011-04-15,23,40.55
2011-04-22,22,
2011-04-29,21,37.26
2011-05-06,21,37.78
2011-05-13,22,38.12
2011-05-20,22,36.56
2011-05-27,21,36.86
2011-06-03,21,35.87
2011-06-10,19,35.40
2011-06-17,24,36.74
2011-06-24,23,38.07
2011-07-01,23,42.09
2011-07-08,22,42.94
2011-07-15,23,41.84
2011-07-22,23,45.91
2011-07-29,20,43.39
2011-08-05,24,39.09
2011-08-12,21,37.59
2011-08-19,21,32.11
2011-08-26,20,35.24
2011-09-02,19,36.00
2011-09-09,19,34.63
2011-09-16,18,37.50
2011-09-23,20,33.89
2011-09-30,20,34.33
2011-10-07,21,33.48
2011-10-14,19,37.87
2011-10-21,17,37.60
2011-10-28,22,39.66
2011-11-04,16,38.99
2011-11-11,17,39.48
2011-11-18,16,36.34
2011-11-25,17,34.80
2011-12-02,15,37.80
2011-12-09,17,38.64
2011-12-16,18,36.69
2011-12-23,17,39.19
2011-12-30,15,38.87
2012-01-06,17,39.58
2012-01-13,18,42.03
2012-01-20,16,41.96
2012-01-27,17,44.34
2012-02-03,18,46.11
2012-02-10,19,46.09
2012-02-17,18,46.05
2012-02-24,19,47.04
2012-03-02,19,46.86
2012-03-09,19,46.88
2012-03-16,20,49.39
2012-03-23,22,49.06
2012-03-30,24,49.08
2012-04-06,22,
2012-04-13,19,48.16
2012-04-20,23,51.70
2012-04-27,20,52.89
2012-05-04,23,51.89
2012-05-11,21,48.79
2012-05-18,24,45.27
2012-05-25,24,47.52
2012-06-01,25,46.27
2012-06-08,23,48.66
2012-06-15,24,49.01
2012-06-22,23,49.08
2012-06-29,24,45.73
2012-07-06,24,46.12
2012-07-13,23,43.95
2012-07-20,21,43.91
2012-07-27,24,44.64
2012-08-03,24,42.39
2012-08-10,21,41.36
2012-08-17,24,42.28
2012-08-24,27,42.55
2012-08-31,22,41.96
2012-09-07,18,43.97
2012-09-14,20,46.33
2012-09-21,19,44.09
2012-09-28,20,42.37
2012-10-05,20,41.99
2012-10-12,16,41.42
2012-10-19,16,43.88
2012-10-26,17,46.12
2012-11-02,16,47.29
2012-11-09,15,45.29
2012-11-16,15,46.22
2012-11-23,16,48.26
2012-11-30,14,46.96
2012-12-07,15,46.46
2012-12-14,15,47.83
2012-12-21,16,48.69
2012-12-28,14,47.27
2013-01-04,15,48.69
2013-01-11,16,50.14
2013-01-18,14,52.11
2013-01-25,14,53.94
2013-02-01,15,52.76
2013-02-08,14,52.86
2013-02-15,15,52.66
2013-02-22,15,51.21
2013-03-01,15,52.02
2013-03-08,16,54.82
2013-03-15,18,55.41
2013-03-22,18,52.79
2013-03-29,17,
2013-04-05,17,50.71
2013-04-12,19,52.00
2013-04-19,19,51.83
2013-04-26,20,54.04
2013-05-03,20,54.35
2013-05-10,19,57.37
2013-05-17,19,59.48
2013-05-24,18,55.44
2013-05-31,18,54.54
2013-06-07,19,53.92
2013-06-14,19,53.13
2013-06-21,19,50.54
2013-06-28,19,54.82
2013-07-05,17,55.25
2013-07-12,18,55.96
2013-07-19,19,55.87
2013-07-26,18,55.37
2013-08-02,18,58.60
2013-08-09,19,58.77
2013-08-16,18,58.44
2013-08-23,21,59.84
2013-08-30,19,59.98
2013-09-06,18,61.97
2013-09-13,17,63.30
2013-09-20,17,64.27
2013-09-27,15,64.65
2013-10-04,13,65.30
2013-10-11,14,65.75
2013-10-18,15,65.75
2013-10-25,14,64.98
2013-11-01,13,64.76
2013-11-08,20,64.26
2013-11-15,16,66.72
2013-11-22,14,67.22
2013-11-29,14,67.02
2013-12-06,14,68.53
2013-12-13,12,67.51
2013-12-20,14,68.05
2013-12-27,12,69.05
2014-01-03,13,68.91
2014-01-10,12,69.62
2014-01-17,13,67.58
2014-01-24,14,64.02
2014-01-31,13,61.69
2014-02-07,16,64.98
2014-02-14,14,64.98
2014-02-21,13,64.32
2014-02-28,15,66.06
2014-03-07,15,68.11
2014-03-14,17,67.22
2014-03-21,18,67.66
2014-03-28,16,66.17
2014-04-04,18,67.83
2014-04-11,19,65.51
2014-04-18,19,
2014-04-25,19,71.65
2014-05-02,19,
