Date,Western Digital,Price
2007-09-21,63,24.32
2007-09-28,63,25.32
2007-10-05,64,25.40
2007-10-12,63,25.46
2007-10-19,62,24.96
2007-10-26,63,24.52
2007-11-02,68,28.91
2007-11-09,66,26.37
2007-11-16,67,26.57
2007-11-23,83,25.39
2007-11-30,75,27.63
2007-12-07,74,31.47
2007-12-14,72,29.75
2007-12-21,73,29.71
2007-12-28,96,29.95
2008-01-04,89,25.63
2008-01-11,78,23.98
2008-01-18,72,23.61
2008-01-25,71,26.09
2008-02-01,70,27.95
2008-02-08,70,28.20
2008-02-15,68,28.89
2008-02-22,72,31.23
2008-02-29,69,30.87
2008-03-07,66,30.28
2008-03-14,66,31.27
2008-03-21,65,
2008-03-28,67,26.69
2008-04-04,67,28.37
2008-04-11,62,27.66
2008-04-18,63,29.30
2008-04-25,65,28.41
2008-05-02,59,29.45
2008-05-09,60,30.39
2008-05-16,59,35.41
2008-05-23,61,35.23
2008-05-30,64,37.53
2008-06-06,60,38.93
2008-06-13,58,37.45
2008-06-20,62,37.52
2008-06-27,63,34.87
2008-07-04,62,
2008-07-11,63,33.06
2008-07-18,64,32.43
2008-07-25,61,30.94
2008-08-01,66,28.59
2008-08-08,66,29.09
2008-08-15,68,29.46
2008-08-22,66,28.88
2008-08-29,68,27.26
2008-09-05,65,25.77
2008-09-12,64,24.07
2008-09-19,66,23.90
2008-09-26,61,21.64
2008-10-03,66,18.80
2008-10-10,60,14.35
2008-10-17,63,14.87
2008-10-24,59,14.70
2008-10-31,59,16.47
2008-11-07,65,15.83
2008-11-14,67,13.45
2008-11-21,69,10.38
2008-11-28,82,12.20
2008-12-05,78,12.02
2008-12-12,79,12.52
2008-12-19,82,12.39
2008-12-26,96,11.34
2009-01-02,100,12.33
2009-01-09,90,14.00
2009-01-16,84,13.31
2009-01-23,82,13.00
2009-01-30,83,14.68
2009-02-06,78,17.91
2009-02-13,76,16.68
2009-02-20,77,14.55
2009-02-27,78,13.66
2009-03-06,75,14.55
2009-03-13,74,17.21
2009-03-20,74,17.29
2009-03-27,69,19.50
2009-04-03,70,21.30
2009-04-10,73,
2009-04-17,71,22.42
2009-04-24,67,21.16
2009-05-01,67,23.39
2009-05-08,71,23.71
2009-05-15,63,23.16
2009-05-22,66,24.48
2009-05-29,62,24.85
2009-06-05,61,23.68
2009-06-12,66,25.14
2009-06-19,64,25.42
2009-06-26,63,26.75
2009-07-03,59,
2009-07-10,63,25.37
2009-07-17,65,29.24
2009-07-24,65,30.40
2009-07-31,70,30.25
2009-08-07,68,31.98
2009-08-14,73,31.20
2009-08-21,68,32.85
2009-08-28,69,34.35
2009-09-04,69,33.93
2009-09-11,71,35.08
2009-09-18,69,36.22
2009-09-25,70,35.19
2009-10-02,66,35.33
2009-10-09,68,37.23
2009-10-16,72,35.85
2009-10-23,68,35.44
2009-10-30,72,33.68
2009-11-06,72,36.44
2009-11-13,75,38.50
2009-11-20,72,37.05
2009-11-27,96,37.50
2009-12-04,87,39.48
2009-12-11,85,39.00
2009-12-18,82,42.79
2009-12-25,83,
2010-01-01,95,
2010-01-08,88,45.82
2010-01-15,77,43.98
2010-01-22,76,40.74
2010-01-29,70,37.99
2010-02-05,73,39.43
2010-02-12,68,39.85
2010-02-19,70,43.15
2010-02-26,68,38.63
2010-03-05,67,39.25
2010-03-12,66,38.38
2010-03-19,65,38.14
2010-03-26,61,39.55
2010-04-02,63,
2010-04-09,62,41.39
2010-04-16,59,40.44
2010-04-23,57,44.71
2010-04-30,55,41.09
2010-05-07,57,38.34
2010-05-14,57,38.56
2010-05-21,53,36.01
2010-05-28,55,34.81
2010-06-04,55,34.42
2010-06-11,55,34.35
2010-06-18,53,35.01
2010-06-25,53,31.78
2010-07-02,53,30.20
2010-07-09,51,31.59
2010-07-16,52,31.45
2010-07-23,56,28.02
2010-07-30,56,26.39
2010-08-06,57,26.19
2010-08-13,57,24.46
2010-08-20,60,24.66
2010-08-27,57,25.23
2010-09-03,58,26.59
2010-09-10,58,25.65
2010-09-17,56,26.53
2010-09-24,54,28.20
2010-10-01,53,28.25
2010-10-08,55,28.90
2010-10-15,53,31.89
2010-10-22,54,30.43
2010-10-29,55,32.01
2010-11-05,57,34.76
2010-11-12,57,32.58
2010-11-19,60,33.98
2010-11-26,71,33.76
2010-12-03,67,34.67
2010-12-10,62,35.68
2010-12-17,61,32.97
2010-12-24,64,
2010-12-31,76,33.90
2011-01-07,70,33.03
2011-01-14,64,33.44
2011-01-21,60,31.51
2011-01-28,59,33.94
2011-02-04,53,36.21
2011-02-11,53,34.42
2011-02-18,53,33.24
2011-02-25,52,31.19
2011-03-04,52,30.01
2011-03-11,56,34.40
2011-03-18,47,33.89
2011-03-25,47,37.39
2011-04-01,48,38.18
2011-04-08,47,38.80
2011-04-15,44,38.74
2011-04-22,46,
2011-04-29,44,39.80
2011-05-06,44,38.08
2011-05-13,44,37.49
2011-05-20,44,36.14
2011-05-27,43,35.72
2011-06-03,44,34.96
2011-06-10,43,33.96
2011-06-17,43,33.47
2011-06-24,44,35.18
2011-07-01,45,36.64
2011-07-08,44,38.52
2011-07-15,44,37.27
2011-07-22,48,38.04
2011-07-29,49,34.46
2011-08-05,48,30.54
2011-08-12,46,30.70
2011-08-19,47,26.41
2011-08-26,44,28.29
2011-09-02,45,27.44
2011-09-09,46,28.46
2011-09-16,43,30.07
2011-09-23,44,26.44
2011-09-30,41,25.72
2011-10-07,42,26.94
2011-10-14,43,28.34
2011-10-21,45,25.97
2011-10-28,47,27.30
2011-11-04,47,27.95
2011-11-11,44,26.62
2011-11-18,44,26.04
2011-11-25,47,25.00
2011-12-02,45,31.44
2011-12-09,44,32.38
2011-12-16,44,30.95
2011-12-23,45,32.14
2011-12-30,51,30.95
2012-01-06,46,33.49
2012-01-13,45,33.35
2012-01-20,42,34.65
2012-01-27,42,37.05
2012-02-03,41,38.58
2012-02-10,39,38.57
2012-02-17,39,40.45
2012-02-24,38,39.78
2012-03-02,38,38.93
2012-03-09,40,40.32
2012-03-16,37,38.26
2012-03-23,36,42.44
2012-03-30,36,41.39
2012-04-06,35,
2012-04-13,34,39.02
2012-04-20,35,41.44
2012-04-27,34,37.93
2012-05-04,33,38.88
2012-05-11,35,40.30
2012-05-18,33,34.66
2012-05-25,34,34.21
2012-06-01,32,30.11
2012-06-08,33,31.23
2012-06-15,34,30.69
2012-06-22,34,29.70
2012-06-29,33,30.48
2012-07-06,34,31.02
2012-07-13,36,31.58
2012-07-20,36,32.07
2012-07-27,36,39.92
2012-08-03,35,41.00
2012-08-10,35,43.99
2012-08-17,36,45.48
2012-08-24,37,43.63
2012-08-31,37,41.82
2012-09-07,35,41.86
2012-09-14,36,41.06
2012-09-21,36,40.16
2012-09-28,36,38.73
2012-10-05,35,37.99
2012-10-12,34,36.02
2012-10-19,34,34.88
2012-10-26,34,34.12
2012-11-02,35,35.20
2012-11-09,36,35.11
2012-11-16,35,34.58
2012-11-23,41,35.09
2012-11-30,42,33.43
2012-12-07,38,37.60
2012-12-14,38,37.78
2012-12-21,37,42.09
2012-12-28,42,41.46
2013-01-04,41,42.88
2013-01-11,38,43.98
2013-01-18,35,44.81
2013-01-25,36,48.08
2013-02-01,32,46.77
2013-02-08,33,48.49
2013-02-15,32,48.59
2013-02-22,31,45.90
2013-03-01,30,48.18
2013-03-08,31,47.66
2013-03-15,30,50.16
2013-03-22,30,47.93
2013-03-29,31,
2013-04-05,28,49.80
2013-04-12,27,52.32
2013-04-19,25,49.93
2013-04-26,26,53.29
2013-05-03,25,57.15
2013-05-10,25,58.47
2013-05-17,24,60.46
2013-05-24,24,62.30
2013-05-31,25,63.32
2013-06-07,25,64.15
2013-06-14,25,63.88
2013-06-21,23,60.19
2013-06-28,25,62.09
2013-07-05,23,64.51
2013-07-12,24,67.86
2013-07-19,25,69.79
2013-07-26,25,62.63
2013-08-02,25,65.16
2013-08-09,25,67.50
2013-08-16,26,64.60
2013-08-23,26,65.43
2013-08-30,26,62.00
2013-09-06,25,64.99
2013-09-13,26,64.36
2013-09-20,24,63.68
2013-09-27,26,63.32
2013-10-04,27,65.03
2013-10-11,27,66.73
2013-10-18,26,71.76
2013-10-25,27,72.63
2013-11-01,27,69.85
2013-11-08,29,71.67
2013-11-15,29,75.55
2013-11-22,28,75.13
2013-11-29,31,75.04
2013-12-06,31,78.91
2013-12-13,28,79.05
2013-12-20,28,82.68
2013-12-27,31,82.82
2014-01-03,32,83.28
2014-01-10,29,85.46
2014-01-17,28,88.82
2014-01-24,28,85.00
2014-01-31,27,86.17
2014-02-07,26,84.68
2014-02-14,24,86.71
2014-02-21,24,88.01
2014-02-28,24,86.99
2014-03-07,24,84.25
2014-03-14,23,85.02
2014-03-21,22,88.62
2014-03-28,23,89.41
2014-04-04,23,90.50
2014-04-11,23,88.21
2014-04-18,22,
2014-04-25,22,87.77
2014-05-02,21,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
