Date,ESS,Price
2008-05-02,36,120.85
2008-05-09,40,117.00
2008-05-16,38,120.97
2008-05-23,42,117.04
2008-05-30,37,119.47
2008-06-06,35,120.21
2008-06-13,34,117.52
2008-06-20,32,113.54
2008-06-27,34,106.76
2008-07-04,34,
2008-07-11,37,105.32
2008-07-18,35,115.87
2008-07-25,35,117.89
2008-08-01,35,122.70
2008-08-08,33,120.69
2008-08-15,35,122.16
2008-08-22,31,119.20
2008-08-29,33,117.35
2008-09-05,31,117.89
2008-09-12,32,117.12
2008-09-19,33,125.50
2008-09-26,33,118.99
2008-10-03,33,112.50
2008-10-10,32,102.98
2008-10-17,35,91.29
2008-10-24,30,85.90
2008-10-31,33,97.30
2008-11-07,32,83.55
2008-11-14,34,72.97
2008-11-21,33,70.02
2008-11-28,32,86.47
2008-12-05,32,85.59
2008-12-12,33,80.21
2008-12-19,34,79.29
2008-12-26,31,75.44
2009-01-02,33,74.98
2009-01-09,35,68.31
2009-01-16,35,71.16
2009-01-23,34,67.00
2009-01-30,35,66.05
2009-02-06,36,58.98
2009-02-13,32,54.60
2009-02-20,34,55.17
2009-02-27,34,54.40
2009-03-06,38,55.19
2009-03-13,36,65.76
2009-03-20,36,56.54
2009-03-27,36,57.74
2009-04-03,34,68.52
2009-04-10,37,
2009-04-17,38,67.03
2009-04-24,37,67.71
2009-05-01,38,61.90
2009-05-08,36,67.66
2009-05-15,37,62.44
2009-05-22,36,62.28
2009-05-29,36,68.09
2009-06-05,34,68.06
2009-06-12,31,65.91
2009-06-19,31,63.38
2009-06-26,32,61.59
2009-07-03,32,
2009-07-10,34,57.05
2009-07-17,31,59.69
2009-07-24,31,63.39
2009-07-31,34,65.01
2009-08-07,36,75.16
2009-08-14,33,73.12
2009-08-21,34,73.47
2009-08-28,37,74.12
2009-09-04,37,72.13
2009-09-11,35,74.89
2009-09-18,36,84.32
2009-09-25,34,80.60
2009-10-02,36,74.83
2009-10-09,36,78.66
2009-10-16,34,77.59
2009-10-23,34,76.97
2009-10-30,37,75.18
2009-11-06,34,77.32
2009-11-13,34,81.56
2009-11-20,32,78.06
2009-11-27,33,76.01
2009-12-04,33,82.70
2009-12-11,33,83.30
2009-12-18,32,84.80
2009-12-25,30,
2010-01-01,29,
2010-01-08,31,83.70
2010-01-15,34,84.29
2010-01-22,31,80.88
2010-01-29,31,79.69
2010-02-05,33,78.25
2010-02-12,33,80.21
2010-02-19,33,84.19
2010-02-26,31,85.90
2010-03-05,34,90.38
2010-03-12,33,91.10
2010-03-19,32,92.17
2010-03-26,33,89.81
2010-04-02,33,
2010-04-09,34,97.72
2010-04-16,36,96.35
2010-04-23,35,103.99
2010-04-30,33,105.82
2010-05-07,34,102.55
2010-05-14,33,107.05
2010-05-21,34,105.05
2010-05-28,34,105.23
2010-06-04,33,96.74
2010-06-11,33,106.56
2010-06-18,32,108.11
2010-06-25,32,105.39
2010-07-02,31,95.08
2010-07-09,28,103.32
2010-07-16,33,100.96
2010-07-23,31,104.63
2010-07-30,30,105.11
2010-08-06,31,106.04
2010-08-13,33,102.58
2010-08-20,32,102.51
2010-08-27,32,105.02
2010-09-03,32,110.66
2010-09-10,34,109.49
2010-09-17,33,110.75
2010-09-24,32,110.57
2010-10-01,32,109.08
2010-10-08,34,109.81
2010-10-15,35,111.32
2010-10-22,33,115.76
2010-10-29,33,112.96
2010-11-05,34,116.94
2010-11-12,32,111.24
2010-11-19,32,108.91
2010-11-26,32,109.76
2010-12-03,32,113.98
2010-12-10,33,112.73
2010-12-17,33,110.17
2010-12-24,30,
2010-12-31,31,114.22
2011-01-07,32,113.66
2011-01-14,35,113.59
2011-01-21,32,111.08
2011-01-28,33,114.66
2011-02-04,32,112.52
2011-02-11,34,115.90
2011-02-18,31,117.14
2011-02-25,32,121.10
2011-03-04,33,118.02
2011-03-11,32,119.30
2011-03-18,30,121.04
2011-03-25,31,122.05
2011-04-01,32,124.95
2011-04-08,33,125.06
2011-04-15,36,126.60
2011-04-22,34,
2011-04-29,32,135.48
2011-05-06,33,132.97
2011-05-13,35,133.63
2011-05-20,33,132.72
2011-05-27,35,134.96
2011-06-03,34,135.62
2011-06-10,34,133.51
2011-06-17,32,134.60
2011-06-24,35,133.96
2011-07-01,33,137.59
2011-07-08,34,143.00
2011-07-15,33,139.98
2011-07-22,32,143.49
2011-07-29,33,140.36
2011-08-05,33,127.32
2011-08-12,31,136.66
2011-08-19,31,132.18
2011-08-26,32,138.50
2011-09-02,32,139.62
2011-09-09,32,140.49
2011-09-16,35,142.42
2011-09-23,33,123.97
2011-09-30,35,120.04
2011-10-07,33,121.31
2011-10-14,31,128.39
2011-10-21,33,135.56
2011-10-28,33,142.68
2011-11-04,33,137.97
2011-11-11,35,137.17
2011-11-18,33,130.78
2011-11-25,35,123.00
2011-12-02,35,133.47
2011-12-09,34,134.72
2011-12-16,35,137.54
2011-12-23,36,142.15
2011-12-30,32,140.51
2012-01-06,36,139.98
2012-01-13,36,141.13
2012-01-20,37,138.10
2012-01-27,36,144.26
2012-02-03,36,149.11
2012-02-10,35,142.46
2012-02-17,35,143.68
2012-02-24,34,141.20
2012-03-02,36,140.29
2012-03-09,37,146.51
2012-03-16,35,147.29
2012-03-23,36,146.93
2012-03-30,35,151.51
2012-04-06,36,
2012-04-13,34,150.88
2012-04-20,34,156.89
2012-04-27,34,158.74
2012-05-04,36,156.07
2012-05-11,36,157.87
2012-05-18,34,149.81
2012-05-25,36,151.30
2012-06-01,35,147.96
2012-06-08,33,153.09
2012-06-15,32,152.40
2012-06-22,34,149.22
2012-06-29,32,153.92
2012-07-06,37,156.87
2012-07-13,35,159.67
2012-07-20,35,156.82
2012-07-27,33,157.26
2012-08-03,37,155.94
2012-08-10,36,151.69
2012-08-17,39,150.90
2012-08-24,40,152.67
2012-08-31,39,151.98
2012-09-07,39,154.70
2012-09-14,41,155.44
2012-09-21,36,151.53
2012-09-28,36,148.24
2012-10-05,38,147.84
2012-10-12,35,145.50
2012-10-19,34,148.14
2012-10-26,36,145.01
2012-11-02,34,148.34
2012-11-09,37,142.76
2012-11-16,35,138.48
2012-11-23,37,140.24
2012-11-30,37,140.49
2012-12-07,37,142.62
2012-12-14,33,143.26
2012-12-21,35,146.23
2012-12-28,30,146.07
2013-01-04,35,148.92
2013-01-11,35,151.11
2013-01-18,37,152.80
2013-01-25,37,154.27
2013-02-01,37,154.28
2013-02-08,35,151.86
2013-02-15,35,151.69
2013-02-22,35,151.48
2013-03-01,37,149.24
2013-03-08,35,150.05
2013-03-15,36,152.59
2013-03-22,34,149.97
2013-03-29,36,
2013-04-05,36,156.62
2013-04-12,39,158.14
2013-04-19,37,155.21
2013-04-26,38,152.74
2013-05-03,37,154.77
2013-05-10,38,161.98
2013-05-17,38,168.25
2013-05-24,37,163.90
2013-05-31,39,157.14
2013-06-07,37,155.95
2013-06-14,36,156.70
2013-06-21,36,152.60
2013-06-28,36,158.92
2013-07-05,36,158.54
2013-07-12,38,165.89
2013-07-19,38,168.77
2013-07-26,37,166.39
2013-08-02,38,158.05
2013-08-09,34,157.64
2013-08-16,37,144.94
2013-08-23,37,147.35
2013-08-30,39,143.31
2013-09-06,37,144.41
2013-09-13,38,150.70
2013-09-20,36,152.49
2013-09-27,37,149.59
2013-10-04,37,149.11
2013-10-11,36,154.90
2013-10-18,36,160.05
2013-10-25,37,163.21
2013-11-01,37,163.89
2013-11-08,38,154.99
2013-11-15,36,159.39
2013-11-22,37,153.19
2013-11-29,35,151.81
2013-12-06,35,153.98
2013-12-13,37,145.01
2013-12-20,38,142.12
2013-12-27,34,144.96
2014-01-03,35,148.19
2014-01-10,39,151.06
2014-01-17,41,153.21
2014-01-24,39,152.58
2014-01-31,40,158.37
2014-02-07,39,165.39
2014-02-14,36,166.19
2014-02-21,38,165.71
2014-02-28,39,167.25
2014-03-07,38,168.11
2014-03-14,39,164.92
2014-03-21,38,166.18
2014-03-28,39,167.70
2014-04-04,40,170.12
2014-04-11,41,164.82
2014-04-18,39,
2014-04-25,40,169.92
2014-05-02,38,
