Date,HOG,Price
2006-06-30,25,54.89
2006-07-07,22,54.30
2006-07-14,26,51.37
2006-07-21,27,52.90
2006-07-28,26,56.64
2006-08-04,26,57.19
2006-08-11,27,56.90
2006-08-18,25,59.45
2006-08-25,26,57.76
2006-09-01,26,59.14
2006-09-08,22,59.40
2006-09-15,25,61.00
2006-09-22,23,61.18
2006-09-29,27,62.75
2006-10-06,22,64.16
2006-10-13,24,63.81
2006-10-20,23,67.29
2006-10-27,23,67.62
2006-11-03,23,67.67
2006-11-10,26,71.00
2006-11-17,25,73.34
2006-11-24,23,74.93
2006-12-01,23,73.23
2006-12-08,25,71.00
2006-12-15,24,69.51
2006-12-22,28,70.20
2006-12-29,27,70.47
2007-01-05,35,69.53
2007-01-12,29,72.80
2007-01-19,26,71.60
2007-01-26,30,70.89
2007-02-02,82,70.10
2007-02-09,31,67.80
2007-02-16,29,68.04
2007-02-23,29,69.01
2007-03-02,27,63.77
2007-03-09,27,63.37
2007-03-16,27,60.78
2007-03-23,26,61.20
2007-03-30,24,58.75
2007-04-06,27,
2007-04-13,26,61.15
2007-04-20,26,64.82
2007-04-27,27,64.26
2007-05-04,27,63.29
2007-05-11,25,64.96
2007-05-18,26,62.90
2007-05-25,36,62.14
2007-06-01,89,62.22
2007-06-08,37,60.44
2007-06-15,29,60.81
2007-06-22,27,62.55
2007-06-29,27,59.61
2007-07-06,28,60.98
2007-07-13,27,62.48
2007-07-20,28,58.21
2007-07-27,26,56.40
2007-08-03,26,55.20
2007-08-10,27,57.20
2007-08-17,25,55.62
2007-08-24,25,54.32
2007-08-31,26,53.79
2007-09-07,24,49.09
2007-09-14,24,46.50
2007-09-21,24,48.05
2007-09-28,23,46.21
2007-10-05,24,49.66
2007-10-12,22,50.09
2007-10-19,24,48.30
2007-10-26,23,49.76
2007-11-02,22,49.46
2007-11-09,25,48.16
2007-11-16,23,47.88
2007-11-23,25,46.53
2007-11-30,28,48.02
2007-12-07,27,48.99
2007-12-14,23,44.96
2007-12-21,23,47.34
2007-12-28,26,47.15
2008-01-04,28,42.38
2008-01-11,25,39.84
2008-01-18,25,37.00
2008-01-25,27,37.96
2008-02-01,52,40.95
2008-02-08,39,36.96
2008-02-15,25,37.68
2008-02-22,23,38.42
2008-02-29,25,37.16
2008-03-07,24,35.05
2008-03-14,23,35.41
2008-03-21,24,
2008-03-28,24,37.93
2008-04-04,23,39.22
2008-04-11,24,37.06
2008-04-18,24,37.76
2008-04-25,25,39.35
2008-05-02,24,39.04
2008-05-09,26,38.05
2008-05-16,25,39.95
2008-05-23,26,37.94
2008-05-30,26,41.57
2008-06-06,25,39.79
2008-06-13,26,38.93
2008-06-20,27,37.24
2008-06-27,25,36.63
2008-07-04,26,
2008-07-11,25,33.33
2008-07-18,26,37.45
2008-07-25,25,37.14
2008-08-01,26,37.86
2008-08-08,26,41.75
2008-08-15,27,42.56
2008-08-22,25,39.78
2008-08-29,24,39.78
2008-09-05,23,39.20
2008-09-12,23,40.49
2008-09-19,23,42.80
2008-09-26,24,40.04
2008-10-03,22,32.60
2008-10-10,21,29.54
2008-10-17,22,25.81
2008-10-24,22,19.88
2008-10-31,22,24.48
2008-11-07,22,21.31
2008-11-14,23,15.35
2008-11-21,22,12.04
2008-11-28,22,17.01
2008-12-05,24,16.60
2008-12-12,24,16.31
2008-12-19,24,16.59
2008-12-26,23,15.82
2009-01-02,25,18.40
2009-01-09,22,16.00
2009-01-16,23,13.70
2009-01-23,24,11.50
2009-01-30,30,12.18
2009-02-06,62,14.42
2009-02-13,24,12.30
2009-02-20,23,10.82
2009-02-27,24,10.10
2009-03-06,23,8.33
2009-03-13,23,10.74
2009-03-20,25,12.70
2009-03-27,23,14.46
2009-04-03,22,16.56
2009-04-10,25,
2009-04-17,23,18.92
2009-04-24,22,20.44
2009-05-01,25,21.52
2009-05-08,24,20.20
2009-05-15,25,17.48
2009-05-22,23,16.46
2009-05-29,25,16.97
2009-06-05,25,17.47
2009-06-12,24,16.68
2009-06-19,25,16.56
2009-06-26,24,16.67
2009-07-03,23,
2009-07-10,23,16.18
2009-07-17,25,18.92
2009-07-24,24,21.74
2009-07-31,24,22.60
2009-08-07,25,23.76
2009-08-14,24,22.70
2009-08-21,25,22.21
2009-08-28,23,23.33
2009-09-04,23,23.29
2009-09-11,22,25.04
2009-09-18,21,24.91
2009-09-25,21,22.97
2009-10-02,22,21.01
2009-10-09,21,23.75
2009-10-16,21,27.86
2009-10-23,21,27.73
2009-10-30,20,24.92
2009-11-06,19,25.73
2009-11-13,20,27.00
2009-11-20,20,27.84
2009-11-27,20,28.69
2009-12-04,22,28.52
2009-12-11,22,27.64
2009-12-18,22,25.99
2009-12-25,20,
2010-01-01,23,
2010-01-08,21,25.53
2010-01-15,20,25.08
2010-01-22,22,23.59
2010-01-29,22,22.74
2010-02-05,51,22.57
2010-02-12,22,23.49
2010-02-19,21,24.43
2010-02-26,21,24.61
2010-03-05,20,26.82
2010-03-12,21,26.85
2010-03-19,21,28.31
2010-03-26,21,27.92
2010-04-02,21,
2010-04-09,20,32.92
2010-04-16,20,33.08
2010-04-23,22,35.49
2010-04-30,22,33.83
2010-05-07,22,30.18
2010-05-14,22,32.34
2010-05-21,22,30.87
2010-05-28,22,30.21
2010-06-04,23,27.35
2010-06-11,23,27.05
2010-06-18,23,26.81
2010-06-25,22,24.49
2010-07-02,21,21.86
2010-07-09,24,23.79
2010-07-16,26,23.55
2010-07-23,25,28.36
2010-07-30,23,27.23
2010-08-06,26,28.00
2010-08-13,25,25.57
2010-08-20,24,25.21
2010-08-27,26,25.00
2010-09-03,23,27.13
2010-09-10,24,26.61
2010-09-17,22,28.28
2010-09-24,24,28.50
2010-10-01,22,28.57
2010-10-08,21,31.69
2010-10-15,21,32.30
2010-10-22,21,31.32
2010-10-29,20,30.66
2010-11-05,19,33.63
2010-11-12,20,31.70
2010-11-19,21,31.90
2010-11-26,20,31.33
2010-12-03,20,33.25
2010-12-10,21,33.69
2010-12-17,20,34.50
2010-12-24,21,
2010-12-31,23,34.67
2011-01-07,22,36.50
2011-01-14,21,36.99
2011-01-21,23,35.99
2011-01-28,24,39.37
2011-02-04,52,41.11
2011-02-11,22,43.11
2011-02-18,21,42.12
2011-02-25,20,40.87
2011-03-04,21,39.75
2011-03-11,21,40.96
2011-03-18,19,40.29
2011-03-25,21,40.96
2011-04-01,21,42.15
2011-04-08,21,39.56
2011-04-15,22,40.55
2011-04-22,22,
2011-04-29,22,37.26
2011-05-06,22,37.78
2011-05-13,23,38.12
2011-05-20,23,36.56
2011-05-27,23,36.86
2011-06-03,23,35.87
2011-06-10,22,35.40
2011-06-17,23,36.74
2011-06-24,23,38.07
2011-07-01,22,42.09
2011-07-08,22,42.94
2011-07-15,24,41.84
2011-07-22,22,45.91
2011-07-29,23,43.39
2011-08-05,23,39.09
2011-08-12,23,37.59
2011-08-19,23,32.11
2011-08-26,21,35.24
2011-09-02,22,36.00
2011-09-09,20,34.63
2011-09-16,21,37.50
2011-09-23,21,33.89
2011-09-30,20,34.33
2011-10-07,20,33.48
2011-10-14,20,37.87
2011-10-21,21,37.60
2011-10-28,21,39.66
2011-11-04,21,38.99
2011-11-11,20,39.48
2011-11-18,23,36.34
2011-11-25,22,34.80
2011-12-02,21,37.80
2011-12-09,22,38.64
2011-12-16,21,36.69
2011-12-23,22,39.19
2011-12-30,23,38.87
2012-01-06,24,39.58
2012-01-13,22,42.03
2012-01-20,21,41.96
2012-01-27,22,44.34
2012-02-03,61,46.11
2012-02-10,22,46.09
2012-02-17,22,46.05
2012-02-24,22,47.04
2012-03-02,20,46.86
2012-03-09,20,46.88
2012-03-16,20,49.39
2012-03-23,20,49.06
2012-03-30,20,49.08
2012-04-06,21,
2012-04-13,20,48.16
2012-04-20,21,51.70
2012-04-27,22,52.89
2012-05-04,22,51.89
2012-05-11,21,48.79
2012-05-18,20,45.27
2012-05-25,21,47.52
2012-06-01,22,46.27
2012-06-08,23,48.66
2012-06-15,21,49.01
2012-06-22,22,49.08
2012-06-29,21,45.73
2012-07-06,21,46.12
2012-07-13,22,43.95
2012-07-20,22,43.91
2012-07-27,21,44.64
2012-08-03,21,42.39
2012-08-10,21,41.36
2012-08-17,22,42.28
2012-08-24,23,42.55
2012-08-31,23,41.96
2012-09-07,22,43.97
2012-09-14,22,46.33
2012-09-21,23,44.09
2012-09-28,22,42.37
2012-10-05,24,41.99
2012-10-12,21,41.42
2012-10-19,20,43.88
2012-10-26,20,46.12
2012-11-02,20,47.29
2012-11-09,20,45.29
2012-11-16,19,46.22
2012-11-23,21,48.26
2012-11-30,20,46.96
2012-12-07,21,46.46
2012-12-14,20,47.83
2012-12-21,20,48.69
2012-12-28,21,47.27
2013-01-04,23,48.69
2013-01-11,21,50.14
2013-01-18,21,52.11
2013-01-25,21,53.94
2013-02-01,43,52.76
2013-02-08,28,52.86
2013-02-15,21,52.66
2013-02-22,19,51.21
2013-03-01,21,52.02
2013-03-08,21,54.82
2013-03-15,20,55.41
2013-03-22,20,52.79
2013-03-29,20,
2013-04-05,20,50.71
2013-04-12,21,52.00
2013-04-19,20,51.83
2013-04-26,21,54.04
2013-05-03,22,54.35
2013-05-10,21,57.37
2013-05-17,21,59.48
2013-05-24,21,55.44
2013-05-31,22,54.54
2013-06-07,22,53.92
2013-06-14,21,53.13
2013-06-21,21,50.54
2013-06-28,21,54.82
2013-07-05,21,55.25
2013-07-12,21,55.96
2013-07-19,21,55.87
2013-07-26,21,55.37
2013-08-02,21,58.60
2013-08-09,23,58.77
2013-08-16,23,58.44
2013-08-23,21,59.84
2013-08-30,23,59.98
2013-09-06,21,61.97
2013-09-13,21,63.30
2013-09-20,20,64.27
2013-09-27,21,64.65
2013-10-04,20,65.30
2013-10-11,20,65.75
2013-10-18,20,65.75
2013-10-25,21,64.98
2013-11-01,20,64.76
2013-11-08,20,64.26
2013-11-15,20,66.72
2013-11-22,21,67.22
2013-11-29,22,67.02
2013-12-06,21,68.53
2013-12-13,21,67.51
2013-12-20,20,68.05
2013-12-27,22,69.05
2014-01-03,25,68.91
2014-01-10,21,69.62
2014-01-17,22,67.58
2014-01-24,22,64.02
2014-01-31,26,61.69
2014-02-07,46,64.98
2014-02-14,21,64.98
2014-02-21,21,64.32
2014-02-28,21,66.06
2014-03-07,21,68.11
2014-03-14,24,67.22
2014-03-21,22,67.66
2014-03-28,22,66.17
2014-04-04,22,67.83
2014-04-11,22,65.51
2014-04-18,24,
2014-04-25,24,71.65
2014-05-02,25,
