Date,Abbott Laboratories,Price
2008-07-04,25,
2008-07-11,21,56.43
2008-07-18,26,57.58
2008-07-25,21,57.42
2008-08-01,18,56.07
2008-08-08,19,59.03
2008-08-15,22,59.62
2008-08-22,22,58.48
2008-08-29,22,57.43
2008-09-05,23,57.01
2008-09-12,30,59.09
2008-09-19,33,58.71
2008-09-26,27,59.40
2008-10-03,29,58.51
2008-10-10,30,49.45
2008-10-17,28,55.46
2008-10-24,27,54.30
2008-10-31,25,55.15
2008-11-07,22,55.30
2008-11-14,24,55.06
2008-11-21,28,51.52
2008-11-28,29,52.39
2008-12-05,29,52.75
2008-12-12,21,50.75
2008-12-19,18,52.27
2008-12-26,13,52.51
2009-01-02,19,53.56
2009-01-09,26,51.17
2009-01-16,34,49.92
2009-01-23,26,52.81
2009-01-30,23,55.44
2009-02-06,28,57.15
2009-02-13,28,54.94
2009-02-20,29,54.03
2009-02-27,33,47.34
2009-03-06,35,46.89
2009-03-13,33,46.85
2009-03-20,33,47.54
2009-03-27,28,46.60
2009-04-03,31,44.12
2009-04-10,40,
2009-04-17,41,43.89
2009-04-24,35,43.09
2009-05-01,34,41.52
2009-05-08,25,44.93
2009-05-15,31,43.32
2009-05-22,29,43.94
2009-05-29,31,45.06
2009-06-05,34,44.98
2009-06-12,36,45.42
2009-06-19,33,47.58
2009-06-26,34,47.43
2009-07-03,31,
2009-07-10,31,45.41
2009-07-17,41,44.47
2009-07-24,33,45.01
2009-07-31,32,44.99
2009-08-07,37,43.84
2009-08-14,39,44.36
2009-08-21,38,45.39
2009-08-28,32,45.92
2009-09-04,34,45.63
2009-09-11,39,46.83
2009-09-18,37,45.97
2009-09-25,42,47.33
2009-10-02,71,49.84
2009-10-09,46,50.08
2009-10-16,42,51.43
2009-10-23,43,51.31
2009-10-30,38,50.57
2009-11-06,44,51.53
2009-11-13,37,52.95
2009-11-20,53,53.64
2009-11-27,33,54.08
2009-12-04,34,53.78
2009-12-11,34,53.77
2009-12-18,35,53.34
2009-12-25,24,
2010-01-01,26,
2010-01-08,37,55.05
2010-01-15,39,55.49
2010-01-22,41,54.51
2010-01-29,44,52.94
2010-02-05,35,53.97
2010-02-12,46,53.93
2010-02-19,40,54.38
2010-02-26,38,54.28
2010-03-05,62,54.32
2010-03-12,50,54.52
2010-03-19,37,53.46
2010-03-26,43,52.90
2010-04-02,37,
2010-04-09,35,52.73
2010-04-16,32,52.26
2010-04-23,45,51.20
2010-04-30,37,51.16
2010-05-07,35,48.72
2010-05-14,41,48.50
2010-05-21,39,46.94
2010-05-28,35,47.56
2010-06-04,32,46.53
2010-06-11,34,47.20
2010-06-18,31,48.77
2010-06-25,39,47.19
2010-07-02,37,46.46
2010-07-09,32,48.03
2010-07-16,38,47.07
2010-07-23,42,48.93
2010-07-30,33,49.08
2010-08-06,30,50.57
2010-08-13,29,50.06
2010-08-20,33,49.34
2010-08-27,33,49.84
2010-09-03,32,50.74
2010-09-10,34,51.54
2010-09-17,37,51.64
2010-09-24,82,51.94
2010-10-01,39,52.58
2010-10-08,39,52.81
2010-10-15,40,53.17
2010-10-22,36,52.56
2010-10-29,41,51.32
2010-11-05,37,50.92
2010-11-12,35,48.58
2010-11-19,31,47.40
2010-11-26,29,46.80
2010-12-03,36,47.37
2010-12-10,35,47.62
2010-12-17,33,48.40
2010-12-24,27,
2010-12-31,25,47.91
2011-01-07,30,48.37
2011-01-14,33,46.89
2011-01-21,30,47.92
2011-01-28,40,45.49
2011-02-04,30,46.12
2011-02-11,25,45.56
2011-02-18,24,46.88
2011-02-25,25,47.64
2011-03-04,24,48.69
2011-03-11,24,48.46
2011-03-18,25,47.91
2011-03-25,21,48.03
2011-04-01,23,49.37
2011-04-08,26,50.49
2011-04-15,26,51.90
2011-04-22,25,
2011-04-29,24,52.04
2011-05-06,24,52.52
2011-05-13,24,53.49
2011-05-20,22,53.51
2011-05-27,23,51.55
2011-06-03,22,51.08
2011-06-10,23,50.90
2011-06-17,25,51.68
2011-06-24,23,51.75
2011-07-01,22,53.10
2011-07-08,21,53.33
2011-07-15,27,53.04
2011-07-22,24,52.95
2011-07-29,23,51.32
2011-08-05,24,50.23
2011-08-12,27,49.63
2011-08-19,25,49.08
2011-08-26,24,50.15
2011-09-02,20,51.04
2011-09-09,23,50.43
2011-09-16,21,52.17
2011-09-23,22,50.96
2011-09-30,20,51.14
2011-10-07,23,51.53
2011-10-14,22,52.73
2011-10-21,40,53.86
2011-10-28,28,54.22
2011-11-04,23,53.33
2011-11-11,26,54.53
2011-11-18,26,53.52
2011-11-25,19,52.05
2011-12-02,23,54.15
2011-12-09,19,54.57
2011-12-16,22,54.89
2011-12-23,16,56.02
2011-12-30,16,56.23
2012-01-06,20,55.86
2012-01-13,21,55.43
2012-01-20,23,55.76
2012-01-27,25,55.02
2012-02-03,21,55.00
2012-02-10,23,55.11
2012-02-17,21,56.36
2012-02-24,27,56.70
2012-03-02,24,57.39
2012-03-09,23,57.95
2012-03-16,21,59.42
2012-03-23,21,60.40
2012-03-30,20,61.29
2012-04-06,23,
2012-04-13,25,59.59
2012-04-20,24,59.88
2012-04-27,25,61.99
2012-05-04,22,62.41
2012-05-11,25,62.04
2012-05-18,20,61.57
2012-05-25,21,62.25
2012-06-01,17,60.52
2012-06-08,21,61.88
2012-06-15,19,62.50
2012-06-22,18,62.32
2012-06-29,19,64.47
2012-07-06,18,64.75
2012-07-13,22,65.45
2012-07-20,23,65.06
2012-07-27,24,66.39
2012-08-03,20,66.59
2012-08-10,22,66.11
2012-08-17,24,65.92
2012-08-24,22,65.84
2012-08-31,19,65.54
2012-09-07,21,66.69
2012-09-14,24,68.27
2012-09-21,21,69.62
2012-09-28,20,68.56
2012-10-05,22,71.61
2012-10-12,24,69.28
2012-10-19,30,66.15
2012-10-26,23,65.48
2012-11-02,19,64.96
2012-11-09,21,64.84
2012-11-16,25,62.88
2012-11-23,16,64.47
2012-11-30,22,65.00
2012-12-07,21,65.53
2012-12-14,21,65.35
2012-12-21,18,66.05
2012-12-28,13,64.42
2013-01-04,33,33.07
2013-01-11,22,33.37
2013-01-18,21,32.74
2013-01-25,21,32.79
2013-02-01,20,33.87
2013-02-08,22,34.41
2013-02-15,17,35.08
2013-02-22,20,34.55
2013-03-01,18,33.60
2013-03-08,20,34.68
2013-03-15,19,34.14
2013-03-22,16,33.69
2013-03-29,17,
2013-04-05,17,36.31
2013-04-12,18,37.13
2013-04-19,18,37.20
2013-04-26,14,36.46
2013-05-03,15,36.80
2013-05-10,17,36.17
2013-05-17,16,36.59
2013-05-24,18,37.76
2013-05-31,15,36.67
2013-06-07,17,37.51
2013-06-14,16,36.81
2013-06-21,16,35.58
2013-06-28,14,34.88
2013-07-05,14,34.92
2013-07-12,15,35.32
2013-07-19,18,35.87
2013-07-26,17,36.78
2013-08-02,15,36.75
2013-08-09,17,35.89
2013-08-16,14,34.97
2013-08-23,13,34.84
2013-08-30,14,33.33
2013-09-06,16,33.50
2013-09-13,17,34.87
2013-09-20,17,35.29
2013-09-27,18,33.14
2013-10-04,15,33.56
2013-10-11,17,33.76
2013-10-18,17,37.29
2013-10-25,16,37.25
2013-11-01,14,36.96
2013-11-08,16,38.12
2013-11-15,16,38.05
2013-11-22,17,38.25
2013-11-29,13,38.19
2013-12-06,14,37.53
2013-12-13,16,36.40
2013-12-20,13,37.84
2013-12-27,9,38.37
2014-01-03,9,38.64
2014-01-10,15,39.57
2014-01-17,17,39.40
2014-01-24,16,36.58
2014-01-31,18,36.66
2014-02-07,15,37.18
2014-02-14,15,38.81
2014-02-21,15,38.82
2014-02-28,16,39.78
2014-03-07,17,39.57
2014-03-14,14,38.97
2014-03-21,14,38.39
2014-03-28,15,38.31
2014-04-04,14,38.63
2014-04-11,13,37.02
2014-04-18,15,
2014-04-25,15,38.03
2014-05-02,17,
