Date,DNR,Price
2008-06-13,58,33.52
2008-06-20,58,37.60
2008-06-27,60,35.27
2008-07-04,60,
2008-07-11,64,33.61
2008-07-18,62,30.33
2008-07-25,63,27.72
2008-08-01,65,28.45
2008-08-08,66,22.83
2008-08-15,71,23.99
2008-08-22,71,24.78
2008-08-29,72,24.89
2008-09-05,75,23.00
2008-09-12,74,23.33
2008-09-19,70,23.17
2008-09-26,72,21.52
2008-10-03,72,15.40
2008-10-10,70,9.83
2008-10-17,69,11.40
2008-10-24,62,10.24
2008-10-31,58,12.71
2008-11-07,62,11.47
2008-11-14,69,9.09
2008-11-21,69,7.36
2008-11-28,58,9.53
2008-12-05,67,8.02
2008-12-12,67,9.65
2008-12-19,46,9.70
2008-12-26,46,9.64
2009-01-02,56,12.97
2009-01-09,48,11.58
2009-01-16,46,10.76
2009-01-23,46,11.43
2009-01-30,49,12.24
2009-02-06,45,13.75
2009-02-13,46,13.65
2009-02-20,46,12.29
2009-02-27,45,12.88
2009-03-06,50,13.05
2009-03-13,47,14.39
2009-03-20,48,15.69
2009-03-27,56,15.60
2009-04-03,52,17.03
2009-04-10,55,
2009-04-17,56,17.16
2009-04-24,57,16.48
2009-05-01,53,17.36
2009-05-08,53,18.01
2009-05-15,57,15.50
2009-05-22,55,16.02
2009-05-29,51,17.19
2009-06-05,54,16.94
2009-06-12,49,16.97
2009-06-19,52,14.76
2009-06-26,50,15.04
2009-07-03,55,
2009-07-10,54,13.05
2009-07-17,59,14.92
2009-07-24,56,16.20
2009-07-31,56,16.60
2009-08-07,58,16.36
2009-08-14,58,15.68
2009-08-21,58,16.77
2009-08-28,62,15.41
2009-09-04,64,15.02
2009-09-11,62,15.95
2009-09-18,67,15.71
2009-09-25,59,14.64
2009-10-02,60,13.95
2009-10-09,62,15.28
2009-10-16,58,15.71
2009-10-23,52,16.40
2009-10-30,48,14.60
2009-11-06,56,12.85
2009-11-13,58,13.63
2009-11-20,59,13.27
2009-11-27,54,13.39
2009-12-04,57,13.79
2009-12-11,54,13.32
2009-12-18,47,14.52
2009-12-25,40,
2010-01-01,49,
2010-01-08,43,16.74
2010-01-15,43,15.40
2010-01-22,38,14.63
2010-01-29,41,13.55
2010-02-05,42,14.10
2010-02-12,36,14.29
2010-02-19,36,14.76
2010-02-26,38,14.08
2010-03-05,43,15.13
2010-03-12,43,16.04
2010-03-19,45,15.45
2010-03-26,46,15.60
2010-04-02,51,
2010-04-09,48,18.28
2010-04-16,48,17.25
2010-04-23,50,18.42
2010-04-30,47,19.15
2010-05-07,43,16.78
2010-05-14,45,16.43
2010-05-21,44,16.30
2010-05-28,48,16.45
2010-06-04,46,15.64
2010-06-11,43,16.92
2010-06-18,42,17.48
2010-06-25,41,16.39
2010-07-02,48,14.29
2010-07-09,45,14.91
2010-07-16,45,14.41
2010-07-23,47,15.32
2010-07-30,48,15.84
2010-08-06,49,16.78
2010-08-13,48,15.74
2010-08-20,50,14.69
2010-08-27,50,14.96
2010-09-03,57,15.76
2010-09-10,57,15.29
2010-09-17,56,15.49
2010-09-24,51,15.61
2010-10-01,53,16.41
2010-10-08,52,17.45
2010-10-15,51,18.07
2010-10-22,48,17.07
2010-10-29,47,17.02
2010-11-05,51,18.60
2010-11-12,52,19.07
2010-11-19,55,18.48
2010-11-26,46,18.04
2010-12-03,49,19.52
2010-12-10,47,19.65
2010-12-17,37,18.74
2010-12-24,38,
2010-12-31,42,19.09
2011-01-07,41,18.71
2011-01-14,37,19.16
2011-01-21,35,18.57
2011-01-28,38,19.27
2011-02-04,36,20.89
2011-02-11,34,21.37
2011-02-18,37,22.77
2011-02-25,37,24.32
2011-03-04,39,24.12
2011-03-11,36,22.86
2011-03-18,37,23.07
2011-03-25,40,24.17
2011-04-01,41,24.41
2011-04-08,43,24.54
2011-04-15,42,22.38
2011-04-22,43,
2011-04-29,44,22.57
2011-05-06,40,21.16
2011-05-13,43,20.54
2011-05-20,42,20.97
2011-05-27,41,21.64
2011-06-03,42,20.95
2011-06-10,40,20.01
2011-06-17,40,18.77
2011-06-24,39,18.70
2011-07-01,47,20.05
2011-07-08,41,19.86
2011-07-15,40,19.51
2011-07-22,41,20.73
2011-07-29,44,19.32
2011-08-05,45,16.03
2011-08-12,43,15.53
2011-08-19,44,14.47
2011-08-26,42,14.49
2011-09-02,49,14.93
2011-09-09,48,14.09
2011-09-16,51,14.48
2011-09-23,48,11.87
2011-09-30,47,11.50
2011-10-07,45,11.72
2011-10-14,45,14.30
2011-10-21,44,15.91
2011-10-28,42,16.85
2011-11-04,47,17.38
2011-11-11,48,17.31
2011-11-18,52,15.87
2011-11-25,44,14.32
2011-12-02,44,16.63
2011-12-09,43,16.44
2011-12-16,36,14.94
2011-12-23,35,15.45
2011-12-30,39,15.10
2012-01-06,42,17.27
2012-01-13,37,17.07
2012-01-20,32,17.70
2012-01-27,34,18.57
2012-02-03,37,18.68
2012-02-10,35,19.15
2012-02-17,33,19.56
2012-02-24,34,20.91
2012-03-02,35,19.79
2012-03-09,34,19.19
2012-03-16,37,19.61
2012-03-23,42,18.32
2012-03-30,41,18.23
2012-04-06,41,
2012-04-13,38,17.91
2012-04-20,42,17.79
2012-04-27,40,18.69
2012-05-04,38,17.37
2012-05-11,37,17.23
2012-05-18,38,15.05
2012-05-25,41,15.56
2012-06-01,41,14.44
2012-06-08,39,15.00
2012-06-15,35,14.61
2012-06-22,36,13.85
2012-06-29,38,15.11
2012-07-06,38,14.65
2012-07-13,38,14.23
2012-07-20,38,15.56
2012-07-27,38,15.80
2012-08-03,39,15.59
2012-08-10,41,15.83
2012-08-17,45,15.78
2012-08-24,44,15.56
2012-08-31,46,15.49
2012-09-07,46,16.24
2012-09-14,46,17.65
2012-09-21,45,17.36
2012-09-28,46,16.16
2012-10-05,48,16.36
2012-10-12,43,16.19
2012-10-19,42,16.21
2012-10-26,40,15.23
2012-11-02,40,15.53
2012-11-09,46,14.96
2012-11-16,51,14.80
2012-11-23,44,15.74
2012-11-30,43,15.43
2012-12-07,40,15.78
2012-12-14,36,15.88
2012-12-21,29,16.27
2012-12-28,34,15.60
2013-01-04,39,16.77
2013-01-11,33,16.62
2013-01-18,32,18.19
2013-01-25,31,18.50
2013-02-01,31,18.90
2013-02-08,30,18.81
2013-02-15,31,18.44
2013-02-22,28,18.51
2013-03-01,31,17.86
2013-03-08,34,18.40
2013-03-15,31,18.61
2013-03-22,32,18.58
2013-03-29,33,
2013-04-05,34,17.77
2013-04-12,34,17.81
2013-04-19,35,16.68
2013-04-26,35,17.38
2013-05-03,36,17.88
2013-05-10,36,17.93
2013-05-17,35,18.88
2013-05-24,36,18.46
2013-05-31,35,18.35
2013-06-07,33,18.79
2013-06-14,32,17.82
2013-06-21,34,17.06
2013-06-28,33,17.32
2013-07-05,35,17.50
2013-07-12,50,17.75
2013-07-19,36,18.52
2013-07-26,36,17.50
2013-08-02,40,17.91
2013-08-09,38,17.52
2013-08-16,39,17.23
2013-08-23,38,17.20
2013-08-30,37,17.29
2013-09-06,44,17.66
2013-09-13,46,17.78
2013-09-20,41,17.30
2013-09-27,42,18.55
2013-10-04,41,18.69
2013-10-11,41,18.36
2013-10-18,40,19.01
2013-10-25,37,19.22
2013-11-01,37,18.85
2013-11-08,41,19.35
2013-11-15,42,17.64
2013-11-22,44,17.31
2013-11-29,38,16.68
2013-12-06,39,16.27
2013-12-13,36,15.98
2013-12-20,31,16.18
2013-12-27,33,16.55
2014-01-03,31,16.55
2014-01-10,30,16.53
2014-01-17,31,16.26
2014-01-24,28,16.21
2014-01-31,26,16.07
2014-02-07,26,16.14
2014-02-14,27,16.24
2014-02-21,31,15.94
2014-02-28,29,16.36
2014-03-07,30,16.35
2014-03-14,29,16.26
2014-03-21,32,16.43
2014-03-28,32,16.67
2014-04-04,33,16.75
2014-04-11,34,16.37
2014-04-18,35,
2014-04-25,37,17.06
2014-05-02,36,
