Date,APD,Price
2010-10-08,54,82.70
2010-10-15,54,81.66
2010-10-22,53,84.74
2010-10-29,64,84.97
2010-11-05,57,86.65
2010-11-12,52,84.00
2010-11-19,50,86.01
2010-11-26,46,85.62
2010-12-03,52,87.61
2010-12-10,44,88.84
2010-12-17,46,89.33
2010-12-24,39,
2010-12-31,38,90.95
2011-01-07,46,88.50
2011-01-14,47,88.73
2011-01-21,54,86.51
2011-01-28,54,85.77
2011-02-04,49,88.61
2011-02-11,55,89.06
2011-02-18,48,94.96
2011-02-25,45,91.42
2011-03-04,54,91.22
2011-03-11,50,87.02
2011-03-18,50,88.00
2011-03-25,52,89.94
2011-04-01,54,90.48
2011-04-08,53,92.01
2011-04-15,54,91.82
2011-04-22,48,
2011-04-29,47,95.52
2011-05-06,49,92.50
2011-05-13,50,90.66
2011-05-20,57,91.27
2011-05-27,53,93.96
2011-06-03,53,89.63
2011-06-10,58,91.17
2011-06-17,62,90.04
2011-06-24,57,92.99
2011-07-01,59,96.45
2011-07-08,57,97.02
2011-07-15,58,94.29
2011-07-22,51,91.90
2011-07-29,47,88.73
2011-08-05,50,82.25
2011-08-12,44,81.99
2011-08-19,48,75.24
2011-08-26,52,78.64
2011-09-02,45,80.04
2011-09-09,57,78.39
2011-09-16,54,82.36
2011-09-23,58,76.72
2011-09-30,58,76.37
2011-10-07,52,80.03
2011-10-14,57,84.06
2011-10-21,53,82.74
2011-10-28,53,89.41
2011-11-04,49,85.77
2011-11-11,54,86.46
2011-11-18,54,81.08
2011-11-25,44,76.74
2011-12-02,56,81.96
2011-12-09,56,83.22
2011-12-16,57,82.54
2011-12-23,46,86.05
2011-12-30,45,85.19
2012-01-06,52,86.32
2012-01-13,55,89.91
2012-01-20,56,90.65
2012-01-27,57,88.19
2012-02-03,56,90.40
2012-02-10,57,90.40
2012-02-17,56,92.06
2012-02-24,57,91.94
2012-03-02,58,91.88
2012-03-09,63,89.44
2012-03-16,56,91.71
2012-03-23,62,90.20
2012-03-30,54,91.80
2012-04-06,65,
2012-04-13,59,88.26
2012-04-20,65,89.75
2012-04-27,54,85.56
2012-05-04,58,85.52
2012-05-11,58,83.17
2012-05-18,57,77.81
2012-05-25,59,79.94
2012-06-01,55,76.88
2012-06-08,63,79.62
2012-06-15,61,79.48
2012-06-22,63,77.98
2012-06-29,64,80.73
2012-07-06,58,79.82
2012-07-13,61,79.84
2012-07-20,56,80.43
2012-07-27,56,81.26
2012-08-03,52,82.24
2012-08-10,50,83.73
2012-08-17,50,84.42
2012-08-24,56,83.33
2012-08-31,57,82.58
2012-09-07,56,83.61
2012-09-14,62,85.49
2012-09-21,61,84.51
2012-09-28,65,82.70
2012-10-05,60,83.90
2012-10-12,60,82.00
2012-10-19,63,79.99
2012-10-26,57,77.92
2012-11-02,54,78.15
2012-11-09,72,79.73
2012-11-16,61,80.00
2012-11-23,50,83.04
2012-11-30,65,82.94
2012-12-07,63,83.06
2012-12-14,62,82.55
2012-12-21,49,84.28
2012-12-28,44,82.93
2013-01-04,51,86.71
2013-01-11,57,88.37
2013-01-18,65,88.69
2013-01-25,61,88.36
2013-02-01,65,88.73
2013-02-08,58,88.35
2013-02-15,61,88.23
2013-02-22,60,86.09
2013-03-01,60,86.34
2013-03-08,65,89.10
2013-03-15,63,90.17
2013-03-22,63,87.52
2013-03-29,60,
2013-04-05,62,85.13
2013-04-12,66,86.93
2013-04-19,64,85.71
2013-04-26,69,85.59
2013-05-03,65,89.80
2013-05-10,67,91.21
2013-05-17,68,94.33
2013-05-24,69,93.93
2013-05-31,64,94.41
2013-06-07,67,95.09
2013-06-14,72,96.35
2013-06-21,75,94.59
2013-06-28,75,91.57
2013-07-05,68,91.88
2013-07-12,72,96.65
2013-07-19,70,96.99
2013-07-26,66,104.12
2013-08-02,64,106.95
2013-08-09,57,106.70
2013-08-16,62,100.89
2013-08-23,66,104.00
2013-08-30,66,102.14
2013-09-06,72,102.99
2013-09-13,67,106.15
2013-09-20,66,108.57
2013-09-27,77,107.00
2013-10-04,72,106.31
2013-10-11,66,108.72
2013-10-18,71,110.19
2013-10-25,71,111.73
2013-11-01,64,108.00
2013-11-08,70,109.45
2013-11-15,72,110.59
2013-11-22,64,111.17
2013-11-29,58,108.83
2013-12-06,65,109.51
2013-12-13,65,107.72
2013-12-20,62,111.30
2013-12-27,50,113.43
2014-01-03,51,111.22
2014-01-10,60,109.63
2014-01-17,71,112.01
2014-01-24,68,106.71
2014-01-31,68,105.14
2014-02-07,68,109.23
2014-02-14,65,117.38
2014-02-21,65,118.27
2014-02-28,73,121.32
2014-03-07,63,121.67
2014-03-14,67,119.77
2014-03-21,71,122.15
2014-03-28,92,117.30
2014-04-04,100,119.10
2014-04-11,78,115.14
2014-04-18,67,
2014-04-25,74,117.12
2014-05-02,60,
