Date,Marsh & McLennan,Price
2009-10-09,22,24.96
2009-10-16,22,25.00
2009-10-23,25,24.89
2009-10-30,27,23.46
2009-11-06,24,23.32
2009-11-13,23,23.94
2009-11-20,23,22.57
2009-11-27,22,22.26
2009-12-04,21,22.21
2009-12-11,21,21.91
2009-12-18,23,21.69
2009-12-25,20,
2010-01-01,23,
2010-01-08,23,22.16
2010-01-15,23,21.87
2010-01-22,23,21.90
2010-01-29,21,21.56
2010-02-05,21,22.20
2010-02-12,22,22.05
2010-02-19,21,22.79
2010-02-26,21,23.22
2010-03-05,21,23.79
2010-03-12,24,24.02
2010-03-19,22,24.59
2010-03-26,21,24.58
2010-04-02,24,
2010-04-09,23,24.34
2010-04-16,23,24.66
2010-04-23,22,24.72
2010-04-30,21,24.22
2010-05-07,23,22.29
2010-05-14,26,22.79
2010-05-21,23,21.72
2010-05-28,21,21.81
2010-06-04,22,20.99
2010-06-11,22,22.08
2010-06-18,22,23.14
2010-06-25,21,23.25
2010-07-02,22,22.38
2010-07-09,23,23.11
2010-07-16,23,22.47
2010-07-23,24,23.22
2010-07-30,22,23.52
2010-08-06,23,23.99
2010-08-13,22,23.49
2010-08-20,22,23.14
2010-08-27,22,23.96
2010-09-03,20,24.58
2010-09-10,23,24.12
2010-09-17,22,24.27
2010-09-24,22,24.34
2010-10-01,24,23.92
2010-10-08,21,23.72
2010-10-15,20,23.92
2010-10-22,21,25.19
2010-10-29,22,24.98
2010-11-05,23,25.97
2010-11-12,21,25.42
2010-11-19,22,25.21
2010-11-26,20,25.07
2010-12-03,21,26.09
2010-12-10,22,26.91
2010-12-17,21,27.09
2010-12-24,20,
2010-12-31,23,27.34
2011-01-07,21,27.07
2011-01-14,21,27.71
2011-01-21,22,27.60
2011-01-28,20,27.78
2011-02-04,21,28.39
2011-02-11,22,28.80
2011-02-18,21,30.78
2011-02-25,19,30.20
2011-03-04,20,30.24
2011-03-11,20,30.27
2011-03-18,20,29.19
2011-03-25,21,29.80
2011-04-01,21,30.00
2011-04-08,21,30.07
2011-04-15,22,29.52
2011-04-22,22,
2011-04-29,21,30.28
2011-05-06,22,29.74
2011-05-13,22,29.74
2011-05-20,23,30.43
2011-05-27,21,30.76
2011-06-03,21,30.27
2011-06-10,21,29.61
2011-06-17,22,29.79
2011-06-24,21,29.92
2011-07-01,21,31.54
2011-07-08,21,31.25
2011-07-15,21,29.87
2011-07-22,20,29.79
2011-07-29,21,29.49
2011-08-05,21,28.27
2011-08-12,21,28.02
2011-08-19,20,27.30
2011-08-26,21,29.06
2011-09-02,22,28.99
2011-09-09,21,28.57
2011-09-16,21,28.57
2011-09-23,21,26.68
2011-09-30,20,26.55
2011-10-07,68,26.66
2011-10-14,36,28.20
2011-10-21,25,30.36
2011-10-28,28,30.95
2011-11-04,23,30.58
2011-11-11,22,31.02
2011-11-18,23,29.24
2011-11-25,20,28.47
2011-12-02,20,30.37
2011-12-09,21,31.06
2011-12-16,21,30.42
2011-12-23,22,31.74
2011-12-30,21,31.62
2012-01-06,23,30.72
2012-01-13,26,31.37
2012-01-20,23,31.63
2012-01-27,30,31.77
2012-02-03,24,32.53
2012-02-10,24,32.04
2012-02-17,22,32.22
2012-02-24,21,31.77
2012-03-02,21,31.70
2012-03-09,22,32.25
2012-03-16,20,32.96
2012-03-23,21,32.50
2012-03-30,19,32.79
2012-04-06,22,
2012-04-13,21,31.92
2012-04-20,21,32.38
2012-04-27,22,33.20
2012-05-04,21,34.09
2012-05-11,21,33.05
2012-05-18,21,31.63
2012-05-25,21,32.30
2012-06-01,20,31.54
2012-06-08,20,31.98
2012-06-15,24,31.78
2012-06-22,25,31.22
2012-06-29,23,32.23
2012-07-06,23,32.66
2012-07-13,23,32.35
2012-07-20,27,32.37
2012-07-27,24,33.36
2012-08-03,23,33.41
2012-08-10,23,34.02
2012-08-17,23,34.24
2012-08-24,23,34.05
2012-08-31,22,34.17
2012-09-07,21,34.32
2012-09-14,22,34.90
2012-09-21,21,34.50
2012-09-28,21,33.93
2012-10-05,21,34.77
2012-10-12,20,34.34
2012-10-19,20,34.35
2012-10-26,21,33.74
2012-11-02,19,34.28
2012-11-09,19,34.16
2012-11-16,20,34.54
2012-11-23,19,35.78
2012-11-30,20,35.22
2012-12-07,19,35.11
2012-12-14,19,34.21
2012-12-21,21,35.03
2012-12-28,27,34.23
2013-01-04,22,35.39
2013-01-11,20,35.26
2013-01-18,20,34.94
2013-01-25,21,35.00
2013-02-01,19,35.88
2013-02-08,20,36.55
2013-02-15,21,36.12
2013-02-22,19,36.59
2013-03-01,19,37.24
2013-03-08,20,36.98
2013-03-15,19,37.09
2013-03-22,21,37.40
2013-03-29,20,
2013-04-05,23,37.39
2013-04-12,21,38.34
2013-04-19,21,37.27
2013-04-26,20,37.33
2013-05-03,21,38.77
2013-05-10,20,39.47
2013-05-17,21,41.09
2013-05-24,23,40.43
2013-05-31,22,40.02
2013-06-07,20,40.45
2013-06-14,20,39.95
2013-06-21,21,39.34
2013-06-28,19,39.92
2013-07-05,20,40.95
2013-07-12,21,41.65
2013-07-19,20,41.80
2013-07-26,20,41.99
2013-08-02,20,42.49
2013-08-09,20,41.90
2013-08-16,21,41.72
2013-08-23,22,42.51
2013-08-30,20,41.23
2013-09-06,20,41.31
2013-09-13,20,42.41
2013-09-20,19,44.23
2013-09-27,19,43.76
2013-10-04,21,43.54
2013-10-11,20,43.26
2013-10-18,22,45.53
2013-10-25,20,46.56
2013-11-01,22,45.93
2013-11-08,20,46.14
2013-11-15,19,47.27
2013-11-22,19,47.94
2013-11-29,19,47.45
2013-12-06,19,48.03
2013-12-13,19,47.25
2013-12-20,18,48.13
2013-12-27,19,48.29
2014-01-03,20,47.85
2014-01-10,20,48.19
2014-01-17,20,48.50
2014-01-24,20,46.37
2014-01-31,21,45.71
2014-02-07,19,45.88
2014-02-14,20,47.67
2014-02-21,19,47.96
2014-02-28,19,48.16
2014-03-07,19,49.56
2014-03-14,20,49.11
2014-03-21,20,49.96
2014-03-28,22,48.59
2014-04-04,20,49.12
2014-04-11,23,47.06
2014-04-18,22,
2014-04-25,21,48.62
2014-05-02,24,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
