Date,JEC,Price
2005-08-19,25,57.20
2005-08-26,24,57.25
2005-09-02,26,61.80
2005-09-09,30,63.33
2005-09-16,28,61.87
2005-09-23,33,63.91
2005-09-30,31,67.40
2005-10-07,28,61.50
2005-10-14,24,60.26
2005-10-21,20,59.94
2005-10-28,21,61.41
2005-11-04,31,62.90
2005-11-11,28,62.00
2005-11-18,26,64.19
2005-11-25,48,65.50
2005-12-02,19,65.77
2005-12-09,41,65.37
2005-12-16,25,66.69
2005-12-23,33,68.77
2005-12-30,41,67.87
2006-01-06,40,70.89
2006-01-13,51,72.41
2006-01-20,67,70.92
2006-01-27,50,80.23
2006-02-03,40,81.94
2006-02-10,47,82.62
2006-02-17,52,83.11
2006-02-24,48,86.96
2006-03-03,39,85.63
2006-03-10,55,81.76
2006-03-17,66,85.72
2006-03-24,78,86.66
2006-03-31,72,86.74
2006-04-07,46,89.91
2006-04-14,36,
2006-04-21,23,92.92
2006-04-28,35,82.70
2006-05-05,27,86.92
2006-05-12,27,86.40
2006-05-19,30,77.98
2006-05-26,53,78.47
2006-06-02,100,80.17
2006-06-09,55,74.71
2006-06-16,38,75.17
2006-06-23,40,76.81
2006-06-30,29,79.64
2006-07-07,34,75.97
2006-07-14,37,73.75
2006-07-21,27,69.90
2006-07-28,31,81.65
2006-08-04,33,84.32
2006-08-11,35,83.16
2006-08-18,39,86.41
2006-08-25,63,84.53
2006-09-01,45,87.30
2006-09-08,36,83.34
2006-09-15,30,79.98
2006-09-22,36,72.12
2006-09-29,37,74.73
2006-10-06,30,74.72
2006-10-13,38,76.38
2006-10-20,36,74.65
2006-10-27,39,75.54
2006-11-03,31,78.80
2006-11-10,31,80.35
2006-11-17,39,80.82
2006-11-24,31,83.00
2006-12-01,43,83.76
2006-12-08,33,83.42
2006-12-15,35,83.47
2006-12-22,28,81.60
2006-12-29,26,81.54
2007-01-05,32,77.84
2007-01-12,26,80.84
2007-01-19,44,81.40
2007-01-26,43,88.24
2007-02-02,38,93.40
2007-02-09,37,90.30
2007-02-16,40,92.76
2007-02-23,38,93.12
2007-03-02,49,88.80
2007-03-09,44,90.84
2007-03-16,51,44.32
2007-03-23,41,47.35
2007-03-30,69,46.65
2007-04-06,64,
2007-04-13,36,49.46
2007-04-20,36,50.44
2007-04-27,51,51.49
2007-05-04,27,52.37
2007-05-11,43,53.75
2007-05-18,46,55.10
2007-05-25,37,55.12
2007-06-01,41,58.96
2007-06-08,39,55.95
2007-06-15,29,59.52
2007-06-22,32,56.71
2007-06-29,47,57.51
2007-07-06,41,59.59
2007-07-13,42,64.58
2007-07-20,38,65.85
2007-07-27,39,59.56
2007-08-03,38,60.97
2007-08-10,38,68.24
2007-08-17,42,60.21
2007-08-24,39,64.80
2007-08-31,35,66.09
2007-09-07,42,66.06
2007-09-14,35,71.00
2007-09-21,37,77.16
2007-09-28,37,75.58
2007-10-05,49,82.58
2007-10-12,41,85.21
2007-10-19,39,82.00
2007-10-26,34,86.17
2007-11-02,40,83.80
2007-11-09,45,83.32
2007-11-16,39,77.90
2007-11-23,35,77.61
2007-11-30,44,83.77
2007-12-07,45,94.08
2007-12-14,41,95.31
2007-12-21,41,96.33
2007-12-28,33,98.08
2008-01-04,34,96.61
2008-01-11,50,88.71
2008-01-18,49,74.21
2008-01-25,51,77.18
2008-02-01,53,80.22
2008-02-08,40,72.84
2008-02-15,50,75.82
2008-02-22,47,81.07
2008-02-29,55,80.29
2008-03-07,54,76.02
2008-03-14,52,73.04
2008-03-21,47,
2008-03-28,61,74.09
2008-04-04,66,80.74
2008-04-11,49,77.23
2008-04-18,41,85.11
2008-04-25,38,89.21
2008-05-02,38,88.47
2008-05-09,42,86.76
2008-05-16,42,96.45
2008-05-23,38,91.65
2008-05-30,45,94.78
2008-06-06,41,88.67
2008-06-13,39,90.01
2008-06-20,41,87.35
2008-06-27,41,81.17
2008-07-04,46,
2008-07-11,32,78.08
2008-07-18,40,81.41
2008-07-25,38,79.23
2008-08-01,36,76.81
2008-08-08,41,72.82
2008-08-15,44,74.72
2008-08-22,43,75.79
2008-08-29,42,73.82
2008-09-05,48,64.57
2008-09-12,48,64.61
2008-09-19,40,64.41
2008-09-26,40,55.04
2008-10-03,41,44.60
2008-10-10,55,35.78
2008-10-17,41,38.10
2008-10-24,50,30.48
2008-10-31,45,36.43
2008-11-07,43,35.60
2008-11-14,45,31.01
2008-11-21,39,29.36
2008-11-28,46,44.77
2008-12-05,51,42.43
2008-12-12,44,46.80
2008-12-19,43,45.99
2008-12-26,26,44.65
2009-01-02,33,50.42
2009-01-09,45,51.15
2009-01-16,46,48.36
2009-01-23,50,40.71
2009-01-30,58,38.67
2009-02-06,52,42.04
2009-02-13,50,40.41
2009-02-20,46,35.65
2009-02-27,39,33.74
2009-03-06,58,32.71
2009-03-13,58,40.35
2009-03-20,70,37.31
2009-03-27,83,41.32
2009-04-03,50,43.17
2009-04-10,44,
2009-04-17,48,46.60
2009-04-24,45,45.66
2009-05-01,37,38.11
2009-05-08,42,42.37
2009-05-15,38,38.58
2009-05-22,36,38.36
2009-05-29,42,42.90
2009-06-05,38,43.62
2009-06-12,38,44.33
2009-06-19,37,42.27
2009-06-26,39,41.37
2009-07-03,46,
2009-07-10,40,37.28
2009-07-17,47,39.99
2009-07-24,36,42.28
2009-07-31,44,40.98
2009-08-07,44,43.74
2009-08-14,46,43.78
2009-08-21,41,46.79
2009-08-28,50,44.65
2009-09-04,44,44.85
2009-09-11,42,46.64
2009-09-18,43,48.53
2009-09-25,42,45.16
2009-10-02,42,43.51
2009-10-09,53,44.09
2009-10-16,44,46.17
2009-10-23,54,46.92
2009-10-30,45,42.29
2009-11-06,37,43.81
2009-11-13,38,43.95
2009-11-20,45,36.59
2009-11-27,47,35.58
2009-12-04,48,34.94
2009-12-11,44,34.57
2009-12-18,44,37.74
2009-12-25,25,
2010-01-01,23,
2010-01-08,38,41.74
2010-01-15,40,40.27
2010-01-22,46,39.66
2010-01-29,46,37.79
2010-02-05,55,35.93
2010-02-12,47,36.50
2010-02-19,41,39.32
2010-02-26,60,38.80
2010-03-05,53,41.44
2010-03-12,50,43.55
2010-03-19,54,43.10
2010-03-26,58,44.87
2010-04-02,51,
2010-04-09,70,47.61
2010-04-16,68,46.90
2010-04-23,56,49.21
2010-04-30,53,48.22
2010-05-07,45,42.35
2010-05-14,48,46.11
2010-05-21,47,42.06
2010-05-28,48,41.76
2010-06-04,44,40.14
2010-06-11,44,40.82
2010-06-18,46,41.62
2010-06-25,42,39.50
2010-07-02,40,35.43
2010-07-09,43,37.97
2010-07-16,47,36.19
2010-07-23,48,39.30
2010-07-30,46,36.57
2010-08-06,46,36.71
2010-08-13,43,35.16
2010-08-20,44,35.40
2010-08-27,48,35.54
2010-09-03,42,37.12
2010-09-10,45,36.84
2010-09-17,44,36.11
2010-09-24,46,37.41
2010-10-01,45,39.01
2010-10-08,48,40.23
2010-10-15,50,39.38
2010-10-22,56,39.21
2010-10-29,58,38.61
2010-11-05,50,42.48
2010-11-12,45,41.72
2010-11-19,33,40.33
2010-11-26,38,38.91
2010-12-03,42,41.28
2010-12-10,45,42.86
2010-12-17,47,43.52
2010-12-24,33,
2010-12-31,27,45.85
2011-01-07,38,45.27
2011-01-14,44,51.02
2011-01-21,53,49.72
2011-01-28,59,49.95
2011-02-04,51,52.10
2011-02-11,57,52.14
2011-02-18,55,51.55
2011-02-25,54,49.67
2011-03-04,47,49.60
2011-03-11,48,49.08
2011-03-18,55,48.66
2011-03-25,56,48.73
2011-04-01,68,51.54
2011-04-08,48,50.59
2011-04-15,51,49.59
2011-04-22,42,
2011-04-29,43,49.61
2011-05-06,42,47.04
2011-05-13,41,46.59
2011-05-20,45,46.25
2011-05-27,51,45.38
2011-06-03,48,43.46
2011-06-10,46,41.51
2011-06-17,45,40.95
2011-06-24,43,40.88
2011-07-01,46,43.35
2011-07-08,43,43.48
2011-07-15,49,41.56
2011-07-22,48,42.81
2011-07-29,50,39.14
2011-08-05,47,35.64
2011-08-12,48,35.23
2011-08-19,47,31.88
2011-08-26,44,35.25
2011-09-02,44,35.03
2011-09-09,45,35.23
2011-09-16,55,36.54
2011-09-23,45,33.76
2011-09-30,57,32.29
2011-10-07,54,34.17
2011-10-14,57,37.81
2011-10-21,85,37.96
2011-10-28,63,40.39
2011-11-04,43,39.24
2011-11-11,47,38.96
2011-11-18,40,40.69
2011-11-25,56,38.51
2011-12-02,79,42.05
2011-12-09,60,42.53
2011-12-16,49,39.81
2011-12-23,41,40.89
2011-12-30,29,40.58
2012-01-06,33,41.17
2012-01-13,38,43.00
2012-01-20,45,45.29
2012-01-27,52,45.19
2012-02-03,55,47.21
2012-02-10,55,45.85
2012-02-17,49,45.55
2012-02-24,47,47.19
2012-03-02,60,47.18
2012-03-09,51,45.40
2012-03-16,60,46.89
2012-03-23,60,44.90
2012-03-30,68,44.37
2012-04-06,44,
2012-04-13,46,42.90
2012-04-20,52,43.18
2012-04-27,48,44.60
2012-05-04,50,39.55
2012-05-11,45,38.86
2012-05-18,51,36.14
2012-05-25,54,36.96
2012-06-01,57,34.95
2012-06-08,53,36.44
2012-06-15,55,35.94
2012-06-22,54,35.40
2012-06-29,48,37.86
2012-07-06,53,37.51
2012-07-13,50,37.24
2012-07-20,48,37.89
2012-07-27,49,39.45
2012-08-03,53,38.99
2012-08-10,55,39.34
2012-08-17,60,41.00
2012-08-24,55,40.40
2012-08-31,58,39.54
2012-09-07,58,40.20
2012-09-14,54,43.32
2012-09-21,57,42.78
2012-09-28,52,40.43
2012-10-05,54,41.21
2012-10-12,46,39.96
2012-10-19,45,39.62
2012-10-26,45,38.43
2012-11-02,38,38.77
2012-11-09,46,39.00
2012-11-16,39,38.95
2012-11-23,42,40.38
2012-11-30,46,40.94
2012-12-07,47,42.11
2012-12-14,40,41.34
2012-12-21,40,42.91
2012-12-28,25,41.73
2013-01-04,31,43.92
2013-01-11,37,44.95
2013-01-18,38,46.05
2013-01-25,48,48.46
2013-02-01,55,48.33
2013-02-08,52,48.08
2013-02-15,39,49.35
2013-02-22,52,49.10
2013-03-01,48,48.00
2013-03-08,61,51.82
2013-03-15,62,53.71
2013-03-22,54,54.49
2013-03-29,48,
2013-04-05,45,53.35
2013-04-12,40,53.08
2013-04-19,46,50.04
2013-04-26,51,51.65
2013-05-03,46,50.63
2013-05-10,59,51.00
2013-05-17,39,54.09
2013-05-24,53,54.99
2013-05-31,49,57.01
2013-06-07,51,56.93
2013-06-14,55,55.83
2013-06-21,43,55.86
2013-06-28,46,55.13
2013-07-05,46,55.36
2013-07-12,42,57.76
2013-07-19,47,59.52
2013-07-26,44,58.99
2013-08-02,43,62.33
2013-08-09,48,60.88
2013-08-16,48,61.42
2013-08-23,39,59.87
2013-08-30,44,58.28
2013-09-06,44,58.08
2013-09-13,49,57.90
2013-09-20,52,59.06
2013-09-27,45,57.79
2013-10-04,47,57.54
2013-10-11,46,58.15
2013-10-18,39,59.62
2013-10-25,40,60.56
2013-11-01,47,60.93
2013-11-08,50,61.99
2013-11-15,41,63.76
2013-11-22,51,60.09
2013-11-29,42,59.77
2013-12-06,45,58.48
2013-12-13,44,56.76
2013-12-20,40,61.20
2013-12-27,25,61.73
2014-01-03,27,62.29
2014-01-10,38,63.73
2014-01-17,40,65.73
2014-01-24,40,63.00
2014-01-31,47,60.71
2014-02-07,45,59.84
2014-02-14,47,60.47
2014-02-21,49,60.10
2014-02-28,53,60.65
2014-03-07,53,63.09
2014-03-14,64,62.59
2014-03-21,49,64.82
2014-03-28,45,63.12
2014-04-04,50,63.89
2014-04-11,58,61.45
2014-04-18,51,
2014-04-25,41,62.10
2014-05-02,42,
