Date,buy ALL,Price
2009-04-17,59,23.42
2009-04-24,60,22.31
2009-05-01,66,23.10
2009-05-08,61,26.12
2009-05-15,57,24.30
2009-05-22,64,26.27
2009-05-29,62,25.73
2009-06-05,61,25.05
2009-06-12,70,24.85
2009-06-19,63,24.07
2009-06-26,61,24.16
2009-07-03,60,
2009-07-10,61,23.08
2009-07-17,76,24.24
2009-07-24,74,26.40
2009-07-31,75,26.91
2009-08-07,72,27.79
2009-08-14,69,28.55
2009-08-21,70,28.63
2009-08-28,62,29.26
2009-09-04,61,28.85
2009-09-11,60,28.92
2009-09-18,65,30.64
2009-09-25,64,29.13
2009-10-02,68,30.76
2009-10-09,69,31.92
2009-10-16,67,31.67
2009-10-23,70,31.50
2009-10-30,64,29.57
2009-11-06,65,28.93
2009-11-13,62,28.91
2009-11-20,69,29.12
2009-11-27,85,28.27
2009-12-04,79,28.60
2009-12-11,83,28.63
2009-12-18,75,28.82
2009-12-25,76,
2010-01-01,90,
2010-01-08,67,31.21
2010-01-15,68,30.91
2010-01-22,76,29.98
2010-01-29,70,29.93
2010-02-05,68,28.91
2010-02-12,65,29.53
2010-02-19,68,31.22
2010-02-26,67,31.25
2010-03-05,66,32.14
2010-03-12,65,31.47
2010-03-19,64,31.26
2010-03-26,66,32.20
2010-04-02,72,
2010-04-09,74,32.97
2010-04-16,68,33.85
2010-04-23,68,35.19
2010-04-30,70,32.67
2010-05-07,68,31.80
2010-05-14,70,31.87
2010-05-21,75,30.54
2010-05-28,76,30.63
2010-06-04,74,28.94
2010-06-11,73,29.98
2010-06-18,73,30.54
2010-06-25,70,30.83
2010-07-02,79,28.28
2010-07-09,75,29.44
2010-07-16,80,27.83
2010-07-23,77,28.28
2010-07-30,84,28.24
2010-08-06,78,28.98
2010-08-13,70,28.10
2010-08-20,74,27.75
2010-08-27,77,27.99
2010-09-03,66,29.42
2010-09-10,72,29.87
2010-09-17,75,30.99
2010-09-24,69,31.60
2010-10-01,77,31.57
2010-10-08,72,32.42
2010-10-15,67,32.43
2010-10-22,65,32.79
2010-10-29,69,30.49
2010-11-05,72,31.27
2010-11-12,81,30.18
2010-11-19,77,30.33
2010-11-26,90,29.33
2010-12-03,91,30.31
2010-12-10,90,30.94
2010-12-17,94,31.31
2010-12-24,98,
2010-12-31,98,31.88
2011-01-07,86,31.29
2011-01-14,84,30.71
2011-01-21,80,31.35
2011-01-28,81,31.15
2011-02-04,76,31.35
2011-02-11,79,31.39
2011-02-18,76,32.11
2011-02-25,75,31.48
2011-03-04,73,31.71
2011-03-11,79,31.99
2011-03-18,69,31.15
2011-03-25,78,31.46
2011-04-01,74,31.45
2011-04-08,77,31.40
2011-04-15,74,31.41
2011-04-22,78,
2011-04-29,84,33.84
2011-05-06,73,33.43
2011-05-13,76,32.38
2011-05-20,75,32.01
2011-05-27,77,31.24
2011-06-03,78,30.67
2011-06-10,77,29.65
2011-06-17,78,29.65
2011-06-24,81,29.43
2011-07-01,78,30.90
2011-07-08,78,30.54
2011-07-15,83,29.47
2011-07-22,80,28.69
2011-07-29,84,27.72
2011-08-05,85,26.29
2011-08-12,90,25.12
2011-08-19,87,24.36
2011-08-26,83,24.45
2011-09-02,78,24.96
2011-09-09,78,24.81
2011-09-16,76,24.94
2011-09-23,80,22.77
2011-09-30,74,23.69
2011-10-07,74,23.72
2011-10-14,74,24.96
2011-10-21,78,26.90
2011-10-28,70,27.16
2011-11-04,72,25.90
2011-11-11,84,26.64
2011-11-18,85,25.98
2011-11-25,92,24.70
2011-12-02,91,26.68
2011-12-09,84,26.93
2011-12-16,93,26.44
2011-12-23,100,27.62
2011-12-30,99,27.41
2012-01-06,90,28.02
2012-01-13,81,28.98
2012-01-20,83,29.83
2012-01-27,83,29.09
2012-02-03,78,30.69
2012-02-10,87,30.97
2012-02-17,82,31.39
2012-02-24,86,31.36
2012-03-02,81,31.24
2012-03-09,83,31.66
2012-03-16,74,32.68
2012-03-23,77,32.51
2012-03-30,80,32.92
2012-04-06,76,
2012-04-13,73,32.30
2012-04-20,70,32.65
2012-04-27,74,33.55
2012-05-04,76,34.20
2012-05-11,69,34.83
2012-05-18,67,32.75
2012-05-25,70,33.57
2012-06-01,71,33.07
2012-06-08,73,34.31
2012-06-15,72,34.15
2012-06-22,81,34.08
2012-06-29,80,35.09
2012-07-06,77,34.79
2012-07-13,84,33.87
2012-07-20,77,34.41
2012-07-27,81,34.73
2012-08-03,85,37.04
2012-08-10,83,37.98
2012-08-17,86,37.86
2012-08-24,84,37.76
2012-08-31,79,37.28
2012-09-07,84,38.48
2012-09-14,72,39.86
2012-09-21,76,40.43
2012-09-28,72,39.61
2012-10-05,74,40.98
2012-10-12,78,40.61
2012-10-19,73,42.01
2012-10-26,78,40.15
2012-11-02,74,38.56
2012-11-09,76,38.73
2012-11-16,85,38.92
2012-11-23,92,40.74
2012-11-30,97,40.48
2012-12-07,87,41.48
2012-12-14,95,40.18
2012-12-21,93,40.31
2012-12-28,97,39.86
2013-01-04,88,42.20
2013-01-11,81,42.96
2013-01-18,79,43.21
2013-01-25,80,43.91
2013-02-01,73,44.84
2013-02-08,79,45.14
2013-02-15,79,45.85
2013-02-22,82,46.74
2013-03-01,79,46.35
2013-03-08,75,47.42
2013-03-15,74,47.98
2013-03-22,74,48.22
2013-03-29,75,
2013-04-05,73,49.32
2013-04-12,76,50.35
2013-04-19,74,48.97
2013-04-26,71,49.09
2013-05-03,76,48.69
2013-05-10,74,49.39
2013-05-17,69,50.00
2013-05-24,69,48.73
2013-05-31,76,48.24
2013-06-07,75,47.46
2013-06-14,76,46.87
2013-06-21,70,47.23
2013-06-28,74,48.12
2013-07-05,77,49.13
2013-07-12,80,51.11
2013-07-19,82,52.10
2013-07-26,82,51.52
2013-08-02,79,52.15
2013-08-09,80,50.66
2013-08-16,82,49.39
2013-08-23,76,49.27
2013-08-30,75,47.92
2013-09-06,74,48.40
2013-09-13,71,50.06
2013-09-20,76,52.00
2013-09-27,79,51.07
2013-10-04,77,52.35
2013-10-11,75,52.52
2013-10-18,81,53.87
2013-10-25,79,53.35
2013-11-01,74,53.28
2013-11-08,78,54.12
2013-11-15,85,54.70
2013-11-22,85,54.71
2013-11-29,96,54.27
2013-12-06,90,54.32
2013-12-13,92,52.81
2013-12-20,94,53.77
2013-12-27,98,53.65
2014-01-03,95,53.33
2014-01-10,79,54.09
2014-01-17,80,52.90
2014-01-24,80,50.62
2014-01-31,78,51.20
2014-02-07,77,52.76
2014-02-14,83,52.96
2014-02-21,80,53.86
2014-02-28,79,54.26
2014-03-07,80,55.71
2014-03-14,76,55.13
2014-03-21,72,56.06
2014-03-28,76,55.80
2014-04-04,78,56.41
2014-04-11,81,55.29
2014-04-18,73,
2014-04-25,73,56.11
2014-05-02,78,
