Date,OI,Price
2005-09-02,12,25.07
2005-09-09,11,24.31
2005-09-16,12,22.20
2005-09-23,12,22.06
2005-09-30,13,20.62
2005-10-07,13,19.06
2005-10-14,13,19.11
2005-10-21,13,18.05
2005-10-28,12,18.51
2005-11-04,13,19.20
2005-11-11,13,19.90
2005-11-18,13,21.56
2005-11-25,14,21.78
2005-12-02,13,21.99
2005-12-09,13,20.61
2005-12-16,14,19.75
2005-12-23,13,20.37
2005-12-30,14,21.04
2006-01-06,13,21.75
2006-01-13,12,21.73
2006-01-20,12,20.71
2006-01-27,12,21.96
2006-02-03,12,19.15
2006-02-10,13,19.16
2006-02-17,12,19.27
2006-02-24,13,19.42
2006-03-03,10,19.00
2006-03-10,13,18.40
2006-03-17,13,17.25
2006-03-24,13,16.82
2006-03-31,14,17.37
2006-04-07,14,17.66
2006-04-14,14,
2006-04-21,14,17.64
2006-04-28,14,18.28
2006-05-05,15,18.16
2006-05-12,16,17.57
2006-05-19,14,17.36
2006-05-26,15,17.38
2006-06-02,17,17.02
2006-06-09,16,16.02
2006-06-16,16,16.29
2006-06-23,15,16.51
2006-06-30,15,16.76
2006-07-07,15,16.36
2006-07-14,16,14.73
2006-07-21,19,15.41
2006-07-28,19,14.80
2006-08-04,20,14.66
2006-08-11,18,13.22
2006-08-18,18,14.08
2006-08-25,18,14.01
2006-09-01,17,14.89
2006-09-08,17,14.75
2006-09-15,18,16.14
2006-09-22,18,15.64
2006-09-29,19,15.42
2006-10-06,19,15.50
2006-10-13,18,16.50
2006-10-20,21,15.89
2006-10-27,21,16.30
2006-11-03,20,16.81
2006-11-10,21,17.94
2006-11-17,21,18.00
2006-11-24,22,17.99
2006-12-01,23,19.05
2006-12-08,23,19.31
2006-12-15,24,19.30
2006-12-22,23,18.58
2006-12-29,27,18.45
2007-01-05,22,18.55
2007-01-12,21,21.55
2007-01-19,22,22.21
2007-01-26,21,22.15
2007-02-02,22,23.15
2007-02-09,20,23.10
2007-02-16,20,23.55
2007-02-23,18,23.66
2007-03-02,23,23.54
2007-03-09,29,23.84
2007-03-16,30,24.51
2007-03-23,29,26.02
2007-03-30,30,25.77
2007-04-06,30,
2007-04-13,33,26.80
2007-04-20,31,27.35
2007-04-27,32,30.26
2007-05-04,32,31.92
2007-05-11,33,33.13
2007-05-18,34,32.93
2007-05-25,35,33.28
2007-06-01,37,34.06
2007-06-08,36,33.27
2007-06-15,36,33.89
2007-06-22,33,33.21
2007-06-29,38,35.00
2007-07-06,38,36.57
2007-07-13,37,36.68
2007-07-20,41,36.80
2007-07-27,42,37.80
2007-08-03,42,39.71
2007-08-10,40,35.74
2007-08-17,37,37.26
2007-08-24,39,39.00
2007-08-31,40,40.22
2007-09-07,35,38.90
2007-09-14,37,39.79
2007-09-21,38,40.43
2007-09-28,37,41.45
2007-10-05,39,43.50
2007-10-12,35,43.70
2007-10-19,37,41.52
2007-10-26,36,43.08
2007-11-02,37,45.72
2007-11-09,36,45.81
2007-11-16,35,43.57
2007-11-23,42,42.01
2007-11-30,42,44.89
2007-12-07,38,48.44
2007-12-14,34,49.16
2007-12-21,36,49.39
2007-12-28,39,50.00
2008-01-04,34,45.58
2008-01-11,38,45.71
2008-01-18,35,41.37
2008-01-25,35,42.01
2008-02-01,36,53.00
2008-02-08,29,53.45
2008-02-15,36,54.77
2008-02-22,34,54.69
2008-02-29,36,56.45
2008-03-07,36,53.00
2008-03-14,38,52.97
2008-03-21,36,
2008-03-28,39,56.90
2008-04-04,38,57.97
2008-04-11,38,55.61
2008-04-18,39,59.74
2008-04-25,39,58.16
2008-05-02,44,53.42
2008-05-09,44,53.58
2008-05-16,42,56.30
2008-05-23,40,53.61
2008-05-30,44,57.22
2008-06-06,43,53.82
2008-06-13,45,51.91
2008-06-20,45,47.48
2008-06-27,48,41.95
2008-07-04,52,
2008-07-11,54,41.54
2008-07-18,56,46.16
2008-07-25,55,46.01
2008-08-01,54,42.46
2008-08-08,55,42.50
2008-08-15,57,44.58
2008-08-22,56,42.21
2008-08-29,55,44.60
2008-09-05,55,42.90
2008-09-12,53,38.35
2008-09-19,54,29.04
2008-09-26,53,30.57
2008-10-03,61,25.51
2008-10-10,67,21.40
2008-10-17,65,21.62
2008-10-24,72,19.58
2008-10-31,77,22.88
2008-11-07,66,23.28
2008-11-14,60,20.16
2008-11-21,62,17.01
2008-11-28,62,20.22
2008-12-05,66,18.36
2008-12-12,64,22.14
2008-12-19,66,23.53
2008-12-26,69,25.44
2009-01-02,69,27.27
2009-01-09,75,24.38
2009-01-16,66,21.35
2009-01-23,63,21.16
2009-01-30,67,19.00
2009-02-06,70,18.50
2009-02-13,67,16.95
2009-02-20,70,15.02
2009-02-27,57,15.42
2009-03-06,77,10.13
2009-03-13,72,12.20
2009-03-20,76,12.20
2009-03-27,74,14.93
2009-04-03,76,16.94
2009-04-10,68,
2009-04-17,75,17.96
2009-04-24,67,19.49
2009-05-01,76,24.80
2009-05-08,81,25.90
2009-05-15,79,25.32
2009-05-22,85,26.28
2009-05-29,85,28.63
2009-06-05,84,29.63
2009-06-12,79,30.16
2009-06-19,84,28.12
2009-06-26,78,28.66
2009-07-03,90,
2009-07-10,88,26.26
2009-07-17,84,29.34
2009-07-24,98,31.31
2009-07-31,90,33.94
2009-08-07,95,33.99
2009-08-14,91,34.24
2009-08-21,89,34.95
2009-08-28,88,34.74
2009-09-04,89,35.06
2009-09-11,88,35.20
2009-09-18,91,37.32
2009-09-25,89,36.41
2009-10-02,89,35.61
2009-10-09,88,38.80
2009-10-16,80,38.00
2009-10-23,81,36.60
2009-10-30,79,31.88
2009-11-06,78,33.49
2009-11-13,77,33.48
2009-11-20,74,32.31
2009-11-27,76,31.87
2009-12-04,74,30.81
2009-12-11,72,32.61
2009-12-18,71,32.22
2009-12-25,70,
2010-01-01,71,
2010-01-08,73,34.48
2010-01-15,66,31.79
2010-01-22,66,29.50
2010-01-29,64,27.22
2010-02-05,66,26.84
2010-02-12,59,26.76
2010-02-19,51,28.32
2010-02-26,60,29.64
2010-03-05,66,31.03
2010-03-12,63,33.47
2010-03-19,64,34.03
2010-03-26,65,35.05
2010-04-02,68,
2010-04-09,75,37.63
2010-04-16,66,35.96
2010-04-23,62,37.09
2010-04-30,67,35.44
2010-05-07,71,30.45
2010-05-14,67,29.69
2010-05-21,65,29.00
2010-05-28,67,30.33
2010-06-04,70,28.99
2010-06-11,70,29.85
2010-06-18,68,30.22
2010-06-25,67,28.28
2010-07-02,72,27.02
2010-07-09,70,29.45
2010-07-16,70,28.67
2010-07-23,75,30.54
2010-07-30,70,27.65
2010-08-06,70,27.35
2010-08-13,71,25.28
2010-08-20,70,26.83
2010-08-27,68,26.18
2010-09-03,69,28.41
2010-09-10,68,28.43
2010-09-17,66,28.75
2010-09-24,69,27.49
2010-10-01,74,28.85
2010-10-08,78,26.80
2010-10-15,79,28.00
2010-10-22,84,28.96
2010-10-29,76,28.03
2010-11-05,79,28.47
2010-11-12,81,27.93
2010-11-19,70,27.38
2010-11-26,75,27.16
2010-12-03,79,28.91
2010-12-10,75,29.88
2010-12-17,73,29.97
2010-12-24,81,
2010-12-31,76,30.70
2011-01-07,80,31.30
2011-01-14,74,31.64
2011-01-21,74,31.81
2011-01-28,75,29.54
2011-02-04,79,29.77
2011-02-11,80,30.83
2011-02-18,74,31.65
2011-02-25,74,30.47
2011-03-04,75,30.15
2011-03-11,65,30.71
2011-03-18,78,29.56
2011-03-25,77,30.36
2011-04-01,85,30.48
2011-04-08,82,29.47
2011-04-15,78,30.00
2011-04-22,70,
2011-04-29,81,29.67
2011-05-06,86,31.79
2011-05-13,81,33.00
2011-05-20,76,31.83
2011-05-27,78,31.63
2011-06-03,82,30.52
2011-06-10,77,29.51
2011-06-17,73,25.58
2011-06-24,70,25.56
2011-07-01,79,26.18
2011-07-08,84,26.43
2011-07-15,79,25.65
2011-07-22,81,26.81
2011-07-29,82,23.17
2011-08-05,89,20.33
2011-08-12,85,18.07
2011-08-19,85,16.49
2011-08-26,81,17.37
2011-09-02,84,17.68
2011-09-09,80,16.64
2011-09-16,83,18.24
2011-09-23,81,15.90
2011-09-30,85,15.12
2011-10-07,100,15.92
2011-10-14,83,18.24
2011-10-21,85,19.26
2011-10-28,79,21.24
2011-11-04,81,20.95
2011-11-11,81,20.52
2011-11-18,73,19.14
2011-11-25,76,17.43
2011-12-02,80,19.66
2011-12-09,78,20.21
2011-12-16,72,18.29
2011-12-23,70,19.09
2011-12-30,75,19.38
2012-01-06,80,21.30
2012-01-13,71,21.99
2012-01-20,68,23.34
2012-01-27,67,24.67
2012-02-03,72,24.64
2012-02-10,72,24.28
2012-02-17,64,24.05
2012-02-24,55,24.50
2012-03-02,73,23.74
2012-03-09,77,24.10
2012-03-16,70,24.21
2012-03-23,66,23.35
2012-03-30,65,23.34
2012-04-06,71,
2012-04-13,72,23.70
2012-04-20,65,23.99
2012-04-27,66,23.45
2012-05-04,71,22.05
2012-05-11,70,21.73
2012-05-18,63,19.43
2012-05-25,64,19.61
2012-06-01,68,18.50
2012-06-08,69,19.38
2012-06-15,68,19.09
2012-06-22,64,18.70
2012-06-29,63,19.17
2012-07-06,69,19.15
2012-07-13,59,19.22
2012-07-20,61,19.64
2012-07-27,57,17.97
2012-08-03,64,18.11
2012-08-10,60,18.46
2012-08-17,57,18.78
2012-08-24,57,18.14
2012-08-31,56,17.48
2012-09-07,55,19.66
2012-09-14,51,19.97
2012-09-21,51,19.07
2012-09-28,50,18.76
2012-10-05,54,20.21
2012-10-12,48,19.70
2012-10-19,49,20.11
2012-10-26,48,19.56
2012-11-02,48,19.66
2012-11-09,54,19.19
2012-11-16,46,18.79
2012-11-23,47,19.79
2012-11-30,47,20.03
2012-12-07,49,19.81
2012-12-14,46,20.08
2012-12-21,45,20.92
2012-12-28,43,20.77
2013-01-04,46,22.54
2013-01-11,49,22.10
2013-01-18,44,22.87
2013-01-25,45,22.96
2013-02-01,45,24.47
2013-02-08,47,24.98
2013-02-15,38,26.21
2013-02-22,42,25.89
2013-03-01,45,25.31
2013-03-08,48,26.49
2013-03-15,46,26.94
2013-03-22,42,26.56
2013-03-29,42,
2013-04-05,51,24.74
2013-04-12,47,26.24
2013-04-19,44,24.88
2013-04-26,43,25.35
2013-05-03,46,27.45
2013-05-10,48,28.24
2013-05-17,46,28.75
2013-05-24,44,27.55
2013-05-31,42,27.45
2013-06-07,48,27.75
2013-06-14,46,27.77
2013-06-21,42,27.36
2013-06-28,42,27.79
2013-07-05,50,28.33
2013-07-12,49,29.33
2013-07-19,45,29.31
2013-07-26,44,28.95
2013-08-02,47,30.40
2013-08-09,49,30.57
2013-08-16,44,30.27
2013-08-23,43,29.78
2013-08-30,41,28.39
2013-09-06,48,29.75
2013-09-13,44,29.99
2013-09-20,41,30.51
2013-09-27,40,30.32
2013-10-04,46,29.81
2013-10-11,45,29.87
2013-10-18,43,30.53
2013-10-25,41,30.35
2013-11-01,44,31.77
2013-11-08,45,31.92
2013-11-15,39,33.41
2013-11-22,40,32.99
2013-11-29,42,33.00
2013-12-06,43,33.62
2013-12-13,42,33.95
2013-12-20,40,34.66
2013-12-27,38,35.39
2014-01-03,38,34.86
2014-01-10,44,35.02
2014-01-17,39,33.85
2014-01-24,38,32.03
2014-01-31,39,32.04
2014-02-07,41,32.23
2014-02-14,42,34.08
2014-02-21,40,33.94
2014-02-28,38,33.92
2014-03-07,39,33.62
2014-03-14,46,32.29
2014-03-21,40,32.74
2014-03-28,41,32.90
2014-04-04,43,33.76
2014-04-11,42,32.24
2014-04-18,39,
2014-04-25,37,31.90
2014-05-02,38,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
