Date,ADM,Price
2007-12-28,56,47.09
2008-01-04,59,45.85
2008-01-11,83,43.64
2008-01-18,72,40.90
2008-01-25,72,42.11
2008-02-01,78,45.50
2008-02-08,75,41.41
2008-02-15,83,44.13
2008-02-22,80,44.58
2008-02-29,84,45.10
2008-03-07,86,45.01
2008-03-14,87,43.85
2008-03-21,75,
2008-03-28,80,42.28
2008-04-04,83,42.53
2008-04-11,82,43.03
2008-04-18,83,46.47
2008-04-25,80,47.31
2008-05-02,80,43.94
2008-05-09,79,42.68
2008-05-16,75,43.35
2008-05-23,75,43.17
2008-05-30,81,39.70
2008-06-06,78,37.20
2008-06-13,75,32.61
2008-06-20,77,32.67
2008-06-27,73,32.92
2008-07-04,73,
2008-07-11,77,30.29
2008-07-18,74,29.92
2008-07-25,71,29.66
2008-08-01,75,28.16
2008-08-08,75,26.49
2008-08-15,77,26.20
2008-08-22,74,26.21
2008-08-29,79,25.46
2008-09-05,78,23.41
2008-09-12,72,23.98
2008-09-19,80,23.68
2008-09-26,81,22.88
2008-10-03,77,18.52
2008-10-10,71,15.45
2008-10-17,74,18.32
2008-10-24,73,17.53
2008-10-31,80,20.73
2008-11-07,77,22.58
2008-11-14,77,25.92
2008-11-21,76,24.83
2008-11-28,72,27.38
2008-12-05,70,25.83
2008-12-12,81,26.60
2008-12-19,71,28.04
2008-12-26,62,28.35
2009-01-02,56,29.19
2009-01-09,81,27.96
2009-01-16,80,25.62
2009-01-23,77,26.93
2009-01-30,81,27.38
2009-02-06,83,27.61
2009-02-13,78,28.56
2009-02-20,77,27.68
2009-02-27,77,26.66
2009-03-06,83,25.96
2009-03-13,86,27.81
2009-03-20,88,27.44
2009-03-27,85,28.53
2009-04-03,84,28.90
2009-04-10,81,
2009-04-17,81,26.18
2009-04-24,81,23.77
2009-05-01,77,25.51
2009-05-08,84,26.97
2009-05-15,79,25.17
2009-05-22,81,27.17
2009-05-29,71,27.52
2009-06-05,77,27.91
2009-06-12,70,28.71
2009-06-19,74,27.28
2009-06-26,70,26.69
2009-07-03,73,
2009-07-10,71,26.66
2009-07-17,73,28.63
2009-07-24,77,30.39
2009-07-31,76,30.12
2009-08-07,72,28.70
2009-08-14,75,27.87
2009-08-21,81,28.67
2009-08-28,79,28.62
2009-09-04,82,28.91
2009-09-11,76,29.02
2009-09-18,82,29.12
2009-09-25,89,27.31
2009-10-02,82,28.43
2009-10-09,79,29.74
2009-10-16,79,29.99
2009-10-23,76,30.66
2009-10-30,77,30.12
2009-11-06,76,32.39
2009-11-13,70,32.51
2009-11-20,74,31.62
2009-11-27,70,30.65
2009-12-04,75,31.59
2009-12-11,71,30.49
2009-12-18,66,30.55
2009-12-25,53,
2010-01-01,51,
2010-01-08,69,30.84
2010-01-15,71,30.54
2010-01-22,70,30.47
2010-01-29,75,29.97
2010-02-05,74,30.61
2010-02-12,73,29.77
2010-02-19,69,29.95
2010-02-26,75,29.36
2010-03-05,84,30.62
2010-03-12,80,28.66
2010-03-19,77,29.09
2010-03-26,79,28.42
2010-04-02,74,
2010-04-09,80,28.26
2010-04-16,79,28.25
2010-04-23,77,28.50
2010-04-30,77,27.94
2010-05-07,74,25.94
2010-05-14,72,26.77
2010-05-21,78,25.41
2010-05-28,77,25.27
2010-06-04,73,24.83
2010-06-11,78,25.64
2010-06-18,75,27.19
2010-06-25,70,26.34
2010-07-02,72,25.50
2010-07-09,68,26.72
2010-07-16,69,26.74
2010-07-23,73,27.63
2010-07-30,76,27.36
2010-08-06,75,30.18
2010-08-13,74,30.05
2010-08-20,75,30.52
2010-08-27,80,30.53
2010-09-03,73,32.00
2010-09-10,70,32.72
2010-09-17,74,32.38
2010-09-24,76,32.27
2010-10-01,76,31.92
2010-10-08,72,32.86
2010-10-15,72,33.27
2010-10-22,74,33.54
2010-10-29,73,33.32
2010-11-05,70,31.35
2010-11-12,73,30.23
2010-11-19,70,29.66
2010-11-26,71,29.21
2010-12-03,73,30.39
2010-12-10,73,31.07
2010-12-17,65,30.03
2010-12-24,61,
2010-12-31,58,30.08
2011-01-07,71,31.95
2011-01-14,71,33.51
2011-01-21,76,33.45
2011-01-28,77,32.76
2011-02-04,74,36.09
2011-02-11,77,36.22
2011-02-18,77,37.65
2011-02-25,76,36.88
2011-03-04,74,36.95
2011-03-11,70,36.09
2011-03-18,74,34.96
2011-03-25,78,35.30
2011-04-01,80,36.48
2011-04-08,77,35.27
2011-04-15,76,34.83
2011-04-22,68,
2011-04-29,74,37.02
2011-05-06,77,33.97
2011-05-13,73,32.20
2011-05-20,72,31.26
2011-05-27,74,32.21
2011-06-03,74,30.39
2011-06-10,73,29.54
2011-06-17,74,30.17
2011-06-24,69,29.30
2011-07-01,71,30.83
2011-07-08,68,31.04
2011-07-15,71,30.30
2011-07-22,64,32.12
2011-07-29,69,30.38
2011-08-05,68,28.64
2011-08-12,70,27.28
2011-08-19,72,27.52
2011-08-26,71,27.80
2011-09-02,69,27.43
2011-09-09,70,27.11
2011-09-16,68,28.62
2011-09-23,72,25.19
2011-09-30,68,24.81
2011-10-07,71,25.45
2011-10-14,66,27.75
2011-10-21,66,28.59
2011-10-28,65,30.34
2011-11-04,62,29.05
2011-11-11,68,29.69
2011-11-18,64,28.90
2011-11-25,65,27.90
2011-12-02,67,29.99
2011-12-09,67,29.12
2011-12-16,62,27.70
2011-12-23,55,29.06
2011-12-30,50,28.60
2012-01-06,58,29.07
2012-01-13,65,29.17
2012-01-20,66,30.04
2012-01-27,66,29.82
2012-02-03,68,29.55
2012-02-10,69,30.57
2012-02-17,66,31.35
2012-02-24,62,31.96
2012-03-02,69,31.64
2012-03-09,67,31.13
2012-03-16,65,31.80
2012-03-23,66,31.86
2012-03-30,65,31.66
2012-04-06,63,
2012-04-13,65,30.75
2012-04-20,67,30.71
2012-04-27,65,31.08
2012-05-04,60,32.25
2012-05-11,65,32.85
2012-05-18,63,31.82
2012-05-25,67,32.25
2012-06-01,61,30.92
2012-06-08,61,31.85
2012-06-15,60,31.45
2012-06-22,61,29.28
2012-06-29,61,29.52
2012-07-06,59,28.39
2012-07-13,61,27.39
2012-07-20,58,27.00
2012-07-27,59,27.54
2012-08-03,63,25.54
2012-08-10,61,25.94
2012-08-17,63,26.17
2012-08-24,68,26.38
2012-08-31,65,26.75
2012-09-07,60,27.29
2012-09-14,67,27.19
2012-09-21,67,27.03
2012-09-28,65,27.18
2012-10-05,63,28.21
2012-10-12,60,28.05
2012-10-19,62,28.52
2012-10-26,64,27.05
2012-11-02,61,26.85
2012-11-09,60,25.39
2012-11-16,59,24.96
2012-11-23,57,26.74
2012-11-30,61,26.70
2012-12-07,60,27.18
2012-12-14,60,27.09
2012-12-21,57,27.78
2012-12-28,47,27.06
2013-01-04,49,29.22
2013-01-11,63,28.34
2013-01-18,60,28.64
2013-01-25,60,28.97
2013-02-01,64,28.67
2013-02-08,61,30.22
2013-02-15,57,32.57
2013-02-22,63,32.10
2013-03-01,65,31.97
2013-03-08,64,32.54
2013-03-15,60,33.00
2013-03-22,63,32.78
2013-03-29,58,
2013-04-05,60,33.17
2013-04-12,62,32.64
2013-04-19,62,32.18
2013-04-26,61,33.47
2013-05-03,58,34.20
2013-05-10,60,34.06
2013-05-17,59,35.00
2013-05-24,59,33.88
2013-05-31,56,32.23
2013-06-07,60,32.91
2013-06-14,61,33.08
2013-06-21,59,33.09
2013-06-28,59,33.91
2013-07-05,57,34.88
2013-07-12,57,36.31
2013-07-19,60,36.68
2013-07-26,55,36.67
2013-08-02,55,37.57
2013-08-09,58,38.38
2013-08-16,57,37.25
2013-08-23,59,36.28
2013-08-30,61,35.21
2013-09-06,59,35.79
2013-09-13,56,36.22
2013-09-20,60,37.24
2013-09-27,64,37.12
2013-10-04,63,36.70
2013-10-11,65,36.59
2013-10-18,60,38.02
2013-10-25,60,39.93
2013-11-01,58,40.90
2013-11-08,58,41.44
2013-11-15,55,40.56
2013-11-22,59,41.86
2013-11-29,61,40.25
2013-12-06,56,41.94
2013-12-13,57,40.34
2013-12-20,57,43.36
2013-12-27,44,43.76
2014-01-03,45,43.19
2014-01-10,57,41.98
2014-01-17,60,41.01
2014-01-24,58,39.57
2014-01-31,60,39.48
2014-02-07,61,39.89
2014-02-14,61,40.78
2014-02-21,63,39.99
2014-02-28,62,40.60
2014-03-07,59,41.33
2014-03-14,58,42.51
2014-03-21,62,42.67
2014-03-28,61,43.21
2014-04-04,63,43.05
2014-04-11,61,44.41
2014-04-18,58,
2014-04-25,57,44.42
2014-05-02,56,
