Date,HES,Price
2005-09-23,30,134.11
2005-09-30,29,137.50
2005-10-07,33,119.96
2005-10-14,28,118.01
2005-10-21,29,116.29
2005-10-28,28,122.91
2005-11-04,32,128.80
2005-11-11,32,124.89
2005-11-18,33,128.64
2005-11-25,31,131.23
2005-12-02,29,125.50
2005-12-09,28,123.16
2005-12-16,33,126.65
2005-12-23,33,128.06
2005-12-30,27,126.82
2006-01-06,26,137.00
2006-01-13,28,142.25
2006-01-20,28,144.97
2006-01-27,32,150.05
2006-02-03,32,144.75
2006-02-10,31,138.26
2006-02-17,29,139.92
2006-02-24,31,141.19
2006-03-03,29,143.86
2006-03-10,31,138.68
2006-03-17,28,143.69
2006-03-24,30,140.65
2006-03-31,30,142.40
2006-04-07,31,145.84
2006-04-14,26,
2006-04-21,29,154.45
2006-04-28,30,143.27
2006-05-05,26,145.74
2006-05-12,31,145.03
2006-05-19,31,141.80
2006-05-26,28,146.70
2006-06-02,33,50.76
2006-06-09,30,45.58
2006-06-16,27,46.40
2006-06-23,30,46.12
2006-06-30,27,52.85
2006-07-07,27,53.35
2006-07-14,29,56.02
2006-07-21,30,50.68
2006-07-28,30,51.43
2006-08-04,29,52.00
2006-08-11,28,51.94
2006-08-18,31,48.75
2006-08-25,31,49.67
2006-09-01,32,46.07
2006-09-08,29,43.78
2006-09-15,32,40.15
2006-09-22,35,40.57
2006-09-29,30,41.42
2006-10-06,33,39.12
2006-10-13,29,41.43
2006-10-20,33,42.58
2006-10-27,28,43.31
2006-11-03,31,43.85
2006-11-10,28,45.00
2006-11-17,27,46.04
2006-11-24,31,45.32
2006-12-01,31,50.30
2006-12-08,29,51.91
2006-12-15,32,52.25
2006-12-22,31,50.30
2006-12-29,27,49.57
2007-01-05,27,47.95
2007-01-12,26,49.02
2007-01-19,28,50.52
2007-01-26,30,51.94
2007-02-02,32,54.57
2007-02-09,30,54.94
2007-02-16,29,54.27
2007-02-23,32,55.58
2007-03-02,31,51.42
2007-03-09,31,52.80
2007-03-16,31,50.45
2007-03-23,32,55.98
2007-03-30,31,55.47
2007-04-06,27,
2007-04-13,31,57.87
2007-04-20,32,57.56
2007-04-27,29,57.02
2007-05-04,30,58.18
2007-05-11,30,58.48
2007-05-18,28,59.68
2007-05-25,31,60.28
2007-06-01,29,60.26
2007-06-08,29,59.07
2007-06-15,31,61.00
2007-06-22,33,59.72
2007-06-29,31,58.96
2007-07-06,31,60.95
2007-07-13,31,66.12
2007-07-20,32,65.34
2007-07-27,30,60.69
2007-08-03,27,56.59
2007-08-10,30,59.24
2007-08-17,30,57.30
2007-08-24,33,59.09
2007-08-31,33,61.37
2007-09-07,36,61.65
2007-09-14,31,63.34
2007-09-21,31,67.85
2007-09-28,34,66.53
2007-10-05,30,66.07
2007-10-12,29,67.62
2007-10-19,30,67.69
2007-10-26,31,70.96
2007-11-02,32,70.58
2007-11-09,33,71.69
2007-11-16,30,67.94
2007-11-23,32,70.26
2007-11-30,38,71.22
2007-12-07,35,78.63
2007-12-14,32,84.98
2007-12-21,33,98.00
2007-12-28,30,101.98
2008-01-04,32,93.35
2008-01-11,35,91.74
2008-01-18,36,85.48
2008-01-25,34,89.32
2008-02-01,35,92.07
2008-02-08,34,88.96
2008-02-15,35,90.65
2008-02-22,33,93.66
2008-02-29,37,93.18
2008-03-07,34,91.69
2008-03-14,31,99.04
2008-03-21,34,
2008-03-28,34,88.37
2008-04-04,31,94.92
2008-04-11,34,92.76
2008-04-18,32,105.25
2008-04-25,34,109.98
2008-05-02,33,106.34
2008-05-09,35,115.74
2008-05-16,34,128.03
2008-05-23,35,125.09
2008-05-30,32,122.81
2008-06-06,35,123.92
2008-06-13,36,125.58
2008-06-20,36,122.55
2008-06-27,35,127.06
2008-07-04,35,
2008-07-11,34,111.76
2008-07-18,35,97.85
2008-07-25,34,93.87
2008-08-01,34,101.13
2008-08-08,32,95.87
2008-08-15,35,95.32
2008-08-22,35,106.27
2008-08-29,36,104.71
2008-09-05,33,91.44
2008-09-12,34,92.28
2008-09-19,34,94.78
2008-09-26,34,89.53
2008-10-03,34,72.00
2008-10-10,33,52.92
2008-10-17,35,50.58
2008-10-24,33,49.94
2008-10-31,32,60.21
2008-11-07,39,61.23
2008-11-14,36,55.53
2008-11-21,34,44.87
2008-11-28,34,54.04
2008-12-05,34,38.49
2008-12-12,34,47.70
2008-12-19,35,47.34
2008-12-26,36,49.05
2009-01-02,33,57.25
2009-01-09,36,55.51
2009-01-16,42,52.98
2009-01-23,47,57.54
2009-01-30,55,55.61
2009-02-06,86,60.45
2009-02-13,100,58.41
2009-02-20,84,51.59
2009-02-27,59,54.69
2009-03-06,52,54.74
2009-03-13,48,58.65
2009-03-20,49,61.80
2009-03-27,50,58.23
2009-04-03,43,59.76
2009-04-10,43,
2009-04-17,43,55.09
2009-04-24,45,56.17
2009-05-01,44,56.19
2009-05-08,45,63.36
2009-05-15,44,58.18
2009-05-22,53,60.02
2009-05-29,50,66.59
2009-06-05,57,59.17
2009-06-12,56,59.58
2009-06-19,53,53.21
2009-06-26,55,54.28
2009-07-03,48,
2009-07-10,46,47.50
2009-07-17,43,50.28
2009-07-24,41,53.63
2009-07-31,40,55.20
2009-08-07,38,54.73
2009-08-14,39,51.15
2009-08-21,40,52.93
2009-08-28,38,51.80
2009-09-04,36,51.44
2009-09-11,36,53.09
2009-09-18,39,55.81
2009-09-25,39,53.08
2009-10-02,38,51.79
2009-10-09,39,57.41
2009-10-16,34,60.66
2009-10-23,38,58.95
2009-10-30,35,54.74
2009-11-06,35,56.98
2009-11-13,37,56.38
2009-11-20,38,58.84
2009-11-27,41,57.80
2009-12-04,36,57.10
2009-12-11,35,55.63
2009-12-18,36,57.61
2009-12-25,42,
2010-01-01,39,
2010-01-08,39,65.83
2010-01-15,40,62.43
2010-01-22,37,58.69
2010-01-29,36,57.79
2010-02-05,38,57.98
2010-02-12,36,58.42
2010-02-19,38,60.84
2010-02-26,36,58.80
2010-03-05,36,61.54
2010-03-12,34,61.26
2010-03-19,37,61.19
2010-03-26,36,59.67
2010-04-02,37,
2010-04-09,36,64.75
2010-04-16,36,63.65
2010-04-23,38,65.53
2010-04-30,36,63.55
2010-05-07,36,56.74
2010-05-14,38,56.06
2010-05-21,33,52.91
2010-05-28,36,53.20
2010-06-04,35,50.50
2010-06-11,35,53.45
2010-06-18,33,56.18
2010-06-25,35,53.80
2010-07-02,35,50.08
2010-07-09,35,53.23
2010-07-16,37,51.49
2010-07-23,37,52.70
2010-07-30,36,53.59
2010-08-06,39,55.59
2010-08-13,40,52.77
2010-08-20,42,51.24
2010-08-27,42,51.46
2010-09-03,44,55.29
2010-09-10,42,54.42
2010-09-17,45,54.97
2010-09-24,43,57.81
2010-10-01,41,60.92
2010-10-08,40,62.53
2010-10-15,40,63.83
2010-10-22,41,63.25
2010-10-29,41,63.03
2010-11-05,41,69.98
2010-11-12,39,70.06
2010-11-19,40,70.40
2010-11-26,40,69.78
2010-12-03,38,74.30
2010-12-10,41,74.52
2010-12-17,40,75.44
2010-12-24,38,
2010-12-31,39,76.54
2011-01-07,44,79.17
2011-01-14,40,82.13
2011-01-21,41,78.65
2011-01-28,41,81.51
2011-02-04,41,82.34
2011-02-11,42,80.60
2011-02-18,41,85.00
2011-02-25,44,84.80
2011-03-04,42,84.24
2011-03-11,41,80.18
2011-03-18,41,79.59
2011-03-25,42,84.36
2011-04-01,43,86.74
2011-04-08,42,84.24
2011-04-15,43,78.88
2011-04-22,41,
2011-04-29,41,85.96
2011-05-06,45,77.47
2011-05-13,46,75.78
2011-05-20,42,77.92
2011-05-27,46,78.60
2011-06-03,44,76.97
2011-06-10,44,72.85
2011-06-17,42,69.28
2011-06-24,41,69.04
2011-07-01,42,75.42
2011-07-08,39,74.68
2011-07-15,42,72.93
2011-07-22,42,74.37
2011-07-29,39,68.56
2011-08-05,43,59.86
2011-08-12,42,57.04
2011-08-19,45,54.29
2011-08-26,42,55.70
2011-09-02,39,58.01
2011-09-09,40,57.74
2011-09-16,45,61.61
2011-09-23,50,51.48
2011-09-30,48,52.46
2011-10-07,47,53.20
2011-10-14,43,57.47
2011-10-21,45,59.80
2011-10-28,46,65.66
2011-11-04,45,63.44
2011-11-11,46,65.09
2011-11-18,45,59.73
2011-11-25,47,54.33
2011-12-02,47,59.65
2011-12-09,49,58.47
2011-12-16,50,54.31
2011-12-23,49,56.96
2011-12-30,51,56.80
2012-01-06,51,56.42
2012-01-13,53,56.55
2012-01-20,50,61.27
2012-01-27,44,55.26
2012-02-03,44,60.38
2012-02-10,44,61.82
2012-02-17,45,65.15
2012-02-24,44,67.00
2012-03-02,42,65.43
2012-03-09,43,63.04
2012-03-16,45,62.55
2012-03-23,41,59.86
2012-03-30,43,58.95
2012-04-06,45,
2012-04-13,45,55.28
2012-04-20,43,55.07
2012-04-27,44,51.54
2012-05-04,43,50.94
2012-05-11,45,47.95
2012-05-18,45,44.60
2012-05-25,43,46.69
2012-06-01,42,42.65
2012-06-08,44,44.72
2012-06-15,42,44.80
2012-06-22,42,41.00
2012-06-29,42,43.45
2012-07-06,42,43.32
2012-07-13,45,43.29
2012-07-20,44,45.40
2012-07-27,44,48.36
2012-08-03,42,47.71
2012-08-10,43,49.68
2012-08-17,44,49.31
2012-08-24,42,50.19
2012-08-31,41,50.53
2012-09-07,43,52.90
2012-09-14,43,56.06
2012-09-21,44,55.64
2012-09-28,42,53.72
2012-10-05,44,53.56
2012-10-12,41,53.28
2012-10-19,42,54.28
2012-10-26,42,53.24
2012-11-02,43,53.39
2012-11-09,44,50.73
2012-11-16,43,48.91
2012-11-23,42,51.12
2012-11-30,41,49.61
2012-12-07,44,49.69
2012-12-14,43,51.38
2012-12-21,42,53.39
2012-12-28,45,51.28
2013-01-04,45,55.02
2013-01-11,44,56.25
2013-01-18,44,57.66
2013-01-25,45,58.90
2013-02-01,44,68.21
2013-02-08,43,67.37
2013-02-15,44,67.42
2013-02-22,42,66.03
2013-03-01,42,66.54
2013-03-08,42,69.47
2013-03-15,45,72.51
2013-03-22,43,70.27
2013-03-29,44,
2013-04-05,42,71.69
2013-04-12,42,71.39
2013-04-19,43,66.78
2013-04-26,42,70.99
2013-05-03,45,73.00
2013-05-10,42,69.30
2013-05-17,42,69.68
2013-05-24,43,67.48
2013-05-31,43,67.41
2013-06-07,43,69.18
2013-06-14,42,65.97
2013-06-21,41,64.02
2013-06-28,43,66.49
2013-07-05,41,68.13
2013-07-12,43,71.17
2013-07-19,45,73.94
2013-07-26,43,73.20
2013-08-02,42,75.31
2013-08-09,40,74.89
2013-08-16,45,75.07
2013-08-23,43,75.66
2013-08-30,42,74.85
2013-09-06,42,77.30
2013-09-13,41,77.72
2013-09-20,42,78.63
2013-09-27,43,78.33
2013-10-04,41,80.14
2013-10-11,43,81.10
2013-10-18,41,84.06
2013-10-25,41,83.20
2013-11-01,42,80.93
2013-11-08,44,80.30
2013-11-15,45,82.86
2013-11-22,43,83.33
2013-11-29,43,81.13
2013-12-06,42,80.86
2013-12-13,44,78.95
2013-12-20,42,80.17
2013-12-27,42,83.07
2014-01-03,45,80.28
2014-01-10,46,80.90
2014-01-17,44,77.13
2014-01-24,44,76.25
2014-01-31,44,75.49
2014-02-07,45,77.18
2014-02-14,46,79.50
2014-02-21,49,81.17
2014-02-28,45,80.03
2014-03-07,43,81.87
2014-03-14,43,80.28
2014-03-21,43,81.96
2014-03-28,45,83.22
2014-04-04,45,85.34
2014-04-11,45,83.58
2014-04-18,48,
2014-04-25,47,87.43
2014-05-02,49,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
