Date,sell A,Price
2007-10-12,53,37.61
2007-10-19,53,37.30
2007-10-26,46,36.03
2007-11-02,49,36.02
2007-11-09,47,33.39
2007-11-16,46,36.72
2007-11-23,49,36.91
2007-11-30,54,37.83
2007-12-07,52,38.01
2007-12-14,45,36.31
2007-12-21,43,37.19
2007-12-28,43,37.49
2008-01-04,53,34.77
2008-01-11,56,36.00
2008-01-18,53,33.66
2008-01-25,53,33.19
2008-02-01,53,34.46
2008-02-08,54,32.00
2008-02-15,54,30.65
2008-02-22,51,31.41
2008-02-29,51,30.61
2008-03-07,52,30.07
2008-03-14,54,29.64
2008-03-21,55,
2008-03-28,55,29.58
2008-04-04,58,31.71
2008-04-11,54,30.13
2008-04-18,58,30.97
2008-04-25,56,31.53
2008-05-02,57,32.07
2008-05-09,55,31.90
2008-05-16,54,35.09
2008-05-23,56,35.93
2008-05-30,54,37.39
2008-06-06,55,36.51
2008-06-13,55,37.31
2008-06-20,57,37.57
2008-06-27,58,35.59
2008-07-04,60,
2008-07-11,64,35.69
2008-07-18,62,35.57
2008-07-25,65,36.21
2008-08-01,62,35.86
2008-08-08,60,37.00
2008-08-15,62,36.37
2008-08-22,58,35.38
2008-08-29,55,34.76
2008-09-05,54,32.79
2008-09-12,61,32.05
2008-09-19,58,32.91
2008-09-26,55,30.93
2008-10-03,59,28.28
2008-10-10,55,22.48
2008-10-17,54,22.61
2008-10-24,56,19.75
2008-10-31,54,22.19
2008-11-07,54,21.84
2008-11-14,57,20.75
2008-11-21,55,17.29
2008-11-28,50,18.83
2008-12-05,54,17.26
2008-12-12,55,17.39
2008-12-19,52,16.28
2008-12-26,45,15.45
2009-01-02,56,16.24
2009-01-09,61,18.52
2009-01-16,58,19.51
2009-01-23,59,18.64
2009-01-30,62,18.08
2009-02-06,59,19.30
2009-02-13,59,18.47
2009-02-20,59,15.18
2009-02-27,63,13.87
2009-03-06,62,12.65
2009-03-13,63,13.99
2009-03-20,60,14.43
2009-03-27,61,16.21
2009-04-03,65,16.46
2009-04-10,63,
2009-04-17,65,17.01
2009-04-24,62,16.90
2009-05-01,61,18.81
2009-05-08,64,19.34
2009-05-15,61,17.65
2009-05-22,61,17.69
2009-05-29,62,18.23
2009-06-05,65,19.90
2009-06-12,65,19.36
2009-06-19,65,18.89
2009-06-26,63,20.38
2009-07-03,63,
2009-07-10,70,18.96
2009-07-17,73,20.96
2009-07-24,75,22.27
2009-07-31,76,23.22
2009-08-07,74,23.73
2009-08-14,76,24.04
2009-08-21,77,25.55
2009-08-28,65,25.83
2009-09-04,68,25.86
2009-09-11,69,28.05
2009-09-18,67,28.37
2009-09-25,74,27.58
2009-10-02,66,26.31
2009-10-09,68,27.47
2009-10-16,70,27.21
2009-10-23,68,26.20
2009-10-30,67,24.74
2009-11-06,69,26.17
2009-11-13,72,28.61
2009-11-20,69,28.91
2009-11-27,62,28.85
2009-12-04,67,29.86
2009-12-11,63,29.64
2009-12-18,60,29.40
2009-12-25,53,
2010-01-01,66,
2010-01-08,69,30.80
2010-01-15,68,30.43
2010-01-22,70,29.17
2010-01-29,73,28.03
2010-02-05,69,29.17
2010-02-12,68,29.98
2010-02-19,70,31.20
2010-02-26,71,31.46
2010-03-05,73,33.16
2010-03-12,77,33.42
2010-03-19,67,33.42
2010-03-26,75,34.31
2010-04-02,72,
2010-04-09,72,34.23
2010-04-16,73,35.27
2010-04-23,73,36.64
2010-04-30,73,36.26
2010-05-07,72,31.87
2010-05-14,71,33.86
2010-05-21,74,31.34
2010-05-28,75,32.36
2010-06-04,71,30.34
2010-06-11,77,30.73
2010-06-18,76,32.61
2010-06-25,73,30.69
2010-07-02,78,27.79
2010-07-09,79,28.65
2010-07-16,82,27.03
2010-07-23,86,29.30
2010-07-30,88,27.93
2010-08-06,85,28.73
2010-08-13,81,27.35
2010-08-20,83,28.56
2010-08-27,78,27.96
2010-09-03,72,29.85
2010-09-10,79,28.91
2010-09-17,75,30.55
2010-09-24,77,32.09
2010-10-01,75,33.73
2010-10-08,73,33.80
2010-10-15,72,34.48
2010-10-22,74,34.75
2010-10-29,73,34.80
2010-11-05,74,36.38
2010-11-12,74,36.36
2010-11-19,74,36.46
2010-11-26,67,36.35
2010-12-03,70,37.48
2010-12-10,73,38.54
2010-12-17,72,40.54
2010-12-24,66,
2010-12-31,70,41.43
2011-01-07,77,41.62
2011-01-14,81,43.26
2011-01-21,79,42.11
2011-01-28,82,40.98
2011-02-04,76,42.99
2011-02-11,82,45.02
2011-02-18,81,43.92
2011-02-25,77,42.36
2011-03-04,80,46.75
2011-03-11,74,45.34
2011-03-18,74,42.94
2011-03-25,81,44.04
2011-04-01,85,45.14
2011-04-08,80,44.89
2011-04-15,83,47.50
2011-04-22,84,
2011-04-29,83,49.91
2011-05-06,82,49.73
2011-05-13,83,52.58
2011-05-20,82,50.70
2011-05-27,81,49.60
2011-06-03,89,47.43
2011-06-10,83,48.19
2011-06-17,85,47.43
2011-06-24,83,48.49
2011-07-01,85,52.00
2011-07-08,83,50.23
2011-07-15,87,47.08
2011-07-22,90,46.89
2011-07-29,87,42.16
2011-08-05,88,36.59
2011-08-12,86,36.21
2011-08-19,86,31.08
2011-08-26,84,34.87
2011-09-02,77,34.40
2011-09-09,80,33.36
2011-09-16,77,36.36
2011-09-23,78,31.68
2011-09-30,79,31.25
2011-10-07,80,31.37
2011-10-14,79,33.34
2011-10-21,80,35.27
2011-10-28,80,40.89
2011-11-04,79,36.91
2011-11-11,83,37.46
2011-11-18,80,36.81
2011-11-25,78,33.83
2011-12-02,82,36.76
2011-12-09,79,35.33
2011-12-16,80,33.46
2011-12-23,73,35.36
2011-12-30,78,34.93
2012-01-06,87,37.40
2012-01-13,84,39.06
2012-01-20,84,41.00
2012-01-27,89,42.68
2012-02-03,86,45.28
2012-02-10,85,44.14
2012-02-17,83,43.14
2012-02-24,89,43.02
2012-03-02,85,43.72
2012-03-09,87,44.55
2012-03-16,85,45.62
2012-03-23,84,44.30
2012-03-30,82,44.51
2012-04-06,84,
2012-04-13,86,42.24
2012-04-20,87,42.10
2012-04-27,91,42.56
2012-05-04,90,41.01
2012-05-11,85,39.45
2012-05-18,89,38.73
2012-05-25,88,41.01
2012-06-01,87,38.22
2012-06-08,88,39.60
2012-06-15,87,40.01
2012-06-22,90,39.03
2012-06-29,91,39.24
2012-07-06,89,37.97
2012-07-13,98,37.04
2012-07-20,93,37.56
2012-07-27,97,37.94
2012-08-03,95,39.11
2012-08-10,95,40.53
2012-08-17,97,37.22
2012-08-24,96,37.85
2012-08-31,93,37.16
2012-09-07,92,38.42
2012-09-14,92,39.73
2012-09-21,96,39.00
2012-09-28,88,38.45
2012-10-05,91,38.86
2012-10-12,88,37.22
2012-10-19,88,35.75
2012-10-26,89,35.94
2012-11-02,82,37.00
2012-11-09,87,36.91
2012-11-16,85,35.81
2012-11-23,83,36.88
2012-11-30,88,38.29
2012-12-07,85,37.81
2012-12-14,85,39.85
2012-12-21,78,41.05
2012-12-28,75,39.83
2013-01-04,88,42.86
2013-01-11,91,43.43
2013-01-18,88,44.15
2013-01-25,90,45.29
2013-02-01,91,45.29
2013-02-08,89,45.08
2013-02-15,88,42.25
2013-02-22,88,41.80
2013-03-01,91,41.93
2013-03-08,90,43.03
2013-03-15,88,43.01
2013-03-22,90,41.25
2013-03-29,92,
2013-04-05,89,41.54
2013-04-12,95,44.75
2013-04-19,89,42.00
2013-04-26,92,41.30
2013-05-03,92,41.55
2013-05-10,94,43.63
2013-05-17,91,45.56
2013-05-24,90,45.59
2013-05-31,89,45.45
2013-06-07,88,45.15
2013-06-14,93,44.00
2013-06-21,88,42.98
2013-06-28,89,42.76
2013-07-05,91,44.23
2013-07-12,95,45.75
2013-07-19,98,46.20
2013-07-26,96,45.60
2013-08-02,96,46.38
2013-08-09,97,46.22
2013-08-16,100,46.79
2013-08-23,94,47.68
2013-08-30,94,46.64
2013-09-06,92,47.43
2013-09-13,92,48.46
2013-09-20,92,52.15
2013-09-27,93,51.63
2013-10-04,91,51.78
2013-10-11,99,51.46
2013-10-18,96,52.99
2013-10-25,91,51.87
2013-11-01,94,51.10
2013-11-08,93,50.78
2013-11-15,94,54.93
2013-11-22,93,53.85
2013-11-29,83,53.57
2013-12-06,88,54.83
2013-12-13,88,55.16
2013-12-20,85,56.96
2013-12-27,79,57.17
2014-01-03,92,56.92
2014-01-10,93,58.93
2014-01-17,96,60.71
2014-01-24,95,57.87
2014-01-31,96,58.15
2014-02-07,92,59.42
2014-02-14,96,55.25
2014-02-21,98,56.34
2014-02-28,100,56.93
2014-03-07,94,58.42
2014-03-14,94,55.44
2014-03-21,95,56.09
2014-03-28,93,54.69
2014-04-04,93,55.57
2014-04-11,93,52.77
2014-04-18,95,
2014-04-25,98,54.39
2014-05-02,99,
