Date,CME,Price
2007-07-27,82,556.50
2007-08-03,90,557.90
2007-08-10,83,594.25
2007-08-17,86,543.85
2007-08-24,87,560.36
2007-08-31,77,554.80
2007-09-07,80,544.65
2007-09-14,82,548.60
2007-09-21,84,544.25
2007-09-28,82,587.35
2007-10-05,84,629.15
2007-10-12,79,629.50
2007-10-19,78,613.65
2007-10-26,84,663.00
2007-11-02,82,649.75
2007-11-09,85,646.70
2007-11-16,87,652.75
2007-11-23,81,638.75
2007-11-30,92,658.60
2007-12-07,89,707.00
2007-12-14,84,699.05
2007-12-21,73,710.75
2007-12-28,70,682.50
2008-01-04,79,621.50
2008-01-11,93,617.67
2008-01-18,97,558.40
2008-01-25,98,629.00
2008-02-01,97,610.06
2008-02-08,100,517.00
2008-02-15,83,526.97
2008-02-22,83,525.10
2008-02-29,84,513.30
2008-03-07,84,491.41
2008-03-14,92,486.05
2008-03-21,92,
2008-03-28,85,479.30
2008-04-04,83,510.60
2008-04-11,83,488.90
2008-04-18,79,503.73
2008-04-25,81,480.90
2008-05-02,80,487.39
2008-05-09,79,461.65
2008-05-16,81,478.00
2008-05-23,74,456.70
2008-05-30,76,430.30
2008-06-06,85,387.60
2008-06-13,76,414.90
2008-06-20,77,429.26
2008-06-27,82,389.50
2008-07-04,80,
2008-07-11,83,306.50
2008-07-18,79,332.67
2008-07-25,79,368.83
2008-08-01,72,332.94
2008-08-08,76,342.13
2008-08-15,77,357.67
2008-08-22,83,357.18
2008-08-29,74,335.38
2008-09-05,74,328.93
2008-09-12,82,350.27
2008-09-19,94,405.00
2008-09-26,91,399.00
2008-10-03,86,362.30
2008-10-10,99,393.12
2008-10-17,91,365.20
2008-10-24,92,251.20
2008-10-31,95,282.15
2008-11-07,86,269.05
2008-11-14,82,209.03
2008-11-21,83,175.78
2008-11-28,73,211.95
2008-12-05,86,194.57
2008-12-12,81,210.28
2008-12-19,80,213.24
2008-12-26,64,182.09
2009-01-02,75,212.58
2009-01-09,85,188.23
2009-01-16,93,174.50
2009-01-23,84,168.74
2009-01-30,87,173.91
2009-02-06,87,189.00
2009-02-13,84,190.63
2009-02-20,83,181.83
2009-02-27,83,182.40
2009-03-06,83,182.45
2009-03-13,90,198.15
2009-03-20,88,228.62
2009-03-27,84,244.49
2009-04-03,82,255.89
2009-04-10,82,
2009-04-17,75,237.41
2009-04-24,77,239.80
2009-05-01,73,222.59
2009-05-08,77,248.35
2009-05-15,79,277.30
2009-05-22,73,293.26
2009-05-29,72,321.64
2009-06-05,74,334.92
2009-06-12,69,340.93
2009-06-19,74,327.56
2009-06-26,69,317.45
2009-07-03,70,
2009-07-10,74,263.18
2009-07-17,75,274.55
2009-07-24,71,270.84
2009-07-31,73,278.83
2009-08-07,71,285.97
2009-08-14,73,281.02
2009-08-21,72,276.12
2009-08-28,71,285.59
2009-09-04,73,270.50
2009-09-11,67,274.79
2009-09-18,73,304.00
2009-09-25,68,293.47
2009-10-02,75,292.79
2009-10-09,70,294.74
2009-10-16,70,312.86
2009-10-23,75,319.96
2009-10-30,76,302.61
2009-11-06,74,306.62
2009-11-13,74,313.76
2009-11-20,73,322.99
2009-11-27,64,322.65
2009-12-04,70,330.63
2009-12-11,70,334.13
2009-12-18,72,324.48
2009-12-25,56,
2010-01-01,69,
2010-01-08,78,349.32
2010-01-15,74,337.24
2010-01-22,74,312.13
2010-01-29,73,286.82
2010-02-05,76,280.80
2010-02-12,74,291.07
2010-02-19,73,291.80
2010-02-26,71,301.69
2010-03-05,74,310.13
2010-03-12,72,314.42
2010-03-19,71,311.64
2010-03-26,71,315.70
2010-04-02,74,
2010-04-09,70,312.10
2010-04-16,70,312.19
2010-04-23,72,334.86
2010-04-30,74,329.27
2010-05-07,72,315.19
2010-05-14,75,315.41
2010-05-21,72,318.51
2010-05-28,73,316.65
2010-06-04,69,310.64
2010-06-11,69,302.45
2010-06-18,68,307.14
2010-06-25,68,297.28
2010-07-02,71,274.86
2010-07-09,65,277.19
2010-07-16,66,266.23
2010-07-23,72,286.56
2010-07-30,65,278.80
2010-08-06,87,271.46
2010-08-13,73,244.82
2010-08-20,69,237.69
2010-08-27,71,256.74
2010-09-03,71,265.11
2010-09-10,69,264.90
2010-09-17,78,263.87
2010-09-24,73,269.63
2010-10-01,75,260.01
2010-10-08,74,262.38
2010-10-15,73,267.51
2010-10-22,74,283.69
2010-10-29,74,289.65
2010-11-05,71,295.03
2010-11-12,78,289.22
2010-11-19,73,295.47
2010-11-26,67,289.83
2010-12-03,67,311.02
2010-12-10,69,321.65
2010-12-17,66,319.26
2010-12-24,65,
2010-12-31,68,321.75
2011-01-07,79,307.66
2011-01-14,76,316.96
2011-01-21,69,309.87
2011-01-28,71,304.89
2011-02-04,76,304.18
2011-02-11,73,308.76
2011-02-18,80,302.84
2011-02-25,73,313.55
2011-03-04,71,304.80
2011-03-11,76,295.57
2011-03-18,74,285.79
2011-03-25,75,295.86
2011-04-01,74,304.27
2011-04-08,74,305.36
2011-04-15,69,306.80
2011-04-22,72,
2011-04-29,70,295.77
2011-05-06,78,291.59
2011-05-13,77,294.36
2011-05-20,70,298.35
2011-05-27,69,283.15
2011-06-03,67,272.07
2011-06-10,72,268.27
2011-06-17,69,277.88
2011-06-24,70,280.21
2011-07-01,69,296.72
2011-07-08,67,294.50
2011-07-15,67,292.45
2011-07-22,69,285.70
2011-07-29,68,289.19
2011-08-05,74,269.42
2011-08-12,84,254.95
2011-08-19,67,237.17
2011-08-26,71,250.92
2011-09-02,66,258.70
2011-09-09,69,255.93
2011-09-16,70,272.07
2011-09-23,74,257.98
2011-09-30,80,246.40
2011-10-07,72,253.95
2011-10-14,68,259.71
2011-10-21,68,264.49
2011-10-28,72,280.00
2011-11-04,76,271.33
2011-11-11,79,263.57
2011-11-18,71,248.89
2011-11-25,67,237.89
2011-12-02,72,253.31
2011-12-09,68,248.06
2011-12-16,65,242.00
2011-12-23,61,246.39
2011-12-30,65,243.67
2012-01-06,65,234.00
2012-01-13,67,234.50
2012-01-20,68,239.88
2012-01-27,75,240.88
2012-02-03,71,273.43
2012-02-10,65,291.59
2012-02-17,64,293.98
2012-02-24,67,292.39
2012-03-02,69,289.60
2012-03-09,79,276.56
2012-03-16,67,289.45
2012-03-23,63,296.01
2012-03-30,63,289.33
2012-04-06,60,
2012-04-13,60,282.16
2012-04-20,63,273.05
2012-04-27,59,268.38
2012-05-04,63,258.17
2012-05-11,64,262.94
2012-05-18,60,258.00
2012-05-25,60,262.52
2012-06-01,62,257.01
2012-06-08,58,271.55
2012-06-15,58,277.91
2012-06-22,62,272.28
2012-06-29,60,268.11
2012-07-06,59,263.51
2012-07-13,63,263.16
2012-07-20,64,257.00
2012-07-27,62,52.51
2012-08-03,60,50.93
2012-08-10,57,53.59
2012-08-17,58,54.11
2012-08-24,62,53.67
2012-08-31,60,54.90
2012-09-07,60,58.40
2012-09-14,64,58.89
2012-09-21,66,57.99
2012-09-28,63,57.29
2012-10-05,63,57.52
2012-10-12,60,56.37
2012-10-19,60,56.50
2012-10-26,61,55.42
2012-11-02,64,55.71
2012-11-09,58,54.31
2012-11-16,63,54.24
2012-11-23,60,54.64
2012-11-30,59,55.27
2012-12-07,59,54.96
2012-12-14,58,51.23
2012-12-21,57,50.74
2012-12-28,49,50.12
2013-01-04,61,53.77
2013-01-11,62,54.02
2013-01-18,62,55.50
2013-01-25,61,57.70
2013-02-01,63,59.04
2013-02-08,62,57.27
2013-02-15,61,58.52
2013-02-22,62,58.31
2013-03-01,65,59.92
2013-03-08,59,62.34
2013-03-15,61,63.14
2013-03-22,59,61.62
2013-03-29,60,
2013-04-05,56,59.44
2013-04-12,61,60.48
2013-04-19,60,59.01
2013-04-26,58,60.77
2013-05-03,58,60.64
2013-05-10,56,62.52
2013-05-17,61,65.17
2013-05-24,61,64.54
2013-05-31,58,67.93
2013-06-07,59,72.00
2013-06-14,59,74.29
2013-06-21,58,76.79
2013-06-28,57,75.95
2013-07-05,54,77.61
2013-07-12,55,77.34
2013-07-19,55,74.75
2013-07-26,55,73.80
2013-08-02,54,72.30
2013-08-09,51,72.16
2013-08-16,56,73.35
2013-08-23,58,72.58
2013-08-30,57,71.11
2013-09-06,53,72.43
2013-09-13,57,72.35
2013-09-20,58,74.55
2013-09-27,59,74.83
2013-10-04,58,75.00
2013-10-11,61,74.75
2013-10-18,55,76.83
2013-10-25,57,76.50
2013-11-01,59,74.70
2013-11-08,61,77.81
2013-11-15,59,79.56
2013-11-22,63,83.85
2013-11-29,55,81.95
2013-12-06,55,79.97
2013-12-13,56,81.51
2013-12-20,56,83.79
2013-12-27,47,78.91
2014-01-03,52,79.20
2014-01-10,64,76.49
2014-01-17,61,75.49
2014-01-24,61,74.42
2014-01-31,61,74.76
2014-02-07,59,75.69
2014-02-14,57,77.11
2014-02-21,59,73.71
2014-02-28,58,73.82
2014-03-07,59,76.97
2014-03-14,59,75.36
2014-03-21,58,77.45
2014-03-28,57,73.83
2014-04-04,58,70.60
2014-04-11,56,66.95
2014-04-18,57,
2014-04-25,56,70.39
2014-05-02,55,
