Date,ACN,Price
2009-03-27,100,27.66
2009-04-03,59,28.04
2009-04-10,54,
2009-04-17,51,27.12
2009-04-24,48,29.27
2009-05-01,48,29.86
2009-05-08,45,29.40
2009-05-15,48,28.83
2009-05-22,49,30.32
2009-05-29,46,29.93
2009-06-05,45,30.54
2009-06-12,44,31.47
2009-06-19,45,31.74
2009-06-26,46,33.72
2009-07-03,49,
2009-07-10,49,32.70
2009-07-17,48,34.43
2009-07-24,51,35.46
2009-07-31,53,35.07
2009-08-07,48,35.65
2009-08-14,49,36.12
2009-08-21,52,35.46
2009-08-28,50,34.20
2009-09-04,50,34.69
2009-09-11,48,35.70
2009-09-18,54,35.84
2009-09-25,50,36.12
2009-10-02,55,37.50
2009-10-09,53,39.07
2009-10-16,49,39.12
2009-10-23,48,37.77
2009-10-30,50,37.08
2009-11-06,49,39.25
2009-11-13,48,39.55
2009-11-20,47,39.83
2009-11-27,44,40.51
2009-12-04,48,42.54
2009-12-11,50,42.00
2009-12-18,43,41.37
2009-12-25,38,
2010-01-01,37,
2010-01-08,46,42.57
2010-01-15,52,42.81
2010-01-22,50,42.18
2010-01-29,53,40.99
2010-02-05,53,40.54
2010-02-12,47,40.49
2010-02-19,49,40.87
2010-02-26,49,39.97
2010-03-05,51,41.18
2010-03-12,52,42.12
2010-03-19,49,42.06
2010-03-26,46,42.40
2010-04-02,50,
2010-04-09,51,42.83
2010-04-16,50,43.15
2010-04-23,49,44.67
2010-04-30,46,43.64
2010-05-07,51,40.32
2010-05-14,50,38.99
2010-05-21,45,38.14
2010-05-28,48,37.52
2010-06-04,48,36.93
2010-06-11,52,37.64
2010-06-18,41,38.93
2010-06-25,44,40.55
2010-07-02,42,37.94
2010-07-09,42,39.42
2010-07-16,40,39.00
2010-07-23,43,40.38
2010-07-30,43,39.64
2010-08-06,45,40.27
2010-08-13,40,38.85
2010-08-20,41,38.42
2010-08-27,39,37.20
2010-09-03,48,38.58
2010-09-10,41,38.82
2010-09-17,43,40.56
2010-09-24,47,41.90
2010-10-01,47,44.38
2010-10-08,43,45.78
2010-10-15,45,45.29
2010-10-22,43,45.64
2010-10-29,43,44.71
2010-11-05,43,45.67
2010-11-12,40,43.36
2010-11-19,41,44.21
2010-11-26,37,43.84
2010-12-03,38,44.22
2010-12-10,37,45.66
2010-12-17,40,50.32
2010-12-24,32,
2010-12-31,31,48.49
2011-01-07,36,48.54
2011-01-14,40,50.00
2011-01-21,42,51.04
2011-01-28,41,51.52
2011-02-04,42,52.55
2011-02-11,41,52.40
2011-02-18,39,53.61
2011-02-25,42,52.18
2011-03-04,40,52.65
2011-03-11,42,51.58
2011-03-18,40,50.25
2011-03-25,52,54.29
2011-04-01,87,54.87
2011-04-08,46,55.10
2011-04-15,47,54.67
2011-04-22,39,
2011-04-29,40,57.13
2011-05-06,40,55.15
2011-05-13,39,55.74
2011-05-20,37,57.42
2011-05-27,36,56.91
2011-06-03,35,55.82
2011-06-10,35,55.54
2011-06-17,34,53.95
2011-06-24,37,57.02
2011-07-01,40,60.87
2011-07-08,37,63.43
2011-07-15,35,60.70
2011-07-22,37,61.28
2011-07-29,37,59.14
2011-08-05,37,57.21
2011-08-12,38,54.61
2011-08-19,36,47.44
2011-08-26,32,51.60
2011-09-02,35,51.47
2011-09-09,32,49.82
2011-09-16,37,55.02
2011-09-23,38,50.41
2011-09-30,37,52.68
2011-10-07,37,55.92
2011-10-14,34,58.80
2011-10-21,41,58.08
2011-10-28,39,61.76
2011-11-04,35,58.24
2011-11-11,36,58.97
2011-11-18,36,55.10
2011-11-25,31,53.70
2011-12-02,35,58.38
2011-12-09,33,58.71
2011-12-16,33,54.15
2011-12-23,33,52.89
2011-12-30,26,53.23
2012-01-06,30,51.83
2012-01-13,35,53.25
2012-01-20,39,55.81
2012-01-27,39,56.42
2012-02-03,39,58.31
2012-02-10,36,56.96
2012-02-17,36,58.43
2012-02-24,37,59.65
2012-03-02,38,59.60
2012-03-09,38,60.86
2012-03-16,35,63.62
2012-03-23,37,64.88
2012-03-30,38,64.50
2012-04-06,35,
2012-04-13,34,62.55
2012-04-20,37,63.40
2012-04-27,35,65.02
2012-05-04,34,62.61
2012-05-11,35,58.61
2012-05-18,35,57.65
2012-05-25,34,57.44
2012-06-01,33,55.28
2012-06-08,33,58.53
2012-06-15,34,59.08
2012-06-22,35,57.56
2012-06-29,37,60.09
2012-07-06,34,58.44
2012-07-13,34,58.06
2012-07-20,33,59.00
2012-07-27,34,60.43
2012-08-03,32,60.35
2012-08-10,31,61.63
2012-08-17,29,61.08
2012-08-24,31,61.53
2012-08-31,31,61.60
2012-09-07,32,64.44
2012-09-14,32,65.89
2012-09-21,33,65.25
2012-09-28,34,70.03
2012-10-05,37,70.74
2012-10-12,32,69.42
2012-10-19,36,67.75
2012-10-26,36,67.11
2012-11-02,30,67.91
2012-11-09,31,65.81
2012-11-16,32,66.19
2012-11-23,29,68.18
2012-11-30,31,67.92
2012-12-07,30,69.48
2012-12-14,29,70.21
2012-12-21,28,67.42
2012-12-28,21,65.66
2013-01-04,25,69.19
2013-01-11,30,69.88
2013-01-18,31,70.11
2013-01-25,33,72.21
2013-02-01,33,73.80
2013-02-08,32,73.31
2013-02-15,32,74.16
2013-02-22,34,74.80
2013-03-01,33,74.82
2013-03-08,31,78.35
2013-03-15,30,76.60
2013-03-22,34,73.88
2013-03-29,32,
2013-04-05,31,76.25
2013-04-12,32,77.23
2013-04-19,33,74.74
2013-04-26,30,78.66
2013-05-03,31,79.50
2013-05-10,28,80.48
2013-05-17,28,82.24
2013-05-24,28,82.22
2013-05-31,27,82.11
2013-06-07,28,80.90
2013-06-14,28,80.55
2013-06-21,28,79.40
2013-06-28,32,71.96
2013-07-05,28,73.64
2013-07-12,30,75.52
2013-07-19,31,75.22
2013-07-26,29,73.12
2013-08-02,29,74.59
2013-08-09,27,73.53
2013-08-16,28,71.65
2013-08-23,28,74.01
2013-08-30,29,72.25
2013-09-06,27,73.21
2013-09-13,30,74.50
2013-09-20,30,77.32
2013-09-27,30,74.09
2013-10-04,29,73.26
2013-10-11,29,72.71
2013-10-18,28,72.88
2013-10-25,28,73.61
2013-11-01,28,73.00
2013-11-08,27,75.24
2013-11-15,29,78.02
2013-11-22,28,77.84
2013-11-29,26,77.47
2013-12-06,26,75.53
2013-12-13,27,73.94
2013-12-20,26,80.55
2013-12-27,19,82.51
2014-01-03,23,81.40
2014-01-10,27,83.20
2014-01-17,31,84.43
2014-01-24,29,81.18
2014-01-31,30,79.88
2014-02-07,27,80.58
2014-02-14,27,82.11
2014-02-21,31,83.80
2014-02-28,30,83.35
2014-03-07,30,83.93
2014-03-14,29,81.38
2014-03-21,30,82.83
2014-03-28,30,78.81
2014-04-04,30,78.14
2014-04-11,30,77.09
2014-04-18,27,
2014-04-25,27,78.43
2014-05-02,29,
