Date,RRC,Price
2007-05-04,8,38.12
2007-05-11,8,37.14
2007-05-18,9,38.07
2007-05-25,8,37.77
2007-06-01,8,38.99
2007-06-08,9,37.99
2007-06-15,9,41.28
2007-06-22,8,38.61
2007-06-29,7,37.41
2007-07-06,8,38.48
2007-07-13,8,38.14
2007-07-20,8,39.43
2007-07-27,10,36.21
2007-08-03,8,35.70
2007-08-10,9,38.88
2007-08-17,8,35.70
2007-08-24,9,36.56
2007-08-31,9,36.31
2007-09-07,8,38.50
2007-09-14,9,40.12
2007-09-21,7,41.67
2007-09-28,7,40.66
2007-10-05,8,44.13
2007-10-12,9,44.15
2007-10-19,8,43.89
2007-10-26,7,45.17
2007-11-02,9,43.90
2007-11-09,8,41.14
2007-11-16,8,39.65
2007-11-23,7,38.75
2007-11-30,9,40.68
2007-12-07,8,43.23
2007-12-14,8,45.71
2007-12-21,8,50.47
2007-12-28,6,51.63
2008-01-04,8,51.29
2008-01-11,10,52.89
2008-01-18,8,48.59
2008-01-25,7,47.95
2008-02-01,8,53.07
2008-02-08,11,56.87
2008-02-15,11,57.60
2008-02-22,10,62.72
2008-02-29,11,61.18
2008-03-07,10,58.55
2008-03-14,11,62.53
2008-03-21,10,
2008-03-28,10,62.58
2008-04-04,12,66.99
2008-04-11,11,66.27
2008-04-18,10,71.60
2008-04-25,14,69.39
2008-05-02,12,67.59
2008-05-09,9,69.67
2008-05-16,10,69.60
2008-05-23,10,68.72
2008-05-30,9,65.76
2008-06-06,8,67.96
2008-06-13,10,63.30
2008-06-20,9,62.60
2008-06-27,8,64.78
2008-07-04,6,
2008-07-11,8,63.17
2008-07-18,8,59.22
2008-07-25,8,52.11
2008-08-01,9,49.01
2008-08-08,8,41.80
2008-08-15,8,43.26
2008-08-22,8,45.47
2008-08-29,10,46.42
2008-09-05,8,44.31
2008-09-12,10,44.01
2008-09-19,10,52.09
2008-09-26,9,47.63
2008-10-03,9,34.15
2008-10-10,10,26.86
2008-10-17,11,33.20
2008-10-24,9,34.53
2008-10-31,9,42.22
2008-11-07,9,40.19
2008-11-14,10,40.62
2008-11-21,9,35.60
2008-11-28,10,41.47
2008-12-05,10,31.20
2008-12-12,10,36.15
2008-12-19,10,34.34
2008-12-26,8,32.01
2009-01-02,7,37.08
2009-01-09,10,36.84
2009-01-16,8,33.21
2009-01-23,8,35.25
2009-01-30,7,35.84
2009-02-06,10,39.58
2009-02-13,9,38.62
2009-02-20,8,33.17
2009-02-27,9,35.57
2009-03-06,9,36.98
2009-03-13,7,38.81
2009-03-20,9,41.03
2009-03-27,9,42.69
2009-04-03,8,45.11
2009-04-10,8,
2009-04-17,8,42.58
2009-04-24,8,41.87
2009-05-01,8,41.48
2009-05-08,8,45.89
2009-05-15,8,39.93
2009-05-22,8,41.94
2009-05-29,7,45.81
2009-06-05,9,45.23
2009-06-12,8,46.81
2009-06-19,7,44.51
2009-06-26,7,41.94
2009-07-03,6,
2009-07-10,7,37.71
2009-07-17,8,43.54
2009-07-24,8,46.65
2009-07-31,7,46.41
2009-08-07,8,46.36
2009-08-14,9,48.40
2009-08-21,9,51.64
2009-08-28,9,50.38
2009-09-04,8,47.69
2009-09-11,7,50.36
2009-09-18,8,51.26
2009-09-25,7,49.48
2009-10-02,7,47.10
2009-10-09,8,53.04
2009-10-16,7,57.10
2009-10-23,7,54.98
2009-10-30,7,50.05
2009-11-06,7,50.42
2009-11-13,8,48.08
2009-11-20,8,46.49
2009-11-27,7,47.93
2009-12-04,7,45.18
2009-12-11,7,43.38
2009-12-18,7,51.12
2009-12-25,6,
2010-01-01,5,
2010-01-08,7,53.93
2010-01-15,7,52.75
2010-01-22,7,48.82
2010-01-29,7,46.00
2010-02-05,8,46.42
2010-02-12,7,49.61
2010-02-19,7,53.90
2010-02-26,8,50.61
2010-03-05,7,51.46
2010-03-12,7,51.33
2010-03-19,6,47.76
2010-03-26,7,45.67
2010-04-02,6,
2010-04-09,8,50.28
2010-04-16,7,49.75
2010-04-23,7,50.78
2010-04-30,8,47.76
2010-05-07,7,43.85
2010-05-14,7,47.97
2010-05-21,6,43.47
2010-05-28,7,44.95
2010-06-04,5,48.30
2010-06-11,6,49.65
2010-06-18,6,48.89
2010-06-25,7,43.79
2010-07-02,6,39.65
2010-07-09,5,41.79
2010-07-16,6,40.12
2010-07-23,6,40.02
2010-07-30,6,37.12
2010-08-06,6,38.59
2010-08-13,8,35.66
2010-08-20,8,33.47
2010-08-27,8,33.86
2010-09-03,7,36.04
2010-09-10,6,37.04
2010-09-17,7,35.07
2010-09-24,7,36.06
2010-10-01,6,37.83
2010-10-08,7,36.68
2010-10-15,7,37.59
2010-10-22,6,36.75
2010-10-29,8,37.39
2010-11-05,7,39.40
2010-11-12,7,42.07
2010-11-19,6,43.39
2010-11-26,6,42.52
2010-12-03,7,45.64
2010-12-10,7,42.36
2010-12-17,8,42.71
2010-12-24,9,
2010-12-31,8,44.98
2011-01-07,13,45.87
2011-01-14,12,48.42
2011-01-21,11,45.62
2011-01-28,14,47.66
2011-02-04,12,49.06
2011-02-11,12,48.78
2011-02-18,13,48.31
2011-02-25,13,54.28
2011-03-04,14,50.58
2011-03-11,12,48.50
2011-03-18,11,52.33
2011-03-25,11,56.72
2011-04-01,10,58.05
2011-04-08,12,57.33
2011-04-15,10,53.25
2011-04-22,9,
2011-04-29,8,56.45
2011-05-06,9,52.01
2011-05-13,8,52.06
2011-05-20,8,54.24
2011-05-27,8,55.51
2011-06-03,7,54.43
2011-06-10,7,52.78
2011-06-17,7,52.01
2011-06-24,8,52.28
2011-07-01,7,56.40
2011-07-08,7,56.15
2011-07-15,8,61.78
2011-07-22,7,64.43
2011-07-29,8,65.16
2011-08-05,8,57.13
2011-08-12,7,60.04
2011-08-19,8,57.45
2011-08-26,8,59.76
2011-09-02,8,63.62
2011-09-09,8,62.80
2011-09-16,10,63.44
2011-09-23,10,58.53
2011-09-30,9,58.46
2011-10-07,9,59.98
2011-10-14,10,72.46
2011-10-21,9,73.98
2011-10-28,12,73.25
2011-11-04,12,71.98
2011-11-11,11,72.92
2011-11-18,17,69.76
2011-11-25,14,63.90
2011-12-02,16,70.53
2011-12-09,12,68.13
2011-12-16,16,60.20
2011-12-23,10,62.62
2011-12-30,8,61.94
2012-01-06,11,60.74
2012-01-13,12,54.16
2012-01-20,11,54.02
2012-01-27,13,57.43
2012-02-03,12,59.20
2012-02-10,11,62.82
2012-02-17,11,65.72
2012-02-24,9,65.94
2012-03-02,11,62.75
2012-03-09,11,63.51
2012-03-16,12,62.31
2012-03-23,14,59.03
2012-03-30,13,58.14
2012-04-06,20,
2012-04-13,25,55.86
2012-04-20,28,57.69
2012-04-27,27,63.91
2012-05-04,30,63.68
2012-05-11,27,67.04
2012-05-18,21,61.46
2012-05-25,19,61.01
2012-06-01,17,54.57
2012-06-08,15,56.60
2012-06-15,12,57.01
2012-06-22,13,59.23
2012-06-29,11,61.87
2012-07-06,11,60.80
2012-07-13,11,58.95
2012-07-20,11,61.96
2012-07-27,12,62.69
2012-08-03,15,63.18
2012-08-10,19,66.13
2012-08-17,22,69.66
2012-08-24,26,66.27
2012-08-31,39,65.19
2012-09-07,63,67.41
2012-09-14,68,70.10
2012-09-21,48,69.56
2012-09-28,34,69.87
2012-10-05,30,69.03
2012-10-12,26,71.73
2012-10-19,21,68.83
2012-10-26,18,66.10
2012-11-02,19,65.10
2012-11-09,19,66.30
2012-11-16,16,67.09
2012-11-23,20,69.73
2012-11-30,22,64.02
2012-12-07,23,64.68
2012-12-14,21,62.12
2012-12-21,20,63.72
2012-12-28,15,62.02
2013-01-04,14,65.14
2013-01-11,13,64.39
2013-01-18,12,68.27
2013-01-25,14,68.70
2013-02-01,14,67.77
2013-02-08,15,72.15
2013-02-15,14,70.36
2013-02-22,16,71.71
2013-03-01,22,77.39
2013-03-08,20,78.84
2013-03-15,20,82.00
2013-03-22,19,80.76
2013-03-29,16,
2013-04-05,17,79.12
2013-04-12,16,78.91
2013-04-19,16,75.55
2013-04-26,16,74.00
2013-05-03,14,74.43
2013-05-10,15,76.18
2013-05-17,14,76.50
2013-05-24,13,77.07
2013-05-31,13,75.18
2013-06-07,14,76.16
2013-06-14,15,73.37
2013-06-21,14,77.30
2013-06-28,13,77.32
2013-07-05,13,77.62
2013-07-12,17,77.30
2013-07-19,18,78.55
2013-07-26,19,80.46
2013-08-02,23,81.36
2013-08-09,25,79.50
2013-08-16,29,77.66
2013-08-23,32,77.06
2013-08-30,37,74.98
2013-09-06,39,76.50
2013-09-13,40,78.64
2013-09-20,52,78.68
2013-09-27,92,77.31
2013-10-04,99,76.56
2013-10-11,95,78.90
2013-10-18,93,77.84
2013-10-25,98,74.73
2013-11-01,63,75.38
2013-11-08,52,75.78
2013-11-15,66,74.65
2013-11-22,65,78.82
2013-11-29,55,77.65
2013-12-06,49,79.06
2013-12-13,31,79.69
2013-12-20,35,82.45
2013-12-27,34,83.56
2014-01-03,37,80.53
2014-01-10,67,81.71
2014-01-17,71,82.64
2014-01-24,100,86.15
2014-01-31,97,86.19
2014-02-07,83,84.03
2014-02-14,65,85.49
2014-02-21,53,85.67
2014-02-28,44,86.05
2014-03-07,32,85.08
2014-03-14,27,87.72
2014-03-21,23,87.16
2014-03-28,25,85.23
2014-04-04,25,86.53
2014-04-11,23,87.92
2014-04-18,21,
2014-04-25,24,91.73
2014-05-02,20,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
