Date,AEP,Price
2006-08-18,22,36.40
2006-08-25,19,35.92
2006-09-01,20,36.73
2006-09-08,20,35.91
2006-09-15,20,36.49
2006-09-22,22,36.14
2006-09-29,22,36.37
2006-10-06,23,37.26
2006-10-13,22,40.00
2006-10-20,20,41.34
2006-10-27,23,40.98
2006-11-03,21,40.94
2006-11-10,22,41.48
2006-11-17,19,41.41
2006-11-24,19,41.60
2006-12-01,20,42.03
2006-12-08,20,41.89
2006-12-15,19,42.44
2006-12-22,19,42.56
2006-12-29,16,42.58
2007-01-05,20,42.04
2007-01-12,19,41.86
2007-01-19,22,41.94
2007-01-26,20,43.26
2007-02-02,20,44.26
2007-02-09,21,45.45
2007-02-16,22,45.89
2007-02-23,23,45.75
2007-03-02,22,44.87
2007-03-09,21,45.15
2007-03-16,23,45.97
2007-03-23,18,49.16
2007-03-30,23,48.75
2007-04-06,19,
2007-04-13,22,48.66
2007-04-20,21,50.34
2007-04-27,22,50.35
2007-05-04,21,50.40
2007-05-11,20,48.92
2007-05-18,24,49.14
2007-05-25,20,47.25
2007-06-01,21,47.56
2007-06-08,23,44.91
2007-06-15,22,46.27
2007-06-22,22,43.49
2007-06-29,22,45.04
2007-07-06,19,45.45
2007-07-13,24,46.37
2007-07-20,24,46.20
2007-07-27,21,43.19
2007-08-03,19,44.04
2007-08-10,23,46.90
2007-08-17,20,46.47
2007-08-24,21,46.77
2007-08-31,20,44.48
2007-09-07,21,44.55
2007-09-14,20,45.09
2007-09-21,21,46.07
2007-09-28,19,46.08
2007-10-05,21,47.97
2007-10-12,27,48.24
2007-10-19,23,45.63
2007-10-26,23,47.67
2007-11-02,20,47.44
2007-11-09,23,46.38
2007-11-16,21,46.41
2007-11-23,17,46.45
2007-11-30,22,47.67
2007-12-07,20,49.17
2007-12-14,26,47.38
2007-12-21,20,47.55
2007-12-28,16,46.88
2008-01-04,19,46.29
2008-01-11,22,47.96
2008-01-18,20,44.82
2008-01-25,22,41.33
2008-02-01,21,43.96
2008-02-08,23,43.16
2008-02-15,23,43.10
2008-02-22,23,42.30
2008-02-29,21,40.92
2008-03-07,23,40.64
2008-03-14,22,40.23
2008-03-21,18,
2008-03-28,24,40.97
2008-04-04,25,42.90
2008-04-11,20,44.17
2008-04-18,22,44.67
2008-04-25,21,44.28
2008-05-02,21,45.09
2008-05-09,20,43.87
2008-05-16,21,43.41
2008-05-23,22,42.13
2008-05-30,20,42.33
2008-06-06,23,41.96
2008-06-13,23,42.79
2008-06-20,23,41.34
2008-06-27,23,39.58
2008-07-04,22,
2008-07-11,22,40.12
2008-07-18,23,39.47
2008-07-25,24,39.66
2008-08-01,21,38.77
2008-08-08,21,39.10
2008-08-15,22,38.52
2008-08-22,21,38.96
2008-08-29,22,39.04
2008-09-05,22,37.45
2008-09-12,24,39.12
2008-09-19,72,38.18
2008-09-26,25,37.16
2008-10-03,23,35.54
2008-10-10,23,28.00
2008-10-17,22,30.35
2008-10-24,23,30.98
2008-10-31,20,32.63
2008-11-07,21,30.87
2008-11-14,22,30.95
2008-11-21,19,29.01
2008-11-28,20,31.29
2008-12-05,23,29.91
2008-12-12,23,29.83
2008-12-19,23,31.91
2008-12-26,21,32.08
2009-01-02,22,34.00
2009-01-09,24,32.61
2009-01-16,23,32.50
2009-01-23,23,31.94
2009-01-30,30,31.35
2009-02-06,24,33.22
2009-02-13,28,31.81
2009-02-20,24,29.46
2009-02-27,21,28.05
2009-03-06,22,24.81
2009-03-13,23,25.25
2009-03-20,22,27.57
2009-03-27,21,26.27
2009-04-03,22,26.30
2009-04-10,19,
2009-04-17,21,27.33
2009-04-24,19,26.16
2009-05-01,20,26.94
2009-05-08,21,26.15
2009-05-15,21,24.94
2009-05-22,21,25.15
2009-05-29,21,26.34
2009-06-05,20,26.80
2009-06-12,22,28.00
2009-06-19,20,28.37
2009-06-26,19,28.61
2009-07-03,16,
2009-07-10,20,28.53
2009-07-17,21,29.80
2009-07-24,20,30.94
2009-07-31,21,30.96
2009-08-07,19,31.19
2009-08-14,20,31.11
2009-08-21,20,31.49
2009-08-28,19,31.86
2009-09-04,19,30.99
2009-09-11,19,30.69
2009-09-18,22,32.06
2009-09-25,20,30.98
2009-10-02,20,30.37
2009-10-09,22,30.71
2009-10-16,20,31.43
2009-10-23,23,30.81
2009-10-30,20,30.22
2009-11-06,21,31.03
2009-11-13,20,31.62
2009-11-20,21,31.27
2009-11-27,17,31.55
2009-12-04,20,33.79
2009-12-11,23,35.58
2009-12-18,23,35.08
2009-12-25,20,
2010-01-01,19,
2010-01-08,22,35.61
2010-01-15,19,36.01
2010-01-22,20,35.42
2010-01-29,23,34.65
2010-02-05,24,33.64
2010-02-12,23,32.95
2010-02-19,20,33.97
2010-02-26,22,33.62
2010-03-05,21,34.25
2010-03-12,23,34.10
2010-03-19,20,34.52
2010-03-26,21,34.09
2010-04-02,21,
2010-04-09,23,34.27
2010-04-16,22,33.73
2010-04-23,23,34.02
2010-04-30,22,34.30
2010-05-07,23,31.92
2010-05-14,24,33.00
2010-05-21,23,31.46
2010-05-28,24,31.96
2010-06-04,24,31.12
2010-06-11,24,32.45
2010-06-18,23,34.06
2010-06-25,23,32.99
2010-07-02,23,32.39
2010-07-09,23,34.84
2010-07-16,22,34.76
2010-07-23,22,35.80
2010-07-30,24,35.98
2010-08-06,26,35.98
2010-08-13,24,35.52
2010-08-20,22,34.82
2010-08-27,22,35.71
2010-09-03,23,36.12
2010-09-10,22,36.63
2010-09-17,20,35.88
2010-09-24,24,36.50
2010-10-01,22,36.22
2010-10-08,24,36.19
2010-10-15,22,35.94
2010-10-22,23,36.70
2010-10-29,23,37.44
2010-11-05,25,37.70
2010-11-12,21,36.52
2010-11-19,21,35.75
2010-11-26,19,35.85
2010-12-03,22,35.99
2010-12-10,24,35.64
2010-12-17,25,35.99
2010-12-24,19,
2010-12-31,21,35.98
2011-01-07,25,36.00
2011-01-14,25,35.45
2011-01-21,21,36.44
2011-01-28,22,35.86
2011-02-04,39,35.62
2011-02-11,22,35.86
2011-02-18,22,35.76
2011-02-25,21,35.28
2011-03-04,23,35.33
2011-03-11,22,35.81
2011-03-18,20,33.81
2011-03-25,21,34.71
2011-04-01,20,35.52
2011-04-08,22,35.31
2011-04-15,23,35.46
2011-04-22,21,
2011-04-29,22,36.48
2011-05-06,18,36.33
2011-05-13,22,37.58
2011-05-20,21,38.55
2011-05-27,24,38.32
2011-06-03,20,37.51
2011-06-10,24,37.12
2011-06-17,20,37.64
2011-06-24,21,37.10
2011-07-01,21,38.18
2011-07-08,22,38.35
2011-07-15,25,37.48
2011-07-22,24,37.71
2011-07-29,26,36.86
2011-08-05,23,36.24
2011-08-12,23,35.76
2011-08-19,20,37.06
2011-08-26,23,37.56
2011-09-02,22,37.98
2011-09-09,22,36.80
2011-09-16,22,37.52
2011-09-23,20,37.45
2011-09-30,22,38.02
2011-10-07,22,37.74
2011-10-14,21,38.66
2011-10-21,20,39.13
2011-10-28,20,39.42
2011-11-04,20,39.70
2011-11-11,18,39.52
2011-11-18,20,38.56
2011-11-25,17,37.20
2011-12-02,20,39.25
2011-12-09,19,39.73
2011-12-16,18,39.66
2011-12-23,16,41.57
2011-12-30,18,41.31
2012-01-06,20,40.79
2012-01-13,20,41.37
2012-01-20,20,41.01
2012-01-27,20,39.95
2012-02-03,19,39.58
2012-02-10,20,39.30
2012-02-17,19,39.73
2012-02-24,23,37.73
2012-03-02,20,37.96
2012-03-09,20,38.21
2012-03-16,20,38.73
2012-03-23,19,38.48
2012-03-30,18,38.58
2012-04-06,18,
2012-04-13,20,37.31
2012-04-20,19,38.33
2012-04-27,20,38.70
2012-05-04,19,38.58
2012-05-11,20,38.45
2012-05-18,20,37.75
2012-05-25,19,38.23
2012-06-01,21,38.39
2012-06-08,21,39.72
2012-06-15,19,39.94
2012-06-22,19,39.25
2012-06-29,71,39.90
2012-07-06,100,40.96
2012-07-13,30,41.69
2012-07-20,27,41.93
2012-07-27,28,42.42
2012-08-03,24,42.34
2012-08-10,24,43.55
2012-08-17,23,43.07
2012-08-24,21,42.80
2012-08-31,21,42.99
2012-09-07,22,43.46
2012-09-14,22,43.66
2012-09-21,22,44.01
2012-09-28,22,43.94
2012-10-05,23,44.22
2012-10-12,18,44.12
2012-10-19,20,44.98
2012-10-26,20,43.95
2012-11-02,32,44.23
2012-11-09,21,41.80
2012-11-16,19,41.52
2012-11-23,16,41.03
2012-11-30,20,42.65
2012-12-07,20,43.27
2012-12-14,19,42.84
2012-12-21,21,43.45
2012-12-28,17,42.21
2013-01-04,19,43.55
2013-01-11,20,43.24
2013-01-18,24,43.51
2013-01-25,20,44.46
2013-02-01,20,45.24
2013-02-08,19,44.57
2013-02-15,19,45.13
2013-02-22,20,46.18
2013-03-01,20,46.71
2013-03-08,20,47.49
2013-03-15,19,47.90
2013-03-22,19,47.86
2013-03-29,17,
2013-04-05,19,48.71
2013-04-12,21,49.98
2013-04-19,18,49.94
2013-04-26,19,50.54
2013-05-03,19,51.08
2013-05-10,20,48.82
2013-05-17,20,49.64
2013-05-24,20,47.71
2013-05-31,20,45.82
2013-06-07,21,46.15
2013-06-14,27,45.51
2013-06-21,21,43.78
2013-06-28,23,44.78
2013-07-05,19,44.28
2013-07-12,32,46.55
2013-07-19,24,47.14
2013-07-26,25,46.47
2013-08-02,21,46.58
2013-08-09,21,45.00
2013-08-16,21,43.31
2013-08-23,20,43.16
2013-08-30,20,42.80
2013-09-06,20,42.56
2013-09-13,23,42.62
2013-09-20,20,43.73
2013-09-27,20,43.44
2013-10-04,21,43.34
2013-10-11,20,44.27
2013-10-18,21,44.82
2013-10-25,20,47.28
2013-11-01,21,47.04
2013-11-08,19,46.25
2013-11-15,19,47.84
2013-11-22,23,47.70
2013-11-29,17,47.06
2013-12-06,21,47.10
2013-12-13,21,45.80
2013-12-20,18,46.72
2013-12-27,16,46.50
2014-01-03,20,46.11
2014-01-10,26,47.20
2014-01-17,22,46.77
2014-01-24,21,46.77
2014-01-31,21,48.81
2014-02-07,23,48.03
2014-02-14,22,50.11
2014-02-21,21,50.56
2014-02-28,23,50.20
2014-03-07,23,49.33
2014-03-14,23,50.11
2014-03-21,20,48.89
2014-03-28,20,50.00
2014-04-04,21,50.78
2014-04-11,20,50.90
2014-04-18,19,
2014-04-25,19,53.38
2014-05-02,21,
