Date,APC,Price
2008-04-04,53,63.78
2008-04-11,54,63.80
2008-04-18,54,68.90
2008-04-25,58,68.38
2008-05-02,52,67.10
2008-05-09,53,76.33
2008-05-16,56,78.15
2008-05-23,53,76.02
2008-05-30,56,74.97
2008-06-06,56,76.72
2008-06-13,57,77.33
2008-06-20,58,76.15
2008-06-27,57,74.36
2008-07-04,53,
2008-07-11,56,69.12
2008-07-18,55,63.24
2008-07-25,61,58.98
2008-08-01,57,58.71
2008-08-08,56,53.78
2008-08-15,57,57.61
2008-08-22,55,58.65
2008-08-29,56,61.73
2008-09-05,54,58.28
2008-09-12,52,56.89
2008-09-19,57,57.78
2008-09-26,57,52.73
2008-10-03,54,41.54
2008-10-10,53,27.50
2008-10-17,52,33.50
2008-10-24,52,29.35
2008-10-31,55,35.30
2008-11-07,50,36.33
2008-11-14,50,37.82
2008-11-21,50,33.07
2008-11-28,50,41.05
2008-12-05,53,33.95
2008-12-12,55,37.03
2008-12-19,52,37.16
2008-12-26,39,36.31
2009-01-02,41,40.62
2009-01-09,53,40.54
2009-01-16,52,37.48
2009-01-23,53,37.88
2009-01-30,51,36.74
2009-02-06,50,41.78
2009-02-13,50,39.91
2009-02-20,50,35.57
2009-02-27,50,34.95
2009-03-06,50,33.07
2009-03-13,52,36.38
2009-03-20,51,40.69
2009-03-27,50,41.01
2009-04-03,50,43.47
2009-04-10,48,
2009-04-17,52,43.59
2009-04-24,48,44.06
2009-05-01,48,45.63
2009-05-08,49,51.96
2009-05-15,49,42.67
2009-05-22,51,43.15
2009-05-29,50,47.78
2009-06-05,51,48.46
2009-06-12,49,50.57
2009-06-19,52,45.54
2009-06-26,52,46.07
2009-07-03,50,
2009-07-10,52,42.49
2009-07-17,52,46.05
2009-07-24,50,49.19
2009-07-31,54,48.20
2009-08-07,50,49.39
2009-08-14,50,51.50
2009-08-21,52,53.89
2009-08-28,53,54.66
2009-09-04,49,54.78
2009-09-11,49,58.58
2009-09-18,50,63.14
2009-09-25,49,61.95
2009-10-02,47,59.73
2009-10-09,52,67.39
2009-10-16,50,67.11
2009-10-23,51,65.34
2009-10-30,49,60.93
2009-11-06,48,64.83
2009-11-13,49,62.57
2009-11-20,47,61.29
2009-11-27,46,60.67
2009-12-04,47,60.25
2009-12-11,48,57.99
2009-12-18,48,61.15
2009-12-25,43,
2010-01-01,37,
2010-01-08,49,67.06
2010-01-15,49,65.89
2010-01-22,49,63.13
2010-01-29,50,63.78
2010-02-05,51,62.95
2010-02-12,48,65.32
2010-02-19,44,70.18
2010-02-26,45,70.13
2010-03-05,46,72.11
2010-03-12,47,72.05
2010-03-19,47,69.99
2010-03-26,46,69.40
2010-04-02,46,
2010-04-09,45,73.30
2010-04-16,46,73.50
2010-04-23,47,74.11
2010-04-30,45,62.16
2010-05-07,45,58.88
2010-05-14,48,57.32
2010-05-21,48,54.83
2010-05-28,48,52.33
2010-06-04,48,45.12
2010-06-11,49,41.79
2010-06-18,49,42.57
2010-06-25,48,37.68
2010-07-02,46,38.07
2010-07-09,46,45.41
2010-07-16,49,47.46
2010-07-23,46,48.77
2010-07-30,45,49.16
2010-08-06,47,55.68
2010-08-13,46,52.37
2010-08-20,46,48.70
2010-08-27,46,47.41
2010-09-03,44,52.06
2010-09-10,46,52.91
2010-09-17,46,54.14
2010-09-24,45,57.02
2010-10-01,45,57.06
2010-10-08,46,58.19
2010-10-15,43,57.64
2010-10-22,45,62.51
2010-10-29,45,61.57
2010-11-05,44,67.61
2010-11-12,45,63.98
2010-11-19,45,63.63
2010-11-26,43,63.56
2010-12-03,43,69.08
2010-12-10,45,69.02
2010-12-17,45,66.00
2010-12-24,43,
2010-12-31,38,76.16
2011-01-07,45,74.67
2011-01-14,46,79.48
2011-01-21,44,77.20
2011-01-28,43,74.18
2011-02-04,44,78.32
2011-02-11,43,78.49
2011-02-18,44,80.96
2011-02-25,41,81.22
2011-03-04,43,81.02
2011-03-11,42,77.25
2011-03-18,43,77.27
2011-03-25,47,82.88
2011-04-01,44,82.88
2011-04-08,46,84.71
2011-04-15,43,80.42
2011-04-22,40,
2011-04-29,42,78.94
2011-05-06,40,75.14
2011-05-13,43,74.06
2011-05-20,44,74.58
2011-05-27,43,78.66
2011-06-03,42,76.98
2011-06-10,43,72.79
2011-06-17,43,70.45
2011-06-24,47,72.46
2011-07-01,44,77.91
2011-07-08,43,79.34
2011-07-15,46,80.19
2011-07-22,43,83.30
2011-07-29,44,82.56
2011-08-05,44,71.51
2011-08-12,44,71.71
2011-08-19,41,66.09
2011-08-26,43,69.27
2011-09-02,43,69.71
2011-09-09,40,69.88
2011-09-16,40,74.77
2011-09-23,41,66.58
2011-09-30,43,63.05
2011-10-07,39,65.12
2011-10-14,40,70.57
2011-10-21,42,79.04
2011-10-28,39,83.74
2011-11-04,38,82.46
2011-11-11,39,80.72
2011-11-18,41,76.70
2011-11-25,38,71.84
2011-12-02,40,80.48
2011-12-09,39,80.25
2011-12-16,42,72.94
2011-12-23,37,76.67
2011-12-30,33,76.33
2012-01-06,37,80.27
2012-01-13,40,78.01
2012-01-20,39,79.02
2012-01-27,37,79.32
2012-02-03,38,84.34
2012-02-10,39,87.04
2012-02-17,40,88.05
2012-02-24,40,87.30
2012-03-02,40,82.55
2012-03-09,40,85.25
2012-03-16,38,84.68
2012-03-23,37,79.41
2012-03-30,37,78.34
2012-04-06,37,
2012-04-13,37,74.96
2012-04-20,38,71.73
2012-04-27,38,73.79
2012-05-04,36,69.01
2012-05-11,37,68.31
2012-05-18,37,62.88
2012-05-25,41,63.08
2012-06-01,39,58.13
2012-06-08,40,63.84
2012-06-15,39,65.37
2012-06-22,40,61.93
2012-06-29,40,66.20
2012-07-06,40,65.51
2012-07-13,41,68.81
2012-07-20,40,72.06
2012-07-27,40,71.41
2012-08-03,39,68.41
2012-08-10,39,69.68
2012-08-17,39,70.34
2012-08-24,40,69.57
2012-08-31,40,69.27
2012-09-07,39,72.29
2012-09-14,39,75.59
2012-09-21,39,71.93
2012-09-28,40,69.92
2012-10-05,39,69.05
2012-10-12,38,69.18
2012-10-19,38,70.34
2012-10-26,38,66.49
2012-11-02,38,70.26
2012-11-09,40,70.65
2012-11-16,38,70.09
2012-11-23,37,74.55
2012-11-30,39,73.19
2012-12-07,37,76.32
2012-12-14,39,74.59
2012-12-21,38,75.80
2012-12-28,29,72.31
2013-01-04,31,78.27
2013-01-11,38,77.84
2013-01-18,37,77.55
2013-01-25,38,81.00
2013-02-01,38,81.18
2013-02-08,37,84.45
2013-02-15,36,82.08
2013-02-22,36,81.75
2013-03-01,36,79.82
2013-03-08,37,83.09
2013-03-15,36,85.35
2013-03-22,37,86.58
2013-03-29,35,
2013-04-05,35,85.03
2013-04-12,37,85.29
2013-04-19,37,79.99
2013-04-26,36,83.84
2013-05-03,33,86.60
2013-05-10,35,86.45
2013-05-17,38,90.03
2013-05-24,37,89.34
2013-05-31,35,87.47
2013-06-07,37,87.98
2013-06-14,38,86.11
2013-06-21,38,83.44
2013-06-28,40,85.93
2013-07-05,37,88.38
2013-07-12,40,90.70
2013-07-19,48,92.85
2013-07-26,39,88.51
2013-08-02,37,90.46
2013-08-09,38,89.80
2013-08-16,37,91.52
2013-08-23,38,89.80
2013-08-30,37,91.42
2013-09-06,39,93.01
2013-09-13,39,94.70
2013-09-20,38,93.69
2013-09-27,40,94.53
2013-10-04,38,93.90
2013-10-11,41,95.46
2013-10-18,40,97.42
2013-10-25,37,96.15
2013-11-01,37,94.39
2013-11-08,37,90.97
2013-11-15,39,90.93
2013-11-22,40,92.04
2013-11-29,42,88.82
2013-12-06,38,86.65
2013-12-13,40,78.30
2013-12-20,41,78.77
2013-12-27,32,79.40
2014-01-03,32,78.31
2014-01-10,42,79.83
2014-01-17,40,80.06
2014-01-24,42,81.09
2014-01-31,41,80.69
2014-02-07,42,80.17
2014-02-14,41,81.54
2014-02-21,38,82.31
2014-02-28,37,84.16
2014-03-07,37,85.26
2014-03-14,37,82.00
2014-03-21,37,83.59
2014-03-28,37,84.94
2014-04-04,40,101.05
2014-04-11,38,96.48
2014-04-18,36,
2014-04-25,36,99.50
2014-05-02,35,
