Date,AET,Price
2005-10-14,18,82.34
2005-10-21,20,87.27
2005-10-28,16,88.12
2005-11-04,17,88.29
2005-11-11,17,89.72
2005-11-18,19,94.79
2005-11-25,20,95.20
2005-12-02,22,95.50
2005-12-09,16,98.68
2005-12-16,18,96.60
2005-12-23,19,96.52
2005-12-30,21,94.31
2006-01-06,22,93.79
2006-01-13,20,89.94
2006-01-20,27,89.54
2006-01-27,26,92.69
2006-02-03,23,98.32
2006-02-10,25,100.41
2006-02-17,19,101.25
2006-02-24,21,52.17
2006-03-03,25,50.56
2006-03-10,23,50.94
2006-03-17,23,51.06
2006-03-24,27,50.33
2006-03-31,27,49.14
2006-04-07,31,47.09
2006-04-14,29,
2006-04-21,38,47.10
2006-04-28,46,38.50
2006-05-05,44,37.99
2006-05-12,44,39.61
2006-05-19,42,40.25
2006-05-26,34,38.41
2006-06-02,38,40.57
2006-06-09,33,41.65
2006-06-16,30,39.23
2006-06-23,33,40.97
2006-06-30,29,39.93
2006-07-07,20,38.86
2006-07-14,25,37.84
2006-07-21,22,39.01
2006-07-28,28,32.17
2006-08-04,23,33.40
2006-08-11,22,35.41
2006-08-18,18,36.59
2006-08-25,20,37.41
2006-09-01,20,36.79
2006-09-08,23,36.50
2006-09-15,21,39.21
2006-09-22,20,38.32
2006-09-29,19,39.55
2006-10-06,24,40.32
2006-10-13,18,39.29
2006-10-20,26,40.33
2006-10-27,22,41.58
2006-11-03,22,40.54
2006-11-10,17,40.24
2006-11-17,21,41.27
2006-11-24,22,41.46
2006-12-01,21,41.34
2006-12-08,21,42.38
2006-12-15,23,43.20
2006-12-22,17,43.27
2006-12-29,14,43.18
2007-01-05,18,41.40
2007-01-12,25,42.35
2007-01-19,24,41.89
2007-01-26,20,40.97
2007-02-02,19,42.52
2007-02-09,22,42.57
2007-02-16,22,45.61
2007-02-23,17,46.06
2007-03-02,21,44.21
2007-03-09,22,43.74
2007-03-16,21,43.19
2007-03-23,20,45.20
2007-03-30,26,43.79
2007-04-06,32,
2007-04-13,31,44.62
2007-04-20,40,44.86
2007-04-27,39,47.06
2007-05-04,37,48.72
2007-05-11,38,49.99
2007-05-18,36,52.29
2007-05-25,34,52.42
2007-06-01,27,53.27
2007-06-08,31,52.25
2007-06-15,30,50.23
2007-06-22,28,49.11
2007-06-29,24,49.40
2007-07-06,20,51.08
2007-07-13,27,50.91
2007-07-20,22,49.67
2007-07-27,18,48.65
2007-08-03,19,49.31
2007-08-10,16,48.69
2007-08-17,14,49.04
2007-08-24,15,50.09
2007-08-31,15,50.91
2007-09-07,15,50.24
2007-09-14,15,51.48
2007-09-21,18,52.34
2007-09-28,16,54.27
2007-10-05,19,53.83
2007-10-12,17,53.14
2007-10-19,19,52.85
2007-10-26,18,55.88
2007-11-02,18,54.38
2007-11-09,18,54.62
2007-11-16,18,54.92
2007-11-23,18,54.14
2007-11-30,19,55.88
2007-12-07,15,58.93
2007-12-14,18,57.85
2007-12-21,17,58.55
2007-12-28,18,57.87
2008-01-04,17,55.97
2008-01-11,22,58.41
2008-01-18,20,56.09
2008-01-25,21,52.60
2008-02-01,24,53.22
2008-02-08,18,50.70
2008-02-15,20,50.84
2008-02-22,18,50.13
2008-02-29,22,49.60
2008-03-07,20,46.94
2008-03-14,21,43.72
2008-03-21,21,
2008-03-28,23,42.54
2008-04-04,33,42.07
2008-04-11,36,41.02
2008-04-18,46,41.79
2008-04-25,45,43.91
2008-05-02,47,42.99
2008-05-09,49,43.25
2008-05-16,46,43.56
2008-05-23,41,45.61
2008-05-30,42,47.16
2008-06-06,30,46.48
2008-06-13,33,44.50
2008-06-20,31,40.95
2008-06-27,33,40.31
2008-07-04,26,
2008-07-11,21,36.23
2008-07-18,25,35.22
2008-07-25,22,39.22
2008-08-01,18,39.96
2008-08-08,21,44.11
2008-08-15,17,43.80
2008-08-22,16,43.64
2008-08-29,17,43.14
2008-09-05,18,41.42
2008-09-12,20,42.52
2008-09-19,17,38.59
2008-09-26,18,38.49
2008-10-03,19,36.40
2008-10-10,20,27.77
2008-10-17,23,30.98
2008-10-24,17,28.25
2008-10-31,23,24.87
2008-11-07,20,23.48
2008-11-14,18,23.33
2008-11-21,20,17.68
2008-11-28,16,21.82
2008-12-05,17,21.26
2008-12-12,17,21.01
2008-12-19,19,26.96
2008-12-26,13,27.00
2009-01-02,15,29.41
2009-01-09,18,29.20
2009-01-16,21,27.49
2009-01-23,24,29.71
2009-01-30,23,31.00
2009-02-06,19,34.52
2009-02-13,17,32.11
2009-02-20,18,29.82
2009-02-27,16,23.87
2009-03-06,19,20.22
2009-03-13,22,24.31
2009-03-20,19,22.69
2009-03-27,21,24.50
2009-04-03,36,24.13
2009-04-10,28,
2009-04-17,43,25.78
2009-04-24,39,23.96
2009-05-01,31,22.20
2009-05-08,38,27.72
2009-05-15,35,25.76
2009-05-22,34,24.82
2009-05-29,30,26.78
2009-06-05,28,25.40
2009-06-12,25,22.97
2009-06-19,27,25.89
2009-06-26,25,25.20
2009-07-03,21,
2009-07-10,17,25.56
2009-07-17,18,26.38
2009-07-24,16,26.44
2009-07-31,16,26.97
2009-08-07,15,27.19
2009-08-14,15,28.28
2009-08-21,15,29.62
2009-08-28,18,29.10
2009-09-04,14,29.38
2009-09-11,17,30.37
2009-09-18,17,30.80
2009-09-25,16,28.94
2009-10-02,17,26.73
2009-10-09,17,25.96
2009-10-16,17,25.22
2009-10-23,20,26.07
2009-10-30,16,26.03
2009-11-06,16,29.16
2009-11-13,15,29.43
2009-11-20,16,28.40
2009-11-27,16,29.44
2009-12-04,13,28.98
2009-12-11,13,31.76
2009-12-18,16,32.51
2009-12-25,13,
2010-01-01,12,
2010-01-08,16,32.70
2010-01-15,19,31.36
2010-01-22,18,31.30
2010-01-29,18,29.97
2010-02-05,14,29.61
2010-02-12,14,28.63
2010-02-19,15,28.93
2010-02-26,15,29.99
2010-03-05,14,31.38
2010-03-12,15,31.84
2010-03-19,16,34.46
2010-03-26,14,34.32
2010-04-02,17,
2010-04-09,31,33.03
2010-04-16,33,31.40
2010-04-23,35,30.96
2010-04-30,32,29.55
2010-05-07,34,28.29
2010-05-14,30,29.78
2010-05-21,28,28.74
2010-05-28,26,29.16
2010-06-04,22,30.21
2010-06-11,27,28.62
2010-06-18,24,30.43
2010-06-25,26,28.47
2010-07-02,19,26.25
2010-07-09,17,27.63
2010-07-16,18,27.16
2010-07-23,17,28.15
2010-07-30,17,27.85
2010-08-06,16,30.07
2010-08-13,15,28.14
2010-08-20,13,27.11
2010-08-27,16,27.33
2010-09-03,15,28.76
2010-09-10,16,29.93
2010-09-17,15,29.71
2010-09-24,15,30.94
2010-10-01,16,31.20
2010-10-08,16,30.69
2010-10-15,18,31.74
2010-10-22,19,31.20
2010-10-29,18,29.86
2010-11-05,14,31.03
2010-11-12,16,31.62
2010-11-19,15,30.64
2010-11-26,16,30.12
2010-12-03,15,30.62
2010-12-10,14,30.61
2010-12-17,15,30.37
2010-12-24,13,
2010-12-31,13,30.51
2011-01-07,14,32.16
2011-01-14,17,33.89
2011-01-21,18,33.28
2011-01-28,19,32.95
2011-02-04,18,37.42
2011-02-11,16,37.65
2011-02-18,15,38.29
2011-02-25,13,37.33
2011-03-04,17,38.34
2011-03-11,15,36.50
2011-03-18,14,35.11
2011-03-25,16,36.79
2011-04-01,19,37.68
2011-04-08,72,36.75
2011-04-15,54,37.43
2011-04-22,37,
2011-04-29,36,41.38
2011-05-06,41,41.86
2011-05-13,45,43.85
2011-05-20,41,45.06
2011-05-27,37,43.59
2011-06-03,34,43.20
2011-06-10,30,42.86
2011-06-17,29,43.21
2011-06-24,26,43.28
2011-07-01,26,45.23
2011-07-08,16,44.30
2011-07-15,20,43.36
2011-07-22,19,43.34
2011-07-29,16,41.49
2011-08-05,18,37.42
2011-08-12,14,37.29
2011-08-19,14,35.48
2011-08-26,15,38.23
2011-09-02,18,38.89
2011-09-09,15,38.00
2011-09-16,17,41.53
2011-09-23,16,38.65
2011-09-30,17,36.34
2011-10-07,18,35.47
2011-10-14,17,37.86
2011-10-21,20,38.12
2011-10-28,19,40.63
2011-11-04,16,39.65
2011-11-11,17,41.36
2011-11-18,17,39.69
2011-11-25,17,37.89
2011-12-02,16,41.01
2011-12-09,16,40.91
2011-12-16,16,40.39
2011-12-23,15,43.40
2011-12-30,14,42.19
2012-01-06,16,44.07
2012-01-13,18,43.70
2012-01-20,18,43.74
2012-01-27,17,43.43
2012-02-03,20,44.11
2012-02-10,19,45.70
2012-02-17,17,47.08
2012-02-24,15,46.89
2012-03-02,17,46.58
2012-03-09,17,46.86
2012-03-16,17,46.50
2012-03-23,18,45.60
2012-03-30,17,50.16
2012-04-06,19,
2012-04-13,100,47.82
2012-04-20,57,49.21
2012-04-27,46,43.52
2012-05-04,41,43.14
2012-05-11,45,41.24
2012-05-18,39,39.23
2012-05-25,35,41.20
2012-06-01,31,40.49
2012-06-08,30,43.24
2012-06-15,26,40.99
2012-06-22,23,41.69
2012-06-29,26,38.77
2012-07-06,17,37.63
2012-07-13,18,38.16
2012-07-20,19,37.66
2012-07-27,16,36.67
2012-08-03,15,36.70
2012-08-10,14,37.73
2012-08-17,12,38.04
2012-08-24,16,38.72
2012-08-31,16,38.41
2012-09-07,15,39.00
2012-09-14,16,39.04
2012-09-21,16,39.60
2012-09-28,18,39.60
2012-10-05,16,41.66
2012-10-12,16,43.25
2012-10-19,18,43.54
2012-10-26,15,44.10
2012-11-02,17,44.00
2012-11-09,17,42.12
2012-11-16,15,40.70
2012-11-23,16,42.99
2012-11-30,16,43.19
2012-12-07,15,44.71
2012-12-14,17,45.57
2012-12-21,15,46.63
2012-12-28,12,45.56
2013-01-04,15,45.48
2013-01-11,17,45.53
2013-01-18,18,46.93
2013-01-25,19,49.76
2013-02-01,18,48.48
2013-02-08,16,50.60
2013-02-15,14,49.20
2013-02-22,15,47.58
2013-03-01,18,47.50
2013-03-08,16,50.52
2013-03-15,17,50.87
2013-03-22,16,49.91
2013-03-29,16,
2013-04-05,50,54.00
2013-04-12,53,56.78
2013-04-19,42,55.87
2013-04-26,39,57.01
2013-05-03,33,59.00
2013-05-10,44,59.10
2013-05-17,37,60.04
2013-05-24,35,59.31
2013-05-31,29,60.38
2013-06-07,25,60.27
2013-06-14,25,60.53
2013-06-21,23,61.79
2013-06-28,24,63.54
2013-07-05,20,62.58
2013-07-12,17,63.50
2013-07-19,17,64.49
2013-07-26,17,64.70
2013-08-02,15,63.56
2013-08-09,13,63.87
2013-08-16,14,62.15
2013-08-23,14,64.71
2013-08-30,16,63.39
2013-09-06,15,65.11
2013-09-13,15,67.47
2013-09-20,16,64.73
2013-09-27,16,64.48
2013-10-04,16,66.44
2013-10-11,17,65.50
2013-10-18,20,63.43
2013-10-25,16,61.82
2013-11-01,17,62.61
2013-11-08,16,63.35
2013-11-15,17,65.08
2013-11-22,18,67.77
2013-11-29,16,68.93
2013-12-06,15,66.02
2013-12-13,16,65.02
2013-12-20,16,66.98
2013-12-27,12,68.36
2014-01-03,13,67.85
2014-01-10,18,71.35
2014-01-17,24,70.16
2014-01-24,20,68.93
2014-01-31,21,68.33
2014-02-07,18,66.76
2014-02-14,17,69.19
2014-02-21,16,70.43
2014-02-28,17,72.71
2014-03-07,15,73.71
2014-03-14,16,71.51
2014-03-21,16,75.71
2014-03-28,16,74.10
2014-04-04,44,74.23
2014-04-11,40,70.82
2014-04-18,34,
2014-04-25,37,71.25
2014-05-02,30,
