Date,VTR,Price
2005-10-07,61,31.75
2005-10-14,61,30.50
2005-10-21,63,30.40
2005-10-28,59,30.24
2005-11-04,61,30.35
2005-11-11,62,31.92
2005-11-18,56,31.70
2005-11-25,54,32.20
2005-12-02,61,31.95
2005-12-09,53,32.00
2005-12-16,53,32.23
2005-12-23,54,32.07
2005-12-30,56,32.02
2006-01-06,56,34.10
2006-01-13,56,33.27
2006-01-20,57,31.00
2006-01-27,52,30.83
2006-02-03,57,30.36
2006-02-10,54,30.12
2006-02-17,53,30.45
2006-02-24,63,30.70
2006-03-03,65,30.31
2006-03-10,67,32.16
2006-03-17,60,33.99
2006-03-24,64,32.96
2006-03-31,67,33.18
2006-04-07,62,32.00
2006-04-14,71,
2006-04-21,73,33.51
2006-04-28,73,32.67
2006-05-05,73,33.20
2006-05-12,74,31.90
2006-05-19,64,32.28
2006-05-26,82,32.44
2006-06-02,72,33.03
2006-06-09,75,32.05
2006-06-16,80,32.28
2006-06-23,75,32.32
2006-06-30,72,33.88
2006-07-07,82,33.90
2006-07-14,72,33.85
2006-07-21,73,34.81
2006-07-28,69,35.85
2006-08-04,78,37.44
2006-08-11,75,37.00
2006-08-18,74,37.77
2006-08-25,73,37.67
2006-09-01,67,39.70
2006-09-08,72,39.95
2006-09-15,74,38.90
2006-09-22,66,39.00
2006-09-29,75,38.54
2006-10-06,67,38.83
2006-10-13,69,38.76
2006-10-20,72,38.60
2006-10-27,62,39.04
2006-11-03,69,36.94
2006-11-10,64,36.86
2006-11-17,62,37.55
2006-11-24,67,39.50
2006-12-01,59,38.93
2006-12-08,58,39.72
2006-12-15,59,40.56
2006-12-22,62,40.80
2006-12-29,66,42.32
2007-01-05,67,41.34
2007-01-12,62,42.61
2007-01-19,59,43.18
2007-01-26,68,45.02
2007-02-02,66,47.00
2007-02-09,64,46.66
2007-02-16,60,46.40
2007-02-23,70,47.22
2007-03-02,60,44.28
2007-03-09,75,44.76
2007-03-16,72,42.77
2007-03-23,71,43.37
2007-03-30,76,42.13
2007-04-06,72,
2007-04-13,79,41.61
2007-04-20,71,42.84
2007-04-27,70,42.16
2007-05-04,74,43.24
2007-05-11,72,42.83
2007-05-18,69,40.75
2007-05-25,69,39.89
2007-06-01,76,42.03
2007-06-08,74,40.00
2007-06-15,72,38.27
2007-06-22,67,36.26
2007-06-29,73,36.25
2007-07-06,74,38.43
2007-07-13,77,37.75
2007-07-20,79,36.06
2007-07-27,81,31.51
2007-08-03,79,32.16
2007-08-10,70,35.15
2007-08-17,69,34.00
2007-08-24,76,37.18
2007-08-31,79,38.08
2007-09-07,74,37.94
2007-09-14,71,39.46
2007-09-21,59,41.87
2007-09-28,74,41.40
2007-10-05,72,45.48
2007-10-12,66,44.90
2007-10-19,63,40.85
2007-10-26,60,42.77
2007-11-02,66,40.36
2007-11-09,72,42.01
2007-11-16,65,43.23
2007-11-23,66,43.11
2007-11-30,67,43.60
2007-12-07,61,45.69
2007-12-14,59,43.68
2007-12-21,63,43.15
2007-12-28,68,43.95
2008-01-04,65,41.12
2008-01-11,65,42.58
2008-01-18,67,39.97
2008-01-25,69,44.01
2008-02-01,70,44.95
2008-02-08,64,41.41
2008-02-15,66,42.89
2008-02-22,69,42.95
2008-02-29,86,41.82
2008-03-07,100,40.99
2008-03-14,96,42.80
2008-03-21,97,
2008-03-28,87,44.63
2008-04-04,91,47.61
2008-04-11,79,45.44
2008-04-18,98,47.67
2008-04-25,93,50.11
2008-05-02,83,48.50
2008-05-09,81,46.73
2008-05-16,90,48.15
2008-05-23,88,46.24
2008-05-30,88,47.66
2008-06-06,80,46.74
2008-06-13,77,46.23
2008-06-20,81,43.56
2008-06-27,79,41.98
2008-07-04,88,
2008-07-11,78,42.00
2008-07-18,80,43.35
2008-07-25,79,45.08
2008-08-01,83,45.54
2008-08-08,82,47.24
2008-08-15,76,45.70
2008-08-22,78,44.79
2008-08-29,78,45.42
2008-09-05,76,43.64
2008-09-12,68,45.48
2008-09-19,59,51.26
2008-09-26,74,48.78
2008-10-03,75,44.44
2008-10-10,75,37.20
2008-10-17,71,36.14
2008-10-24,71,32.00
2008-10-31,67,36.06
2008-11-07,83,30.38
2008-11-14,83,23.96
2008-11-21,77,20.02
2008-11-28,80,22.98
2008-12-05,75,23.71
2008-12-12,69,27.15
2008-12-19,69,30.01
2008-12-26,71,31.51
2009-01-02,75,31.91
2009-01-09,76,27.22
2009-01-16,79,29.45
2009-01-23,78,28.37
2009-01-30,79,27.87
2009-02-06,77,29.53
2009-02-13,69,23.84
2009-02-20,75,23.76
2009-02-27,82,21.57
2009-03-06,89,20.41
2009-03-13,91,25.69
2009-03-20,89,21.95
2009-03-27,83,23.19
2009-04-03,83,26.04
2009-04-10,80,
2009-04-17,85,28.19
2009-04-24,83,29.11
2009-05-01,76,27.98
2009-05-08,81,30.22
2009-05-15,82,27.01
2009-05-22,76,27.87
2009-05-29,77,30.36
2009-06-05,82,31.08
2009-06-12,75,30.25
2009-06-19,77,29.08
2009-06-26,76,29.24
2009-07-03,72,
2009-07-10,81,27.97
2009-07-17,75,30.81
2009-07-24,80,33.05
2009-07-31,84,35.30
2009-08-07,83,38.54
2009-08-14,80,38.35
2009-08-21,93,39.01
2009-08-28,75,39.64
2009-09-04,72,37.01
2009-09-11,72,37.50
2009-09-18,65,38.94
2009-09-25,70,38.21
2009-10-02,68,37.06
2009-10-09,63,38.91
2009-10-16,62,40.18
2009-10-23,68,40.07
2009-10-30,65,40.13
2009-11-06,69,39.13
2009-11-13,61,40.83
2009-11-20,64,41.74
2009-11-27,65,41.00
2009-12-04,62,44.71
2009-12-11,59,43.86
2009-12-18,57,42.85
2009-12-25,62,
2010-01-01,63,
2010-01-08,63,43.07
2010-01-15,59,44.67
2010-01-22,59,42.75
2010-01-29,63,42.20
2010-02-05,71,42.07
2010-02-12,68,41.88
2010-02-19,64,45.09
2010-02-26,62,44.19
2010-03-05,69,45.12
2010-03-12,71,46.49
2010-03-19,74,47.41
2010-03-26,76,48.10
2010-04-02,74,
2010-04-09,81,47.00
2010-04-16,74,44.30
2010-04-23,76,47.99
2010-04-30,77,47.23
2010-05-07,71,45.43
2010-05-14,78,47.80
2010-05-21,76,45.98
2010-05-28,82,46.95
2010-06-04,81,45.47
2010-06-11,89,48.34
2010-06-18,82,49.54
2010-06-25,74,48.56
2010-07-02,74,46.41
2010-07-09,80,48.55
2010-07-16,71,47.24
2010-07-23,82,50.54
2010-07-30,82,50.72
2010-08-06,79,51.67
2010-08-13,80,49.86
2010-08-20,77,50.25
2010-08-27,77,50.62
2010-09-03,79,53.35
2010-09-10,77,52.15
2010-09-17,66,52.88
2010-09-24,74,52.21
2010-10-01,76,51.65
2010-10-08,67,53.81
2010-10-15,69,53.57
2010-10-22,73,52.35
2010-10-29,68,53.56
2010-11-05,72,55.10
2010-11-12,74,53.45
2010-11-19,70,51.46
2010-11-26,67,51.91
2010-12-03,65,50.51
2010-12-10,65,49.97
2010-12-17,64,49.64
2010-12-24,64,
2010-12-31,65,52.48
2011-01-07,67,52.41
2011-01-14,63,52.91
2011-01-21,66,53.57
2011-01-28,63,54.36
2011-02-04,65,53.70
2011-02-11,63,55.22
2011-02-18,62,56.36
2011-02-25,66,57.19
2011-03-04,76,52.83
2011-03-11,77,52.90
2011-03-18,73,52.31
2011-03-25,77,52.11
2011-04-01,75,54.12
2011-04-08,76,53.55
2011-04-15,76,55.71
2011-04-22,75,
2011-04-29,78,55.93
2011-05-06,74,54.54
2011-05-13,74,54.15
2011-05-20,74,54.80
2011-05-27,77,55.46
2011-06-03,75,54.50
2011-06-10,75,51.20
2011-06-17,79,52.69
2011-06-24,74,52.75
2011-07-01,75,53.74
2011-07-08,78,54.32
2011-07-15,76,53.65
2011-07-22,73,55.50
2011-07-29,81,54.13
2011-08-05,77,47.63
2011-08-12,79,47.50
2011-08-19,74,47.71
2011-08-26,74,51.00
2011-09-02,73,51.32
2011-09-09,67,50.97
2011-09-16,68,53.87
2011-09-23,70,48.80
2011-09-30,76,49.40
2011-10-07,82,48.39
2011-10-14,72,50.70
2011-10-21,75,53.03
2011-10-28,71,56.04
2011-11-04,68,54.30
2011-11-11,76,54.26
2011-11-18,70,52.41
2011-11-25,68,49.57
2011-12-02,71,51.24
2011-12-09,64,53.40
2011-12-16,68,52.90
2011-12-23,66,54.94
2011-12-30,71,55.13
2012-01-06,70,53.70
2012-01-13,68,54.95
2012-01-20,73,56.42
2012-01-27,69,58.82
2012-02-03,73,58.55
2012-02-10,70,58.12
2012-02-17,62,57.17
2012-02-24,70,56.00
2012-03-02,75,56.52
2012-03-09,84,55.39
2012-03-16,80,56.97
2012-03-23,76,56.20
2012-03-30,72,57.10
2012-04-06,66,
2012-04-13,69,55.92
2012-04-20,68,56.83
2012-04-27,67,59.20
2012-05-04,69,58.53
2012-05-11,70,58.91
2012-05-18,81,56.30
2012-05-25,77,58.09
2012-06-01,77,56.89
2012-06-08,71,58.29
2012-06-15,71,60.12
2012-06-22,72,60.38
2012-06-29,69,63.12
2012-07-06,71,63.43
2012-07-13,69,64.48
2012-07-20,67,65.39
2012-07-27,67,66.79
2012-08-03,67,67.05
2012-08-10,65,63.79
2012-08-17,69,63.98
2012-08-24,71,64.15
2012-08-31,67,65.49
2012-09-07,67,65.04
2012-09-14,69,65.07
2012-09-21,52,62.65
2012-09-28,61,62.25
2012-10-05,64,63.17
2012-10-12,64,63.54
2012-10-19,60,64.54
2012-10-26,67,63.04
2012-11-02,53,64.19
2012-11-09,60,63.69
2012-11-16,59,63.81
2012-11-23,58,65.06
2012-11-30,54,63.65
2012-12-07,53,65.24
2012-12-14,57,62.70
2012-12-21,51,64.01
2012-12-28,57,63.94
2013-01-04,55,64.98
2013-01-11,57,65.19
2013-01-18,57,65.75
2013-01-25,59,66.65
2013-02-01,56,67.05
2013-02-08,62,67.42
2013-02-15,59,69.47
2013-02-22,53,70.13
2013-03-01,57,71.26
2013-03-08,59,70.34
2013-03-15,57,70.69
2013-03-22,56,70.98
2013-03-29,55,
2013-04-05,57,74.74
2013-04-12,56,77.18
2013-04-19,59,79.05
2013-04-26,56,78.41
2013-05-03,55,79.98
2013-05-10,53,79.27
2013-05-17,51,81.67
2013-05-24,54,76.66
2013-05-31,54,71.37
2013-06-07,53,71.25
2013-06-14,54,70.43
2013-06-21,52,65.46
2013-06-28,56,69.46
2013-07-05,61,68.04
2013-07-12,55,70.55
2013-07-19,55,71.44
2013-07-26,55,68.43
2013-08-02,57,64.95
2013-08-09,57,64.61
2013-08-16,53,59.53
2013-08-23,54,62.37
2013-08-30,54,62.26
2013-09-06,52,61.46
2013-09-13,52,61.45
2013-09-20,41,62.93
2013-09-27,53,62.66
2013-10-04,56,61.70
2013-10-11,56,64.09
2013-10-18,56,65.54
2013-10-25,50,67.33
2013-11-01,50,65.54
2013-11-08,53,61.57
2013-11-15,53,61.18
2013-11-22,47,59.15
2013-11-29,48,56.83
2013-12-06,51,56.35
2013-12-13,48,55.98
2013-12-20,47,57.35
2013-12-27,47,57.24
2014-01-03,49,56.79
2014-01-10,51,60.70
2014-01-17,51,60.96
2014-01-24,52,61.39
2014-01-31,54,62.39
2014-02-07,55,61.94
2014-02-14,53,61.52
2014-02-21,53,60.62
2014-02-28,55,62.43
2014-03-07,59,60.50
2014-03-14,59,60.76
2014-03-21,58,59.63
2014-03-28,57,60.36
2014-04-04,59,61.99
2014-04-11,56,63.15
2014-04-18,53,
2014-04-25,57,64.35
2014-05-02,60,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
