Date,MCO,Price
2009-04-17,57,28.65
2009-04-24,57,28.84
2009-05-01,52,29.50
2009-05-08,58,31.23
2009-05-15,58,28.40
2009-05-22,58,27.89
2009-05-29,54,27.39
2009-06-05,60,28.94
2009-06-12,54,28.34
2009-06-19,59,26.04
2009-06-26,58,26.01
2009-07-03,54,
2009-07-10,59,26.31
2009-07-17,55,29.03
2009-07-24,61,25.93
2009-07-31,63,23.74
2009-08-07,65,25.51
2009-08-14,56,24.52
2009-08-21,56,26.05
2009-08-28,60,27.56
2009-09-04,55,24.42
2009-09-11,51,25.24
2009-09-18,52,23.59
2009-09-25,57,18.85
2009-10-02,55,19.61
2009-10-09,54,22.35
2009-10-16,52,24.02
2009-10-23,51,25.03
2009-10-30,50,23.68
2009-11-06,56,23.86
2009-11-13,46,23.59
2009-11-20,56,22.95
2009-11-27,45,22.94
2009-12-04,48,25.36
2009-12-11,53,26.69
2009-12-18,50,26.78
2009-12-25,48,
2010-01-01,44,
2010-01-08,57,26.84
2010-01-15,53,27.42
2010-01-22,49,26.97
2010-01-29,55,27.59
2010-02-05,54,27.34
2010-02-12,56,26.98
2010-02-19,50,27.09
2010-02-26,54,26.62
2010-03-05,52,28.11
2010-03-12,55,28.26
2010-03-19,54,29.66
2010-03-26,54,30.26
2010-04-02,58,
2010-04-09,56,28.87
2010-04-16,51,27.41
2010-04-23,54,26.24
2010-04-30,48,24.72
2010-05-07,53,23.36
2010-05-14,60,21.57
2010-05-21,55,22.02
2010-05-28,49,20.50
2010-06-04,51,18.89
2010-06-11,49,19.68
2010-06-18,51,21.10
2010-06-25,49,22.01
2010-07-02,52,20.00
2010-07-09,44,22.04
2010-07-16,56,21.94
2010-07-23,56,22.62
2010-07-30,51,23.55
2010-08-06,56,23.53
2010-08-13,56,21.90
2010-08-20,50,21.71
2010-08-27,50,21.44
2010-09-03,47,23.15
2010-09-10,51,24.95
2010-09-17,55,25.00
2010-09-24,51,25.77
2010-10-01,57,25.23
2010-10-08,53,26.90
2010-10-15,54,26.50
2010-10-22,55,26.84
2010-10-29,58,27.06
2010-11-05,54,28.78
2010-11-12,52,27.72
2010-11-19,56,27.00
2010-11-26,47,26.65
2010-12-03,52,27.04
2010-12-10,49,27.32
2010-12-17,52,26.35
2010-12-24,48,
2010-12-31,53,26.54
2011-01-07,58,29.29
2011-01-14,53,28.94
2011-01-21,52,28.99
2011-01-28,55,29.03
2011-02-04,54,29.85
2011-02-11,54,30.46
2011-02-18,51,30.69
2011-02-25,54,31.24
2011-03-04,57,31.73
2011-03-11,55,32.36
2011-03-18,57,32.26
2011-03-25,54,33.03
2011-04-01,55,34.57
2011-04-08,54,35.30
2011-04-15,51,35.86
2011-04-22,56,
2011-04-29,52,39.14
2011-05-06,52,37.86
2011-05-13,55,38.14
2011-05-20,50,38.69
2011-05-27,51,38.79
2011-06-03,48,39.43
2011-06-10,50,41.18
2011-06-17,52,36.35
2011-06-24,56,37.05
2011-07-01,51,39.01
2011-07-08,46,39.40
2011-07-15,50,36.45
2011-07-22,54,37.17
2011-07-29,53,35.61
2011-08-05,53,32.88
2011-08-12,47,31.86
2011-08-19,44,27.04
2011-08-26,40,29.77
2011-09-02,40,29.34
2011-09-09,41,28.97
2011-09-16,45,32.88
2011-09-23,45,30.37
2011-09-30,46,30.45
2011-10-07,41,30.83
2011-10-14,41,32.18
2011-10-21,43,31.38
2011-10-28,42,35.89
2011-11-04,42,35.45
2011-11-11,43,35.03
2011-11-18,40,32.80
2011-11-25,39,31.63
2011-12-02,41,34.95
2011-12-09,40,35.42
2011-12-16,43,32.60
2011-12-23,41,34.54
2011-12-30,41,33.68
2012-01-06,46,35.83
2012-01-13,47,35.93
2012-01-20,47,36.47
2012-01-27,45,37.66
2012-02-03,41,38.50
2012-02-10,46,38.44
2012-02-17,42,38.53
2012-02-24,45,38.88
2012-03-02,49,38.94
2012-03-09,48,38.84
2012-03-16,50,42.60
2012-03-23,47,41.61
2012-03-30,42,42.10
2012-04-06,46,
2012-04-13,42,41.68
2012-04-20,43,41.61
2012-04-27,41,41.57
2012-05-04,44,39.01
2012-05-11,48,38.36
2012-05-18,47,35.58
2012-05-25,47,37.36
2012-06-01,44,35.37
2012-06-08,47,36.30
2012-06-15,45,35.71
2012-06-22,47,35.03
2012-06-29,46,36.55
2012-07-06,41,36.45
2012-07-13,51,36.67
2012-07-20,48,36.31
2012-07-27,46,40.91
2012-08-03,48,40.65
2012-08-10,51,39.61
2012-08-17,48,39.71
2012-08-24,48,38.59
2012-08-31,45,39.60
2012-09-07,43,41.27
2012-09-14,44,43.82
2012-09-21,48,45.80
2012-09-28,43,44.17
2012-10-05,52,44.92
2012-10-12,44,44.36
2012-10-19,48,45.62
2012-10-26,51,47.89
2012-11-02,44,48.02
2012-11-09,45,45.87
2012-11-16,44,45.00
2012-11-23,40,47.32
2012-11-30,48,48.58
2012-12-07,43,49.36
2012-12-14,44,48.17
2012-12-21,47,50.25
2012-12-28,44,49.47
2013-01-04,45,52.77
2013-01-11,51,53.28
2013-01-18,48,53.60
2013-01-25,47,54.34
2013-02-01,49,55.35
2013-02-08,51,43.37
2013-02-15,50,46.80
2013-02-22,47,48.27
2013-03-01,52,48.93
2013-03-08,51,50.95
2013-03-15,49,51.61
2013-03-22,50,51.32
2013-03-29,50,
2013-04-05,50,52.40
2013-04-12,53,54.40
2013-04-19,50,54.84
2013-04-26,47,55.12
2013-05-03,45,62.75
2013-05-10,49,65.40
2013-05-17,51,67.91
2013-05-24,46,67.25
2013-05-31,46,66.44
2013-06-07,46,65.74
2013-06-14,46,62.20
2013-06-21,45,58.88
2013-06-28,47,60.93
2013-07-05,44,60.74
2013-07-12,47,61.04
2013-07-19,49,61.76
2013-07-26,48,64.37
2013-08-02,46,69.22
2013-08-09,45,69.58
2013-08-16,45,64.44
2013-08-23,46,65.18
2013-08-30,40,63.56
2013-09-06,43,65.78
2013-09-13,45,67.40
2013-09-20,42,70.60
2013-09-27,45,70.35
2013-10-04,43,70.93
2013-10-11,41,71.46
2013-10-18,42,73.21
2013-10-25,46,71.56
2013-11-01,44,71.19
2013-11-08,46,73.07
2013-11-15,43,75.05
2013-11-22,44,75.48
2013-11-29,38,74.63
2013-12-06,44,73.92
2013-12-13,46,71.83
2013-12-20,47,77.30
2013-12-27,40,77.44
2014-01-03,46,77.83
2014-01-10,57,76.75
2014-01-17,52,75.75
2014-01-24,49,72.97
2014-01-31,50,74.58
2014-02-07,48,80.02
2014-02-14,54,79.53
2014-02-21,53,78.80
2014-02-28,52,79.00
2014-03-07,55,82.78
2014-03-14,56,80.69
2014-03-21,52,81.09
2014-03-28,52,77.57
2014-04-04,51,79.62
2014-04-11,48,74.49
2014-04-18,46,
2014-04-25,48,79.13
2014-05-02,49,
