Date,LNC,Price
2006-01-13,45,54.33
2006-01-20,50,52.77
2006-01-27,48,52.94
2006-02-03,68,52.86
2006-02-10,73,54.67
2006-02-17,51,55.83
2006-02-24,37,57.58
2006-03-03,60,55.64
2006-03-10,84,54.60
2006-03-17,49,55.78
2006-03-24,57,55.46
2006-03-31,44,54.59
2006-04-07,58,56.81
2006-04-14,62,
2006-04-21,50,57.39
2006-04-28,41,58.08
2006-05-05,53,58.79
2006-05-12,30,57.24
2006-05-19,36,56.45
2006-05-26,50,56.51
2006-06-02,49,57.35
2006-06-09,64,57.04
2006-06-16,63,55.95
2006-06-23,34,54.99
2006-06-30,53,56.44
2006-07-07,60,55.78
2006-07-14,39,55.00
2006-07-21,49,56.15
2006-07-28,54,57.01
2006-08-04,59,56.68
2006-08-11,54,57.47
2006-08-18,37,60.36
2006-08-25,54,59.71
2006-09-01,38,60.92
2006-09-08,40,60.93
2006-09-15,71,61.25
2006-09-22,53,61.94
2006-09-29,51,62.08
2006-10-06,54,63.77
2006-10-13,51,64.01
2006-10-20,55,63.86
2006-10-27,38,63.74
2006-11-03,40,63.22
2006-11-10,50,64.48
2006-11-17,52,65.18
2006-11-24,48,64.66
2006-12-01,46,63.05
2006-12-08,41,63.07
2006-12-15,61,64.83
2006-12-22,50,65.16
2006-12-29,34,66.40
2007-01-05,59,65.17
2007-01-12,50,65.90
2007-01-19,62,66.35
2007-01-26,46,65.69
2007-02-02,35,68.29
2007-02-09,43,69.05
2007-02-16,58,70.79
2007-02-23,46,70.47
2007-03-02,64,67.66
2007-03-09,58,67.86
2007-03-16,59,66.19
2007-03-23,59,68.99
2007-03-30,63,67.79
2007-04-06,47,
2007-04-13,43,67.85
2007-04-20,51,69.72
2007-04-27,49,71.17
2007-05-04,43,72.78
2007-05-11,40,73.77
2007-05-18,38,74.00
2007-05-25,51,72.59
2007-06-01,56,73.07
2007-06-08,60,71.62
2007-06-15,58,72.24
2007-06-22,85,70.70
2007-06-29,71,70.95
2007-07-06,41,71.04
2007-07-13,55,69.77
2007-07-20,49,65.76
2007-07-27,56,60.62
2007-08-03,63,57.30
2007-08-10,84,60.51
2007-08-17,50,60.28
2007-08-24,43,62.65
2007-08-31,48,60.88
2007-09-07,59,59.79
2007-09-14,35,63.10
2007-09-21,46,64.67
2007-09-28,38,65.97
2007-10-05,50,67.95
2007-10-12,56,68.86
2007-10-19,52,64.14
2007-10-26,44,66.58
2007-11-02,50,60.00
2007-11-09,52,60.50
2007-11-16,36,59.76
2007-11-23,50,59.76
2007-11-30,57,61.57
2007-12-07,38,60.91
2007-12-14,47,57.23
2007-12-21,51,59.02
2007-12-28,61,58.11
2008-01-04,47,54.67
2008-01-11,44,55.78
2008-01-18,56,50.19
2008-01-25,46,50.97
2008-02-01,66,56.09
2008-02-08,47,51.54
2008-02-15,52,53.49
2008-02-22,32,53.92
2008-02-29,50,51.11
2008-03-07,50,48.55
2008-03-14,75,47.67
2008-03-21,58,
2008-03-28,60,51.00
2008-04-04,50,55.13
2008-04-11,43,51.01
2008-04-18,50,52.92
2008-04-25,49,52.29
2008-05-02,48,56.33
2008-05-09,38,52.88
2008-05-16,50,55.11
2008-05-23,49,53.96
2008-05-30,44,55.16
2008-06-06,53,52.62
2008-06-13,53,51.29
2008-06-20,57,48.39
2008-06-27,37,46.32
2008-07-04,61,
2008-07-11,50,45.33
2008-07-18,50,44.34
2008-07-25,41,45.02
2008-08-01,52,47.43
2008-08-08,36,50.27
2008-08-15,46,50.37
2008-08-22,49,49.60
2008-08-29,47,50.76
2008-09-05,51,50.70
2008-09-12,55,51.90
2008-09-19,59,54.90
2008-09-26,42,49.00
2008-10-03,52,39.23
2008-10-10,67,23.95
2008-10-17,64,23.09
2008-10-24,63,20.99
2008-10-31,69,17.24
2008-11-07,57,19.77
2008-11-14,63,14.35
2008-11-21,74,6.36
2008-11-28,63,13.73
2008-12-05,69,17.36
2008-12-12,59,17.34
2008-12-19,63,19.00
2008-12-26,58,16.81
2009-01-02,51,19.95
2009-01-09,63,20.10
2009-01-16,50,18.21
2009-01-23,61,16.26
2009-01-30,66,15.13
2009-02-06,60,16.52
2009-02-13,70,14.18
2009-02-20,55,11.44
2009-02-27,54,8.59
2009-03-06,65,5.40
2009-03-13,64,9.03
2009-03-20,59,7.31
2009-03-27,62,10.37
2009-04-03,92,6.90
2009-04-10,91,
2009-04-17,84,10.07
2009-04-24,65,10.16
2009-05-01,63,11.39
2009-05-08,74,18.24
2009-05-15,71,16.12
2009-05-22,62,17.03
2009-05-29,55,18.95
2009-06-05,64,19.57
2009-06-12,76,17.75
2009-06-19,65,16.86
2009-06-26,55,16.18
2009-07-03,53,
2009-07-10,54,14.60
2009-07-17,68,16.16
2009-07-24,71,18.61
2009-07-31,51,21.19
2009-08-07,65,22.64
2009-08-14,51,24.25
2009-08-21,58,25.07
2009-08-28,57,25.29
2009-09-04,47,23.80
2009-09-11,46,24.86
2009-09-18,52,26.31
2009-09-25,54,24.11
2009-10-02,48,24.05
2009-10-09,49,27.84
2009-10-16,43,26.47
2009-10-23,53,25.41
2009-10-30,48,23.83
2009-11-06,49,23.75
2009-11-13,46,23.67
2009-11-20,51,23.53
2009-11-27,48,22.81
2009-12-04,49,23.08
2009-12-11,45,22.44
2009-12-18,43,23.29
2009-12-25,36,
2010-01-01,32,
2010-01-08,46,27.03
2010-01-15,47,26.89
2010-01-22,39,24.47
2010-01-29,43,24.58
2010-02-05,40,23.72
2010-02-12,39,24.70
2010-02-19,41,25.48
2010-02-26,39,25.18
2010-03-05,37,26.98
2010-03-12,40,27.36
2010-03-19,36,28.76
2010-03-26,56,29.75
2010-04-02,53,
2010-04-09,45,31.66
2010-04-16,39,31.31
2010-04-23,48,32.79
2010-04-30,37,30.59
2010-05-07,42,26.64
2010-05-14,40,28.02
2010-05-21,43,25.51
2010-05-28,43,26.46
2010-06-04,44,25.31
2010-06-11,43,26.36
2010-06-18,33,27.81
2010-06-25,44,27.07
2010-07-02,31,23.38
2010-07-09,40,25.58
2010-07-16,42,22.62
2010-07-23,48,24.61
2010-07-30,45,26.04
2010-08-06,44,24.69
2010-08-13,62,22.69
2010-08-20,45,21.33
2010-08-27,52,23.73
2010-09-03,43,26.09
2010-09-10,56,25.50
2010-09-17,40,24.56
2010-09-24,41,24.10
2010-10-01,41,23.97
2010-10-08,42,24.94
2010-10-15,48,25.09
2010-10-22,50,26.01
2010-10-29,44,24.48
2010-11-05,47,25.43
2010-11-12,59,23.89
2010-11-19,45,24.52
2010-11-26,45,23.64
2010-12-03,39,25.21
2010-12-10,60,28.14
2010-12-17,48,28.43
2010-12-24,51,
2010-12-31,38,27.81
2011-01-07,44,29.25
2011-01-14,49,29.27
2011-01-21,43,29.01
2011-01-28,54,29.07
2011-02-04,42,30.90
2011-02-11,47,31.75
2011-02-18,47,32.06
2011-02-25,39,31.58
2011-03-04,40,30.92
2011-03-11,46,30.28
2011-03-18,45,29.56
2011-03-25,35,30.32
2011-04-01,43,30.51
2011-04-08,39,29.79
2011-04-15,48,28.87
2011-04-22,41,
2011-04-29,43,31.23
2011-05-06,50,29.87
2011-05-13,50,29.79
2011-05-20,48,29.21
2011-05-27,47,28.87
2011-06-03,41,27.45
2011-06-10,47,26.30
2011-06-17,50,26.95
2011-06-24,45,26.76
2011-07-01,41,29.15
2011-07-08,45,28.53
2011-07-15,33,27.16
2011-07-22,41,27.79
2011-07-29,37,26.50
2011-08-05,38,23.53
2011-08-12,43,22.24
2011-08-19,33,19.46
2011-08-26,40,19.29
2011-09-02,44,19.03
2011-09-09,38,18.03
2011-09-16,43,19.20
2011-09-23,39,15.30
2011-09-30,39,15.63
2011-10-07,35,15.10
2011-10-14,35,17.99
2011-10-21,39,19.03
2011-10-28,41,21.40
2011-11-04,36,19.28
2011-11-11,44,20.22
2011-11-18,35,19.45
2011-11-25,34,17.58
2011-12-02,38,20.06
2011-12-09,40,20.04
2011-12-16,35,18.51
2011-12-23,42,19.72
2011-12-30,30,19.42
2012-01-06,37,20.06
2012-01-13,41,21.07
2012-01-20,39,22.50
2012-01-27,38,20.98
2012-02-03,42,23.84
2012-02-10,45,24.17
2012-02-17,42,25.56
2012-02-24,38,25.08
2012-03-02,40,24.97
2012-03-09,45,24.70
2012-03-16,40,26.77
2012-03-23,35,26.45
2012-03-30,36,26.36
2012-04-06,36,
2012-04-13,40,24.15
2012-04-20,42,23.66
2012-04-27,46,24.67
2012-05-04,44,23.11
2012-05-11,41,23.58
2012-05-18,41,20.56
2012-05-25,40,21.27
2012-06-01,39,19.40
2012-06-08,42,20.98
2012-06-15,39,21.23
2012-06-22,39,20.81
2012-06-29,36,21.87
2012-07-06,37,20.77
2012-07-13,38,20.88
2012-07-20,32,20.08
2012-07-27,43,20.32
2012-08-03,46,22.03
2012-08-10,37,22.94
2012-08-17,32,23.89
2012-08-24,34,23.78
2012-08-31,37,23.22
2012-09-07,43,24.38
2012-09-14,38,25.80
2012-09-21,33,24.80
2012-09-28,38,24.19
2012-10-05,41,24.39
2012-10-12,32,23.76
2012-10-19,45,25.33
2012-10-26,37,24.68
2012-11-02,31,25.20
2012-11-09,36,23.57
2012-11-16,36,23.80
2012-11-23,31,24.61
2012-11-30,40,24.70
2012-12-07,35,25.78
2012-12-14,40,25.29
2012-12-21,33,25.90
2012-12-28,31,25.23
2013-01-04,43,28.11
2013-01-11,39,27.84
2013-01-18,37,27.73
2013-01-25,55,29.11
2013-02-01,42,29.50
2013-02-08,48,29.43
2013-02-15,36,30.33
2013-02-22,38,29.73
2013-03-01,44,29.80
2013-03-08,43,33.00
2013-03-15,42,33.44
2013-03-22,43,32.67
2013-03-29,42,
2013-04-05,43,30.87
2013-04-12,39,32.88
2013-04-19,43,31.22
2013-04-26,42,33.27
2013-05-03,38,32.96
2013-05-10,39,34.86
2013-05-17,36,35.25
2013-05-24,37,34.48
2013-05-31,37,35.66
2013-06-07,38,35.89
2013-06-14,34,34.53
2013-06-21,33,35.42
2013-06-28,43,36.47
2013-07-05,37,38.98
2013-07-12,44,39.56
2013-07-19,41,40.89
2013-07-26,40,41.55
2013-08-02,43,44.24
2013-08-09,40,43.31
2013-08-16,38,43.55
2013-08-23,43,44.19
2013-08-30,46,42.04
2013-09-06,38,43.73
2013-09-13,41,44.43
2013-09-20,38,42.25
2013-09-27,36,42.15
2013-10-04,40,43.10
2013-10-11,47,43.80
2013-10-18,44,45.46
2013-10-25,44,44.66
2013-11-01,44,45.60
2013-11-08,38,48.76
2013-11-15,45,50.00
2013-11-22,39,50.48
2013-11-29,39,51.33
2013-12-06,38,51.43
2013-12-13,34,50.94
2013-12-20,39,51.36
2013-12-27,38,51.65
2014-01-03,33,50.80
2014-01-10,39,52.13
2014-01-17,41,51.59
2014-01-24,38,47.87
2014-01-31,34,48.03
2014-02-07,39,49.28
2014-02-14,39,49.18
2014-02-21,41,49.95
2014-02-28,38,50.13
2014-03-07,38,52.92
2014-03-14,39,50.41
2014-03-21,30,52.00
2014-03-28,35,49.91
2014-04-04,42,50.38
2014-04-11,38,45.67
2014-04-18,33,
2014-04-25,32,47.51
2014-05-02,37,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
