Date,SEE,Price
2008-04-04,63,27.06
2008-04-11,62,25.96
2008-04-18,63,28.11
2008-04-25,63,28.18
2008-05-02,64,24.53
2008-05-09,63,24.00
2008-05-16,64,25.32
2008-05-23,63,23.37
2008-05-30,65,24.36
2008-06-06,64,22.97
2008-06-13,64,22.63
2008-06-20,65,20.78
2008-06-27,67,19.53
2008-07-04,71,
2008-07-11,68,18.70
2008-07-18,71,20.10
2008-07-25,71,21.04
2008-08-01,72,21.71
2008-08-08,70,23.12
2008-08-15,69,23.72
2008-08-22,68,23.16
2008-08-29,65,24.23
2008-09-05,61,23.83
2008-09-12,61,25.01
2008-09-19,63,23.25
2008-09-26,63,23.13
2008-10-03,60,21.35
2008-10-10,64,21.80
2008-10-17,61,19.32
2008-10-24,60,18.95
2008-10-31,60,16.92
2008-11-07,58,16.42
2008-11-14,60,15.99
2008-11-21,59,12.70
2008-11-28,58,15.83
2008-12-05,62,15.00
2008-12-12,63,14.75
2008-12-19,58,14.85
2008-12-26,61,14.66
2009-01-02,64,15.25
2009-01-09,62,15.11
2009-01-16,63,14.32
2009-01-23,64,13.70
2009-01-30,63,13.55
2009-02-06,63,14.08
2009-02-13,63,12.85
2009-02-20,63,11.48
2009-02-27,64,11.16
2009-03-06,62,10.64
2009-03-13,63,12.59
2009-03-20,64,12.91
2009-03-27,63,14.17
2009-04-03,66,14.92
2009-04-10,67,
2009-04-17,64,15.73
2009-04-24,63,17.93
2009-05-01,66,19.15
2009-05-08,66,20.96
2009-05-15,66,18.73
2009-05-22,69,19.65
2009-05-29,68,20.01
2009-06-05,69,19.74
2009-06-12,67,19.12
2009-06-19,68,17.85
2009-06-26,66,17.81
2009-07-03,69,
2009-07-10,72,19.12
2009-07-17,72,20.53
2009-07-24,75,21.58
2009-07-31,77,18.39
2009-08-07,75,18.59
2009-08-14,76,18.37
2009-08-21,75,18.78
2009-08-28,70,19.24
2009-09-04,66,18.58
2009-09-11,66,19.05
2009-09-18,64,20.58
2009-09-25,66,19.41
2009-10-02,62,18.78
2009-10-09,65,19.80
2009-10-16,60,20.22
2009-10-23,61,20.24
2009-10-30,61,19.23
2009-11-06,62,20.96
2009-11-13,62,21.80
2009-11-20,66,22.15
2009-11-27,63,22.31
2009-12-04,63,22.62
2009-12-11,63,22.30
2009-12-18,62,21.75
2009-12-25,62,
2010-01-01,68,
2010-01-08,66,21.68
2010-01-15,68,21.12
2010-01-22,69,20.44
2010-01-29,66,19.84
2010-02-05,71,19.05
2010-02-12,67,19.57
2010-02-19,69,20.17
2010-02-26,68,20.43
2010-03-05,71,20.91
2010-03-12,70,21.10
2010-03-19,65,21.60
2010-03-26,67,21.31
2010-04-02,71,
2010-04-09,67,21.70
2010-04-16,66,22.45
2010-04-23,66,23.26
2010-04-30,70,21.50
2010-05-07,67,20.58
2010-05-14,69,21.14
2010-05-21,71,20.96
2010-05-28,70,20.84
2010-06-04,70,20.11
2010-06-11,71,20.85
2010-06-18,67,21.52
2010-06-25,68,20.69
2010-07-02,77,19.49
2010-07-09,81,20.85
2010-07-16,83,21.12
2010-07-23,80,22.68
2010-07-30,74,21.63
2010-08-06,77,22.36
2010-08-13,78,21.64
2010-08-20,75,21.22
2010-08-27,75,20.90
2010-09-03,69,21.16
2010-09-10,69,21.69
2010-09-17,67,22.50
2010-09-24,69,22.71
2010-10-01,66,22.73
2010-10-08,68,22.86
2010-10-15,63,23.77
2010-10-22,66,23.76
2010-10-29,75,23.15
2010-11-05,71,23.59
2010-11-12,67,22.52
2010-11-19,66,22.87
2010-11-26,66,23.26
2010-12-03,65,24.28
2010-12-10,67,24.32
2010-12-17,67,25.05
2010-12-24,67,
2010-12-31,66,25.45
2011-01-07,70,25.93
2011-01-14,69,26.86
2011-01-21,68,25.45
2011-01-28,70,26.64
2011-02-04,74,28.17
2011-02-11,69,28.39
2011-02-18,70,28.24
2011-02-25,68,27.45
2011-03-04,67,26.90
2011-03-11,68,26.18
2011-03-18,66,25.83
2011-03-25,68,26.43
2011-04-01,68,26.90
2011-04-08,69,26.19
2011-04-15,69,26.09
2011-04-22,74,
2011-04-29,73,25.77
2011-05-06,72,25.71
2011-05-13,72,25.60
2011-05-20,76,25.74
2011-05-27,75,25.35
2011-06-03,78,21.89
2011-06-10,76,23.42
2011-06-17,78,22.98
2011-06-24,75,22.51
2011-07-01,78,23.87
2011-07-08,82,23.53
2011-07-15,80,23.04
2011-07-22,79,23.05
2011-07-29,75,21.53
2011-08-05,77,19.62
2011-08-12,77,18.46
2011-08-19,77,17.37
2011-08-26,77,17.02
2011-09-02,72,17.75
2011-09-09,71,17.45
2011-09-16,71,19.13
2011-09-23,70,17.42
2011-09-30,71,16.70
2011-10-07,68,16.47
2011-10-14,66,17.52
2011-10-21,69,17.34
2011-10-28,68,18.35
2011-11-04,65,17.70
2011-11-11,70,18.15
2011-11-18,67,16.88
2011-11-25,65,16.31
2011-12-02,68,17.82
2011-12-09,68,18.15
2011-12-16,66,17.42
2011-12-23,65,17.05
2011-12-30,69,17.21
2012-01-06,73,17.54
2012-01-13,72,17.98
2012-01-20,69,19.30
2012-01-27,72,19.90
2012-02-03,78,20.71
2012-02-10,71,20.08
2012-02-17,73,21.04
2012-02-24,71,19.83
2012-03-02,70,19.78
2012-03-09,72,19.50
2012-03-16,74,20.32
2012-03-23,74,19.56
2012-03-30,72,19.31
2012-04-06,71,
2012-04-13,71,18.73
2012-04-20,74,19.11
2012-04-27,72,19.24
2012-05-04,75,17.69
2012-05-11,71,17.80
2012-05-18,71,16.03
2012-05-25,81,16.00
2012-06-01,78,15.26
2012-06-08,77,15.63
2012-06-15,74,15.54
2012-06-22,77,15.58
2012-06-29,80,15.44
2012-07-06,81,15.82
2012-07-13,79,15.36
2012-07-20,78,15.58
2012-07-27,83,15.94
2012-08-03,80,13.82
2012-08-10,80,13.99
2012-08-17,88,13.58
2012-08-24,83,13.26
2012-08-31,77,14.27
2012-09-07,75,15.06
2012-09-14,76,16.30
2012-09-21,75,16.67
2012-09-28,74,15.46
2012-10-05,71,15.91
2012-10-12,73,15.35
2012-10-19,72,15.95
2012-10-26,71,15.84
2012-11-02,68,16.67
2012-11-09,71,16.68
2012-11-16,70,16.39
2012-11-23,71,17.16
2012-11-30,71,16.82
2012-12-07,73,16.51
2012-12-14,74,16.13
2012-12-21,69,17.35
2012-12-28,73,17.09
2013-01-04,77,18.11
2013-01-11,74,18.22
2013-01-18,76,18.80
2013-01-25,73,18.62
2013-02-01,77,19.08
2013-02-08,78,19.25
2013-02-15,76,19.40
2013-02-22,74,21.02
2013-03-01,76,22.38
2013-03-08,77,22.50
2013-03-15,74,24.27
2013-03-22,77,23.71
2013-03-29,77,
2013-04-05,76,21.90
2013-04-12,77,22.65
2013-04-19,76,21.48
2013-04-26,80,21.79
2013-05-03,78,22.51
2013-05-10,76,23.10
2013-05-17,79,23.86
2013-05-24,80,23.76
2013-05-31,89,24.02
2013-06-07,100,24.41
2013-06-14,96,23.88
2013-06-21,95,23.47
2013-06-28,89,23.95
2013-07-05,92,25.56
2013-07-12,92,27.51
2013-07-19,98,27.55
2013-07-26,99,27.12
2013-08-02,94,30.36
2013-08-09,94,30.09
2013-08-16,92,29.16
2013-08-23,97,29.41
2013-08-30,99,28.40
2013-09-06,95,29.52
2013-09-13,89,30.04
2013-09-20,84,28.56
2013-09-27,82,27.49
2013-10-04,81,27.07
2013-10-11,79,27.44
2013-10-18,79,27.93
2013-10-25,77,28.33
2013-11-01,78,31.21
2013-11-08,79,30.82
2013-11-15,78,31.73
2013-11-22,79,31.78
2013-11-29,75,32.11
2013-12-06,76,32.52
2013-12-13,77,31.85
2013-12-20,78,32.95
2013-12-27,82,33.82
2014-01-03,90,33.67
2014-01-10,84,34.02
2014-01-17,83,33.06
2014-01-24,84,31.07
2014-01-31,84,31.19
2014-02-07,87,31.45
2014-02-14,82,32.27
2014-02-21,81,32.78
2014-02-28,84,34.04
2014-03-07,83,33.52
2014-03-14,82,32.09
2014-03-21,79,32.23
2014-03-28,82,31.53
2014-04-04,80,32.38
2014-04-11,83,30.36
2014-04-18,90,
2014-04-25,82,32.52
2014-05-02,84,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
