Date,KSU,Price
2010-10-01,59,37.26
2010-10-08,67,39.47
2010-10-15,67,41.42
2010-10-22,59,42.06
2010-10-29,53,43.82
2010-11-05,52,46.53
2010-11-12,52,44.74
2010-11-19,51,46.90
2010-11-26,46,47.84
2010-12-03,53,49.29
2010-12-10,58,49.98
2010-12-17,51,48.02
2010-12-24,47,
2010-12-31,50,47.86
2011-01-07,50,51.25
2011-01-14,58,52.04
2011-01-21,70,47.71
2011-01-28,76,48.87
2011-02-04,70,51.11
2011-02-11,59,54.75
2011-02-18,67,55.47
2011-02-25,52,54.09
2011-03-04,51,53.95
2011-03-11,48,53.03
2011-03-18,49,50.71
2011-03-25,50,54.23
2011-04-01,44,54.47
2011-04-08,48,52.01
2011-04-15,43,52.60
2011-04-22,53,
2011-04-29,53,58.11
2011-05-06,54,56.44
2011-05-13,50,54.66
2011-05-20,40,56.80
2011-05-27,41,58.48
2011-06-03,45,56.57
2011-06-10,51,52.37
2011-06-17,56,53.53
2011-06-24,46,55.59
2011-07-01,43,60.61
2011-07-08,36,59.54
2011-07-15,40,57.07
2011-07-22,43,61.74
2011-07-29,43,59.35
2011-08-05,45,52.13
2011-08-12,48,54.47
2011-08-19,57,46.00
2011-08-26,58,50.68
2011-09-02,63,50.98
2011-09-09,67,49.62
2011-09-16,71,54.71
2011-09-23,64,49.41
2011-09-30,66,49.96
2011-10-07,68,54.55
2011-10-14,60,58.36
2011-10-21,71,59.54
2011-10-28,68,65.03
2011-11-04,55,66.32
2011-11-11,60,67.23
2011-11-18,65,68.02
2011-11-25,51,62.81
2011-12-02,63,67.86
2011-12-09,65,66.38
2011-12-16,57,63.81
2011-12-23,46,67.83
2011-12-30,43,68.01
2012-01-06,70,69.68
2012-01-13,62,72.04
2012-01-20,59,73.39
2012-01-27,66,68.60
2012-02-03,58,70.51
2012-02-10,58,68.42
2012-02-17,57,66.24
2012-02-24,53,69.24
2012-03-02,53,69.75
2012-03-09,50,69.25
2012-03-16,62,74.67
2012-03-23,46,70.45
2012-03-30,58,71.69
2012-04-06,60,
2012-04-13,51,72.59
2012-04-20,52,71.41
2012-04-27,54,78.36
2012-05-04,57,75.10
2012-05-11,51,71.66
2012-05-18,46,64.72
2012-05-25,41,66.44
2012-06-01,41,63.26
2012-06-08,51,67.13
2012-06-15,49,68.29
2012-06-22,46,67.70
2012-06-29,42,69.56
2012-07-06,39,69.89
2012-07-13,40,70.09
2012-07-20,45,70.79
2012-07-27,40,74.66
2012-08-03,42,74.13
2012-08-10,41,74.16
2012-08-17,55,77.77
2012-08-24,68,77.70
2012-08-31,72,77.33
2012-09-07,75,79.82
2012-09-14,73,83.63
2012-09-21,67,76.00
2012-09-28,69,75.78
2012-10-05,68,76.28
2012-10-12,66,75.15
2012-10-19,65,78.43
2012-10-26,66,81.25
2012-11-02,68,81.10
2012-11-09,76,76.91
2012-11-16,69,73.85
2012-11-23,58,77.61
2012-11-30,59,78.15
2012-12-07,72,79.78
2012-12-14,58,81.89
2012-12-21,51,83.82
2012-12-28,41,82.06
2013-01-04,59,88.82
2013-01-11,66,85.54
2013-01-18,64,87.63
2013-01-25,74,94.02
2013-02-01,60,94.34
2013-02-08,57,95.09
2013-02-15,69,97.77
2013-02-22,60,98.78
2013-03-01,58,102.02
2013-03-08,55,105.32
2013-03-15,61,107.98
2013-03-22,51,107.56
2013-03-29,46,
2013-04-05,49,104.73
2013-04-12,47,107.77
2013-04-19,50,106.46
2013-04-26,56,106.64
2013-05-03,56,110.15
2013-05-10,51,109.93
2013-05-17,49,117.16
2013-05-24,44,111.37
2013-05-31,47,110.70
2013-06-07,46,110.47
2013-06-14,46,110.60
2013-06-21,43,107.07
2013-06-28,40,105.96
2013-07-05,33,112.59
2013-07-12,34,113.81
2013-07-19,42,118.30
2013-07-26,42,110.13
2013-08-02,39,110.06
2013-08-09,36,108.10
2013-08-16,50,106.52
2013-08-23,67,108.50
2013-08-30,79,105.42
2013-09-06,64,108.05
2013-09-13,71,110.29
2013-09-20,64,111.42
2013-09-27,60,110.11
2013-10-04,63,111.99
2013-10-11,58,113.29
2013-10-18,52,117.35
2013-10-25,63,123.49
2013-11-01,66,122.61
2013-11-08,69,123.32
2013-11-15,61,125.02
2013-11-22,66,121.80
2013-11-29,53,121.02
2013-12-06,57,118.15
2013-12-13,61,117.44
2013-12-20,49,121.73
2013-12-27,44,122.04
2014-01-03,53,119.77
2014-01-10,70,116.38
2014-01-17,63,116.31
2014-01-24,64,99.49
2014-01-31,60,105.59
2014-02-07,57,102.59
2014-02-14,67,95.96
2014-02-21,61,95.58
2014-02-28,56,93.92
2014-03-07,62,98.37
2014-03-14,57,96.60
2014-03-21,50,98.58
2014-03-28,50,99.61
2014-04-04,47,100.73
2014-04-11,51,95.54
2014-04-18,57,
2014-04-25,64,99.27
2014-05-02,63,
