Date,HAS,Price
2007-03-16,43,29.16
2007-03-23,43,29.83
2007-03-30,44,28.62
2007-04-06,44,
2007-04-13,44,30.15
2007-04-20,44,30.21
2007-04-27,44,31.41
2007-05-04,45,32.75
2007-05-11,43,32.94
2007-05-18,43,31.87
2007-05-25,44,32.43
2007-06-01,41,32.46
2007-06-08,45,31.23
2007-06-15,41,31.44
2007-06-22,42,31.30
2007-06-29,41,31.41
2007-07-06,41,32.49
2007-07-13,43,32.44
2007-07-20,45,32.56
2007-07-27,44,28.06
2007-08-03,43,27.65
2007-08-10,42,27.73
2007-08-17,43,27.51
2007-08-24,43,29.09
2007-08-31,44,28.21
2007-09-07,44,26.22
2007-09-14,48,27.65
2007-09-21,48,28.55
2007-09-28,47,27.88
2007-10-05,47,29.13
2007-10-12,49,29.00
2007-10-19,48,28.41
2007-10-26,48,29.05
2007-11-02,48,28.81
2007-11-09,49,25.96
2007-11-16,50,27.45
2007-11-23,50,27.01
2007-11-30,55,27.77
2007-12-07,55,26.77
2007-12-14,47,25.71
2007-12-21,45,25.95
2007-12-28,41,25.91
2008-01-04,43,23.74
2008-01-11,49,22.34
2008-01-18,49,22.83
2008-01-25,49,23.95
2008-02-01,49,26.13
2008-02-08,51,25.87
2008-02-15,50,26.77
2008-02-22,51,26.86
2008-02-29,51,25.77
2008-03-07,51,25.88
2008-03-14,49,26.42
2008-03-21,51,
2008-03-28,50,28.17
2008-04-04,52,30.33
2008-04-11,53,29.69
2008-04-18,52,31.55
2008-04-25,56,34.99
2008-05-02,57,35.71
2008-05-09,54,35.58
2008-05-16,52,36.26
2008-05-23,51,34.31
2008-05-30,50,36.24
2008-06-06,52,37.51
2008-06-13,52,39.00
2008-06-20,52,37.19
2008-06-27,50,35.14
2008-07-04,50,
2008-07-11,49,34.85
2008-07-18,51,37.99
2008-07-25,52,40.41
2008-08-01,50,38.76
2008-08-08,50,40.80
2008-08-15,53,39.69
2008-08-22,52,36.62
2008-08-29,50,37.40
2008-09-05,51,37.02
2008-09-12,55,37.88
2008-09-19,57,36.55
2008-09-26,55,35.66
2008-10-03,54,32.84
2008-10-10,55,30.00
2008-10-17,55,30.12
2008-10-24,56,26.11
2008-10-31,56,29.09
2008-11-07,60,27.73
2008-11-14,59,26.94
2008-11-21,57,24.44
2008-11-28,53,26.80
2008-12-05,57,27.84
2008-12-12,59,27.04
2008-12-19,54,29.17
2008-12-26,49,29.04
2009-01-02,51,29.60
2009-01-09,54,27.98
2009-01-16,56,26.89
2009-01-23,57,25.84
2009-01-30,60,24.13
2009-02-06,59,23.54
2009-02-13,63,23.80
2009-02-20,59,23.20
2009-02-27,62,22.89
2009-03-06,61,22.07
2009-03-13,60,23.25
2009-03-20,61,23.30
2009-03-27,59,25.46
2009-04-03,60,26.74
2009-04-10,59,
2009-04-17,61,27.91
2009-04-24,63,27.75
2009-05-01,63,26.85
2009-05-08,60,26.06
2009-05-15,60,22.93
2009-05-22,59,22.74
2009-05-29,58,25.41
2009-06-05,59,25.40
2009-06-12,56,25.09
2009-06-19,55,25.14
2009-06-26,55,24.47
2009-07-03,53,
2009-07-10,56,23.19
2009-07-17,56,25.38
2009-07-24,59,26.49
2009-07-31,59,26.50
2009-08-07,58,26.97
2009-08-14,59,26.61
2009-08-21,59,27.01
2009-08-28,58,28.33
2009-09-04,59,28.69
2009-09-11,59,28.37
2009-09-18,63,28.90
2009-09-25,63,27.18
2009-10-02,62,27.07
2009-10-09,63,28.18
2009-10-16,65,29.52
2009-10-23,65,28.03
2009-10-30,64,27.27
2009-11-06,65,27.91
2009-11-13,65,29.10
2009-11-20,65,29.10
2009-11-27,60,29.34
2009-12-04,66,30.18
2009-12-11,66,30.83
2009-12-18,63,31.62
2009-12-25,54,
2010-01-01,55,
2010-01-08,61,31.77
2010-01-15,61,32.16
2010-01-22,61,31.29
2010-01-29,64,30.55
2010-02-05,65,30.80
2010-02-12,64,35.55
2010-02-19,63,35.80
2010-02-26,66,35.78
2010-03-05,67,37.47
2010-03-12,64,38.20
2010-03-19,64,37.89
2010-03-26,66,38.41
2010-04-02,64,
2010-04-09,66,38.93
2010-04-16,66,39.85
2010-04-23,69,40.53
2010-04-30,69,38.36
2010-05-07,66,38.97
2010-05-14,68,40.28
2010-05-21,65,39.53
2010-05-28,66,40.15
2010-06-04,63,39.14
2010-06-11,65,40.39
2010-06-18,63,42.88
2010-06-25,64,43.00
2010-07-02,65,40.45
2010-07-09,65,41.59
2010-07-16,64,39.50
2010-07-23,65,40.95
2010-07-30,66,42.15
2010-08-06,66,43.32
2010-08-13,64,42.78
2010-08-20,67,42.47
2010-08-27,63,40.94
2010-09-03,65,43.49
2010-09-10,67,43.34
2010-09-17,68,44.70
2010-09-24,70,44.38
2010-10-01,70,44.61
2010-10-08,70,45.64
2010-10-15,71,45.08
2010-10-22,71,46.00
2010-10-29,70,46.25
2010-11-05,73,47.26
2010-11-12,73,46.82
2010-11-19,71,47.79
2010-11-26,67,47.72
2010-12-03,71,49.39
2010-12-10,71,49.65
2010-12-17,70,49.44
2010-12-24,63,
2010-12-31,62,47.18
2011-01-07,69,46.07
2011-01-14,71,44.49
2011-01-21,72,44.61
2011-01-28,74,43.91
2011-02-04,73,44.82
2011-02-11,77,45.45
2011-02-18,74,45.74
2011-02-25,71,44.61
2011-03-04,77,46.59
2011-03-11,75,46.86
2011-03-18,72,46.28
2011-03-25,76,47.22
2011-04-01,76,47.39
2011-04-08,77,46.84
2011-04-15,77,44.80
2011-04-22,77,
2011-04-29,79,46.84
2011-05-06,78,47.34
2011-05-13,76,48.05
2011-05-20,79,47.49
2011-05-27,81,45.50
2011-06-03,73,44.36
2011-06-10,70,42.67
2011-06-17,74,43.36
2011-06-24,71,43.35
2011-07-01,68,45.26
2011-07-08,70,44.65
2011-07-15,71,41.37
2011-07-22,74,40.50
2011-07-29,73,39.56
2011-08-05,71,37.25
2011-08-12,71,37.45
2011-08-19,70,36.43
2011-08-26,70,36.82
2011-09-02,69,36.49
2011-09-09,73,36.28
2011-09-16,76,36.02
2011-09-23,78,34.45
2011-09-30,78,32.61
2011-10-07,79,33.25
2011-10-14,77,34.75
2011-10-21,77,35.08
2011-10-28,78,38.07
2011-11-04,79,38.66
2011-11-11,79,37.36
2011-11-18,82,36.03
2011-11-25,76,34.15
2011-12-02,80,36.04
2011-12-09,82,36.76
2011-12-16,79,34.02
2011-12-23,71,32.43
2011-12-30,67,31.89
2012-01-06,75,31.90
2012-01-13,80,32.69
2012-01-20,79,32.75
2012-01-27,81,35.06
2012-02-03,81,35.86
2012-02-10,84,36.84
2012-02-17,83,36.18
2012-02-24,84,34.86
2012-03-02,84,35.21
2012-03-09,82,35.18
2012-03-16,80,35.45
2012-03-23,83,36.38
2012-03-30,82,36.72
2012-04-06,82,
2012-04-13,84,36.18
2012-04-20,82,35.92
2012-04-27,84,36.68
2012-05-04,85,36.09
2012-05-11,86,35.68
2012-05-18,84,34.24
2012-05-25,83,34.91
2012-06-01,82,34.96
2012-06-08,80,34.50
2012-06-15,79,34.50
2012-06-22,81,33.87
2012-06-29,78,33.87
2012-07-06,77,34.17
2012-07-13,79,32.91
2012-07-20,79,33.84
2012-07-27,82,36.26
2012-08-03,84,36.07
2012-08-10,83,37.56
2012-08-17,83,38.24
2012-08-24,83,37.49
2012-08-31,83,37.51
2012-09-07,85,37.64
2012-09-14,92,39.96
2012-09-21,90,38.01
2012-09-28,90,38.17
2012-10-05,92,37.76
2012-10-12,89,39.30
2012-10-19,89,39.05
2012-10-26,91,36.35
2012-11-02,90,35.58
2012-11-09,96,37.22
2012-11-16,88,36.45
2012-11-23,84,38.25
2012-11-30,88,38.46
2012-12-07,90,37.46
2012-12-14,87,36.97
2012-12-21,83,36.04
2012-12-28,72,35.31
2013-01-04,81,35.74
2013-01-11,84,36.89
2013-01-18,85,39.01
2013-01-25,88,37.31
2013-02-01,94,37.65
2013-02-08,90,39.84
2013-02-15,88,40.53
2013-02-22,87,41.13
2013-03-01,92,40.11
2013-03-08,90,41.67
2013-03-15,92,42.38
2013-03-22,96,43.84
2013-03-29,98,
2013-04-05,95,43.33
2013-04-12,96,44.91
2013-04-19,97,45.02
2013-04-26,93,47.27
2013-05-03,93,47.22
2013-05-10,94,47.51
2013-05-17,87,47.91
2013-05-24,85,47.16
2013-05-31,83,44.48
2013-06-07,87,45.00
2013-06-14,90,44.09
2013-06-21,89,44.34
2013-06-28,91,44.83
2013-07-05,88,46.61
2013-07-12,87,47.64
2013-07-19,93,45.38
2013-07-26,90,47.08
2013-08-02,84,46.99
2013-08-09,84,45.96
2013-08-16,87,44.90
2013-08-23,88,46.11
2013-08-30,92,45.58
2013-09-06,90,47.99
2013-09-13,94,46.82
2013-09-20,93,48.79
2013-09-27,94,47.38
2013-10-04,92,47.43
2013-10-11,97,46.72
2013-10-18,92,47.24
2013-10-25,89,52.05
2013-11-01,95,51.84
2013-11-08,94,50.48
2013-11-15,96,52.73
2013-11-22,94,52.88
2013-11-29,87,53.82
2013-12-06,95,51.76
2013-12-13,90,51.76
2013-12-20,88,52.49
2013-12-27,77,54.40
2014-01-03,84,54.11
2014-01-10,89,53.04
2014-01-17,93,52.00
2014-01-24,96,51.27
2014-01-31,95,49.12
2014-02-07,100,50.09
2014-02-14,96,52.82
2014-02-21,96,54.30
2014-02-28,96,55.16
2014-03-07,97,54.77
2014-03-14,93,54.66
2014-03-21,94,55.20
2014-03-28,95,55.18
2014-04-04,91,54.99
2014-04-11,96,53.63
2014-04-18,94,
2014-04-25,95,54.72
2014-05-02,93,
