Date,TGT,Price
2008-03-07,11,52.00
2008-03-14,12,49.83
2008-03-21,10,
2008-03-28,10,49.69
2008-04-04,10,52.67
2008-04-11,11,51.97
2008-04-18,9,54.60
2008-04-25,11,53.98
2008-05-02,12,53.91
2008-05-09,11,52.24
2008-05-16,11,54.88
2008-05-23,9,52.04
2008-05-30,9,53.36
2008-06-06,10,52.52
2008-06-13,10,53.54
2008-06-20,10,49.98
2008-06-27,12,47.87
2008-07-04,11,
2008-07-11,11,44.74
2008-07-18,12,46.87
2008-07-25,9,44.57
2008-08-01,10,44.68
2008-08-08,10,48.74
2008-08-15,12,51.40
2008-08-22,9,52.66
2008-08-29,11,53.02
2008-09-05,8,55.03
2008-09-12,11,57.26
2008-09-19,12,53.32
2008-09-26,13,51.47
2008-10-03,13,43.66
2008-10-10,15,37.00
2008-10-17,13,39.37
2008-10-24,12,32.92
2008-10-31,11,40.12
2008-11-07,16,36.52
2008-11-14,10,33.03
2008-11-21,13,28.08
2008-11-28,10,33.76
2008-12-05,11,34.96
2008-12-12,11,35.84
2008-12-19,9,34.42
2008-12-26,9,32.24
2009-01-02,9,34.63
2009-01-09,9,35.40
2009-01-16,10,35.02
2009-01-23,10,33.40
2009-01-30,10,31.20
2009-02-06,12,33.02
2009-02-13,13,30.08
2009-02-20,12,29.75
2009-02-27,9,28.31
2009-03-06,12,25.65
2009-03-13,9,29.97
2009-03-20,9,30.35
2009-03-27,12,34.17
2009-04-03,10,36.68
2009-04-10,10,
2009-04-17,9,40.54
2009-04-24,10,40.08
2009-05-01,9,40.05
2009-05-08,10,43.79
2009-05-15,9,40.37
2009-05-22,10,40.74
2009-05-29,10,39.30
2009-06-05,9,40.49
2009-06-12,12,40.38
2009-06-19,11,39.58
2009-06-26,9,39.57
2009-07-03,11,
2009-07-10,10,37.80
2009-07-17,9,39.56
2009-07-24,11,42.71
2009-07-31,10,43.62
2009-08-07,11,42.93
2009-08-14,10,42.03
2009-08-21,12,45.66
2009-08-28,10,47.39
2009-09-04,10,47.12
2009-09-11,13,47.95
2009-09-18,11,48.79
2009-09-25,10,46.29
2009-10-02,9,46.02
2009-10-09,8,49.89
2009-10-16,8,50.08
2009-10-23,8,49.03
2009-10-30,8,48.43
2009-11-06,9,49.70
2009-11-13,9,48.99
2009-11-20,11,47.46
2009-11-27,8,47.70
2009-12-04,10,45.64
2009-12-11,9,46.93
2009-12-18,11,48.24
2009-12-25,13,
2010-01-01,11,
2010-01-08,12,50.07
2010-01-15,12,50.17
2010-01-22,11,50.38
2010-01-29,13,51.27
2010-02-05,15,49.30
2010-02-12,13,48.64
2010-02-19,14,50.73
2010-02-26,16,51.52
2010-03-05,13,53.49
2010-03-12,15,53.08
2010-03-19,14,53.30
2010-03-26,12,54.37
2010-04-02,15,
2010-04-09,13,55.67
2010-04-16,12,55.99
2010-04-23,16,57.94
2010-04-30,13,56.87
2010-05-07,15,54.30
2010-05-14,12,55.17
2010-05-21,14,54.35
2010-05-28,13,54.53
2010-06-04,15,52.80
2010-06-11,15,53.71
2010-06-18,16,53.67
2010-06-25,14,50.50
2010-07-02,16,49.53
2010-07-09,16,49.85
2010-07-16,20,50.28
2010-07-23,23,51.89
2010-07-30,20,51.32
2010-08-06,17,52.32
2010-08-13,13,50.81
2010-08-20,16,52.15
2010-08-27,13,51.74
2010-09-03,13,52.83
2010-09-10,15,53.06
2010-09-17,14,53.74
2010-09-24,13,55.05
2010-10-01,13,53.47
2010-10-08,13,54.20
2010-10-15,16,54.33
2010-10-22,15,53.87
2010-10-29,14,51.94
2010-11-05,13,55.15
2010-11-12,18,54.19
2010-11-19,18,56.31
2010-11-26,20,56.85
2010-12-03,15,59.12
2010-12-10,12,58.95
2010-12-17,11,58.52
2010-12-24,12,
2010-12-31,11,60.13
2011-01-07,14,55.05
2011-01-14,13,55.07
2011-01-21,16,55.73
2011-01-28,16,54.35
2011-02-04,18,54.27
2011-02-11,26,54.39
2011-02-18,21,51.90
2011-02-25,14,52.36
2011-03-04,15,51.65
2011-03-11,13,51.53
2011-03-18,15,49.99
2011-03-25,17,49.95
2011-04-01,16,50.36
2011-04-08,29,49.53
2011-04-15,22,50.24
2011-04-22,25,
2011-04-29,22,49.10
2011-05-06,18,50.51
2011-05-13,17,51.52
2011-05-20,15,49.69
2011-05-27,17,49.37
2011-06-03,22,47.40
2011-06-10,15,46.70
2011-06-17,13,46.53
2011-06-24,31,46.33
2011-07-01,19,47.93
2011-07-08,20,51.14
2011-07-15,16,51.09
2011-07-22,15,51.81
2011-07-29,17,51.49
2011-08-05,15,48.65
2011-08-12,15,48.48
2011-08-19,14,49.92
2011-08-26,11,50.83
2011-09-02,9,49.71
2011-09-09,12,50.02
2011-09-16,12,52.66
2011-09-23,14,49.14
2011-09-30,14,49.04
2011-10-07,14,51.56
2011-10-14,12,52.95
2011-10-21,10,54.64
2011-10-28,10,55.24
2011-11-04,12,52.17
2011-11-11,11,53.07
2011-11-18,16,53.00
2011-11-25,21,51.21
2011-12-02,22,52.88
2011-12-09,18,53.50
2011-12-16,20,52.20
2011-12-23,18,51.70
2011-12-30,17,51.22
2012-01-06,18,48.95
2012-01-13,18,49.82
2012-01-20,13,50.17
2012-01-27,12,50.05
2012-02-03,13,52.14
2012-02-10,13,52.43
2012-02-17,14,52.64
2012-02-24,16,55.22
2012-03-02,15,56.59
2012-03-09,13,57.69
2012-03-16,16,58.41
2012-03-23,16,58.19
2012-03-30,14,58.27
2012-04-06,14,
2012-04-13,12,57.43
2012-04-20,13,57.28
2012-04-27,13,58.26
2012-05-04,14,55.65
2012-05-11,16,55.43
2012-05-18,18,55.46
2012-05-25,17,57.62
2012-06-01,14,57.20
2012-06-08,18,59.20
2012-06-15,20,58.50
2012-06-22,35,57.56
2012-06-29,20,58.19
2012-07-06,29,58.07
2012-07-13,17,61.95
2012-07-20,19,61.37
2012-07-27,18,61.52
2012-08-03,17,62.36
2012-08-10,17,62.84
2012-08-17,16,64.14
2012-08-24,20,63.69
2012-08-31,19,64.09
2012-09-07,23,64.00
2012-09-14,15,64.67
2012-09-21,13,65.44
2012-09-28,15,63.47
2012-10-05,17,64.18
2012-10-12,15,61.52
2012-10-19,11,62.23
2012-10-26,10,63.92
2012-11-02,11,62.71
2012-11-09,12,62.02
2012-11-16,11,62.50
2012-11-23,13,64.48
2012-11-30,16,63.13
2012-12-07,13,62.28
2012-12-14,13,60.50
2012-12-21,12,59.60
2012-12-28,11,58.57
2013-01-04,12,60.58
2013-01-11,10,60.07
2013-01-18,10,61.53
2013-01-25,12,61.54
2013-02-01,10,61.15
2013-02-08,13,62.49
2013-02-15,14,61.71
2013-02-22,15,63.60
2013-03-01,18,64.13
2013-03-08,17,66.35
2013-03-15,16,66.80
2013-03-22,14,68.42
2013-03-29,14,
2013-04-05,14,68.85
2013-04-12,15,69.49
2013-04-19,16,69.04
2013-04-26,17,70.52
2013-05-03,15,70.50
2013-05-10,15,69.74
2013-05-17,20,71.06
2013-05-24,21,69.72
2013-05-31,19,69.50
2013-06-07,33,70.36
2013-06-14,23,69.03
2013-06-21,23,68.83
2013-06-28,23,68.86
2013-07-05,29,70.25
2013-07-12,24,72.56
2013-07-19,23,72.55
2013-07-26,43,71.46
2013-08-02,30,71.50
2013-08-09,41,70.72
2013-08-16,61,68.58
2013-08-23,100,64.35
2013-08-30,63,63.31
2013-09-06,45,63.29
2013-09-13,38,63.76
2013-09-20,33,64.55
2013-09-27,32,63.94
2013-10-04,30,63.41
2013-10-11,29,63.21
2013-10-18,27,64.67
2013-10-25,25,64.07
2013-11-01,22,64.62
2013-11-08,24,65.11
2013-11-15,23,66.89
2013-11-22,24,63.70
2013-11-29,26,63.93
2013-12-06,31,63.38
2013-12-13,31,62.36
2013-12-20,31,62.49
2013-12-27,31,62.15
2014-01-03,43,63.49
2014-01-10,41,62.62
2014-01-17,44,60.24
2014-01-24,47,57.72
2014-01-31,39,56.64
2014-02-07,35,56.33
2014-02-14,34,56.06
2014-02-21,36,56.24
2014-02-28,39,62.54
2014-03-07,32,60.75
2014-03-14,28,59.36
2014-03-21,25,59.45
2014-03-28,34,59.98
2014-04-04,27,61.14
2014-04-11,21,58.90
2014-04-18,25,
2014-04-25,23,61.26
2014-05-02,20,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
