Date,CBG,Price
2006-02-24,40,69.83
2006-03-03,34,73.68
2006-03-10,39,70.80
2006-03-17,55,74.71
2006-03-24,44,77.44
2006-03-31,42,80.70
2006-04-07,34,81.71
2006-04-14,55,
2006-04-21,25,85.20
2006-04-28,40,87.89
2006-05-05,48,87.05
2006-05-12,44,83.44
2006-05-19,35,77.41
2006-05-26,39,76.51
2006-06-02,41,26.80
2006-06-09,37,24.26
2006-06-16,50,23.46
2006-06-23,51,22.79
2006-06-30,34,24.90
2006-07-07,33,25.06
2006-07-14,47,22.98
2006-07-21,30,22.00
2006-07-28,54,23.30
2006-08-04,35,23.91
2006-08-11,35,20.60
2006-08-18,41,21.18
2006-08-25,55,21.51
2006-09-01,48,22.84
2006-09-08,51,23.49
2006-09-15,44,24.90
2006-09-22,49,24.70
2006-09-29,35,24.60
2006-10-06,38,23.70
2006-10-13,53,25.52
2006-10-20,34,25.50
2006-10-27,28,28.72
2006-11-03,53,28.39
2006-11-10,43,31.27
2006-11-17,48,31.70
2006-11-24,49,32.61
2006-12-01,36,32.81
2006-12-08,45,33.00
2006-12-15,36,32.94
2006-12-22,43,32.47
2006-12-29,24,33.20
2007-01-05,38,33.10
2007-01-12,50,34.16
2007-01-19,45,35.03
2007-01-26,49,35.63
2007-02-02,45,38.69
2007-02-09,64,36.66
2007-02-16,54,37.00
2007-02-23,65,36.17
2007-03-02,46,32.56
2007-03-09,44,33.93
2007-03-16,49,33.52
2007-03-23,46,36.05
2007-03-30,46,34.18
2007-04-06,45,
2007-04-13,34,33.42
2007-04-20,48,36.19
2007-04-27,43,35.34
2007-05-04,38,37.43
2007-05-11,37,37.46
2007-05-18,45,37.33
2007-05-25,42,36.05
2007-06-01,48,36.78
2007-06-08,43,36.62
2007-06-15,45,39.40
2007-06-22,46,37.76
2007-06-29,43,36.50
2007-07-06,41,39.55
2007-07-13,43,41.13
2007-07-20,46,39.75
2007-07-27,41,34.50
2007-08-03,47,31.26
2007-08-10,41,29.86
2007-08-17,47,28.30
2007-08-24,39,30.76
2007-08-31,49,29.52
2007-09-07,47,25.50
2007-09-14,36,25.26
2007-09-21,38,29.01
2007-09-28,39,27.84
2007-10-05,44,28.62
2007-10-12,44,26.44
2007-10-19,40,23.80
2007-10-26,36,25.86
2007-11-02,46,22.42
2007-11-09,42,20.13
2007-11-16,49,19.59
2007-11-23,50,19.80
2007-11-30,55,23.75
2007-12-07,46,23.89
2007-12-14,39,21.66
2007-12-21,38,22.21
2007-12-28,36,21.36
2008-01-04,40,19.40
2008-01-11,42,17.91
2008-01-18,50,16.44
2008-01-25,52,18.06
2008-02-01,48,19.96
2008-02-08,50,17.97
2008-02-15,53,19.42
2008-02-22,55,21.01
2008-02-29,49,20.06
2008-03-07,45,18.48
2008-03-14,37,18.37
2008-03-21,46,
2008-03-28,47,20.96
2008-04-04,46,21.68
2008-04-11,46,20.35
2008-04-18,44,21.26
2008-04-25,43,23.77
2008-05-02,49,23.63
2008-05-09,43,22.15
2008-05-16,40,23.29
2008-05-23,41,21.48
2008-05-30,37,22.46
2008-06-06,42,21.31
2008-06-13,45,21.34
2008-06-20,41,20.62
2008-06-27,43,19.79
2008-07-04,43,
2008-07-11,40,17.96
2008-07-18,42,19.30
2008-07-25,37,18.26
2008-08-01,45,13.45
2008-08-08,41,16.00
2008-08-15,41,15.06
2008-08-22,38,13.61
2008-08-29,43,13.07
2008-09-05,36,13.30
2008-09-12,45,14.64
2008-09-19,47,14.75
2008-09-26,38,13.88
2008-10-03,41,9.45
2008-10-10,35,9.25
2008-10-17,46,6.32
2008-10-24,38,4.43
2008-10-31,37,7.01
2008-11-07,41,7.10
2008-11-14,44,4.84
2008-11-21,37,3.49
2008-11-28,34,4.56
2008-12-05,42,4.11
2008-12-12,36,4.08
2008-12-19,29,3.96
2008-12-26,27,4.04
2009-01-02,36,4.48
2009-01-09,46,4.77
2009-01-16,45,4.26
2009-01-23,48,3.82
2009-01-30,43,3.60
2009-02-06,44,4.36
2009-02-13,46,3.76
2009-02-20,43,3.33
2009-02-27,46,2.89
2009-03-06,45,2.52
2009-03-13,43,3.06
2009-03-20,50,2.36
2009-03-27,53,4.25
2009-04-03,45,5.02
2009-04-10,40,
2009-04-17,39,5.97
2009-04-24,44,7.13
2009-05-01,41,7.92
2009-05-08,45,9.37
2009-05-15,44,7.07
2009-05-22,42,6.77
2009-05-29,44,7.30
2009-06-05,41,8.04
2009-06-12,50,9.81
2009-06-19,50,8.65
2009-06-26,51,9.37
2009-07-03,47,
2009-07-10,50,8.09
2009-07-17,50,9.30
2009-07-24,49,9.86
2009-07-31,47,10.90
2009-08-07,47,12.01
2009-08-14,44,11.15
2009-08-21,49,12.11
2009-08-28,58,12.01
2009-09-04,51,11.38
2009-09-11,49,11.80
2009-09-18,51,12.48
2009-09-25,51,11.43
2009-10-02,49,10.76
2009-10-09,53,12.23
2009-10-16,54,12.40
2009-10-23,53,13.00
2009-10-30,57,10.35
2009-11-06,49,10.73
2009-11-13,50,11.06
2009-11-20,54,11.13
2009-11-27,53,10.82
2009-12-04,47,12.39
2009-12-11,45,12.19
2009-12-18,51,13.05
2009-12-25,41,
2010-01-01,47,
2010-01-08,50,14.20
2010-01-15,55,13.38
2010-01-22,59,12.47
2010-01-29,56,12.30
2010-02-05,57,12.34
2010-02-12,53,12.64
2010-02-19,55,13.42
2010-02-26,60,13.20
2010-03-05,56,14.05
2010-03-12,55,14.04
2010-03-19,56,14.73
2010-03-26,53,14.95
2010-04-02,53,
2010-04-09,54,16.96
2010-04-16,48,16.49
2010-04-23,59,17.66
2010-04-30,54,17.32
2010-05-07,48,15.20
2010-05-14,51,15.98
2010-05-21,54,15.02
2010-05-28,57,15.83
2010-06-04,54,14.88
2010-06-11,50,14.89
2010-06-18,55,15.56
2010-06-25,56,14.95
2010-07-02,55,13.28
2010-07-09,58,13.90
2010-07-16,59,13.70
2010-07-23,56,15.19
2010-07-30,62,17.00
2010-08-06,66,16.97
2010-08-13,61,16.15
2010-08-20,69,16.34
2010-08-27,67,16.49
2010-09-03,61,17.95
2010-09-10,62,18.25
2010-09-17,65,18.26
2010-09-24,65,18.81
2010-10-01,59,18.13
2010-10-08,60,18.85
2010-10-15,52,18.95
2010-10-22,60,18.88
2010-10-29,51,18.35
2010-11-05,62,19.85
2010-11-12,54,19.80
2010-11-19,53,18.55
2010-11-26,40,19.08
2010-12-03,47,19.92
2010-12-10,44,20.20
2010-12-17,47,20.50
2010-12-24,52,
2010-12-31,44,20.48
2011-01-07,54,20.70
2011-01-14,54,21.97
2011-01-21,62,22.59
2011-01-28,57,21.88
2011-02-04,68,23.95
2011-02-11,73,24.53
2011-02-18,67,25.46
2011-02-25,64,24.89
2011-03-04,66,25.07
2011-03-11,58,27.30
2011-03-18,63,26.65
2011-03-25,60,27.19
2011-04-01,56,27.66
2011-04-08,58,27.47
2011-04-15,60,28.91
2011-04-22,56,
2011-04-29,49,26.71
2011-05-06,51,26.73
2011-05-13,53,25.94
2011-05-20,49,26.72
2011-05-27,54,26.51
2011-06-03,56,25.59
2011-06-10,55,24.30
2011-06-17,53,23.98
2011-06-24,63,23.29
2011-07-01,62,25.39
2011-07-08,57,25.28
2011-07-15,59,23.29
2011-07-22,62,23.77
2011-07-29,56,21.80
2011-08-05,56,18.27
2011-08-12,61,16.62
2011-08-19,62,13.72
2011-08-26,78,14.17
2011-09-02,73,14.35
2011-09-09,71,14.05
2011-09-16,68,15.14
2011-09-23,72,13.37
2011-09-30,71,13.46
2011-10-07,62,13.51
2011-10-14,66,15.22
2011-10-21,70,15.29
2011-10-28,65,18.98
2011-11-04,71,16.67
2011-11-11,65,16.32
2011-11-18,55,15.11
2011-11-25,69,14.62
2011-12-02,69,16.51
2011-12-09,72,15.48
2011-12-16,67,15.04
2011-12-23,62,15.39
2011-12-30,66,15.22
2012-01-06,66,15.96
2012-01-13,75,17.02
2012-01-20,79,17.86
2012-01-27,79,19.07
2012-02-03,78,19.61
2012-02-10,77,17.87
2012-02-17,79,19.07
2012-02-24,85,18.51
2012-03-02,89,18.67
2012-03-09,91,19.19
2012-03-16,86,20.83
2012-03-23,91,20.48
2012-03-30,76,19.96
2012-04-06,89,
2012-04-13,85,18.21
2012-04-20,84,18.37
2012-04-27,87,19.13
2012-05-04,83,17.93
2012-05-11,80,17.27
2012-05-18,87,15.84
2012-05-25,88,16.38
2012-06-01,87,15.59
2012-06-08,84,16.24
2012-06-15,85,16.41
2012-06-22,93,15.87
2012-06-29,91,16.36
2012-07-06,100,15.85
2012-07-13,92,15.78
2012-07-20,93,16.14
2012-07-27,92,16.33
2012-08-03,87,17.08
2012-08-10,99,17.77
2012-08-17,96,18.04
2012-08-24,66,17.58
2012-08-31,41,17.31
2012-09-07,37,17.70
2012-09-14,35,20.36
2012-09-21,34,19.36
2012-09-28,38,18.41
2012-10-05,36,19.61
2012-10-12,29,18.82
2012-10-19,28,19.11
2012-10-26,29,18.25
2012-11-02,29,17.55
2012-11-09,31,17.50
2012-11-16,29,17.50
2012-11-23,31,17.87
2012-11-30,27,18.93
2012-12-07,29,18.99
2012-12-14,30,19.20
2012-12-21,25,19.64
2012-12-28,24,19.39
2013-01-04,24,20.72
2013-01-11,27,20.51
2013-01-18,30,20.55
2013-01-25,36,21.84
2013-02-01,34,21.87
2013-02-08,30,24.19
2013-02-15,30,24.28
2013-02-22,28,23.91
2013-03-01,33,24.36
2013-03-08,28,24.64
2013-03-15,33,24.93
2013-03-22,29,24.71
2013-03-29,29,
2013-04-05,26,24.22
2013-04-12,27,25.29
2013-04-19,30,23.83
2013-04-26,30,24.18
2013-05-03,23,24.15
2013-05-10,28,24.10
2013-05-17,29,24.78
2013-05-24,27,23.39
2013-05-31,28,23.18
2013-06-07,30,23.44
2013-06-14,29,22.67
2013-06-21,28,21.50
2013-06-28,29,23.36
2013-07-05,26,23.43
2013-07-12,28,24.07
2013-07-19,28,24.30
2013-07-26,29,24.09
2013-08-02,24,23.20
2013-08-09,25,23.31
2013-08-16,26,21.60
2013-08-23,30,21.91
2013-08-30,30,21.87
2013-09-06,28,22.37
2013-09-13,28,23.40
2013-09-20,29,23.81
2013-09-27,30,23.34
2013-10-04,27,22.55
2013-10-11,25,22.78
2013-10-18,25,22.87
2013-10-25,27,23.72
2013-11-01,28,23.03
2013-11-08,28,22.32
2013-11-15,28,22.97
2013-11-22,28,23.40
2013-11-29,24,24.24
2013-12-06,30,25.10
2013-12-13,27,24.77
2013-12-20,23,25.80
2013-12-27,22,26.24
2014-01-03,23,26.40
2014-01-10,28,26.38
2014-01-17,28,26.50
2014-01-24,30,25.47
2014-01-31,28,26.54
2014-02-07,26,26.32
2014-02-14,26,27.01
2014-02-21,32,27.44
2014-02-28,28,27.95
2014-03-07,31,28.09
2014-03-14,30,27.23
2014-03-21,28,28.00
2014-03-28,26,26.85
2014-04-04,31,27.44
2014-04-11,29,26.27
2014-04-18,29,
2014-04-25,32,26.08
2014-05-02,28,
