Date,CVS,Price
2007-10-12,49,39.90
2007-10-19,47,39.14
2007-10-26,50,41.42
2007-11-02,49,41.75
2007-11-09,49,41.56
2007-11-16,48,42.21
2007-11-23,51,41.94
2007-11-30,57,40.09
2007-12-07,58,40.04
2007-12-14,53,39.20
2007-12-21,58,39.65
2007-12-28,51,40.00
2008-01-04,48,37.27
2008-01-11,50,36.77
2008-01-18,46,36.92
2008-01-25,46,35.56
2008-02-01,48,39.90
2008-02-08,48,39.56
2008-02-15,49,39.72
2008-02-22,46,40.16
2008-02-29,45,40.38
2008-03-07,48,38.91
2008-03-14,45,38.61
2008-03-21,47,
2008-03-28,46,40.85
2008-04-04,46,40.30
2008-04-11,45,40.15
2008-04-18,46,40.58
2008-04-25,47,40.93
2008-05-02,45,40.43
2008-05-09,49,41.34
2008-05-16,47,43.42
2008-05-23,47,42.15
2008-05-30,46,42.79
2008-06-06,49,42.64
2008-06-13,50,42.62
2008-06-20,48,41.36
2008-06-27,49,39.77
2008-07-04,48,
2008-07-11,48,38.64
2008-07-18,50,37.36
2008-07-25,51,38.34
2008-08-01,49,35.75
2008-08-08,49,38.62
2008-08-15,49,38.59
2008-08-22,50,37.63
2008-08-29,46,36.60
2008-09-05,46,35.86
2008-09-12,47,37.64
2008-09-19,45,36.11
2008-09-26,48,34.98
2008-10-03,46,31.93
2008-10-10,49,30.88
2008-10-17,48,26.91
2008-10-24,49,27.77
2008-10-31,50,30.65
2008-11-07,48,30.30
2008-11-14,50,29.31
2008-11-21,47,26.39
2008-11-28,48,28.93
2008-12-05,53,27.88
2008-12-12,54,28.45
2008-12-19,55,26.96
2008-12-26,58,26.73
2009-01-02,48,29.38
2009-01-09,48,25.69
2009-01-16,48,26.83
2009-01-23,45,27.73
2009-01-30,48,26.88
2009-02-06,49,29.04
2009-02-13,48,27.47
2009-02-20,46,27.82
2009-02-27,47,25.74
2009-03-06,46,24.46
2009-03-13,46,26.53
2009-03-20,44,26.69
2009-03-27,45,28.26
2009-04-03,47,28.45
2009-04-10,47,
2009-04-17,47,30.14
2009-04-24,45,29.73
2009-05-01,47,32.26
2009-05-08,47,32.12
2009-05-15,46,30.80
2009-05-22,46,29.53
2009-05-29,44,29.80
2009-06-05,45,30.19
2009-06-12,47,30.35
2009-06-19,50,31.77
2009-06-26,47,31.36
2009-07-03,46,
2009-07-10,47,30.90
2009-07-17,48,32.74
2009-07-24,48,34.38
2009-07-31,47,33.48
2009-08-07,47,34.47
2009-08-14,49,34.75
2009-08-21,49,35.72
2009-08-28,49,36.77
2009-09-04,49,37.20
2009-09-11,48,36.53
2009-09-18,51,35.98
2009-09-25,51,35.20
2009-10-02,52,35.32
2009-10-09,56,36.48
2009-10-16,55,37.70
2009-10-23,59,37.16
2009-10-30,55,35.30
2009-11-06,55,29.79
2009-11-13,50,30.25
2009-11-20,50,31.64
2009-11-27,47,31.20
2009-12-04,51,30.76
2009-12-11,53,32.22
2009-12-18,57,31.18
2009-12-25,62,
2010-01-01,48,
2010-01-08,52,34.00
2010-01-15,49,33.91
2010-01-22,46,33.24
2010-01-29,47,32.37
2010-02-05,46,31.07
2010-02-12,48,32.99
2010-02-19,46,34.31
2010-02-26,45,33.75
2010-03-05,46,35.03
2010-03-12,44,34.63
2010-03-19,44,34.55
2010-03-26,45,36.79
2010-04-02,48,
2010-04-09,46,37.23
2010-04-16,45,37.14
2010-04-23,46,37.01
2010-04-30,46,36.92
2010-05-07,47,34.86
2010-05-14,46,35.78
2010-05-21,46,34.30
2010-05-28,49,34.63
2010-06-04,48,33.79
2010-06-11,50,32.08
2010-06-18,51,32.43
2010-06-25,50,30.60
2010-07-02,52,29.08
2010-07-09,52,29.80
2010-07-16,55,30.04
2010-07-23,56,30.93
2010-07-30,57,30.69
2010-08-06,56,29.84
2010-08-13,56,28.70
2010-08-20,58,27.99
2010-08-27,55,27.51
2010-09-03,55,28.68
2010-09-10,54,29.02
2010-09-17,57,29.83
2010-09-24,55,31.01
2010-10-01,53,31.78
2010-10-08,53,31.25
2010-10-15,52,31.31
2010-10-22,55,31.36
2010-10-29,56,30.13
2010-11-05,54,30.94
2010-11-12,54,30.24
2010-11-19,54,31.03
2010-11-26,55,31.15
2010-12-03,58,32.42
2010-12-10,59,33.65
2010-12-17,62,34.40
2010-12-24,76,
2010-12-31,61,34.77
2011-01-07,61,35.05
2011-01-14,56,35.08
2011-01-21,53,35.41
2011-01-28,54,34.80
2011-02-04,54,32.67
2011-02-11,57,33.03
2011-02-18,54,33.06
2011-02-25,53,32.94
2011-03-04,53,33.01
2011-03-11,52,34.00
2011-03-18,51,33.61
2011-03-25,53,33.89
2011-04-01,53,34.96
2011-04-08,57,36.23
2011-04-15,57,35.87
2011-04-22,60,
2011-04-29,58,36.22
2011-05-06,58,37.02
2011-05-13,59,38.13
2011-05-20,58,38.40
2011-05-27,60,38.80
2011-06-03,58,37.97
2011-06-10,59,37.21
2011-06-17,62,37.33
2011-06-24,64,36.42
2011-07-01,61,37.97
2011-07-08,60,38.10
2011-07-15,63,36.82
2011-07-22,62,37.35
2011-07-29,62,36.35
2011-08-05,62,34.15
2011-08-12,62,33.25
2011-08-19,63,32.37
2011-08-26,63,34.34
2011-09-02,59,35.43
2011-09-09,57,36.50
2011-09-16,59,36.22
2011-09-23,58,34.13
2011-09-30,58,33.59
2011-10-07,58,33.78
2011-10-14,57,35.13
2011-10-21,57,35.55
2011-10-28,60,36.84
2011-11-04,61,38.02
2011-11-11,59,39.24
2011-11-18,58,38.16
2011-11-25,64,36.85
2011-12-02,64,38.29
2011-12-09,64,38.37
2011-12-16,68,37.55
2011-12-23,78,40.99
2011-12-30,71,40.78
2012-01-06,67,41.46
2012-01-13,66,42.15
2012-01-20,63,42.77
2012-01-27,63,42.26
2012-02-03,62,43.51
2012-02-10,61,43.18
2012-02-17,62,44.27
2012-02-24,60,44.07
2012-03-02,61,45.03
2012-03-09,61,45.64
2012-03-16,62,45.28
2012-03-23,60,45.14
2012-03-30,64,44.80
2012-04-06,62,
2012-04-13,62,43.43
2012-04-20,59,44.33
2012-04-27,58,44.88
2012-05-04,62,45.42
2012-05-11,62,45.32
2012-05-18,62,44.43
2012-05-25,64,44.98
2012-06-01,63,43.60
2012-06-08,62,44.89
2012-06-15,64,45.65
2012-06-22,68,45.90
2012-06-29,66,46.73
2012-07-06,67,48.12
2012-07-13,68,48.05
2012-07-20,66,45.08
2012-07-27,68,44.94
2012-08-03,67,44.75
2012-08-10,70,44.95
2012-08-17,71,45.31
2012-08-24,73,45.56
2012-08-31,68,45.55
2012-09-07,69,46.06
2012-09-14,66,46.97
2012-09-21,68,47.87
2012-09-28,68,48.42
2012-10-05,70,48.86
2012-10-12,67,47.08
2012-10-19,66,46.20
2012-10-26,67,46.06
2012-11-02,65,46.56
2012-11-09,64,46.36
2012-11-16,67,44.80
2012-11-23,69,45.83
2012-11-30,71,46.51
2012-12-07,72,46.84
2012-12-14,75,49.24
2012-12-21,81,48.67
2012-12-28,91,47.92
2013-01-04,77,49.99
2013-01-11,85,51.30
2013-01-18,76,52.11
2013-01-25,67,51.86
2013-02-01,66,51.58
2013-02-08,64,51.20
2013-02-15,67,51.12
2013-02-22,61,51.35
2013-03-01,63,51.56
2013-03-08,63,52.28
2013-03-15,64,53.58
2013-03-22,65,55.20
2013-03-29,67,
2013-04-05,67,55.64
2013-04-12,63,57.52
2013-04-19,64,58.00
2013-04-26,63,57.73
2013-05-03,64,58.64
2013-05-10,63,58.03
2013-05-17,65,59.44
2013-05-24,64,59.20
2013-05-31,63,57.58
2013-06-07,67,58.49
2013-06-14,67,59.03
2013-06-21,68,57.57
2013-06-28,68,57.18
2013-07-05,67,58.64
2013-07-12,69,60.95
2013-07-19,70,61.63
2013-07-26,71,61.96
2013-08-02,70,61.84
2013-08-09,71,59.48
2013-08-16,73,58.57
2013-08-23,73,57.97
2013-08-30,72,58.05
2013-09-06,70,58.63
2013-09-13,72,59.90
2013-09-20,70,58.53
2013-09-27,69,57.80
2013-10-04,71,56.88
2013-10-11,69,59.57
2013-10-18,69,61.01
2013-10-25,68,61.41
2013-11-01,71,62.59
2013-11-08,68,63.78
2013-11-15,71,65.62
2013-11-22,70,66.68
2013-11-29,75,66.96
2013-12-06,74,66.75
2013-12-13,75,67.31
2013-12-20,85,70.06
2013-12-27,100,71.56
2014-01-03,79,70.55
2014-01-10,77,69.51
2014-01-17,73,67.97
2014-01-24,72,67.63
2014-01-31,70,67.72
2014-02-07,78,66.44
2014-02-14,74,69.90
2014-02-21,69,71.20
2014-02-28,68,73.14
2014-03-07,68,73.48
2014-03-14,68,72.75
2014-03-21,69,74.95
2014-03-28,68,74.26
2014-04-04,69,74.69
2014-04-11,69,72.58
2014-04-18,71,
2014-04-25,70,73.24
2014-05-02,71,
