Date,TIF,Price
2009-10-23,47,41.45
2009-10-30,44,39.29
2009-11-06,44,41.35
2009-11-13,42,42.24
2009-11-20,45,41.30
2009-11-27,41,43.21
2009-12-04,44,41.51
2009-12-11,44,42.15
2009-12-18,46,42.32
2009-12-25,38,
2010-01-01,33,
2010-01-08,42,46.01
2010-01-15,44,45.37
2010-01-22,46,40.79
2010-01-29,44,40.61
2010-02-05,42,39.70
2010-02-12,41,41.51
2010-02-19,43,43.54
2010-02-26,40,44.39
2010-03-05,46,45.94
2010-03-12,46,46.00
2010-03-19,45,47.25
2010-03-26,43,47.32
2010-04-02,41,
2010-04-09,42,49.79
2010-04-16,46,50.20
2010-04-23,44,51.46
2010-04-30,45,48.48
2010-05-07,42,43.55
2010-05-14,43,44.91
2010-05-21,43,42.72
2010-05-28,45,45.43
2010-06-04,43,42.13
2010-06-11,46,43.61
2010-06-18,42,44.44
2010-06-25,43,41.02
2010-07-02,42,37.20
2010-07-09,39,39.02
2010-07-16,37,39.18
2010-07-23,40,41.50
2010-07-30,38,42.07
2010-08-06,38,43.34
2010-08-13,38,41.79
2010-08-20,38,43.30
2010-08-27,42,40.71
2010-09-03,41,42.80
2010-09-10,41,42.50
2010-09-17,41,44.98
2010-09-24,40,45.51
2010-10-01,39,46.97
2010-10-08,38,48.51
2010-10-15,37,50.54
2010-10-22,40,50.48
2010-10-29,37,53.00
2010-11-05,36,56.95
2010-11-12,38,55.66
2010-11-19,38,58.03
2010-11-26,39,60.60
2010-12-03,36,63.30
2010-12-10,36,63.68
2010-12-17,40,65.16
2010-12-24,36,
2010-12-31,30,62.27
2011-01-07,36,59.35
2011-01-14,36,60.05
2011-01-21,36,57.83
2011-01-28,38,57.54
2011-02-04,34,61.96
2011-02-11,37,64.45
2011-02-18,38,64.70
2011-02-25,37,61.15
2011-03-04,37,62.59
2011-03-11,38,63.19
2011-03-18,36,57.29
2011-03-25,38,60.00
2011-04-01,38,62.52
2011-04-08,37,61.43
2011-04-15,38,65.00
2011-04-22,34,
2011-04-29,35,69.44
2011-05-06,35,67.66
2011-05-13,38,68.95
2011-05-20,37,69.24
2011-05-27,37,76.50
2011-06-03,34,73.24
2011-06-10,36,71.41
2011-06-17,34,73.80
2011-06-24,34,75.70
2011-07-01,33,79.40
2011-07-08,33,82.30
2011-07-15,35,81.88
2011-07-22,35,82.91
2011-07-29,34,79.59
2011-08-05,32,69.14
2011-08-12,32,68.31
2011-08-19,31,57.36
2011-08-26,34,69.01
2011-09-02,34,68.00
2011-09-09,32,68.49
2011-09-16,34,75.00
2011-09-23,31,70.53
2011-09-30,32,60.82
2011-10-07,31,66.37
2011-10-14,33,72.03
2011-10-21,33,74.60
2011-10-28,32,78.90
2011-11-04,33,77.94
2011-11-11,32,76.85
2011-11-18,33,75.44
2011-11-25,32,69.50
2011-12-02,31,67.60
2011-12-09,29,67.88
2011-12-16,32,62.61
2011-12-23,29,65.18
2011-12-30,25,66.26
2012-01-06,26,65.75
2012-01-13,29,59.10
2012-01-20,29,61.88
2012-01-27,29,63.49
2012-02-03,31,65.21
2012-02-10,32,63.88
2012-02-17,30,66.28
2012-02-24,31,64.68
2012-03-02,32,67.47
2012-03-09,32,68.77
2012-03-16,33,68.03
2012-03-23,31,71.45
2012-03-30,31,69.13
2012-04-06,29,
2012-04-13,28,66.40
2012-04-20,31,67.15
2012-04-27,31,69.47
2012-05-04,27,65.95
2012-05-11,31,63.04
2012-05-18,31,60.64
2012-05-25,29,56.32
2012-06-01,28,54.34
2012-06-08,31,55.28
2012-06-15,30,53.59
2012-06-22,30,52.26
2012-06-29,28,52.95
2012-07-06,28,53.45
2012-07-13,29,52.16
2012-07-20,29,55.97
2012-07-27,31,57.43
2012-08-03,40,54.74
2012-08-10,31,58.48
2012-08-17,25,60.66
2012-08-24,25,58.50
2012-08-31,28,61.95
2012-09-07,28,62.64
2012-09-14,29,65.60
2012-09-21,28,63.51
2012-09-28,27,61.88
2012-10-05,27,63.01
2012-10-12,28,62.21
2012-10-19,27,64.20
2012-10-26,26,62.57
2012-11-02,25,65.25
2012-11-09,26,60.99
2012-11-16,26,59.54
2012-11-23,25,62.07
2012-11-30,27,58.98
2012-12-07,26,58.42
2012-12-14,26,58.09
2012-12-21,25,58.40
2012-12-28,20,56.44
2013-01-04,19,61.18
2013-01-11,24,60.28
2013-01-18,24,63.80
2013-01-25,25,64.17
2013-02-01,25,64.77
2013-02-08,25,62.89
2013-02-15,24,64.78
2013-02-22,24,64.38
2013-03-01,26,69.04
2013-03-08,25,70.25
2013-03-15,25,69.42
2013-03-22,26,69.23
2013-03-29,23,
2013-04-05,24,70.61
2013-04-12,26,72.67
2013-04-19,24,70.11
2013-04-26,24,72.93
2013-05-03,21,75.31
2013-05-10,24,76.50
2013-05-17,26,78.00
2013-05-24,25,76.21
2013-05-31,25,77.78
2013-06-07,27,79.30
2013-06-14,26,75.48
2013-06-21,24,72.51
2013-06-28,25,72.84
2013-07-05,24,73.44
2013-07-12,25,77.02
2013-07-19,25,78.82
2013-07-26,34,80.03
2013-08-02,27,81.47
2013-08-09,22,81.36
2013-08-16,21,79.62
2013-08-23,23,82.00
2013-08-30,23,77.11
2013-09-06,22,77.03
2013-09-13,22,78.95
2013-09-20,23,79.40
2013-09-27,24,76.89
2013-10-04,23,77.61
2013-10-11,24,76.57
2013-10-18,24,78.14
2013-10-25,23,79.32
2013-11-01,21,79.01
2013-11-08,22,79.65
2013-11-15,24,82.74
2013-11-22,23,81.08
2013-11-29,23,89.14
2013-12-06,25,89.70
2013-12-13,24,89.31
2013-12-20,22,90.62
2013-12-27,17,90.87
2014-01-03,17,92.28
2014-01-10,23,90.36
2014-01-17,23,86.71
2014-01-24,23,83.13
2014-01-31,23,83.19
2014-02-07,21,87.15
2014-02-14,23,88.16
2014-02-21,25,89.28
2014-02-28,25,93.25
2014-03-07,23,93.81
2014-03-14,21,91.90
2014-03-21,22,90.73
2014-03-28,24,85.05
2014-04-04,23,87.34
2014-04-11,25,84.54
2014-04-18,23,
2014-04-25,22,87.11
2014-05-02,22,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
