Date,MU,Price
2006-04-07,67,15.25
2006-04-14,75,
2006-04-21,68,16.40
2006-04-28,63,16.97
2006-05-05,68,17.05
2006-05-12,62,15.81
2006-05-19,65,15.77
2006-05-26,65,16.37
2006-06-02,66,16.46
2006-06-09,67,15.53
2006-06-16,68,16.35
2006-06-23,66,16.42
2006-06-30,65,15.06
2006-07-07,68,14.86
2006-07-14,66,14.40
2006-07-21,66,14.15
2006-07-28,70,15.82
2006-08-04,68,15.74
2006-08-11,66,15.74
2006-08-18,69,16.55
2006-08-25,68,16.26
2006-09-01,68,17.32
2006-09-08,70,17.88
2006-09-15,70,18.07
2006-09-22,67,17.46
2006-09-29,67,17.40
2006-10-06,69,15.14
2006-10-13,68,15.06
2006-10-20,68,14.27
2006-10-27,68,14.17
2006-11-03,72,13.98
2006-11-10,67,14.01
2006-11-17,71,14.57
2006-11-24,70,14.79
2006-12-01,71,14.47
2006-12-08,70,14.64
2006-12-15,67,13.70
2006-12-22,72,13.94
2006-12-29,81,13.96
2007-01-05,73,13.58
2007-01-12,65,14.23
2007-01-19,64,13.27
2007-01-26,71,13.20
2007-02-02,69,13.16
2007-02-09,69,12.56
2007-02-16,68,12.32
2007-02-23,68,12.38
2007-03-02,66,11.83
2007-03-09,67,11.42
2007-03-16,66,11.44
2007-03-23,65,11.59
2007-03-30,68,12.08
2007-04-06,75,
2007-04-13,70,11.26
2007-04-20,68,11.19
2007-04-27,69,11.69
2007-05-04,74,11.91
2007-05-11,70,12.32
2007-05-18,70,11.47
2007-05-25,71,11.97
2007-06-01,70,12.60
2007-06-08,71,12.35
2007-06-15,69,12.58
2007-06-22,67,12.83
2007-06-29,72,12.53
2007-07-06,74,13.45
2007-07-13,75,13.74
2007-07-20,75,13.41
2007-07-27,72,11.87
2007-08-03,74,11.64
2007-08-10,73,12.21
2007-08-17,72,10.99
2007-08-24,70,11.02
2007-08-31,72,11.45
2007-09-07,67,11.40
2007-09-14,71,11.00
2007-09-21,70,10.73
2007-09-28,67,11.10
2007-10-05,68,10.80
2007-10-12,68,10.49
2007-10-19,65,10.08
2007-10-26,63,9.76
2007-11-02,70,10.47
2007-11-09,64,9.64
2007-11-16,68,9.15
2007-11-23,82,8.37
2007-11-30,81,8.32
2007-12-07,79,9.03
2007-12-14,71,8.37
2007-12-21,76,7.53
2007-12-28,85,7.27
2008-01-04,76,6.40
2008-01-11,72,6.09
2008-01-18,71,6.44
2008-01-25,72,6.53
2008-02-01,71,7.81
2008-02-08,73,6.69
2008-02-15,74,7.13
2008-02-22,72,7.54
2008-02-29,74,7.52
2008-03-07,72,6.88
2008-03-14,72,6.14
2008-03-21,79,
2008-03-28,74,5.46
2008-04-04,74,6.76
2008-04-11,72,6.90
2008-04-18,76,7.40
2008-04-25,81,7.68
2008-05-02,82,8.24
2008-05-09,77,8.37
2008-05-16,77,8.84
2008-05-23,82,8.21
2008-05-30,75,8.07
2008-06-06,76,8.29
2008-06-13,75,7.66
2008-06-20,75,7.23
2008-06-27,78,6.10
2008-07-04,81,
2008-07-11,77,5.44
2008-07-18,80,5.70
2008-07-25,81,4.97
2008-08-01,84,4.67
2008-08-08,83,5.27
2008-08-15,85,5.39
2008-08-22,80,4.69
2008-08-29,81,4.24
2008-09-05,79,4.36
2008-09-12,79,5.13
2008-09-19,78,4.84
2008-09-26,79,4.65
2008-10-03,80,4.44
2008-10-10,76,3.55
2008-10-17,78,4.12
2008-10-24,76,3.55
2008-10-31,74,4.71
2008-11-07,76,4.48
2008-11-14,75,2.75
2008-11-21,75,1.87
2008-11-28,77,2.74
2008-12-05,75,2.04
2008-12-12,76,2.07
2008-12-19,79,2.99
2008-12-26,91,2.59
2009-01-02,88,2.84
2009-01-09,77,3.29
2009-01-16,78,3.40
2009-01-23,79,3.56
2009-01-30,81,3.72
2009-02-06,80,4.08
2009-02-13,78,3.73
2009-02-20,78,2.81
2009-02-27,82,3.22
2009-03-06,81,2.91
2009-03-13,79,3.64
2009-03-20,78,3.43
2009-03-27,77,4.17
2009-04-03,80,4.50
2009-04-10,87,
2009-04-17,85,5.00
2009-04-24,81,4.86
2009-05-01,84,4.89
2009-05-08,84,4.85
2009-05-15,82,4.24
2009-05-22,80,4.51
2009-05-29,85,5.06
2009-06-05,78,5.30
2009-06-12,78,5.47
2009-06-19,80,5.33
2009-06-26,77,5.10
2009-07-03,82,
2009-07-10,85,5.08
2009-07-17,90,5.75
2009-07-24,91,6.27
2009-07-31,86,6.39
2009-08-07,86,6.83
2009-08-14,87,6.72
2009-08-21,87,7.14
2009-08-28,86,7.56
2009-09-04,85,7.35
2009-09-11,85,7.87
2009-09-18,80,8.20
2009-09-25,78,8.10
2009-10-02,74,7.46
2009-10-09,73,8.78
2009-10-16,76,7.95
2009-10-23,73,7.45
2009-10-30,75,6.79
2009-11-06,74,7.08
2009-11-13,75,7.51
2009-11-20,74,7.26
2009-11-27,74,7.30
2009-12-04,75,8.45
2009-12-11,77,8.64
2009-12-18,75,8.78
2009-12-25,80,
2010-01-01,84,
2010-01-08,75,11.10
2010-01-15,72,10.13
2010-01-22,72,9.13
2010-01-29,73,8.72
2010-02-05,76,8.70
2010-02-12,72,8.44
2010-02-19,76,8.90
2010-02-26,70,9.06
2010-03-05,71,9.46
2010-03-12,74,9.97
2010-03-19,74,9.95
2010-03-26,72,10.49
2010-04-02,81,
2010-04-09,79,10.73
2010-04-16,73,10.92
2010-04-23,74,11.00
2010-04-30,72,9.35
2010-05-07,71,8.57
2010-05-14,74,8.94
2010-05-21,71,8.93
2010-05-28,72,9.09
2010-06-04,76,8.86
2010-06-11,71,8.93
2010-06-18,72,10.00
2010-06-25,74,9.46
2010-07-02,75,8.22
2010-07-09,72,8.57
2010-07-16,75,8.27
2010-07-23,79,8.48
2010-07-30,77,7.28
2010-08-06,77,7.58
2010-08-13,79,7.28
2010-08-20,82,7.12
2010-08-27,78,6.83
2010-09-03,76,7.05
2010-09-10,74,6.51
2010-09-17,74,6.76
2010-09-24,78,7.20
2010-10-01,77,7.29
2010-10-08,76,7.59
2010-10-15,77,7.61
2010-10-22,73,7.69
2010-10-29,76,8.26
2010-11-05,77,8.66
2010-11-12,76,7.72
2010-11-19,74,7.39
2010-11-26,76,7.63
2010-12-03,75,7.92
2010-12-10,76,8.25
2010-12-17,78,8.21
2010-12-24,84,
2010-12-31,82,8.02
2011-01-07,79,8.65
2011-01-14,75,9.71
2011-01-21,77,9.84
2011-01-28,76,10.37
2011-02-04,77,11.05
2011-02-11,78,11.32
2011-02-18,78,11.70
2011-02-25,80,11.44
2011-03-04,82,11.64
2011-03-11,82,10.24
2011-03-18,77,10.07
2011-03-25,78,11.55
2011-04-01,75,11.30
2011-04-08,82,11.07
2011-04-15,83,10.75
2011-04-22,84,
2011-04-29,85,11.32
2011-05-06,86,10.87
2011-05-13,89,10.40
2011-05-20,82,10.00
2011-05-27,97,10.02
2011-06-03,92,9.16
2011-06-10,82,8.44
2011-06-17,87,7.83
2011-06-24,86,7.21
2011-07-01,87,7.83
2011-07-08,85,7.68
2011-07-15,90,7.41
2011-07-22,91,8.09
2011-07-29,95,7.37
2011-08-05,96,6.31
2011-08-12,97,6.18
2011-08-19,93,5.25
2011-08-26,94,5.66
2011-09-02,93,5.50
2011-09-09,89,6.35
2011-09-16,91,7.03
2011-09-23,97,6.65
2011-09-30,92,5.04
2011-10-07,90,4.95
2011-10-14,91,5.70
2011-10-21,90,5.46
2011-10-28,100,5.88
2011-11-04,93,5.89
2011-11-11,88,5.43
2011-11-18,87,6.29
2011-11-25,91,5.50
2011-12-02,88,5.80
2011-12-09,91,5.89
2011-12-16,87,5.68
2011-12-23,92,6.40
2011-12-30,97,6.29
2012-01-06,94,7.20
2012-01-13,89,7.23
2012-01-20,83,7.76
2012-01-27,65,7.43
2012-02-03,60,7.95
2012-02-10,64,7.91
2012-02-17,58,8.43
2012-02-24,60,7.95
2012-03-02,58,8.65
2012-03-09,60,8.33
2012-03-16,57,8.82
2012-03-23,55,8.40
2012-03-30,55,8.10
2012-04-06,55,
2012-04-13,54,6.96
2012-04-20,53,6.64
2012-04-27,52,6.57
2012-05-04,59,6.55
2012-05-11,49,6.36
2012-05-18,52,5.63
2012-05-25,50,5.96
2012-06-01,51,5.45
2012-06-08,50,5.88
2012-06-15,47,5.89
2012-06-22,48,5.74
2012-06-29,48,6.31
2012-07-06,50,6.72
2012-07-13,49,6.13
2012-07-20,50,5.83
2012-07-27,53,6.28
2012-08-03,53,6.33
2012-08-10,54,6.76
2012-08-17,55,6.57
2012-08-24,55,6.30
2012-08-31,51,6.21
2012-09-07,53,6.42
2012-09-14,51,6.70
2012-09-21,54,6.36
2012-09-28,54,5.98
2012-10-05,51,5.89
2012-10-12,49,5.67
2012-10-19,46,5.45
2012-10-26,49,5.47
2012-11-02,61,5.71
2012-11-09,49,5.62
2012-11-16,48,5.47
2012-11-23,49,5.68
2012-11-30,47,5.97
2012-12-07,48,6.44
2012-12-14,51,6.85
2012-12-21,50,6.32
2012-12-28,54,6.13
2013-01-04,51,6.96
2013-01-11,50,7.54
2013-01-18,52,7.89
2013-01-25,50,7.87
2013-02-01,48,7.83
2013-02-08,46,7.75
2013-02-15,62,7.91
2013-02-22,49,8.02
2013-03-01,48,8.25
2013-03-08,67,9.20
2013-03-15,53,9.37
2013-03-22,46,10.04
2013-03-29,49,
2013-04-05,51,9.31
2013-04-12,54,10.01
2013-04-19,47,9.35
2013-04-26,50,9.43
2013-05-03,51,9.63
2013-05-10,51,10.82
2013-05-17,46,11.31
2013-05-24,45,11.59
2013-05-31,45,11.68
2013-06-07,46,12.65
2013-06-14,46,12.76
2013-06-21,45,13.90
2013-06-28,45,14.33
2013-07-05,47,14.31
2013-07-12,50,12.69
2013-07-19,52,13.73
2013-07-26,50,12.59
2013-08-02,49,13.50
2013-08-09,46,13.99
2013-08-16,48,14.01
2013-08-23,46,13.86
2013-08-30,54,13.57
2013-09-06,50,15.26
2013-09-13,44,16.20
2013-09-20,45,17.23
2013-09-27,50,17.62
2013-10-04,47,18.47
2013-10-11,48,16.84
2013-10-18,45,17.03
2013-10-25,47,16.58
2013-11-01,47,17.58
2013-11-08,48,18.11
2013-11-15,55,19.46
2013-11-22,45,20.19
2013-11-29,49,21.10
2013-12-06,50,22.31
2013-12-13,48,23.08
2013-12-20,50,22.17
2013-12-27,52,21.52
2014-01-03,51,20.97
2014-01-10,50,23.71
2014-01-17,48,22.38
2014-01-24,54,22.92
2014-01-31,48,23.04
2014-02-07,46,24.51
2014-02-14,51,25.08
2014-02-21,47,25.08
2014-02-28,51,24.19
2014-03-07,49,24.42
2014-03-14,49,23.96
2014-03-21,57,23.66
2014-03-28,55,21.91
2014-04-04,57,22.58
2014-04-11,55,21.13
2014-04-18,49,
2014-04-25,53,25.26
2014-05-02,54,
