Date,KMB,Price
2007-07-27,51,68.18
2007-08-03,50,67.63
2007-08-10,52,68.21
2007-08-17,61,69.07
2007-08-24,63,70.33
2007-08-31,53,68.69
2007-09-07,51,67.76
2007-09-14,47,69.55
2007-09-21,44,69.96
2007-09-28,52,70.26
2007-10-05,54,70.03
2007-10-12,54,70.50
2007-10-19,51,67.14
2007-10-26,49,70.88
2007-11-02,51,69.16
2007-11-09,42,68.13
2007-11-16,40,69.15
2007-11-23,59,68.25
2007-11-30,51,69.81
2007-12-07,60,69.33
2007-12-14,41,68.11
2007-12-21,45,69.29
2007-12-28,65,69.94
2008-01-04,62,68.97
2008-01-11,49,66.77
2008-01-18,35,65.06
2008-01-25,37,64.08
2008-02-01,42,67.04
2008-02-08,38,64.57
2008-02-15,40,64.43
2008-02-22,43,65.04
2008-02-29,45,65.18
2008-03-07,39,63.52
2008-03-14,44,62.99
2008-03-21,53,
2008-03-28,48,64.08
2008-04-04,38,65.28
2008-04-11,43,63.38
2008-04-18,41,63.34
2008-04-25,57,63.77
2008-05-02,58,64.63
2008-05-09,45,62.35
2008-05-16,50,63.42
2008-05-23,48,62.79
2008-05-30,50,63.80
2008-06-06,55,62.11
2008-06-13,50,62.62
2008-06-20,51,61.18
2008-06-27,45,59.87
2008-07-04,56,
2008-07-11,54,59.32
2008-07-18,57,54.99
2008-07-25,68,55.99
2008-08-01,61,57.85
2008-08-08,65,61.42
2008-08-15,50,62.92
2008-08-22,46,62.03
2008-08-29,62,61.68
2008-09-05,49,62.19
2008-09-12,46,64.58
2008-09-19,49,66.06
2008-09-26,49,66.07
2008-10-03,47,64.39
2008-10-10,45,56.62
2008-10-17,52,59.99
2008-10-24,45,55.01
2008-10-31,44,61.29
2008-11-07,44,57.94
2008-11-14,46,57.37
2008-11-21,52,55.56
2008-11-28,52,57.79
2008-12-05,46,54.95
2008-12-12,53,51.53
2008-12-19,53,51.11
2008-12-26,58,52.04
2009-01-02,50,53.65
2009-01-09,45,50.45
2009-01-16,52,53.22
2009-01-23,50,51.99
2009-01-30,49,51.47
2009-02-06,52,51.48
2009-02-13,52,49.76
2009-02-20,42,47.99
2009-02-27,52,47.11
2009-03-06,51,43.92
2009-03-13,51,46.02
2009-03-20,52,45.98
2009-03-27,47,47.54
2009-04-03,51,49.00
2009-04-10,53,
2009-04-17,47,50.24
2009-04-24,44,49.31
2009-05-01,48,49.75
2009-05-08,46,51.95
2009-05-15,53,50.49
2009-05-22,53,51.15
2009-05-29,54,51.89
2009-06-05,52,52.41
2009-06-12,45,52.73
2009-06-19,53,50.67
2009-06-26,51,52.35
2009-07-03,54,
2009-07-10,59,51.95
2009-07-17,54,54.47
2009-07-24,52,58.02
2009-07-31,61,58.45
2009-08-07,56,57.56
2009-08-14,51,58.94
2009-08-21,57,59.53
2009-08-28,52,59.76
2009-09-04,52,58.20
2009-09-11,49,58.50
2009-09-18,47,57.88
2009-09-25,47,57.70
2009-10-02,44,58.87
2009-10-09,53,59.26
2009-10-16,58,59.07
2009-10-23,52,61.57
2009-10-30,50,61.16
2009-11-06,55,63.71
2009-11-13,50,64.04
2009-11-20,55,64.75
2009-11-27,56,65.56
2009-12-04,44,65.87
2009-12-11,50,64.71
2009-12-18,49,63.33
2009-12-25,56,
2010-01-01,60,
2010-01-08,58,62.71
2010-01-15,53,62.22
2010-01-22,56,60.23
2010-01-29,51,59.39
2010-02-05,42,58.96
2010-02-12,49,58.86
2010-02-19,53,60.25
2010-02-26,49,60.74
2010-03-05,57,60.11
2010-03-12,53,60.08
2010-03-19,52,61.43
2010-03-26,49,62.81
2010-04-02,54,
2010-04-09,48,61.68
2010-04-16,51,61.82
2010-04-23,53,60.93
2010-04-30,52,61.26
2010-05-07,53,61.00
2010-05-14,59,61.61
2010-05-21,56,61.62
2010-05-28,56,60.70
2010-06-04,58,60.18
2010-06-11,53,62.15
2010-06-18,63,62.78
2010-06-25,47,61.47
2010-07-02,63,60.49
2010-07-09,59,61.70
2010-07-16,67,62.06
2010-07-23,81,63.64
2010-07-30,61,64.12
2010-08-06,72,65.29
2010-08-13,66,64.81
2010-08-20,62,64.71
2010-08-27,60,64.46
2010-09-03,62,66.18
2010-09-10,60,66.26
2010-09-17,58,66.37
2010-09-24,65,66.05
2010-10-01,63,65.03
2010-10-08,62,66.45
2010-10-15,66,66.38
2010-10-22,57,66.56
2010-10-29,63,63.34
2010-11-05,59,63.03
2010-11-12,57,62.02
2010-11-19,62,61.84
2010-11-26,60,61.64
2010-12-03,61,62.01
2010-12-10,62,61.70
2010-12-17,59,62.74
2010-12-24,75,
2010-12-31,63,63.04
2011-01-07,68,62.99
2011-01-14,61,63.64
2011-01-21,58,64.28
2011-01-28,57,64.73
2011-02-04,65,65.01
2011-02-11,69,65.85
2011-02-18,62,65.66
2011-02-25,62,65.08
2011-03-04,64,64.77
2011-03-11,64,64.65
2011-03-18,58,64.29
2011-03-25,62,65.10
2011-04-01,64,65.38
2011-04-08,63,65.43
2011-04-15,59,65.59
2011-04-22,62,
2011-04-29,62,66.06
2011-05-06,63,66.88
2011-05-13,62,68.29
2011-05-20,64,68.18
2011-05-27,70,67.66
2011-06-03,63,66.02
2011-06-10,62,64.62
2011-06-17,61,66.22
2011-06-24,64,65.36
2011-07-01,67,66.90
2011-07-08,66,66.62
2011-07-15,71,67.10
2011-07-22,66,67.90
2011-07-29,69,65.36
2011-08-05,73,64.07
2011-08-12,72,65.14
2011-08-19,67,65.35
2011-08-26,73,67.83
2011-09-02,61,68.13
2011-09-09,69,67.23
2011-09-16,73,69.78
2011-09-23,71,69.97
2011-09-30,73,71.01
2011-10-07,68,70.96
2011-10-14,63,71.91
2011-10-21,69,73.00
2011-10-28,74,70.37
2011-11-04,67,69.71
2011-11-11,64,71.10
2011-11-18,67,70.10
2011-11-25,69,68.69
2011-12-02,74,70.73
2011-12-09,70,70.14
2011-12-16,67,71.28
2011-12-23,79,73.73
2011-12-30,79,73.56
2012-01-06,75,72.63
2012-01-13,66,72.70
2012-01-20,68,73.83
2012-01-27,72,71.13
2012-02-03,67,72.23
2012-02-10,58,71.56
2012-02-17,64,71.57
2012-02-24,69,71.81
2012-03-02,61,72.35
2012-03-09,65,71.77
2012-03-16,71,72.92
2012-03-23,72,73.13
2012-03-30,76,73.89
2012-04-06,77,
2012-04-13,74,74.35
2012-04-20,60,76.47
2012-04-27,69,78.68
2012-05-04,72,78.29
2012-05-11,72,79.39
2012-05-18,62,78.83
2012-05-25,78,79.46
2012-06-01,69,78.28
2012-06-08,72,81.20
2012-06-15,73,82.48
2012-06-22,72,81.38
2012-06-29,69,83.77
2012-07-06,84,83.91
2012-07-13,77,85.21
2012-07-20,74,84.83
2012-07-27,100,87.32
2012-08-03,77,85.35
2012-08-10,84,82.82
2012-08-17,73,83.95
2012-08-24,81,83.66
2012-08-31,82,83.60
2012-09-07,74,82.93
2012-09-14,80,82.68
2012-09-21,77,85.32
2012-09-28,83,85.78
2012-10-05,82,86.89
2012-10-12,71,85.65
2012-10-19,76,86.88
2012-10-26,70,82.75
2012-11-02,67,83.34
2012-11-09,69,83.13
2012-11-16,69,85.03
2012-11-23,70,87.34
2012-11-30,63,85.72
2012-12-07,65,85.91
2012-12-14,69,85.05
2012-12-21,60,84.05
2012-12-28,74,83.13
2013-01-04,70,86.36
2013-01-11,67,85.10
2013-01-18,64,86.82
2013-01-25,59,86.26
2013-02-01,55,90.01
2013-02-08,58,90.90
2013-02-15,69,91.20
2013-02-22,63,94.50
2013-03-01,61,94.30
2013-03-08,62,94.19
2013-03-15,58,93.26
2013-03-22,66,95.66
2013-03-29,66,
2013-04-05,63,99.31
2013-04-12,63,101.23
2013-04-19,59,106.10
2013-04-26,60,103.12
2013-05-03,65,105.38
2013-05-10,58,103.43
2013-05-17,53,104.35
2013-05-24,59,103.51
2013-05-31,64,96.83
2013-06-07,63,97.12
2013-06-14,65,97.86
2013-06-21,63,95.78
2013-06-28,57,97.14
2013-07-05,64,97.39
2013-07-12,65,99.88
2013-07-19,43,99.49
2013-07-26,43,98.39
2013-08-02,38,99.61
2013-08-09,50,98.53
2013-08-16,64,94.94
2013-08-23,71,95.89
2013-08-30,67,93.48
2013-09-06,65,93.06
2013-09-13,63,95.69
2013-09-20,72,96.20
2013-09-27,72,94.79
2013-10-04,65,94.26
2013-10-11,66,96.95
2013-10-18,63,99.18
2013-10-25,65,105.51
2013-11-01,66,108.01
2013-11-08,62,108.03
2013-11-15,65,109.26
2013-11-22,63,109.00
2013-11-29,62,109.16
2013-12-06,61,105.58
2013-12-13,75,103.92
2013-12-20,63,105.18
2013-12-27,68,105.10
2014-01-03,72,104.35
2014-01-10,71,104.86
2014-01-17,62,105.46
2014-01-24,61,107.40
2014-01-31,64,109.37
2014-02-07,66,106.90
2014-02-14,62,110.24
2014-02-21,64,109.85
2014-02-28,59,110.35
2014-03-07,63,108.95
2014-03-14,59,109.66
2014-03-21,63,110.16
2014-03-28,59,109.82
2014-04-04,61,109.77
2014-04-11,61,109.75
2014-04-18,68,
2014-04-25,70,109.24
2014-05-02,64,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
