Date,EMC,Price
2006-04-21,88,13.66
2006-04-28,100,13.51
2006-05-05,74,13.38
2006-05-12,91,13.00
2006-05-19,80,12.73
2006-05-26,76,12.78
2006-06-02,71,12.89
2006-06-09,82,11.82
2006-06-16,70,12.01
2006-06-23,75,11.53
2006-06-30,82,10.97
2006-07-07,79,11.18
2006-07-14,86,9.83
2006-07-21,86,10.30
2006-07-28,80,10.24
2006-08-04,80,9.93
2006-08-11,75,10.15
2006-08-18,78,11.09
2006-08-25,77,11.23
2006-09-01,76,11.85
2006-09-08,68,11.42
2006-09-15,80,11.25
2006-09-22,80,11.20
2006-09-29,72,11.98
2006-10-06,74,12.55
2006-10-13,72,12.69
2006-10-20,77,12.39
2006-10-27,70,12.42
2006-11-03,71,12.12
2006-11-10,71,12.70
2006-11-17,71,12.72
2006-11-24,65,13.08
2006-12-01,69,13.18
2006-12-08,69,13.18
2006-12-15,68,13.46
2006-12-22,62,13.42
2006-12-29,50,13.20
2007-01-05,59,13.61
2007-01-12,71,14.26
2007-01-19,74,13.59
2007-01-26,77,13.74
2007-02-02,76,13.74
2007-02-09,76,14.56
2007-02-16,74,14.60
2007-02-23,68,14.49
2007-03-02,71,13.56
2007-03-09,79,13.05
2007-03-16,76,12.99
2007-03-23,73,13.70
2007-03-30,67,13.85
2007-04-06,74,
2007-04-13,72,14.60
2007-04-20,74,15.37
2007-04-27,73,15.64
2007-05-04,67,15.32
2007-05-11,74,15.33
2007-05-18,73,15.69
2007-05-25,76,16.46
2007-06-01,67,16.83
2007-06-08,79,16.70
2007-06-15,73,17.35
2007-06-22,72,17.95
2007-06-29,74,18.10
2007-07-06,70,18.66
2007-07-13,81,19.19
2007-07-20,78,19.44
2007-07-27,76,18.35
2007-08-03,77,18.68
2007-08-10,83,17.72
2007-08-17,82,18.29
2007-08-24,82,19.98
2007-08-31,77,19.66
2007-09-07,69,18.97
2007-09-14,83,19.28
2007-09-21,73,19.03
2007-09-28,76,20.80
2007-10-05,71,20.99
2007-10-12,75,22.81
2007-10-19,79,22.38
2007-10-26,77,24.53
2007-11-02,76,24.55
2007-11-09,78,19.91
2007-11-16,75,19.64
2007-11-23,68,18.45
2007-11-30,80,19.27
2007-12-07,79,19.55
2007-12-14,70,18.98
2007-12-21,66,19.03
2007-12-28,51,18.44
2008-01-04,56,16.99
2008-01-11,74,16.00
2008-01-18,72,16.98
2008-01-25,75,16.72
2008-02-01,81,16.13
2008-02-08,70,15.48
2008-02-15,72,15.90
2008-02-22,66,15.28
2008-02-29,71,15.54
2008-03-07,71,15.03
2008-03-14,71,14.79
2008-03-21,69,
2008-03-28,70,14.30
2008-04-04,74,14.98
2008-04-11,71,14.88
2008-04-18,74,15.52
2008-04-25,71,15.54
2008-05-02,65,16.10
2008-05-09,67,15.96
2008-05-16,70,17.72
2008-05-23,71,17.06
2008-05-30,67,17.44
2008-06-06,68,17.12
2008-06-13,67,16.49
2008-06-20,68,16.10
2008-06-27,68,14.77
2008-07-04,63,
2008-07-11,71,12.73
2008-07-18,68,12.57
2008-07-25,69,14.01
2008-08-01,68,15.04
2008-08-08,67,15.02
2008-08-15,66,15.32
2008-08-22,61,15.74
2008-08-29,65,15.28
2008-09-05,62,14.04
2008-09-12,67,14.10
2008-09-19,69,13.04
2008-09-26,70,12.72
2008-10-03,59,11.58
2008-10-10,69,10.12
2008-10-17,64,9.69
2008-10-24,69,9.93
2008-10-31,63,11.78
2008-11-07,62,10.89
2008-11-14,62,9.98
2008-11-21,65,9.30
2008-11-28,53,10.57
2008-12-05,60,10.81
2008-12-12,60,10.77
2008-12-19,59,10.94
2008-12-26,43,10.31
2009-01-02,42,10.86
2009-01-09,65,11.75
2009-01-16,62,11.27
2009-01-23,61,11.16
2009-01-30,62,11.04
2009-02-06,63,11.95
2009-02-13,60,12.06
2009-02-20,60,11.01
2009-02-27,63,10.50
2009-03-06,68,9.93
2009-03-13,63,10.68
2009-03-20,63,11.29
2009-03-27,60,11.57
2009-04-03,60,12.49
2009-04-10,61,
2009-04-17,64,12.81
2009-04-24,64,11.96
2009-05-01,59,12.45
2009-05-08,59,12.64
2009-05-15,64,11.94
2009-05-22,60,11.61
2009-05-29,56,11.75
2009-06-05,66,12.88
2009-06-12,60,13.26
2009-06-19,61,13.10
2009-06-26,55,13.51
2009-07-03,55,
2009-07-10,64,12.80
2009-07-17,61,13.92
2009-07-24,61,14.95
2009-07-31,60,15.06
2009-08-07,59,15.24
2009-08-14,58,15.17
2009-08-21,60,15.29
2009-08-28,57,16.13
2009-09-04,66,16.07
2009-09-11,57,16.90
2009-09-18,65,17.00
2009-09-25,59,16.80
2009-10-02,54,16.76
2009-10-09,57,18.15
2009-10-16,61,17.96
2009-10-23,58,17.49
2009-10-30,59,16.47
2009-11-06,58,16.73
2009-11-13,57,16.88
2009-11-20,57,17.04
2009-11-27,48,16.75
2009-12-04,55,17.13
2009-12-11,57,16.65
2009-12-18,54,17.34
2009-12-25,38,
2010-01-01,38,
2010-01-08,54,17.66
2010-01-15,57,17.94
2010-01-22,55,16.76
2010-01-29,58,16.67
2010-02-05,57,16.82
2010-02-12,56,17.12
2010-02-19,51,17.81
2010-02-26,58,17.49
2010-03-05,56,17.87
2010-03-12,57,18.88
2010-03-19,56,18.61
2010-03-26,58,18.56
2010-04-02,55,
2010-04-09,56,18.54
2010-04-16,59,19.36
2010-04-23,56,19.98
2010-04-30,56,19.01
2010-05-07,54,18.08
2010-05-14,61,18.57
2010-05-21,59,17.96
2010-05-28,55,18.62
2010-06-04,52,18.38
2010-06-11,57,18.67
2010-06-18,55,19.35
2010-06-25,51,19.24
2010-07-02,53,18.04
2010-07-09,53,19.45
2010-07-16,57,20.15
2010-07-23,57,20.21
2010-07-30,53,19.79
2010-08-06,54,20.24
2010-08-13,54,18.76
2010-08-20,54,18.69
2010-08-27,53,18.37
2010-09-03,54,19.91
2010-09-10,53,19.98
2010-09-17,55,20.57
2010-09-24,56,21.64
2010-10-01,54,20.34
2010-10-08,56,19.87
2010-10-15,58,21.09
2010-10-22,60,21.44
2010-10-29,56,21.02
2010-11-05,55,21.57
2010-11-12,54,21.72
2010-11-19,57,21.82
2010-11-26,46,21.70
2010-12-03,52,22.13
2010-12-10,52,22.25
2010-12-17,54,22.96
2010-12-24,42,
2010-12-31,39,22.90
2011-01-07,50,23.47
2011-01-14,57,24.54
2011-01-21,58,23.98
2011-01-28,56,24.48
2011-02-04,53,25.69
2011-02-11,58,27.04
2011-02-18,54,27.18
2011-02-25,51,26.90
2011-03-04,53,27.32
2011-03-11,57,26.59
2011-03-18,52,25.63
2011-03-25,55,27.33
2011-04-01,54,26.55
2011-04-08,58,26.13
2011-04-15,56,26.91
2011-04-22,54,
2011-04-29,51,28.34
2011-05-06,50,27.12
2011-05-13,58,27.60
2011-05-20,54,28.06
2011-05-27,54,28.43
2011-06-03,48,27.93
2011-06-10,54,26.32
2011-06-17,53,25.83
2011-06-24,53,25.64
2011-07-01,52,27.83
2011-07-08,49,27.87
2011-07-15,54,26.81
2011-07-22,53,27.76
2011-07-29,50,26.08
2011-08-05,51,22.99
2011-08-12,51,23.14
2011-08-19,50,20.28
2011-08-26,50,21.61
2011-09-02,48,21.43
2011-09-09,46,21.29
2011-09-16,50,22.76
2011-09-23,50,20.62
2011-09-30,50,20.99
2011-10-07,49,22.39
2011-10-14,48,23.09
2011-10-21,52,24.03
2011-10-28,53,25.03
2011-11-04,48,24.67
2011-11-11,49,24.64
2011-11-18,48,23.07
2011-11-25,44,21.88
2011-12-02,50,23.26
2011-12-09,46,23.55
2011-12-16,45,22.30
2011-12-23,41,21.83
2011-12-30,32,21.54
2012-01-06,41,22.01
2012-01-13,47,22.25
2012-01-20,48,23.25
2012-01-27,48,25.83
2012-02-03,49,26.39
2012-02-10,52,26.20
2012-02-17,51,27.10
2012-02-24,50,27.52
2012-03-02,50,28.58
2012-03-09,51,29.01
2012-03-16,52,28.89
2012-03-23,50,29.15
2012-03-30,51,29.88
2012-04-06,45,
2012-04-13,46,28.87
2012-04-20,51,27.90
2012-04-27,49,28.32
2012-05-04,47,27.80
2012-05-11,47,26.36
2012-05-18,48,24.94
2012-05-25,52,24.24
2012-06-01,47,23.18
2012-06-08,49,24.64
2012-06-15,47,24.70
2012-06-22,47,24.71
2012-06-29,48,25.63
2012-07-06,48,24.07
2012-07-13,50,23.65
2012-07-20,52,25.05
2012-07-27,51,26.55
2012-08-03,50,26.80
2012-08-10,51,26.99
2012-08-17,49,26.85
2012-08-24,51,26.68
2012-08-31,49,26.29
2012-09-07,49,27.70
2012-09-14,52,27.86
2012-09-21,48,28.02
2012-09-28,51,27.27
2012-10-05,49,27.29
2012-10-12,50,25.64
2012-10-19,50,24.58
2012-10-26,49,23.91
2012-11-02,46,24.98
2012-11-09,47,24.22
2012-11-16,46,23.56
2012-11-23,42,24.81
2012-11-30,45,24.82
2012-12-07,46,24.91
2012-12-14,44,24.72
2012-12-21,43,25.62
2012-12-28,29,24.83
2013-01-04,36,24.33
2013-01-11,44,24.15
2013-01-18,45,24.33
2013-01-25,47,25.26
2013-02-01,50,24.85
2013-02-08,48,24.88
2013-02-15,45,24.00
2013-02-22,43,23.44
2013-03-01,45,23.25
2013-03-08,47,24.30
2013-03-15,46,25.35
2013-03-22,47,24.15
2013-03-29,43,
2013-04-05,43,23.08
2013-04-12,46,23.11
2013-04-19,46,21.50
2013-04-26,47,22.39
2013-05-03,44,23.38
2013-05-10,48,23.34
2013-05-17,46,24.24
2013-05-24,44,23.65
2013-05-31,43,24.76
2013-06-07,45,24.74
2013-06-14,48,24.76
2013-06-21,46,24.33
2013-06-28,45,23.62
2013-07-05,42,24.13
2013-07-12,46,24.94
2013-07-19,45,25.52
2013-07-26,47,26.50
2013-08-02,45,26.32
2013-08-09,44,26.85
2013-08-16,42,25.88
2013-08-23,44,26.38
2013-08-30,46,25.78
2013-09-06,45,26.39
2013-09-13,46,26.84
2013-09-20,44,26.43
2013-09-27,44,26.07
2013-10-04,44,25.43
2013-10-11,44,25.30
2013-10-18,44,25.08
2013-10-25,45,23.80
2013-11-01,46,23.65
2013-11-08,43,23.95
2013-11-15,44,24.00
2013-11-22,45,24.09
2013-11-29,41,23.85
2013-12-06,44,24.00
2013-12-13,44,23.30
2013-12-20,41,24.54
2013-12-27,29,25.00
2014-01-03,33,25.07
2014-01-10,43,25.32
2014-01-17,46,26.33
2014-01-24,44,25.49
2014-01-31,46,24.24
2014-02-07,45,24.49
2014-02-14,53,25.40
2014-02-21,45,25.50
2014-02-28,47,26.37
2014-03-07,46,27.04
2014-03-14,45,26.95
2014-03-21,44,27.98
2014-03-28,45,27.48
2014-04-04,45,27.40
2014-04-11,43,26.65
2014-04-18,43,
2014-04-25,44,25.47
2014-05-02,40,
