Date,PRU,Price
2012-04-20,4,59.73
2012-04-27,4,61.37
2012-05-04,4,52.89
2012-05-11,4,51.51
2012-05-18,4,46.10
2012-05-25,4,47.20
2012-06-01,4,44.74
2012-06-08,3,47.97
2012-06-15,4,48.59
2012-06-22,4,47.08
2012-06-29,4,48.43
2012-07-06,4,47.80
2012-07-13,4,49.14
2012-07-20,4,46.70
2012-07-27,4,48.08
2012-08-03,4,52.03
2012-08-10,4,53.89
2012-08-17,4,54.19
2012-08-24,4,54.62
2012-08-31,4,54.51
2012-09-07,4,57.19
2012-09-14,4,58.63
2012-09-21,4,56.95
2012-09-28,4,54.51
2012-10-05,4,56.70
2012-10-12,4,56.05
2012-10-19,5,58.04
2012-10-26,4,57.30
2012-11-02,4,57.24
2012-11-09,4,52.71
2012-11-16,4,48.74
2012-11-23,4,52.02
2012-11-30,4,52.12
2012-12-07,4,52.47
2012-12-14,4,50.92
2012-12-21,4,53.43
2012-12-28,3,52.47
2013-01-04,4,56.52
2013-01-11,5,57.60
2013-01-18,5,57.71
2013-01-25,5,59.09
2013-02-01,5,58.84
2013-02-08,5,57.60
2013-02-15,5,57.28
2013-02-22,5,56.08
2013-03-01,5,54.98
2013-03-08,5,59.60
2013-03-15,5,60.41
2013-03-22,5,58.75
2013-03-29,5,
2013-04-05,9,55.48
2013-04-12,13,56.90
2013-04-19,30,55.77
2013-04-26,18,59.25
2013-05-03,22,65.20
2013-05-10,100,65.05
2013-05-17,8,68.38
2013-05-24,5,66.46
2013-05-31,5,68.97
2013-06-07,5,71.72
2013-06-14,5,70.48
2013-06-21,5,71.55
2013-06-28,5,73.03
2013-07-05,4,75.60
2013-07-12,5,77.89
2013-07-19,5,78.19
2013-07-26,5,79.16
2013-08-02,4,82.41
2013-08-09,4,80.58
2013-08-16,4,79.61
2013-08-23,4,78.70
2013-08-30,4,74.88
2013-09-06,4,77.55
2013-09-13,4,79.69
2013-09-20,5,78.24
2013-09-27,4,78.41
2013-10-04,4,78.40
2013-10-11,5,79.87
2013-10-18,4,82.53
2013-10-25,5,81.41
2013-11-01,5,81.19
2013-11-08,5,86.90
2013-11-15,5,88.62
2013-11-22,5,90.07
2013-11-29,4,88.76
2013-12-06,4,88.91
2013-12-13,4,88.19
2013-12-20,4,91.33
2013-12-27,3,91.83
2014-01-03,4,90.21
2014-01-10,5,90.73
2014-01-17,5,90.23
2014-01-24,5,84.36
2014-01-31,5,84.39
2014-02-07,5,83.41
2014-02-14,5,84.99
2014-02-21,5,83.93
2014-02-28,5,84.58
2014-03-07,5,88.58
2014-03-14,5,83.73
2014-03-21,5,86.84
2014-03-28,5,83.59
2014-04-04,4,84.33
2014-04-11,4,77.61
2014-04-18,4,
2014-04-25,4,80.68
2014-05-02,4,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
