Date,WAG,Price
2007-03-16,56,46.26
2007-03-23,63,47.77
2007-03-30,56,45.89
2007-04-06,53,
2007-04-13,50,45.92
2007-04-20,60,45.80
2007-04-27,58,45.02
2007-05-04,61,44.82
2007-05-11,70,44.14
2007-05-18,61,45.74
2007-05-25,59,45.09
2007-06-01,60,45.13
2007-06-08,53,44.31
2007-06-15,65,44.26
2007-06-22,60,44.97
2007-06-29,60,43.54
2007-07-06,61,44.41
2007-07-13,55,45.20
2007-07-20,57,45.49
2007-07-27,49,44.55
2007-08-03,62,44.09
2007-08-10,60,46.42
2007-08-17,65,45.67
2007-08-24,62,45.10
2007-08-31,58,45.07
2007-09-07,64,44.15
2007-09-14,64,45.28
2007-09-21,51,45.41
2007-09-28,58,47.24
2007-10-05,69,39.30
2007-10-12,70,38.82
2007-10-19,58,37.85
2007-10-26,64,40.18
2007-11-02,61,39.11
2007-11-09,60,38.10
2007-11-16,56,39.97
2007-11-23,61,39.73
2007-11-30,58,36.59
2007-12-07,58,37.11
2007-12-14,58,36.59
2007-12-21,73,38.47
2007-12-28,54,38.62
2008-01-04,72,34.29
2008-01-11,60,33.70
2008-01-18,55,33.71
2008-01-25,61,34.28
2008-02-01,57,36.32
2008-02-08,64,35.08
2008-02-15,66,35.47
2008-02-22,62,37.41
2008-02-29,57,36.51
2008-03-07,60,35.53
2008-03-14,63,35.96
2008-03-21,59,
2008-03-28,64,37.43
2008-04-04,59,37.90
2008-04-11,69,36.08
2008-04-18,54,35.96
2008-04-25,57,35.49
2008-05-02,59,35.28
2008-05-09,53,34.99
2008-05-16,58,36.37
2008-05-23,61,35.09
2008-05-30,65,36.02
2008-06-06,52,35.53
2008-06-13,61,36.26
2008-06-20,65,35.07
2008-06-27,58,32.97
2008-07-04,60,
2008-07-11,66,32.72
2008-07-18,69,34.18
2008-07-25,68,33.56
2008-08-01,67,33.93
2008-08-08,63,36.55
2008-08-15,67,37.27
2008-08-22,63,36.47
2008-08-29,60,36.43
2008-09-05,69,34.59
2008-09-12,54,36.07
2008-09-19,60,32.96
2008-09-26,60,32.73
2008-10-03,69,27.96
2008-10-10,64,23.22
2008-10-17,73,23.30
2008-10-24,65,22.59
2008-10-31,67,25.46
2008-11-07,67,23.88
2008-11-14,71,23.43
2008-11-21,65,23.16
2008-11-28,61,24.74
2008-12-05,69,25.94
2008-12-12,61,26.15
2008-12-19,56,26.08
2008-12-26,54,23.82
2009-01-02,58,25.55
2009-01-09,64,26.15
2009-01-16,63,26.91
2009-01-23,60,26.93
2009-01-30,62,27.41
2009-02-06,63,28.16
2009-02-13,61,26.13
2009-02-20,59,25.08
2009-02-27,59,23.86
2009-03-06,66,22.09
2009-03-13,67,23.88
2009-03-20,59,24.29
2009-03-27,54,26.39
2009-04-03,62,26.91
2009-04-10,59,
2009-04-17,56,30.02
2009-04-24,67,29.59
2009-05-01,68,31.53
2009-05-08,62,31.39
2009-05-15,55,29.78
2009-05-22,52,29.56
2009-05-29,60,29.79
2009-06-05,63,30.83
2009-06-12,61,31.18
2009-06-19,69,31.43
2009-06-26,68,29.80
2009-07-03,59,
2009-07-10,61,28.84
2009-07-17,58,29.82
2009-07-24,58,30.42
2009-07-31,57,31.05
2009-08-07,53,30.72
2009-08-14,63,31.62
2009-08-21,62,31.63
2009-08-28,58,33.68
2009-09-04,61,33.84
2009-09-11,64,34.08
2009-09-18,57,34.50
2009-09-25,59,33.68
2009-10-02,60,38.05
2009-10-09,56,39.45
2009-10-16,58,40.37
2009-10-23,55,39.05
2009-10-30,55,37.83
2009-11-06,54,39.57
2009-11-13,50,39.38
2009-11-20,50,38.97
2009-11-27,53,39.01
2009-12-04,52,37.86
2009-12-11,58,38.81
2009-12-18,52,36.64
2009-12-25,48,
2010-01-01,50,
2010-01-08,56,36.99
2010-01-15,61,36.60
2010-01-22,57,35.99
2010-01-29,56,36.05
2010-02-05,65,33.31
2010-02-12,62,33.49
2010-02-19,67,34.86
2010-02-26,55,35.24
2010-03-05,61,34.99
2010-03-12,56,33.93
2010-03-19,62,34.53
2010-03-26,55,36.79
2010-04-02,53,
2010-04-09,51,37.07
2010-04-16,55,35.86
2010-04-23,59,35.86
2010-04-30,59,35.15
2010-05-07,56,34.87
2010-05-14,58,35.38
2010-05-21,65,33.10
2010-05-28,65,32.04
2010-06-04,70,30.84
2010-06-11,90,29.48
2010-06-18,100,30.09
2010-06-25,92,26.93
2010-07-02,78,26.36
2010-07-09,67,28.40
2010-07-16,70,29.21
2010-07-23,75,30.14
2010-07-30,56,28.55
2010-08-06,57,28.00
2010-08-13,62,28.17
2010-08-20,60,28.45
2010-08-27,57,27.32
2010-09-03,60,28.30
2010-09-10,72,28.96
2010-09-17,69,29.21
2010-09-24,68,30.36
2010-10-01,62,33.68
2010-10-08,63,33.98
2010-10-15,59,34.58
2010-10-22,63,34.07
2010-10-29,63,33.88
2010-11-05,58,35.14
2010-11-12,64,34.83
2010-11-19,68,34.76
2010-11-26,59,33.68
2010-12-03,61,36.86
2010-12-10,65,36.43
2010-12-17,66,37.58
2010-12-24,64,
2010-12-31,62,38.96
2011-01-07,68,40.08
2011-01-14,66,41.44
2011-01-21,63,41.69
2011-01-28,66,40.36
2011-02-04,64,42.37
2011-02-11,67,42.58
2011-02-18,66,42.74
2011-02-25,65,41.97
2011-03-04,61,42.23
2011-03-11,63,41.93
2011-03-18,63,40.91
2011-03-25,70,39.64
2011-04-01,69,40.94
2011-04-08,70,41.01
2011-04-15,66,41.87
2011-04-22,66,
2011-04-29,59,42.72
2011-05-06,80,42.34
2011-05-13,67,44.97
2011-05-20,62,44.37
2011-05-27,65,43.71
2011-06-03,60,43.15
2011-06-10,63,42.97
2011-06-17,67,44.67
2011-06-24,61,41.39
2011-07-01,65,42.83
2011-07-08,62,44.07
2011-07-15,70,41.93
2011-07-22,59,40.02
2011-07-29,57,39.04
2011-08-05,59,37.03
2011-08-12,66,35.22
2011-08-19,68,34.45
2011-08-26,66,34.51
2011-09-02,60,34.77
2011-09-09,58,35.33
2011-09-16,61,36.96
2011-09-23,66,34.89
2011-09-30,64,32.89
2011-10-07,58,33.41
2011-10-14,61,33.00
2011-10-21,61,34.14
2011-10-28,61,33.81
2011-11-04,60,33.17
2011-11-11,61,32.85
2011-11-18,63,32.63
2011-11-25,58,32.47
2011-12-02,66,33.12
2011-12-09,63,34.22
2011-12-16,64,34.13
2011-12-23,63,35.34
2011-12-30,58,33.06
2012-01-06,61,33.08
2012-01-13,64,32.63
2012-01-20,59,33.48
2012-01-27,62,34.23
2012-02-03,61,33.65
2012-02-10,56,34.54
2012-02-17,56,34.71
2012-02-24,62,33.86
2012-03-02,64,32.69
2012-03-09,63,33.48
2012-03-16,57,34.21
2012-03-23,61,33.56
2012-03-30,59,33.49
2012-04-06,64,
2012-04-13,63,33.04
2012-04-20,68,35.93
2012-04-27,68,35.67
2012-05-04,68,33.65
2012-05-11,67,33.24
2012-05-18,62,31.31
2012-05-25,62,31.36
2012-06-01,67,29.93
2012-06-08,66,31.16
2012-06-15,74,31.80
2012-06-22,81,29.57
2012-06-29,75,29.58
2012-07-06,64,29.62
2012-07-13,64,30.58
2012-07-20,61,34.60
2012-07-27,58,35.72
2012-08-03,58,35.80
2012-08-10,57,36.17
2012-08-17,58,35.84
2012-08-24,62,35.65
2012-08-31,58,35.76
2012-09-07,59,34.94
2012-09-14,59,36.02
2012-09-21,68,35.11
2012-09-28,66,36.44
2012-10-05,58,36.13
2012-10-12,59,35.94
2012-10-19,56,35.79
2012-10-26,56,35.19
2012-11-02,52,34.89
2012-11-09,64,32.66
2012-11-16,77,32.16
2012-11-23,73,33.09
2012-11-30,59,33.91
2012-12-07,57,36.10
2012-12-14,58,36.76
2012-12-21,58,36.31
2012-12-28,53,36.54
2013-01-04,55,37.18
2013-01-11,61,39.10
2013-01-18,59,39.21
2013-01-25,62,39.67
2013-02-01,61,40.31
2013-02-08,60,41.40
2013-02-15,59,41.15
2013-02-22,53,41.81
2013-03-01,55,41.32
2013-03-08,60,40.64
2013-03-15,55,42.58
2013-03-22,57,46.49
2013-03-29,55,
2013-04-05,57,47.01
2013-04-12,61,48.77
2013-04-19,52,49.35
2013-04-26,57,49.27
2013-05-03,59,48.02
2013-05-10,54,48.72
2013-05-17,52,49.61
2013-05-24,60,50.77
2013-05-31,56,47.76
2013-06-07,59,49.42
2013-06-14,59,50.18
2013-06-21,62,48.71
2013-06-28,65,44.20
2013-07-05,65,44.25
2013-07-12,65,48.76
2013-07-19,67,50.61
2013-07-26,66,50.82
2013-08-02,68,50.98
2013-08-09,69,49.61
2013-08-16,70,48.84
2013-08-23,67,48.79
2013-08-30,62,48.07
2013-09-06,62,49.46
2013-09-13,58,53.46
2013-09-20,57,55.52
2013-09-27,58,54.51
2013-10-04,62,55.79
2013-10-11,58,55.96
2013-10-18,59,58.59
2013-10-25,57,59.19
2013-11-01,60,60.52
2013-11-08,60,59.70
2013-11-15,60,60.28
2013-11-22,54,60.50
2013-11-29,53,59.20
2013-12-06,58,56.71
2013-12-13,55,57.01
2013-12-20,55,59.04
2013-12-27,49,57.43
2014-01-03,53,56.82
2014-01-10,51,60.36
2014-01-17,56,59.16
2014-01-24,54,57.23
2014-01-31,52,57.35
2014-02-07,54,60.96
2014-02-14,58,64.78
2014-02-21,56,66.32
2014-02-28,59,67.95
2014-03-07,56,67.21
2014-03-14,66,67.07
2014-03-21,57,64.75
2014-03-28,59,65.36
2014-04-04,56,66.05
2014-04-11,53,64.26
2014-04-18,56,
2014-04-25,51,66.65
2014-05-02,53,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
