Date,LB,Price
2009-04-10,45,
2009-04-17,46,10.82
2009-04-24,43,11.05
2009-05-01,44,11.10
2009-05-08,47,12.38
2009-05-15,45,11.01
2009-05-22,46,12.02
2009-05-29,42,12.51
2009-06-05,43,12.92
2009-06-12,45,12.81
2009-06-19,43,11.84
2009-06-26,44,11.70
2009-07-03,41,
2009-07-10,46,10.58
2009-07-17,50,11.67
2009-07-24,45,12.59
2009-07-31,41,12.94
2009-08-07,44,14.96
2009-08-14,45,14.18
2009-08-21,45,15.35
2009-08-28,44,15.08
2009-09-04,45,15.36
2009-09-11,44,15.43
2009-09-18,47,16.86
2009-09-25,57,17.06
2009-10-02,50,16.13
2009-10-09,45,18.26
2009-10-16,46,18.83
2009-10-23,44,19.22
2009-10-30,42,17.60
2009-11-06,43,18.18
2009-11-13,42,18.09
2009-11-20,46,17.25
2009-11-27,59,16.92
2009-12-04,46,18.32
2009-12-11,44,18.66
2009-12-18,43,18.90
2009-12-25,48,
2010-01-01,40,
2010-01-08,44,19.59
2010-01-15,43,19.39
2010-01-22,44,18.38
2010-01-29,44,19.02
2010-02-05,45,20.47
2010-02-12,43,20.48
2010-02-19,44,21.40
2010-02-26,41,22.11
2010-03-05,43,23.28
2010-03-12,41,23.74
2010-03-19,43,24.67
2010-03-26,41,25.54
2010-04-02,44,
2010-04-09,43,26.62
2010-04-16,43,27.07
2010-04-23,43,28.48
2010-04-30,43,26.80
2010-05-07,43,24.93
2010-05-14,45,25.45
2010-05-21,42,24.82
2010-05-28,42,24.86
2010-06-04,41,24.70
2010-06-11,43,25.08
2010-06-18,41,24.66
2010-06-25,39,23.09
2010-07-02,44,22.58
2010-07-09,41,24.42
2010-07-16,42,23.50
2010-07-23,44,25.62
2010-07-30,42,25.64
2010-08-06,43,26.13
2010-08-13,42,24.89
2010-08-20,42,25.56
2010-08-27,44,24.96
2010-09-03,44,26.21
2010-09-10,44,25.38
2010-09-17,45,26.77
2010-09-24,45,27.18
2010-10-01,43,26.82
2010-10-08,44,28.81
2010-10-15,43,29.26
2010-10-22,43,29.06
2010-10-29,45,29.39
2010-11-05,44,31.81
2010-11-12,45,31.64
2010-11-19,47,33.01
2010-11-26,66,33.75
2010-12-03,45,31.83
2010-12-10,46,31.54
2010-12-17,45,31.24
2010-12-24,53,
2010-12-31,40,30.73
2011-01-07,47,28.68
2011-01-14,45,29.11
2011-01-21,47,28.68
2011-01-28,47,28.92
2011-02-04,47,31.87
2011-02-11,48,33.03
2011-02-18,47,33.50
2011-02-25,46,32.32
2011-03-04,46,32.31
2011-03-11,44,31.64
2011-03-18,43,30.48
2011-03-25,47,32.28
2011-04-01,48,32.99
2011-04-08,48,37.17
2011-04-15,48,37.88
2011-04-22,48,
2011-04-29,50,41.16
2011-05-06,48,41.07
2011-05-13,47,41.84
2011-05-20,46,39.66
2011-05-27,46,39.55
2011-06-03,46,37.44
2011-06-10,47,35.62
2011-06-17,47,35.47
2011-06-24,48,37.17
2011-07-01,51,38.91
2011-07-08,45,40.62
2011-07-15,57,39.84
2011-07-22,47,40.18
2011-07-29,48,37.86
2011-08-05,45,34.74
2011-08-12,47,34.57
2011-08-19,47,33.17
2011-08-26,46,36.41
2011-09-02,45,35.85
2011-09-09,46,36.60
2011-09-16,49,40.28
2011-09-23,50,40.37
2011-09-30,48,38.51
2011-10-07,48,40.43
2011-10-14,48,42.66
2011-10-21,50,42.71
2011-10-28,48,43.89
2011-11-04,44,42.63
2011-11-11,47,43.94
2011-11-18,51,40.86
2011-11-25,80,38.33
2011-12-02,52,42.61
2011-12-09,48,40.83
2011-12-16,47,38.40
2011-12-23,55,40.25
2011-12-30,51,40.35
2012-01-06,45,38.87
2012-01-13,49,40.49
2012-01-20,49,41.22
2012-01-27,50,41.46
2012-02-03,52,44.26
2012-02-10,51,44.96
2012-02-17,50,46.50
2012-02-24,52,46.26
2012-03-02,53,46.23
2012-03-09,50,46.74
2012-03-16,49,46.93
2012-03-23,47,48.55
2012-03-30,48,48.00
2012-04-06,51,
2012-04-13,51,47.67
2012-04-20,50,49.26
2012-04-27,52,50.96
2012-05-04,51,50.27
2012-05-11,47,48.42
2012-05-18,49,45.11
2012-05-25,48,46.41
2012-06-01,48,42.89
2012-06-08,49,42.80
2012-06-15,49,42.65
2012-06-22,50,41.72
2012-06-29,50,42.53
2012-07-06,49,45.82
2012-07-13,48,46.05
2012-07-20,48,46.31
2012-07-27,51,47.12
2012-08-03,53,49.14
2012-08-10,52,49.29
2012-08-17,51,49.51
2012-08-24,52,48.83
2012-08-31,50,48.60
2012-09-07,53,48.51
2012-09-14,53,50.31
2012-09-21,53,51.74
2012-09-28,54,49.26
2012-10-05,53,50.56
2012-10-12,53,48.26
2012-10-19,49,48.60
2012-10-26,51,47.60
2012-11-02,49,48.04
2012-11-09,50,46.48
2012-11-16,53,46.20
2012-11-23,88,48.74
2012-11-30,54,52.15
2012-12-07,53,51.18
2012-12-14,52,50.42
2012-12-21,52,47.24
2012-12-28,65,45.90
2013-01-04,53,44.88
2013-01-11,54,44.38
2013-01-18,52,46.91
2013-01-25,56,48.28
2013-02-01,53,47.25
2013-02-08,52,45.81
2013-02-15,51,44.06
2013-02-22,52,43.48
2013-03-01,52,45.02
2013-03-08,52,45.29
2013-03-15,52,45.21
2013-03-22,52,44.06
2013-03-29,58,
2013-04-05,56,46.20
2013-04-12,52,50.43
2013-04-19,51,48.42
2013-04-26,53,50.49
2013-05-03,52,51.17
2013-05-10,50,51.64
2013-05-17,50,50.29
2013-05-24,50,49.79
2013-05-31,49,50.01
2013-06-07,52,50.88
2013-06-14,53,50.79
2013-06-21,50,51.51
2013-06-28,50,49.25
2013-07-05,49,49.67
2013-07-12,50,51.82
2013-07-19,52,52.49
2013-07-26,54,53.68
2013-08-02,55,58.40
2013-08-09,53,61.27
2013-08-16,52,59.08
2013-08-23,60,59.21
2013-08-30,58,57.36
2013-09-06,55,56.45
2013-09-13,55,58.57
2013-09-20,53,59.99
2013-09-27,53,61.11
2013-10-04,52,62.08
2013-10-11,56,56.31
2013-10-18,53,59.23
2013-10-25,51,61.54
2013-11-01,54,62.56
2013-11-08,55,62.93
2013-11-15,57,64.66
2013-11-22,64,63.94
2013-11-29,100,64.99
2013-12-06,56,63.34
2013-12-13,55,61.17
2013-12-20,54,61.04
2013-12-27,70,60.87
2014-01-03,55,61.48
2014-01-10,58,57.86
2014-01-17,59,55.17
2014-01-24,61,52.64
2014-01-31,59,52.36
2014-02-07,60,54.58
2014-02-14,57,55.03
2014-02-21,57,53.53
2014-02-28,58,56.33
2014-03-07,59,57.37
2014-03-14,60,56.93
2014-03-21,61,58.63
2014-03-28,59,56.55
2014-04-04,58,58.21
2014-04-11,58,54.05
2014-04-18,63,
2014-04-25,64,53.84
2014-05-02,61,
