Date,JOY,Price
2006-07-14,20,40.46
2006-07-21,21,37.54
2006-07-28,21,37.64
2006-08-04,21,39.84
2006-08-11,23,36.57
2006-08-18,23,40.34
2006-08-25,21,37.00
2006-09-01,21,43.95
2006-09-08,20,40.32
2006-09-15,21,36.28
2006-09-22,20,33.17
2006-09-29,19,37.57
2006-10-06,21,39.02
2006-10-13,21,40.39
2006-10-20,21,39.51
2006-10-27,20,40.88
2006-11-03,22,38.55
2006-11-10,21,40.93
2006-11-17,21,42.26
2006-11-24,21,44.73
2006-12-01,23,43.42
2006-12-08,22,44.94
2006-12-15,25,44.23
2006-12-22,26,47.16
2006-12-29,23,48.34
2007-01-05,21,45.24
2007-01-12,20,47.68
2007-01-19,20,46.95
2007-01-26,20,45.81
2007-02-02,20,47.46
2007-02-09,19,46.39
2007-02-16,20,47.77
2007-02-23,20,54.83
2007-03-02,20,42.40
2007-03-09,20,43.60
2007-03-16,19,41.17
2007-03-23,20,43.18
2007-03-30,19,42.90
2007-04-06,19,
2007-04-13,20,46.19
2007-04-20,20,47.81
2007-04-27,21,51.80
2007-05-04,19,52.22
2007-05-11,20,52.55
2007-05-18,21,52.23
2007-05-25,20,51.27
2007-06-01,21,58.02
2007-06-08,21,57.47
2007-06-15,21,61.24
2007-06-22,19,60.00
2007-06-29,20,58.33
2007-07-06,20,60.96
2007-07-13,20,64.02
2007-07-20,19,63.03
2007-07-27,20,47.22
2007-08-03,20,47.07
2007-08-10,20,48.01
2007-08-17,21,43.85
2007-08-24,21,47.52
2007-08-31,20,43.39
2007-09-07,20,43.88
2007-09-14,21,46.09
2007-09-21,21,49.59
2007-09-28,21,50.86
2007-10-05,21,51.62
2007-10-12,22,53.35
2007-10-19,21,51.31
2007-10-26,22,56.14
2007-11-02,22,57.18
2007-11-09,22,51.99
2007-11-16,22,51.99
2007-11-23,25,52.90
2007-11-30,26,58.00
2007-12-07,27,60.39
2007-12-14,24,58.21
2007-12-21,25,65.70
2007-12-28,24,66.92
2008-01-04,23,61.57
2008-01-11,22,60.01
2008-01-18,22,55.05
2008-01-25,22,56.99
2008-02-01,21,64.50
2008-02-08,22,64.06
2008-02-15,21,63.68
2008-02-22,21,68.01
2008-02-29,22,66.37
2008-03-07,22,66.50
2008-03-14,22,68.80
2008-03-21,22,
2008-03-28,22,65.29
2008-04-04,22,69.12
2008-04-11,22,68.66
2008-04-18,21,76.71
2008-04-25,22,75.69
2008-05-02,22,76.97
2008-05-09,22,78.99
2008-05-16,22,81.93
2008-05-23,23,76.91
2008-05-30,22,84.23
2008-06-06,22,87.54
2008-06-13,21,85.38
2008-06-20,22,81.09
2008-06-27,22,76.76
2008-07-04,22,
2008-07-11,22,74.00
2008-07-18,23,70.78
2008-07-25,23,71.05
2008-08-01,22,71.74
2008-08-08,22,67.05
2008-08-15,22,66.22
2008-08-22,21,69.50
2008-08-29,22,71.04
2008-09-05,21,51.44
2008-09-12,22,52.55
2008-09-19,22,54.78
2008-09-26,22,47.62
2008-10-03,22,37.22
2008-10-10,22,28.88
2008-10-17,22,26.62
2008-10-24,23,21.24
2008-10-31,23,28.98
2008-11-07,22,26.07
2008-11-14,24,25.18
2008-11-21,24,17.55
2008-11-28,23,23.29
2008-12-05,25,18.70
2008-12-12,27,22.12
2008-12-19,27,23.76
2008-12-26,28,21.95
2009-01-02,24,25.05
2009-01-09,22,24.96
2009-01-16,22,23.17
2009-01-23,21,21.29
2009-01-30,23,20.83
2009-02-06,22,23.88
2009-02-13,21,21.03
2009-02-20,21,18.96
2009-02-27,22,17.46
2009-03-06,21,17.58
2009-03-13,21,20.46
2009-03-20,23,22.20
2009-03-27,23,23.45
2009-04-03,25,24.01
2009-04-10,23,
2009-04-17,22,24.41
2009-04-24,21,23.75
2009-05-01,22,27.21
2009-05-08,21,30.56
2009-05-15,21,28.19
2009-05-22,21,29.23
2009-05-29,20,34.47
2009-06-05,21,40.63
2009-06-12,21,40.38
2009-06-19,22,36.60
2009-06-26,21,36.55
2009-07-03,21,
2009-07-10,21,31.14
2009-07-17,23,35.92
2009-07-24,22,38.54
2009-07-31,22,37.18
2009-08-07,21,42.88
2009-08-14,22,40.47
2009-08-21,22,39.95
2009-08-28,22,39.34
2009-09-04,22,37.60
2009-09-11,23,41.78
2009-09-18,23,47.45
2009-09-25,22,46.30
2009-10-02,22,45.16
2009-10-09,21,51.30
2009-10-16,23,52.04
2009-10-23,22,56.55
2009-10-30,22,50.41
2009-11-06,22,54.10
2009-11-13,23,56.78
2009-11-20,23,54.03
2009-11-27,23,53.52
2009-12-04,25,53.00
2009-12-11,26,52.32
2009-12-18,27,51.82
2009-12-25,28,
2010-01-01,24,
2010-01-08,22,59.76
2010-01-15,22,58.45
2010-01-22,22,49.63
2010-01-29,21,45.74
2010-02-05,21,44.54
2010-02-12,21,47.28
2010-02-19,22,50.20
2010-02-26,21,50.79
2010-03-05,22,55.85
2010-03-12,20,57.47
2010-03-19,21,55.00
2010-03-26,21,57.09
2010-04-02,22,
2010-04-09,22,60.51
2010-04-16,22,60.48
2010-04-23,21,61.45
2010-04-30,21,56.80
2010-05-07,21,49.53
2010-05-14,21,52.03
2010-05-21,22,48.77
2010-05-28,20,51.00
2010-06-04,20,50.71
2010-06-11,20,54.57
2010-06-18,21,55.64
2010-06-25,20,55.94
2010-07-02,19,50.84
2010-07-09,19,53.93
2010-07-16,21,53.49
2010-07-23,22,60.50
2010-07-30,22,59.37
2010-08-06,23,60.83
2010-08-13,21,56.63
2010-08-20,22,59.63
2010-08-27,21,56.83
2010-09-03,20,62.98
2010-09-10,21,64.86
2010-09-17,22,67.23
2010-09-24,22,70.46
2010-10-01,21,70.02
2010-10-08,21,72.99
2010-10-15,23,72.62
2010-10-22,22,69.31
2010-10-29,23,70.95
2010-11-05,23,75.33
2010-11-12,22,72.38
2010-11-19,23,76.45
2010-11-26,22,76.31
2010-12-03,24,79.48
2010-12-10,25,79.08
2010-12-17,27,85.55
2010-12-24,28,
2010-12-31,23,86.75
2011-01-07,22,86.19
2011-01-14,22,91.18
2011-01-21,23,85.77
2011-01-28,23,85.35
2011-02-04,100,92.53
2011-02-11,35,93.89
2011-02-18,26,100.03
2011-02-25,23,93.93
2011-03-04,22,96.61
2011-03-11,22,90.56
2011-03-18,20,91.96
2011-03-25,22,96.01
2011-04-01,22,101.60
2011-04-08,22,98.92
2011-04-15,21,96.86
2011-04-22,22,
2011-04-29,22,100.95
2011-05-06,22,89.49
2011-05-13,21,87.48
2011-05-20,22,90.35
2011-05-27,21,89.20
2011-06-03,21,88.78
2011-06-10,21,87.48
2011-06-17,21,83.37
2011-06-24,21,86.65
2011-07-01,21,97.14
2011-07-08,21,97.25
2011-07-15,22,97.31
2011-07-22,22,99.85
2011-07-29,21,93.92
2011-08-05,22,79.56
2011-08-12,24,80.49
2011-08-19,24,71.29
2011-08-26,21,75.96
2011-09-02,21,79.39
2011-09-09,22,78.53
2011-09-16,21,81.40
2011-09-23,22,65.01
2011-09-30,22,62.38
2011-10-07,22,68.03
2011-10-14,22,78.82
2011-10-21,23,81.82
2011-10-28,24,91.19
2011-11-04,23,89.69
2011-11-11,23,85.17
2011-11-18,25,85.88
2011-11-25,25,78.78
2011-12-02,26,90.16
2011-12-09,28,89.04
2011-12-16,30,75.17
2011-12-23,31,77.35
2011-12-30,27,74.97
2012-01-06,26,77.21
2012-01-13,25,82.74
2012-01-20,27,85.36
2012-01-27,25,93.12
2012-02-03,25,95.71
2012-02-10,25,83.75
2012-02-17,26,88.22
2012-02-24,25,90.65
2012-03-02,26,85.80
2012-03-09,26,80.31
2012-03-16,26,80.25
2012-03-23,25,75.19
2012-03-30,27,73.50
2012-04-06,26,
2012-04-13,26,74.69
2012-04-20,26,74.09
2012-04-27,25,71.60
2012-05-04,27,66.52
2012-05-11,26,64.91
2012-05-18,26,60.64
2012-05-25,26,60.21
2012-06-01,27,55.69
2012-06-08,26,58.12
2012-06-15,24,55.84
2012-06-22,24,54.23
2012-06-29,24,56.73
2012-07-06,23,55.26
2012-07-13,24,50.59
2012-07-20,25,51.54
2012-07-27,25,53.01
2012-08-03,24,50.58
2012-08-10,25,57.24
2012-08-17,25,55.90
2012-08-24,25,55.59
2012-08-31,24,53.38
2012-09-07,24,56.63
2012-09-14,24,61.60
2012-09-21,24,59.41
2012-09-28,24,56.06
2012-10-05,25,57.15
2012-10-12,24,58.44
2012-10-19,24,62.21
2012-10-26,24,61.55
2012-11-02,24,63.99
2012-11-09,24,57.56
2012-11-16,25,54.88
2012-11-23,24,57.13
2012-11-30,25,56.99
2012-12-07,27,57.43
2012-12-14,29,61.64
2012-12-21,29,62.52
2012-12-28,28,61.48
2013-01-04,26,65.84
2013-01-11,23,68.13
2013-01-18,23,69.01
2013-01-25,23,63.26
2013-02-01,23,64.15
2013-02-08,23,61.45
2013-02-15,24,62.86
2013-02-22,23,63.02
2013-03-01,23,62.06
2013-03-08,24,63.13
2013-03-15,25,62.13
2013-03-22,24,58.41
2013-03-29,24,
2013-04-05,24,56.73
2013-04-12,23,54.47
2013-04-19,23,54.21
2013-04-26,23,56.60
2013-05-03,23,57.63
2013-05-10,24,59.71
2013-05-17,24,56.74
2013-05-24,23,55.42
2013-05-31,22,54.08
2013-06-07,22,53.67
2013-06-14,22,52.86
2013-06-21,21,50.30
2013-06-28,21,48.53
2013-07-05,24,48.82
2013-07-12,29,51.56
2013-07-19,40,50.26
2013-07-26,25,48.83
2013-08-02,25,50.48
2013-08-09,25,51.10
2013-08-16,24,52.26
2013-08-23,22,52.45
2013-08-30,22,49.12
2013-09-06,20,51.00
2013-09-13,21,53.80
2013-09-20,22,52.91
2013-09-27,25,51.21
2013-10-04,22,51.93
2013-10-11,22,51.29
2013-10-18,21,54.20
2013-10-25,21,58.09
2013-11-01,22,56.65
2013-11-08,23,57.60
2013-11-15,23,56.79
2013-11-22,24,55.12
2013-11-29,23,56.56
2013-12-06,26,55.98
2013-12-13,28,53.53
2013-12-20,29,54.45
2013-12-27,28,57.86
2014-01-03,23,55.68
2014-01-10,22,55.79
2014-01-17,23,56.23
2014-01-24,22,52.70
2014-01-31,24,52.79
2014-02-07,22,54.79
2014-02-14,22,56.66
2014-02-21,22,56.73
2014-02-28,24,55.00
2014-03-07,22,56.82
2014-03-14,21,55.75
2014-03-21,21,56.51
2014-03-28,22,57.96
2014-04-04,21,59.73
2014-04-11,22,60.15
2014-04-18,23,
2014-04-25,22,60.39
2014-05-02,22,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
