Date,AVY,Price
2006-10-13,50,61.67
2006-10-20,46,63.26
2006-10-27,47,62.87
2006-11-03,53,64.25
2006-11-10,47,65.64
2006-11-17,54,66.91
2006-11-24,48,67.94
2006-12-01,49,66.96
2006-12-08,48,68.25
2006-12-15,42,67.42
2006-12-22,49,67.94
2006-12-29,53,67.93
2007-01-05,67,67.32
2007-01-12,52,68.69
2007-01-19,42,68.83
2007-01-26,43,67.67
2007-02-02,44,68.93
2007-02-09,43,67.06
2007-02-16,42,68.50
2007-02-23,46,67.94
2007-03-02,41,64.93
2007-03-09,44,64.85
2007-03-16,52,64.07
2007-03-23,54,66.43
2007-03-30,50,64.26
2007-04-06,55,
2007-04-13,48,63.95
2007-04-20,40,64.70
2007-04-27,46,63.44
2007-05-04,48,62.87
2007-05-11,46,64.39
2007-05-18,42,64.05
2007-05-25,47,64.22
2007-06-01,49,65.42
2007-06-08,45,65.64
2007-06-15,44,66.69
2007-06-22,43,66.42
2007-06-29,44,66.48
2007-07-06,47,67.32
2007-07-13,39,68.33
2007-07-20,42,67.72
2007-07-27,42,62.27
2007-08-03,51,59.53
2007-08-10,43,59.72
2007-08-17,48,57.18
2007-08-24,47,60.82
2007-08-31,42,59.79
2007-09-07,43,58.39
2007-09-14,44,55.31
2007-09-21,39,56.39
2007-09-28,40,57.02
2007-10-05,39,58.01
2007-10-12,43,55.24
2007-10-19,40,54.59
2007-10-26,41,57.91
2007-11-02,43,56.67
2007-11-09,36,54.65
2007-11-16,43,51.44
2007-11-23,53,50.50
2007-11-30,43,52.11
2007-12-07,39,53.00
2007-12-14,38,50.73
2007-12-21,44,52.57
2007-12-28,46,53.41
2008-01-04,46,50.38
2008-01-11,38,48.50
2008-01-18,45,46.26
2008-01-25,40,46.14
2008-02-01,41,52.73
2008-02-08,35,50.16
2008-02-15,34,50.91
2008-02-22,44,50.94
2008-02-29,41,51.32
2008-03-07,38,47.87
2008-03-14,34,46.63
2008-03-21,37,
2008-03-28,42,47.78
2008-04-04,40,53.07
2008-04-11,33,49.07
2008-04-18,37,52.52
2008-04-25,39,49.24
2008-05-02,36,49.92
2008-05-09,39,49.31
2008-05-16,41,51.45
2008-05-23,41,49.15
2008-05-30,36,51.58
2008-06-06,36,49.05
2008-06-13,38,48.11
2008-06-20,41,46.24
2008-06-27,37,43.61
2008-07-04,37,
2008-07-11,40,42.31
2008-07-18,40,45.18
2008-07-25,34,43.77
2008-08-01,41,44.08
2008-08-08,38,46.84
2008-08-15,36,47.88
2008-08-22,32,48.21
2008-08-29,35,48.24
2008-09-05,39,48.53
2008-09-12,36,46.94
2008-09-19,32,46.55
2008-09-26,37,45.52
2008-10-03,32,42.34
2008-10-10,28,33.83
2008-10-17,35,33.68
2008-10-24,31,31.14
2008-10-31,34,35.02
2008-11-07,36,33.93
2008-11-14,33,30.63
2008-11-21,34,27.03
2008-11-28,30,31.10
2008-12-05,28,27.41
2008-12-12,30,31.10
2008-12-19,33,32.72
2008-12-26,39,31.53
2009-01-02,39,33.61
2009-01-09,32,31.39
2009-01-16,29,30.25
2009-01-23,39,28.15
2009-01-30,39,24.23
2009-02-06,36,24.77
2009-02-13,32,22.75
2009-02-20,28,21.09
2009-02-27,35,20.15
2009-03-06,29,17.40
2009-03-13,30,19.25
2009-03-20,34,21.15
2009-03-27,38,23.19
2009-04-03,32,24.68
2009-04-10,40,
2009-04-17,38,27.84
2009-04-24,36,29.76
2009-05-01,33,28.48
2009-05-08,43,29.09
2009-05-15,34,26.68
2009-05-22,37,26.61
2009-05-29,39,27.56
2009-06-05,36,28.21
2009-06-12,38,27.94
2009-06-19,38,25.94
2009-06-26,40,25.39
2009-07-03,39,
2009-07-10,38,24.23
2009-07-17,36,26.30
2009-07-24,38,28.55
2009-07-31,43,26.73
2009-08-07,39,27.48
2009-08-14,42,28.41
2009-08-21,38,31.30
2009-08-28,36,31.48
2009-09-04,39,30.26
2009-09-11,34,32.61
2009-09-18,38,35.48
2009-09-25,37,34.62
2009-10-02,36,33.95
2009-10-09,35,36.29
2009-10-16,35,37.80
2009-10-23,31,37.79
2009-10-30,34,35.65
2009-11-06,30,37.75
2009-11-13,29,39.21
2009-11-20,33,38.03
2009-11-27,30,37.69
2009-12-04,30,38.95
2009-12-11,35,37.89
2009-12-18,37,36.30
2009-12-25,34,
2010-01-01,39,
2010-01-08,33,38.07
2010-01-15,30,39.48
2010-01-22,35,38.62
2010-01-29,37,32.51
2010-02-05,32,32.77
2010-02-12,31,32.09
2010-02-19,30,31.80
2010-02-26,33,31.60
2010-03-05,30,31.15
2010-03-12,27,33.31
2010-03-19,31,35.03
2010-03-26,29,35.45
2010-04-02,33,
2010-04-09,31,37.39
2010-04-16,28,37.36
2010-04-23,29,39.32
2010-04-30,39,39.03
2010-05-07,32,35.65
2010-05-14,37,35.85
2010-05-21,35,34.11
2010-05-28,30,34.18
2010-06-04,34,32.10
2010-06-11,33,34.05
2010-06-18,32,35.19
2010-06-25,29,34.37
2010-07-02,32,31.87
2010-07-09,29,34.62
2010-07-16,36,33.56
2010-07-23,29,37.14
2010-07-30,36,35.85
2010-08-06,37,36.18
2010-08-13,29,34.14
2010-08-20,34,33.81
2010-08-27,43,32.99
2010-09-03,46,34.89
2010-09-10,32,34.61
2010-09-17,33,36.15
2010-09-24,33,36.46
2010-10-01,39,37.24
2010-10-08,32,38.04
2010-10-15,32,38.24
2010-10-22,36,38.90
2010-10-29,33,36.35
2010-11-05,31,37.99
2010-11-12,34,36.44
2010-11-19,35,37.72
2010-11-26,32,38.17
2010-12-03,34,39.85
2010-12-10,31,41.38
2010-12-17,34,42.30
2010-12-24,31,
2010-12-31,43,42.34
2011-01-07,34,40.98
2011-01-14,32,42.09
2011-01-21,34,41.49
2011-01-28,32,41.39
2011-02-04,29,38.78
2011-02-11,31,40.28
2011-02-18,29,41.10
2011-02-25,28,39.36
2011-03-04,30,41.50
2011-03-11,32,41.58
2011-03-18,29,41.10
2011-03-25,30,41.20
2011-04-01,26,42.09
2011-04-08,29,42.05
2011-04-15,32,41.85
2011-04-22,28,
2011-04-29,29,41.74
2011-05-06,29,42.33
2011-05-13,30,41.80
2011-05-20,29,41.53
2011-05-27,32,41.72
2011-06-03,28,40.34
2011-06-10,27,36.38
2011-06-17,30,36.65
2011-06-24,34,37.19
2011-07-01,29,39.02
2011-07-08,28,39.12
2011-07-15,29,38.41
2011-07-22,31,33.69
2011-07-29,33,31.55
2011-08-05,34,29.12
2011-08-12,34,27.42
2011-08-19,31,26.05
2011-08-26,32,27.42
2011-09-02,31,27.11
2011-09-09,32,25.95
2011-09-16,30,27.78
2011-09-23,32,25.86
2011-09-30,29,25.08
2011-10-07,30,26.40
2011-10-14,29,27.54
2011-10-21,29,26.40
2011-10-28,28,27.44
2011-11-04,28,26.61
2011-11-11,30,26.03
2011-11-18,28,26.05
2011-11-25,30,24.25
2011-12-02,31,26.97
2011-12-09,28,28.56
2011-12-16,28,27.47
2011-12-23,29,28.64
2011-12-30,32,28.68
2012-01-06,31,29.59
2012-01-13,29,28.80
2012-01-20,28,29.22
2012-01-27,29,28.78
2012-02-03,28,28.56
2012-02-10,26,29.20
2012-02-17,26,30.24
2012-02-24,31,30.80
2012-03-02,30,29.97
2012-03-09,28,29.15
2012-03-16,27,29.91
2012-03-23,31,29.11
2012-03-30,25,30.13
2012-04-06,29,
2012-04-13,28,30.32
2012-04-20,28,31.07
2012-04-27,27,32.39
2012-05-04,28,31.45
2012-05-11,22,30.73
2012-05-18,26,28.68
2012-05-25,26,29.45
2012-06-01,26,28.12
2012-06-08,28,28.32
2012-06-15,26,27.81
2012-06-22,28,27.51
2012-06-29,28,27.34
2012-07-06,27,27.37
2012-07-13,29,28.02
2012-07-20,25,28.74
2012-07-27,27,30.87
2012-08-03,27,31.12
2012-08-10,28,31.77
2012-08-17,27,32.04
2012-08-24,31,31.50
2012-08-31,30,31.23
2012-09-07,28,30.76
2012-09-14,26,31.84
2012-09-21,28,31.16
2012-09-28,27,31.82
2012-10-05,26,30.05
2012-10-12,24,29.55
2012-10-19,27,30.34
2012-10-26,25,32.25
2012-11-02,24,33.20
2012-11-09,26,32.98
2012-11-16,24,31.99
2012-11-23,23,33.79
2012-11-30,27,33.45
2012-12-07,26,33.55
2012-12-14,28,34.00
2012-12-21,27,34.77
2012-12-28,28,34.40
2013-01-04,28,36.44
2013-01-11,27,35.86
2013-01-18,26,35.93
2013-01-25,25,36.00
2013-02-01,23,38.71
2013-02-08,23,39.25
2013-02-15,26,39.73
2013-02-22,23,39.60
2013-03-01,24,40.88
2013-03-08,25,42.16
2013-03-15,22,43.27
2013-03-22,24,42.95
2013-03-29,26,
2013-04-05,27,41.51
2013-04-12,24,42.81
2013-04-19,24,40.81
2013-04-26,22,41.45
2013-05-03,24,42.39
2013-05-10,23,43.44
2013-05-17,25,44.28
2013-05-24,26,43.66
2013-05-31,24,43.50
2013-06-07,24,43.39
2013-06-14,65,43.04
2013-06-21,32,41.67
2013-06-28,27,42.76
2013-07-05,24,44.44
2013-07-12,23,44.70
2013-07-19,24,44.79
2013-07-26,24,44.15
2013-08-02,26,45.73
2013-08-09,27,45.86
2013-08-16,25,44.27
2013-08-23,27,44.23
2013-08-30,28,42.76
2013-09-06,25,42.98
2013-09-13,22,44.14
2013-09-20,26,44.14
2013-09-27,25,43.57
2013-10-04,26,43.05
2013-10-11,23,43.07
2013-10-18,24,44.64
2013-10-25,27,47.74
2013-11-01,27,47.37
2013-11-08,22,47.57
2013-11-15,23,48.28
2013-11-22,27,49.37
2013-11-29,24,48.90
2013-12-06,24,49.66
2013-12-13,23,48.66
2013-12-20,27,49.58
2013-12-27,24,50.48
2014-01-03,22,49.55
2014-01-10,25,50.88
2014-01-17,23,51.15
2014-01-24,26,49.13
2014-01-31,23,49.27
2014-02-07,22,47.89
2014-02-14,24,49.40
2014-02-21,23,48.89
2014-02-28,23,49.82
2014-03-07,23,51.56
2014-03-14,24,50.48
2014-03-21,23,51.15
2014-03-28,23,49.98
2014-04-04,25,51.13
2014-04-11,23,48.63
2014-04-18,25,
2014-04-25,22,48.62
2014-05-02,29,
