Date,AAPL,Price
2011-03-25,20,351.54
2011-04-01,18,344.56
2011-04-08,20,335.06
2011-04-15,18,327.46
2011-04-22,33,
2011-04-29,20,350.13
2011-05-06,18,346.66
2011-05-13,16,340.50
2011-05-20,16,335.22
2011-05-27,14,337.41
2011-06-03,15,343.44
2011-06-10,21,325.90
2011-06-17,17,320.26
2011-06-24,19,326.35
2011-07-01,17,343.26
2011-07-08,16,359.71
2011-07-15,20,364.92
2011-07-22,47,393.30
2011-07-29,29,390.48
2011-08-05,31,373.62
2011-08-12,39,376.99
2011-08-19,26,356.03
2011-08-26,62,383.58
2011-09-02,24,374.05
2011-09-09,18,377.48
2011-09-16,20,400.50
2011-09-23,31,404.30
2011-09-30,26,381.32
2011-10-07,83,369.80
2011-10-14,36,422.00
2011-10-21,47,392.87
2011-10-28,26,404.95
2011-11-04,21,400.24
2011-11-11,22,384.62
2011-11-18,20,374.94
2011-11-25,16,363.57
2011-12-02,21,389.70
2011-12-09,17,393.62
2011-12-16,16,381.02
2011-12-23,17,403.33
2011-12-30,15,405.00
2012-01-06,19,422.40
2012-01-13,20,419.81
2012-01-20,19,420.30
2012-01-27,46,447.28
2012-02-03,23,459.68
2012-02-10,29,493.42
2012-02-17,41,502.12
2012-02-24,28,522.41
2012-03-02,34,545.18
2012-03-09,41,545.17
2012-03-16,46,585.57
2012-03-23,55,596.05
2012-03-30,37,599.55
2012-04-06,39,
2012-04-13,41,605.23
2012-04-20,49,572.98
2012-04-27,70,603.00
2012-05-04,39,565.25
2012-05-11,33,566.71
2012-05-18,33,530.38
2012-05-25,35,562.29
2012-06-01,28,560.99
2012-06-08,29,580.32
2012-06-15,31,574.13
2012-06-22,28,582.10
2012-06-29,23,584.00
2012-07-06,26,605.88
2012-07-13,27,604.97
2012-07-20,27,604.30
2012-07-27,49,585.16
2012-08-03,31,615.70
2012-08-10,27,621.70
2012-08-17,35,648.11
2012-08-24,51,663.22
2012-08-31,41,665.24
2012-09-07,32,680.44
2012-09-14,60,691.28
2012-09-21,54,700.09
2012-09-28,46,667.10
2012-10-05,38,652.59
2012-10-12,41,629.71
2012-10-19,40,609.84
2012-10-26,64,604.00
2012-11-02,39,576.80
2012-11-09,49,547.06
2012-11-16,43,527.68
2012-11-23,37,571.50
2012-11-30,37,585.28
2012-12-07,46,533.25
2012-12-14,43,509.79
2012-12-21,47,519.33
2012-12-28,30,509.59
2013-01-04,41,527.00
2013-01-11,36,520.30
2013-01-18,56,500.00
2013-01-25,95,439.88
2013-02-01,59,453.62
2013-02-08,45,474.98
2013-02-15,41,460.16
2013-02-22,33,450.81
2013-03-01,38,430.47
2013-03-08,43,431.72
2013-03-15,37,443.66
2013-03-22,36,461.91
2013-03-29,31,
2013-04-05,34,423.20
2013-04-12,33,429.80
2013-04-19,45,390.53
2013-04-26,69,417.20
2013-05-03,47,449.98
2013-05-10,41,452.97
2013-05-17,38,433.26
2013-05-24,34,445.15
2013-05-31,28,449.73
2013-06-07,29,441.81
2013-06-14,38,430.05
2013-06-21,26,413.50
2013-06-28,31,396.53
2013-07-05,28,417.42
2013-07-12,28,426.51
2013-07-19,27,424.95
2013-07-26,47,440.99
2013-08-02,31,462.54
2013-08-09,32,454.45
2013-08-16,50,502.33
2013-08-23,40,501.02
2013-08-30,32,487.22
2013-09-06,28,498.22
2013-09-13,64,464.90
2013-09-20,45,467.41
2013-09-27,45,482.75
2013-10-04,32,483.03
2013-10-11,30,492.81
2013-10-18,33,508.89
2013-10-25,46,525.96
2013-11-01,48,520.03
2013-11-08,29,520.56
2013-11-15,26,524.99
2013-11-22,23,519.80
2013-11-29,24,556.07
2013-12-06,35,560.02
2013-12-13,28,554.43
2013-12-20,26,549.02
2013-12-27,30,560.09
2014-01-03,23,540.98
2014-01-10,24,532.94
2014-01-17,27,540.67
2014-01-24,25,546.07
2014-01-31,51,500.60
2014-02-07,28,519.68
2014-02-14,27,543.99
2014-02-21,23,525.25
2014-02-28,23,526.24
2014-03-07,22,530.44
2014-03-14,18,524.69
2014-03-21,18,532.87
2014-03-28,19,536.86
2014-04-04,18,531.82
2014-04-11,17,519.61
2014-04-18,17,
2014-04-25,47,571.94
2014-05-02,33,
