Date,Gap (The),Price
2006-10-20,65,19.30
2006-10-27,59,20.72
2006-11-03,57,19.57
2006-11-10,59,20.19
2006-11-17,61,19.81
2006-11-24,63,19.30
2006-12-01,74,18.68
2006-12-08,75,19.66
2006-12-15,67,20.39
2006-12-22,57,19.95
2006-12-29,60,19.50
2007-01-05,47,18.89
2007-01-12,49,20.30
2007-01-19,42,20.00
2007-01-26,46,19.04
2007-02-02,42,19.47
2007-02-09,41,19.55
2007-02-16,43,20.02
2007-02-23,45,19.81
2007-03-02,43,18.40
2007-03-09,50,17.84
2007-03-16,50,17.50
2007-03-23,48,17.85
2007-03-30,47,17.21
2007-04-06,48,
2007-04-13,47,18.47
2007-04-20,42,18.96
2007-04-27,43,18.31
2007-05-04,41,18.50
2007-05-11,42,18.32
2007-05-18,42,18.44
2007-05-25,43,18.18
2007-06-01,40,18.51
2007-06-08,38,18.47
2007-06-15,34,18.97
2007-06-22,39,19.34
2007-06-29,41,19.10
2007-07-06,37,19.22
2007-07-13,36,18.56
2007-07-20,38,18.63
2007-07-27,37,17.79
2007-08-03,38,16.44
2007-08-10,43,16.75
2007-08-17,41,17.27
2007-08-24,45,18.51
2007-08-31,43,18.76
2007-09-07,39,17.94
2007-09-14,44,18.00
2007-09-21,47,18.55
2007-09-28,44,18.44
2007-10-05,48,18.91
2007-10-12,50,19.01
2007-10-19,46,17.75
2007-10-26,46,18.61
2007-11-02,56,18.21
2007-11-09,54,19.38
2007-11-16,54,20.09
2007-11-23,67,18.89
2007-11-30,73,20.40
2007-12-07,64,21.57
2007-12-14,57,21.18
2007-12-21,46,21.76
2007-12-28,47,21.36
2008-01-04,43,19.66
2008-01-11,37,17.20
2008-01-18,42,17.23
2008-01-25,38,17.80
2008-02-01,40,19.34
2008-02-08,41,19.78
2008-02-15,37,19.70
2008-02-22,41,19.71
2008-02-29,40,20.17
2008-03-07,42,19.58
2008-03-14,41,19.81
2008-03-21,43,
2008-03-28,42,19.52
2008-04-04,41,19.05
2008-04-11,40,17.95
2008-04-18,46,19.00
2008-04-25,43,19.34
2008-05-02,42,18.68
2008-05-09,40,17.94
2008-05-16,43,18.43
2008-05-23,40,17.94
2008-05-30,36,18.25
2008-06-06,35,17.17
2008-06-13,39,18.00
2008-06-20,35,17.45
2008-06-27,38,16.74
2008-07-04,36,
2008-07-11,38,15.25
2008-07-18,37,16.60
2008-07-25,34,16.29
2008-08-01,37,16.34
2008-08-08,40,18.09
2008-08-15,40,19.40
2008-08-22,41,19.88
2008-08-29,40,19.45
2008-09-05,39,19.19
2008-09-12,41,19.37
2008-09-19,40,19.08
2008-09-26,45,18.37
2008-10-03,42,16.83
2008-10-10,44,13.82
2008-10-17,40,13.42
2008-10-24,43,11.21
2008-10-31,40,12.94
2008-11-07,42,12.82
2008-11-14,50,11.55
2008-11-21,58,12.10
2008-11-28,51,13.02
2008-12-05,50,14.01
2008-12-12,51,13.19
2008-12-19,45,13.57
2008-12-26,44,12.97
2009-01-02,41,14.07
2009-01-09,36,12.99
2009-01-16,38,12.14
2009-01-23,37,12.00
2009-01-30,38,11.28
2009-02-06,38,11.94
2009-02-13,35,11.62
2009-02-20,40,11.55
2009-02-27,39,10.79
2009-03-06,39,9.85
2009-03-13,40,11.99
2009-03-20,38,11.98
2009-03-27,38,13.06
2009-04-03,38,15.25
2009-04-10,36,
2009-04-17,37,15.12
2009-04-24,39,15.28
2009-05-01,38,15.77
2009-05-08,36,16.55
2009-05-15,35,15.16
2009-05-22,37,16.39
2009-05-29,34,17.85
2009-06-05,37,16.63
2009-06-12,34,16.37
2009-06-19,34,15.80
2009-06-26,32,16.06
2009-07-03,33,
2009-07-10,33,14.96
2009-07-17,36,16.17
2009-07-24,34,15.94
2009-07-31,36,16.32
2009-08-07,36,18.58
2009-08-14,38,18.78
2009-08-21,40,19.48
2009-08-28,39,19.93
2009-09-04,39,21.12
2009-09-11,38,21.60
2009-09-18,40,22.02
2009-09-25,38,21.48
2009-10-02,42,20.81
2009-10-09,43,22.24
2009-10-16,43,22.96
2009-10-23,43,22.02
2009-10-30,40,21.34
2009-11-06,42,23.03
2009-11-13,43,22.42
2009-11-20,47,21.95
2009-11-27,47,22.03
2009-12-04,49,21.77
2009-12-11,51,21.46
2009-12-18,46,20.89
2009-12-25,36,
2010-01-01,38,
2010-01-08,35,20.40
2010-01-15,35,19.56
2010-01-22,33,18.86
2010-01-29,34,19.08
2010-02-05,36,19.88
2010-02-12,33,19.95
2010-02-19,36,19.85
2010-02-26,36,21.50
2010-03-05,38,22.32
2010-03-12,41,22.80
2010-03-19,41,23.22
2010-03-26,40,23.42
2010-04-02,39,
2010-04-09,38,24.85
2010-04-16,35,25.00
2010-04-23,37,26.06
2010-04-30,37,24.73
2010-05-07,37,22.27
2010-05-14,36,22.96
2010-05-21,36,22.15
2010-05-28,35,21.80
2010-06-04,36,20.96
2010-06-11,33,21.99
2010-06-18,35,21.24
2010-06-25,35,20.20
2010-07-02,33,19.48
2010-07-09,33,18.53
2010-07-16,34,18.13
2010-07-23,35,18.41
2010-07-30,35,18.11
2010-08-06,38,18.28
2010-08-13,39,17.67
2010-08-20,43,17.32
2010-08-27,44,17.03
2010-09-03,39,17.65
2010-09-10,40,17.37
2010-09-17,42,18.91
2010-09-24,42,18.83
2010-10-01,41,18.51
2010-10-08,51,18.21
2010-10-15,51,19.52
2010-10-22,44,19.15
2010-10-29,41,19.01
2010-11-05,42,20.81
2010-11-12,46,20.49
2010-11-19,45,20.70
2010-11-26,49,20.90
2010-12-03,47,21.44
2010-12-10,49,21.48
2010-12-17,45,21.19
2010-12-24,36,
2010-12-31,39,22.14
2011-01-07,36,20.51
2011-01-14,38,20.41
2011-01-21,37,20.10
2011-01-28,36,19.20
2011-02-04,36,20.10
2011-02-11,38,21.40
2011-02-18,37,23.05
2011-02-25,39,22.75
2011-03-04,37,21.59
2011-03-11,38,21.97
2011-03-18,40,21.87
2011-03-25,41,22.56
2011-04-01,40,22.63
2011-04-08,40,22.25
2011-04-15,38,22.47
2011-04-22,39,
2011-04-29,38,23.24
2011-05-06,38,22.60
2011-05-13,39,23.05
2011-05-20,35,19.22
2011-05-27,38,19.20
2011-06-03,36,17.92
2011-06-10,34,17.72
2011-06-17,35,17.83
2011-06-24,34,17.66
2011-07-01,32,18.28
2011-07-08,32,18.98
2011-07-15,35,18.91
2011-07-22,34,19.66
2011-07-29,35,19.29
2011-08-05,35,16.75
2011-08-12,37,16.49
2011-08-19,38,15.69
2011-08-26,38,16.28
2011-09-02,34,15.60
2011-09-09,38,16.00
2011-09-16,38,17.04
2011-09-23,39,16.31
2011-09-30,37,16.24
2011-10-07,41,17.30
2011-10-14,37,17.78
2011-10-21,41,18.71
2011-10-28,39,19.33
2011-11-04,38,19.65
2011-11-11,44,20.33
2011-11-18,44,18.76
2011-11-25,45,17.62
2011-12-02,44,18.70
2011-12-09,44,18.85
2011-12-16,43,18.30
2011-12-23,36,18.61
2011-12-30,37,18.55
2012-01-06,35,18.00
2012-01-13,35,18.26
2012-01-20,34,18.63
2012-01-27,35,18.93
2012-02-03,36,21.71
2012-02-10,37,21.59
2012-02-17,38,22.72
2012-02-24,38,22.57
2012-03-02,39,24.41
2012-03-09,41,25.00
2012-03-16,41,25.39
2012-03-23,40,26.46
2012-03-30,36,26.14
2012-04-06,37,
2012-04-13,36,26.56
2012-04-20,40,27.85
2012-04-27,40,28.53
2012-05-04,42,28.20
2012-05-11,39,28.00
2012-05-18,40,25.71
2012-05-25,40,27.16
2012-06-01,37,25.26
2012-06-08,36,26.24
2012-06-15,37,26.73
2012-06-22,34,27.36
2012-06-29,35,27.36
2012-07-06,33,27.88
2012-07-13,34,27.90
2012-07-20,33,29.20
2012-07-27,35,29.91
2012-08-03,34,33.46
2012-08-10,38,34.21
2012-08-17,38,35.99
2012-08-24,43,35.12
2012-08-31,38,35.82
2012-09-07,40,35.93
2012-09-14,40,35.20
2012-09-21,41,36.19
2012-09-28,42,35.78
2012-10-05,42,37.10
2012-10-12,42,36.10
2012-10-19,42,36.37
2012-10-26,42,35.41
2012-11-02,38,35.11
2012-11-09,42,33.62
2012-11-16,43,33.59
2012-11-23,46,35.50
2012-11-30,47,34.46
2012-12-07,43,31.81
2012-12-14,43,31.45
2012-12-21,38,31.37
2012-12-28,37,30.43
2013-01-04,35,32.10
2013-01-11,37,31.71
2013-01-18,35,32.96
2013-01-25,36,33.54
2013-02-01,37,32.97
2013-02-08,38,32.23
2013-02-15,37,32.88
2013-02-22,38,31.96
2013-03-01,41,33.87
2013-03-08,42,36.23
2013-03-15,43,36.39
2013-03-22,41,35.66
2013-03-29,39,
2013-04-05,39,36.65
2013-04-12,41,38.18
2013-04-19,39,37.00
2013-04-26,40,37.49
2013-05-03,40,38.81
2013-05-10,40,40.99
2013-05-17,39,40.96
2013-05-24,38,40.64
2013-05-31,37,40.55
2013-06-07,35,42.09
2013-06-14,35,41.48
2013-06-21,35,41.32
2013-06-28,34,41.73
2013-07-05,38,43.30
2013-07-12,35,45.10
2013-07-19,37,45.03
2013-07-26,35,45.48
2013-08-02,36,46.48
2013-08-09,37,44.10
2013-08-16,38,43.12
2013-08-23,38,41.97
2013-08-30,37,40.44
2013-09-06,38,40.39
2013-09-13,39,41.64
2013-09-20,39,41.55
2013-09-27,39,40.67
2013-10-04,39,40.51
2013-10-11,40,36.83
2013-10-18,42,37.22
2013-10-25,40,36.66
2013-11-01,41,36.78
2013-11-08,43,41.43
2013-11-15,44,42.15
2013-11-22,43,41.31
2013-11-29,48,40.97
2013-12-06,47,39.46
2013-12-13,43,38.49
2013-12-20,38,38.57
2013-12-27,33,38.62
2014-01-03,35,39.52
2014-01-10,33,39.84
2014-01-17,35,37.30
2014-01-24,35,37.21
2014-01-31,35,38.08
2014-02-07,36,42.00
2014-02-14,34,42.34
2014-02-21,38,42.77
2014-02-28,38,43.75
2014-03-07,40,42.38
2014-03-14,42,42.08
2014-03-21,40,41.69
2014-03-28,38,40.17
2014-04-04,39,41.37
2014-04-11,42,38.40
2014-04-18,40,
2014-04-25,41,38.78
2014-05-02,40,
