Date,COG,Price
2011-11-04,50,83.64
2011-11-11,49,88.06
2011-11-18,52,82.14
2011-11-25,48,76.69
2011-12-02,48,86.41
2011-12-09,46,81.18
2011-12-16,47,74.17
2011-12-23,46,77.99
2011-12-30,45,75.90
2012-01-06,47,80.65
2012-01-13,47,67.13
2012-01-20,45,61.12
2012-01-27,44,32.88
2012-02-03,47,32.45
2012-02-10,47,33.57
2012-02-17,50,36.64
2012-02-24,50,35.69
2012-03-02,49,34.46
2012-03-09,47,34.91
2012-03-16,47,33.42
2012-03-23,51,32.52
2012-03-30,51,31.17
2012-04-06,51,
2012-04-13,46,30.60
2012-04-20,49,30.14
2012-04-27,50,33.79
2012-05-04,47,34.37
2012-05-11,50,35.51
2012-05-18,49,34.27
2012-05-25,51,34.77
2012-06-01,48,31.15
2012-06-08,51,32.99
2012-06-15,53,36.20
2012-06-22,55,36.40
2012-06-29,57,39.40
2012-07-06,54,39.51
2012-07-13,53,40.59
2012-07-20,51,40.20
2012-07-27,57,42.03
2012-08-03,59,41.18
2012-08-10,53,42.88
2012-08-17,51,42.99
2012-08-24,56,41.86
2012-08-31,50,41.41
2012-09-07,53,42.17
2012-09-14,52,45.86
2012-09-21,50,45.05
2012-09-28,49,44.90
2012-10-05,49,44.28
2012-10-12,46,43.86
2012-10-19,44,44.48
2012-10-26,46,47.46
2012-11-02,40,47.55
2012-11-09,42,47.55
2012-11-16,39,47.97
2012-11-23,40,49.88
2012-11-30,39,47.10
2012-12-07,39,48.84
2012-12-14,42,46.79
2012-12-21,41,50.83
2012-12-28,36,48.83
2013-01-04,37,50.11
2013-01-11,45,48.10
2013-01-18,44,51.38
2013-01-25,44,52.85
2013-02-01,40,53.18
2013-02-08,42,54.90
2013-02-15,39,54.31
2013-02-22,41,59.81
2013-03-01,47,63.40
2013-03-08,42,64.60
2013-03-15,43,67.06
2013-03-22,51,67.68
2013-03-29,56,
2013-04-05,51,67.96
2013-04-12,46,67.70
2013-04-19,47,64.60
2013-04-26,47,67.33
2013-05-03,48,67.31
2013-05-10,47,66.84
2013-05-17,46,70.28
2013-05-24,48,70.96
2013-05-31,49,70.36
2013-06-07,49,72.31
2013-06-14,50,69.54
2013-06-21,48,68.00
2013-06-28,48,71.02
2013-07-05,48,71.45
2013-07-12,51,70.83
2013-07-19,53,73.67
2013-07-26,55,77.16
2013-08-02,56,77.18
2013-08-09,56,76.00
2013-08-16,54,37.13
2013-08-23,50,38.85
2013-08-30,46,39.13
2013-09-06,46,38.74
2013-09-13,49,37.52
2013-09-20,48,37.71
2013-09-27,52,37.11
2013-10-04,47,36.32
2013-10-11,47,36.75
2013-10-18,42,36.12
2013-10-25,40,36.98
2013-11-01,42,35.04
2013-11-08,43,33.60
2013-11-15,41,33.33
2013-11-22,42,35.14
2013-11-29,42,34.45
2013-12-06,42,35.20
2013-12-13,42,36.12
2013-12-20,42,38.43
2013-12-27,43,38.73
2014-01-03,42,37.95
2014-01-10,40,37.50
2014-01-17,41,37.48
2014-01-24,43,39.55
2014-01-31,40,39.98
2014-02-07,40,39.32
2014-02-14,42,38.86
2014-02-21,44,36.07
2014-02-28,42,35.00
2014-03-07,45,35.11
2014-03-14,44,33.96
2014-03-21,43,32.96
2014-03-28,47,33.84
2014-04-04,45,34.57
2014-04-11,45,32.41
2014-04-18,44,
2014-04-25,44,38.18
2014-05-02,44,
