Date,buy K,Price
2005-12-30,45,43.22
2006-01-06,40,44.40
2006-01-13,30,43.76
2006-01-20,33,43.33
2006-01-27,41,43.75
2006-02-03,32,43.29
2006-02-10,32,43.01
2006-02-17,37,44.50
2006-02-24,40,44.93
2006-03-03,20,44.23
2006-03-10,22,45.28
2006-03-17,22,45.48
2006-03-24,40,44.98
2006-03-31,31,44.04
2006-04-07,30,43.90
2006-04-14,25,
2006-04-21,32,44.20
2006-04-28,32,46.31
2006-05-05,20,46.39
2006-05-12,25,46.06
2006-05-19,29,45.89
2006-05-26,24,47.31
2006-06-02,34,47.67
2006-06-09,30,47.00
2006-06-16,32,47.37
2006-06-23,23,47.83
2006-06-30,25,48.43
2006-07-07,24,47.53
2006-07-14,31,48.07
2006-07-21,32,48.74
2006-07-28,24,48.38
2006-08-04,27,48.28
2006-08-11,33,48.94
2006-08-18,46,49.67
2006-08-25,24,49.80
2006-09-01,20,50.52
2006-09-08,28,49.96
2006-09-15,23,49.71
2006-09-22,30,49.92
2006-09-29,30,49.52
2006-10-06,29,49.69
2006-10-13,26,47.90
2006-10-20,32,49.39
2006-10-27,31,50.00
2006-11-03,29,49.37
2006-11-10,32,49.36
2006-11-17,38,50.15
2006-11-24,56,50.10
2006-12-01,47,49.60
2006-12-08,50,49.92
2006-12-15,53,50.58
2006-12-22,69,50.11
2006-12-29,49,50.06
2007-01-05,41,49.72
2007-01-12,34,50.23
2007-01-19,30,50.00
2007-01-26,34,50.32
2007-02-02,27,48.98
2007-02-09,42,48.89
2007-02-16,37,49.78
2007-02-23,30,49.84
2007-03-02,39,49.24
2007-03-09,29,50.47
2007-03-16,33,50.55
2007-03-23,27,51.74
2007-03-30,36,51.43
2007-04-06,27,
2007-04-13,19,51.56
2007-04-20,30,52.54
2007-04-27,39,53.08
2007-05-04,31,53.21
2007-05-11,32,53.07
2007-05-18,33,53.65
2007-05-25,32,53.49
2007-06-01,33,54.32
2007-06-08,41,52.05
2007-06-15,35,52.17
2007-06-22,30,51.36
2007-06-29,40,51.79
2007-07-06,37,51.69
2007-07-13,37,52.23
2007-07-20,28,51.76
2007-07-27,40,51.95
2007-08-03,36,52.58
2007-08-10,32,53.32
2007-08-17,29,54.20
2007-08-24,34,54.60
2007-08-31,34,54.93
2007-09-07,33,54.60
2007-09-14,25,56.15
2007-09-21,26,55.99
2007-09-28,35,56.00
2007-10-05,32,55.13
2007-10-12,30,54.99
2007-10-19,26,53.50
2007-10-26,37,54.44
2007-11-02,37,52.58
2007-11-09,26,52.39
2007-11-16,40,52.77
2007-11-23,100,52.96
2007-11-30,73,54.04
2007-12-07,73,54.22
2007-12-14,50,53.62
2007-12-21,63,53.54
2007-12-28,59,52.92
2008-01-04,43,51.17
2008-01-11,44,50.89
2008-01-18,44,48.56
2008-01-25,25,47.59
2008-02-01,32,49.02
2008-02-08,36,49.18
2008-02-15,29,51.73
2008-02-22,37,51.04
2008-02-29,28,50.72
2008-03-07,29,49.45
2008-03-14,29,49.89
2008-03-21,40,
2008-03-28,30,52.48
2008-04-04,33,53.15
2008-04-11,32,51.95
2008-04-18,32,52.66
2008-04-25,26,51.37
2008-05-02,26,52.40
2008-05-09,25,50.87
2008-05-16,37,51.49
2008-05-23,33,50.56
2008-05-30,26,51.81
2008-06-06,44,50.05
2008-06-13,32,52.00
2008-06-20,30,51.00
2008-06-27,38,47.96
2008-07-04,37,
2008-07-11,41,50.87
2008-07-18,45,51.60
2008-07-25,44,52.27
2008-08-01,38,52.46
2008-08-08,36,55.71
2008-08-15,37,55.50
2008-08-22,30,54.39
2008-08-29,40,54.44
2008-09-05,35,55.01
2008-09-12,29,56.21
2008-09-19,32,56.68
2008-09-26,30,57.39
2008-10-03,33,57.21
2008-10-10,33,48.49
2008-10-17,29,50.46
2008-10-24,34,48.22
2008-10-31,32,50.42
2008-11-07,33,49.54
2008-11-14,37,46.93
2008-11-21,44,43.02
2008-11-28,71,43.43
2008-12-05,66,42.73
2008-12-12,45,42.53
2008-12-19,56,42.63
2008-12-26,68,42.30
2009-01-02,55,45.05
2009-01-09,42,43.54
2009-01-16,36,44.63
2009-01-23,30,44.23
2009-01-30,33,43.69
2009-02-06,35,43.58
2009-02-13,29,41.38
2009-02-20,36,40.17
2009-02-27,37,38.92
2009-03-06,37,37.16
2009-03-13,35,36.99
2009-03-20,35,36.43
2009-03-27,35,36.89
2009-04-03,36,38.01
2009-04-10,30,
2009-04-17,35,40.10
2009-04-24,37,38.94
2009-05-01,37,43.40
2009-05-08,30,42.83
2009-05-15,31,43.19
2009-05-22,27,43.68
2009-05-29,31,43.25
2009-06-05,30,43.78
2009-06-12,33,44.55
2009-06-19,34,45.09
2009-06-26,31,46.23
2009-07-03,33,
2009-07-10,35,47.24
2009-07-17,34,47.18
2009-07-24,35,47.92
2009-07-31,32,47.50
2009-08-07,35,46.16
2009-08-14,34,46.06
2009-08-21,37,47.35
2009-08-28,32,46.52
2009-09-04,33,47.22
2009-09-11,36,48.39
2009-09-18,33,48.82
2009-09-25,38,49.09
2009-10-02,34,48.66
2009-10-09,28,49.82
2009-10-16,33,50.48
2009-10-23,30,50.20
2009-10-30,31,51.54
2009-11-06,26,52.20
2009-11-13,33,53.37
2009-11-20,35,53.12
2009-11-27,52,52.97
2009-12-04,43,52.96
2009-12-11,47,53.70
2009-12-18,43,52.27
2009-12-25,50,
2010-01-01,59,
2010-01-08,43,53.38
2010-01-15,36,54.34
2010-01-22,28,54.34
2010-01-29,39,54.42
2010-02-05,32,52.72
2010-02-12,33,52.34
2010-02-19,34,53.20
2010-02-26,34,52.15
2010-03-05,26,52.93
2010-03-12,25,52.49
2010-03-19,30,53.43
2010-03-26,34,53.76
2010-04-02,32,
2010-04-09,30,52.81
2010-04-16,27,54.04
2010-04-23,31,53.62
2010-04-30,35,54.94
2010-05-07,33,52.84
2010-05-14,28,54.50
2010-05-21,29,54.08
2010-05-28,32,53.43
2010-06-04,28,53.22
2010-06-11,35,53.66
2010-06-18,32,54.47
2010-06-25,29,52.42
2010-07-02,34,50.67
2010-07-09,30,51.77
2010-07-16,34,51.05
2010-07-23,31,51.10
2010-07-30,33,50.05
2010-08-06,35,50.15
2010-08-13,30,50.64
2010-08-20,35,49.75
2010-08-27,38,50.49
2010-09-03,25,50.41
2010-09-10,39,51.27
2010-09-17,35,50.58
2010-09-24,37,51.00
2010-10-01,31,50.91
2010-10-08,39,49.97
2010-10-15,32,50.08
2010-10-22,31,49.55
2010-10-29,33,50.26
2010-11-05,36,49.32
2010-11-12,40,48.95
2010-11-19,44,48.98
2010-11-26,56,49.48
2010-12-03,56,49.50
2010-12-10,47,49.78
2010-12-17,57,51.23
2010-12-24,57,
2010-12-31,73,51.08
2011-01-07,60,51.00
2011-01-14,43,51.00
2011-01-21,41,51.95
2011-01-28,44,50.49
2011-02-04,41,53.42
2011-02-11,39,53.09
2011-02-18,44,53.01
2011-02-25,42,53.15
2011-03-04,37,54.33
2011-03-11,40,55.04
2011-03-18,34,54.17
2011-03-25,39,53.39
2011-04-01,38,54.00
2011-04-08,41,53.94
2011-04-15,34,55.37
2011-04-22,35,
2011-04-29,35,57.27
2011-05-06,36,56.75
2011-05-13,42,57.56
2011-05-20,29,57.14
2011-05-27,37,56.44
2011-06-03,37,54.92
2011-06-10,38,54.89
2011-06-17,40,54.92
2011-06-24,39,54.76
2011-07-01,38,55.40
2011-07-08,30,55.17
2011-07-15,40,55.24
2011-07-22,40,55.91
2011-07-29,46,55.78
2011-08-05,43,53.36
2011-08-12,40,52.89
2011-08-19,45,52.26
2011-08-26,44,53.18
2011-09-02,46,53.61
2011-09-09,45,53.09
2011-09-16,39,53.99
2011-09-23,41,52.60
2011-09-30,44,53.19
2011-10-07,41,53.61
2011-10-14,32,54.84
2011-10-21,35,54.98
2011-10-28,34,54.78
2011-11-04,43,49.91
2011-11-11,46,49.72
2011-11-18,52,49.37
2011-11-25,71,48.75
2011-12-02,58,49.12
2011-12-09,59,49.81
2011-12-16,58,48.77
2011-12-23,65,50.34
2011-12-30,74,50.57
2012-01-06,49,50.51
2012-01-13,45,50.81
2012-01-20,44,51.07
2012-01-27,44,49.73
2012-02-03,36,50.84
2012-02-10,40,49.81
2012-02-17,42,52.53
2012-02-24,38,52.75
2012-03-02,38,52.11
2012-03-09,40,52.44
2012-03-16,41,52.62
2012-03-23,36,52.41
2012-03-30,35,53.63
2012-04-06,38,
2012-04-13,34,53.24
2012-04-20,32,53.99
2012-04-27,34,50.35
2012-05-04,35,50.39
2012-05-11,37,50.99
2012-05-18,39,50.37
2012-05-25,35,50.27
2012-06-01,36,48.22
2012-06-08,39,48.63
2012-06-15,34,49.25
2012-06-22,34,48.97
2012-06-29,37,49.33
2012-07-06,31,49.12
2012-07-13,37,49.50
2012-07-20,32,47.64
2012-07-27,39,47.19
2012-08-03,41,50.35
2012-08-10,37,50.98
2012-08-17,41,51.10
2012-08-24,44,51.48
2012-08-31,36,50.65
2012-09-07,34,50.39
2012-09-14,40,50.19
2012-09-21,33,51.45
2012-09-28,36,51.66
2012-10-05,42,51.95
2012-10-12,37,51.73
2012-10-19,36,52.09
2012-10-26,37,52.90
2012-11-02,37,53.69
2012-11-09,38,53.48
2012-11-16,44,54.17
2012-11-23,62,55.26
2012-11-30,53,55.46
2012-12-07,50,55.97
2012-12-14,51,56.72
2012-12-21,48,56.18
2012-12-28,66,55.33
2013-01-04,50,56.64
2013-01-11,46,57.02
2013-01-18,38,58.21
2013-01-25,42,58.84
2013-02-01,36,58.65
2013-02-08,34,58.91
2013-02-15,35,59.77
2013-02-22,38,60.01
2013-03-01,34,60.58
2013-03-08,33,61.52
2013-03-15,33,62.20
2013-03-22,33,63.39
2013-03-29,39,
2013-04-05,36,63.64
2013-04-12,33,64.70
2013-04-19,38,66.10
2013-04-26,34,65.70
2013-05-03,29,63.66
2013-05-10,35,64.29
2013-05-17,31,65.66
2013-05-24,33,64.45
2013-05-31,37,62.05
2013-06-07,34,63.39
2013-06-14,35,64.24
2013-06-21,36,63.25
2013-06-28,32,64.23
2013-07-05,39,65.34
2013-07-12,30,66.50
2013-07-19,37,67.32
2013-07-26,37,66.98
2013-08-02,39,65.23
2013-08-09,33,65.68
2013-08-16,41,62.95
2013-08-23,36,62.73
2013-08-30,32,60.71
2013-09-06,33,60.23
2013-09-13,34,60.64
2013-09-20,36,60.57
2013-09-27,35,59.02
2013-10-04,32,59.36
2013-10-11,36,60.76
2013-10-18,36,61.45
2013-10-25,34,62.43
2013-11-01,30,62.29
2013-11-08,30,62.19
2013-11-15,42,62.61
2013-11-22,41,62.47
2013-11-29,52,60.64
2013-12-06,47,61.64
2013-12-13,49,60.50
2013-12-20,61,60.52
2013-12-27,62,60.98
2014-01-03,51,60.58
2014-01-10,41,60.78
2014-01-17,40,60.47
2014-01-24,34,59.83
2014-01-31,35,57.98
2014-02-07,36,58.36
2014-02-14,32,60.19
2014-02-21,36,59.95
2014-02-28,33,60.69
2014-03-07,35,61.60
2014-03-14,36,60.90
2014-03-21,35,61.58
2014-03-28,36,62.13
2014-04-04,31,63.77
2014-04-11,33,65.68
2014-04-18,34,
2014-04-25,35,66.71
2014-05-02,39,
