Date,TRV,Price
2011-09-02,19,48.87
2011-09-09,20,48.14
2011-09-16,18,50.61
2011-09-23,18,47.12
2011-09-30,17,48.73
2011-10-07,18,49.00
2011-10-14,18,51.27
2011-10-21,19,57.35
2011-10-28,19,59.48
2011-11-04,18,58.14
2011-11-11,18,58.43
2011-11-18,18,56.22
2011-11-25,17,53.41
2011-12-02,16,54.24
2011-12-09,17,56.02
2011-12-16,20,57.28
2011-12-23,18,59.35
2011-12-30,17,59.17
2012-01-06,17,59.35
2012-01-13,19,59.37
2012-01-20,16,61.59
2012-01-27,18,58.05
2012-02-03,19,60.12
2012-02-10,18,59.38
2012-02-17,16,59.85
2012-02-24,16,58.60
2012-03-02,17,58.01
2012-03-09,16,57.61
2012-03-16,15,59.20
2012-03-23,16,58.20
2012-03-30,17,59.20
2012-04-06,17,
2012-04-13,17,58.12
2012-04-20,17,62.75
2012-04-27,16,64.01
2012-05-04,16,64.50
2012-05-11,15,64.62
2012-05-18,14,62.18
2012-05-25,15,62.60
2012-06-01,16,60.58
2012-06-08,15,62.14
2012-06-15,15,63.41
2012-06-22,17,63.35
2012-06-29,14,63.84
2012-07-06,15,63.26
2012-07-13,16,63.13
2012-07-20,15,62.71
2012-07-27,14,62.72
2012-08-03,15,63.71
2012-08-10,16,63.98
2012-08-17,16,65.13
2012-08-24,17,65.40
2012-08-31,16,64.74
2012-09-07,15,65.21
2012-09-14,16,68.58
2012-09-21,17,68.61
2012-09-28,17,68.26
2012-10-05,16,69.56
2012-10-12,15,68.72
2012-10-19,17,73.51
2012-10-26,17,71.56
2012-11-02,17,69.62
2012-11-09,16,68.98
2012-11-16,16,68.65
2012-11-23,16,71.27
2012-11-30,15,70.82
2012-12-07,17,73.39
2012-12-14,16,73.37
2012-12-21,15,72.82
2012-12-28,16,71.24
2013-01-04,15,74.06
2013-01-11,16,74.85
2013-01-18,16,76.31
2013-01-25,16,78.35
2013-02-01,15,79.89
2013-02-08,14,78.86
2013-02-15,15,80.39
2013-02-22,14,81.01
2013-03-01,16,80.69
2013-03-08,15,81.65
2013-03-15,16,82.28
2013-03-22,15,83.69
2013-03-29,15,
2013-04-05,14,84.41
2013-04-12,15,86.26
2013-04-19,14,84.81
2013-04-26,15,85.15
2013-05-03,14,85.41
2013-05-10,13,86.49
2013-05-17,14,86.50
2013-05-24,14,83.60
2013-05-31,14,83.72
2013-06-07,12,83.44
2013-06-14,14,82.15
2013-06-21,12,79.07
2013-06-28,14,79.92
2013-07-05,14,81.34
2013-07-12,13,84.18
2013-07-19,14,84.66
2013-07-26,14,83.60
2013-08-02,13,84.00
2013-08-09,12,82.10
2013-08-16,14,81.10
2013-08-23,13,80.19
2013-08-30,13,79.90
2013-09-06,13,80.49
2013-09-13,13,83.56
2013-09-20,15,86.06
2013-09-27,14,85.41
2013-10-04,13,84.68
2013-10-11,14,84.66
2013-10-18,14,86.58
2013-10-25,14,86.63
2013-11-01,14,86.40
2013-11-08,15,87.80
2013-11-15,15,88.67
2013-11-22,15,90.52
2013-11-29,15,90.74
2013-12-06,14,89.01
2013-12-13,14,86.49
2013-12-20,14,89.18
2013-12-27,13,89.85
2014-01-03,15,89.16
2014-01-10,15,87.49
2014-01-17,14,86.47
2014-01-24,15,81.61
2014-01-31,16,81.28
2014-02-07,15,80.88
2014-02-14,14,84.02
2014-02-21,14,83.79
2014-02-28,14,83.84
2014-03-07,13,83.93
2014-03-14,13,82.66
2014-03-21,13,83.78
2014-03-28,14,83.99
2014-04-04,13,85.20
2014-04-11,12,85.30
2014-04-18,14,
2014-04-25,13,88.31
2014-05-02,12,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
