Date,HUM,Price
2009-08-21,24,36.05
2009-08-28,24,36.23
2009-09-04,25,37.79
2009-09-11,23,39.49
2009-09-18,23,39.89
2009-09-25,23,37.60
2009-10-02,22,36.68
2009-10-09,23,37.29
2009-10-16,21,36.95
2009-10-23,21,37.54
2009-10-30,22,37.58
2009-11-06,23,40.45
2009-11-13,23,41.10
2009-11-20,22,40.44
2009-11-27,22,41.73
2009-12-04,22,40.31
2009-12-11,23,41.84
2009-12-18,24,43.53
2009-12-25,25,
2010-01-01,24,
2010-01-08,23,47.51
2010-01-15,21,48.51
2010-01-22,22,51.00
2010-01-29,24,48.62
2010-02-05,24,47.02
2010-02-12,23,45.95
2010-02-19,24,45.35
2010-02-26,24,47.33
2010-03-05,22,48.14
2010-03-12,24,47.97
2010-03-19,24,50.00
2010-03-26,26,47.20
2010-04-02,29,
2010-04-09,26,45.13
2010-04-16,25,43.93
2010-04-23,25,45.53
2010-04-30,25,45.72
2010-05-07,23,44.35
2010-05-14,24,45.75
2010-05-21,24,44.71
2010-05-28,25,46.05
2010-06-04,28,47.39
2010-06-11,27,47.95
2010-06-18,24,49.25
2010-06-25,24,48.10
2010-07-02,25,44.34
2010-07-09,26,46.20
2010-07-16,26,45.66
2010-07-23,27,46.02
2010-07-30,27,47.02
2010-08-06,28,50.61
2010-08-13,30,49.33
2010-08-20,28,48.51
2010-08-27,27,48.94
2010-09-03,26,51.08
2010-09-10,26,52.78
2010-09-17,26,50.37
2010-09-24,27,50.25
2010-10-01,27,50.13
2010-10-08,26,50.85
2010-10-15,27,54.84
2010-10-22,27,56.97
2010-10-29,28,58.29
2010-11-05,27,59.56
2010-11-12,27,59.20
2010-11-19,27,56.03
2010-11-26,27,56.79
2010-12-03,32,57.04
2010-12-10,32,56.51
2010-12-17,28,55.36
2010-12-24,31,
2010-12-31,31,54.74
2011-01-07,27,56.83
2011-01-14,27,59.35
2011-01-21,28,58.01
2011-01-28,29,58.18
2011-02-04,30,60.54
2011-02-11,30,58.31
2011-02-18,29,61.44
2011-02-25,28,62.60
2011-03-04,29,64.56
2011-03-11,28,64.45
2011-03-18,28,64.91
2011-03-25,29,66.08
2011-04-01,29,69.99
2011-04-08,29,70.13
2011-04-15,30,70.78
2011-04-22,31,
2011-04-29,30,76.12
2011-05-06,29,76.95
2011-05-13,29,78.33
2011-05-20,31,79.79
2011-05-27,31,79.40
2011-06-03,33,78.02
2011-06-10,32,78.19
2011-06-17,34,77.51
2011-06-24,33,80.38
2011-07-01,32,83.12
2011-07-08,32,80.82
2011-07-15,34,80.55
2011-07-22,33,79.59
2011-07-29,35,74.58
2011-08-05,33,70.92
2011-08-12,36,74.21
2011-08-19,37,69.76
2011-08-26,39,73.29
2011-09-02,41,74.18
2011-09-09,38,72.46
2011-09-16,38,79.40
2011-09-23,39,77.08
2011-09-30,43,72.73
2011-10-07,46,70.11
2011-10-14,42,75.17
2011-10-21,42,76.29
2011-10-28,41,80.35
2011-11-04,41,86.58
2011-11-11,44,88.11
2011-11-18,44,85.12
2011-11-25,44,80.89
2011-12-02,43,89.11
2011-12-09,46,86.85
2011-12-16,46,84.75
2011-12-23,48,89.60
2011-12-30,52,87.61
2012-01-06,54,92.25
2012-01-13,51,94.71
2012-01-20,50,92.15
2012-01-27,50,88.26
2012-02-03,47,90.12
2012-02-10,48,85.74
2012-02-17,48,88.61
2012-02-24,49,89.00
2012-03-02,48,87.24
2012-03-09,46,87.06
2012-03-16,47,86.64
2012-03-23,44,85.91
2012-03-30,47,92.48
2012-04-06,46,
2012-04-13,46,88.61
2012-04-20,45,90.00
2012-04-27,45,87.82
2012-05-04,46,80.23
2012-05-11,44,78.32
2012-05-18,45,74.53
2012-05-25,49,77.28
2012-06-01,52,75.90
2012-06-08,48,79.41
2012-06-15,50,78.70
2012-06-22,52,79.58
2012-06-29,55,77.44
2012-07-06,59,76.48
2012-07-13,59,75.41
2012-07-20,60,73.62
2012-07-27,89,70.52
2012-08-03,100,62.70
2012-08-10,76,67.62
2012-08-17,68,67.80
2012-08-24,71,69.95
2012-08-31,63,70.08
2012-09-07,59,72.23
2012-09-14,60,71.12
2012-09-21,60,70.28
2012-09-28,59,70.15
2012-10-05,54,74.05
2012-10-12,52,74.82
2012-10-19,49,74.98
2012-10-26,49,74.47
2012-11-02,48,75.21
2012-11-09,47,68.77
2012-11-16,44,65.50
2012-11-23,48,66.69
2012-11-30,44,65.41
2012-12-07,46,66.65
2012-12-14,47,66.11
2012-12-21,48,68.39
2012-12-28,50,67.51
2013-01-04,49,67.47
2013-01-11,46,69.56
2013-01-18,47,71.40
2013-01-25,52,74.93
2013-02-01,44,75.35
2013-02-08,48,81.35
2013-02-15,50,77.99
2013-02-22,51,70.61
2013-03-01,51,67.88
2013-03-08,52,68.03
2013-03-15,52,69.79
2013-03-22,52,67.10
2013-03-29,50,
2013-04-05,49,78.27
2013-04-12,50,77.56
2013-04-19,50,73.05
2013-04-26,55,73.49
2013-05-03,60,73.93
2013-05-10,58,80.09
2013-05-17,53,80.45
2013-05-24,55,78.93
2013-05-31,57,80.78
2013-06-07,54,81.02
2013-06-14,57,80.93
2013-06-21,54,84.91
2013-06-28,54,84.38
2013-07-05,58,83.68
2013-07-12,55,85.53
2013-07-19,56,89.08
2013-07-26,57,89.74
2013-08-02,57,89.89
2013-08-09,55,93.39
2013-08-16,63,91.53
2013-08-23,57,94.33
2013-08-30,57,92.08
2013-09-06,59,95.64
2013-09-13,57,98.24
2013-09-20,58,95.53
2013-09-27,56,93.88
2013-10-04,56,96.54
2013-10-11,56,95.65
2013-10-18,55,91.23
2013-10-25,55,91.54
2013-11-01,52,93.01
2013-11-08,50,95.19
2013-11-15,53,98.27
2013-11-22,53,101.25
2013-11-29,54,103.99
2013-12-06,53,104.00
2013-12-13,55,99.91
2013-12-20,58,101.89
2013-12-27,66,103.05
2014-01-03,59,101.76
2014-01-10,58,96.96
2014-01-17,58,96.57
2014-01-24,62,96.00
2014-01-31,59,97.30
2014-02-07,54,95.97
2014-02-14,58,100.23
2014-02-21,57,102.82
2014-02-28,57,112.46
2014-03-07,59,110.92
2014-03-14,60,109.49
2014-03-21,56,116.99
2014-03-28,59,113.08
2014-04-04,59,112.21
2014-04-11,67,108.16
2014-04-18,72,
2014-04-25,67,109.18
2014-05-02,65,
