Date,WFC,Price
2007-12-07,21,31.71
2007-12-14,19,30.07
2007-12-21,22,30.37
2007-12-28,25,30.09
2008-01-04,31,27.49
2008-01-11,30,28.20
2008-01-18,29,25.48
2008-01-25,28,30.66
2008-02-01,27,33.65
2008-02-08,25,29.48
2008-02-15,23,29.69
2008-02-22,23,31.44
2008-02-29,24,29.23
2008-03-07,26,28.11
2008-03-14,35,28.45
2008-03-21,32,
2008-03-28,36,29.35
2008-04-04,30,30.93
2008-04-11,27,27.97
2008-04-18,34,30.40
2008-04-25,30,30.59
2008-05-02,34,31.14
2008-05-09,23,29.33
2008-05-16,27,28.95
2008-05-23,29,27.68
2008-05-30,27,27.57
2008-06-06,30,25.42
2008-06-13,26,26.08
2008-06-20,30,24.50
2008-06-27,35,24.03
2008-07-04,30,
2008-07-11,31,23.00
2008-07-18,58,27.86
2008-07-25,45,29.09
2008-08-01,33,30.50
2008-08-08,30,30.17
2008-08-15,31,29.76
2008-08-22,27,29.36
2008-08-29,26,30.27
2008-09-05,26,31.20
2008-09-12,39,34.29
2008-09-19,52,39.80
2008-09-26,39,37.31
2008-10-03,59,34.56
2008-10-10,59,28.31
2008-10-17,56,32.06
2008-10-24,42,30.91
2008-10-31,38,34.05
2008-11-07,41,29.50
2008-11-14,34,28.73
2008-11-21,40,21.76
2008-11-28,36,28.89
2008-12-05,37,29.94
2008-12-12,38,26.72
2008-12-19,35,29.36
2008-12-26,30,27.51
2009-01-02,41,30.00
2009-01-09,36,25.14
2009-01-16,52,18.68
2009-01-23,56,15.87
2009-01-30,62,18.90
2009-02-06,51,19.14
2009-02-13,48,15.76
2009-02-20,59,10.91
2009-02-27,66,12.10
2009-03-06,75,8.61
2009-03-13,73,13.94
2009-03-20,74,13.99
2009-03-27,72,15.59
2009-04-03,68,16.34
2009-04-10,84,
2009-04-17,79,20.26
2009-04-24,82,21.40
2009-05-01,61,19.61
2009-05-08,100,28.18
2009-05-15,70,24.87
2009-05-22,60,24.31
2009-05-29,45,25.50
2009-06-05,47,24.72
2009-06-12,43,25.48
2009-06-19,43,24.19
2009-06-26,40,23.87
2009-07-03,34,
2009-07-10,36,22.87
2009-07-17,43,25.00
2009-07-24,50,23.47
2009-07-31,39,24.46
2009-08-07,44,28.76
2009-08-14,41,27.73
2009-08-21,34,27.94
2009-08-28,35,27.30
2009-09-04,36,26.91
2009-09-11,30,27.43
2009-09-18,32,28.49
2009-09-25,31,28.19
2009-10-02,31,26.28
2009-10-09,26,29.21
2009-10-16,31,30.02
2009-10-23,40,29.32
2009-10-30,29,27.52
2009-11-06,30,27.12
2009-11-13,28,27.68
2009-11-20,28,27.87
2009-11-27,27,27.14
2009-12-04,31,26.96
2009-12-11,27,25.41
2009-12-18,34,26.78
2009-12-25,32,
2010-01-01,29,
2010-01-08,28,28.86
2010-01-15,23,28.08
2010-01-22,28,27.26
2010-01-29,25,28.43
2010-02-05,25,27.42
2010-02-12,24,26.88
2010-02-19,20,27.37
2010-02-26,21,27.34
2010-03-05,24,29.15
2010-03-12,25,29.63
2010-03-19,25,30.38
2010-03-26,30,31.22
2010-04-02,29,
2010-04-09,26,32.30
2010-04-16,25,32.56
2010-04-23,27,33.48
2010-04-30,24,33.11
2010-05-07,26,30.82
2010-05-14,26,32.04
2010-05-21,25,30.11
2010-05-28,22,28.69
2010-06-04,22,27.78
2010-06-11,23,27.84
2010-06-18,26,28.07
2010-06-25,30,27.05
2010-07-02,33,24.88
2010-07-09,32,27.00
2010-07-16,30,26.24
2010-07-23,32,27.42
2010-07-30,36,27.73
2010-08-06,30,27.75
2010-08-13,27,25.84
2010-08-20,26,24.60
2010-08-27,25,24.00
2010-09-03,25,25.84
2010-09-10,23,25.75
2010-09-17,24,26.01
2010-09-24,21,25.59
2010-10-01,20,25.56
2010-10-08,19,25.95
2010-10-15,23,23.58
2010-10-22,28,26.11
2010-10-29,23,26.06
2010-11-05,26,29.22
2010-11-12,23,27.54
2010-11-19,25,27.49
2010-11-26,19,26.65
2010-12-03,20,29.05
2010-12-10,26,30.27
2010-12-17,23,29.96
2010-12-24,35,
2010-12-31,23,30.99
2011-01-07,27,31.50
2011-01-14,22,32.75
2011-01-21,26,32.51
2011-01-28,21,31.84
2011-02-04,19,32.76
2011-02-11,26,33.76
2011-02-18,27,32.64
2011-02-25,21,32.40
2011-03-04,22,31.91
2011-03-11,27,32.38
2011-03-18,24,31.83
2011-03-25,26,31.94
2011-04-01,25,32.06
2011-04-08,25,31.62
2011-04-15,24,29.89
2011-04-22,30,
2011-04-29,25,29.11
2011-05-06,22,28.25
2011-05-13,21,27.93
2011-05-20,23,28.00
2011-05-27,21,28.14
2011-06-03,22,26.86
2011-06-10,24,26.28
2011-06-17,27,27.33
2011-06-24,22,27.26
2011-07-01,22,28.67
2011-07-08,22,28.30
2011-07-15,27,27.18
2011-07-22,27,29.14
2011-07-29,24,27.94
2011-08-05,29,25.21
2011-08-12,32,24.13
2011-08-19,25,23.36
2011-08-26,25,24.59
2011-09-02,20,24.20
2011-09-09,21,23.52
2011-09-16,21,24.95
2011-09-23,22,23.69
2011-09-30,20,24.12
2011-10-07,21,24.54
2011-10-14,20,26.67
2011-10-21,21,26.31
2011-10-28,22,27.08
2011-11-04,20,25.40
2011-11-11,21,25.65
2011-11-18,19,24.69
2011-11-25,19,23.51
2011-12-02,20,26.07
2011-12-09,22,26.91
2011-12-16,21,25.98
2011-12-23,26,27.79
2011-12-30,20,27.56
2012-01-06,22,28.94
2012-01-13,21,29.61
2012-01-20,21,30.54
2012-01-27,21,29.60
2012-02-03,20,30.63
2012-02-10,18,30.26
2012-02-17,22,31.09
2012-02-24,20,30.18
2012-03-02,21,31.28
2012-03-09,19,31.66
2012-03-16,25,33.89
2012-03-23,19,33.53
2012-03-30,22,34.14
2012-04-06,19,
2012-04-13,25,32.84
2012-04-20,21,33.00
2012-04-27,36,33.77
2012-05-04,19,33.03
2012-05-11,18,33.31
2012-05-18,21,30.94
2012-05-25,19,31.86
2012-06-01,18,30.16
2012-06-08,18,31.43
2012-06-15,19,32.45
2012-06-22,17,32.81
2012-06-29,19,33.44
2012-07-06,17,33.05
2012-07-13,22,33.91
2012-07-20,21,33.81
2012-07-27,18,34.15
2012-08-03,19,34.34
2012-08-10,21,33.83
2012-08-17,19,34.03
2012-08-24,19,34.04
2012-08-31,18,34.03
2012-09-07,17,35.00
2012-09-14,16,36.13
2012-09-21,18,34.97
2012-09-28,17,34.53
2012-10-05,18,35.84
2012-10-12,23,34.25
2012-10-19,21,34.34
2012-10-26,23,33.97
2012-11-02,17,33.74
2012-11-09,19,32.35
2012-11-16,18,31.94
2012-11-23,15,33.20
2012-11-30,16,33.01
2012-12-07,22,33.23
2012-12-14,17,33.15
2012-12-21,15,34.48
2012-12-28,13,33.91
2013-01-04,18,34.94
2013-01-11,23,35.10
2013-01-18,18,34.93
2013-01-25,16,35.14
2013-02-01,19,35.13
2013-02-08,18,34.88
2013-02-15,16,35.16
2013-02-22,15,35.82
2013-03-01,16,35.39
2013-03-08,19,36.50
2013-03-15,19,38.20
2013-03-22,19,37.20
2013-03-29,18,
2013-04-05,17,37.15
2013-04-12,19,37.21
2013-04-19,16,36.69
2013-04-26,17,37.88
2013-05-03,17,37.74
2013-05-10,18,38.03
2013-05-17,21,39.88
2013-05-24,21,40.24
2013-05-31,18,40.55
2013-06-07,18,41.25
2013-06-14,18,40.16
2013-06-21,18,40.96
2013-06-28,17,41.27
2013-07-05,17,42.07
2013-07-12,23,42.63
2013-07-19,21,44.45
2013-07-26,20,43.51
2013-08-02,19,44.49
2013-08-09,19,43.23
2013-08-16,18,42.75
2013-08-23,17,42.76
2013-08-30,16,41.08
2013-09-06,15,41.43
2013-09-13,14,42.19
2013-09-20,15,42.85
2013-09-27,15,41.59
2013-10-04,17,41.30
2013-10-11,18,41.43
2013-10-18,17,42.68
2013-10-25,15,42.86
2013-11-01,16,42.67
2013-11-08,15,42.71
2013-11-15,17,43.54
2013-11-22,17,44.36
2013-11-29,13,44.02
2013-12-06,16,44.11
2013-12-13,17,43.73
2013-12-20,15,44.96
2013-12-27,13,45.50
2014-01-03,16,45.34
2014-01-10,15,45.94
2014-01-17,18,46.39
2014-01-24,15,45.48
2014-01-31,14,45.34
2014-02-07,14,45.37
2014-02-14,15,46.13
2014-02-21,15,45.60
2014-02-28,15,46.42
2014-03-07,16,47.95
2014-03-14,16,47.40
2014-03-21,16,49.12
2014-03-28,17,49.29
2014-04-04,15,49.56
2014-04-11,17,48.08
2014-04-18,18,
2014-04-25,15,49.05
2014-05-02,18,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
