Date,NI,Price
2009-05-01,55,11.24
2009-05-08,54,11.40
2009-05-15,56,10.64
2009-05-22,58,10.47
2009-05-29,55,10.69
2009-06-05,54,10.94
2009-06-12,60,11.55
2009-06-19,60,11.37
2009-06-26,56,11.46
2009-07-03,59,
2009-07-10,61,11.56
2009-07-17,60,12.28
2009-07-24,63,13.30
2009-07-31,64,12.89
2009-08-07,66,13.09
2009-08-14,65,13.10
2009-08-21,66,13.57
2009-08-28,64,13.44
2009-09-04,65,13.17
2009-09-11,66,13.13
2009-09-18,64,13.48
2009-09-25,64,13.68
2009-10-02,61,13.45
2009-10-09,64,13.98
2009-10-16,67,13.85
2009-10-23,66,13.36
2009-10-30,64,12.92
2009-11-06,66,13.37
2009-11-13,66,13.92
2009-11-20,67,13.74
2009-11-27,69,14.21
2009-12-04,66,14.97
2009-12-11,67,15.42
2009-12-18,66,15.46
2009-12-25,66,
2010-01-01,66,
2010-01-08,73,15.02
2010-01-15,72,15.29
2010-01-22,72,14.58
2010-01-29,70,14.25
2010-02-05,71,14.68
2010-02-12,71,14.64
2010-02-19,69,15.16
2010-02-26,71,15.02
2010-03-05,70,15.38
2010-03-12,72,15.49
2010-03-19,73,15.73
2010-03-26,73,15.78
2010-04-02,73,
2010-04-09,69,16.25
2010-04-16,68,16.32
2010-04-23,70,16.71
2010-04-30,70,16.30
2010-05-07,72,15.36
2010-05-14,69,15.80
2010-05-21,69,14.86
2010-05-28,67,14.96
2010-06-04,67,14.35
2010-06-11,67,15.06
2010-06-18,71,15.54
2010-06-25,74,14.91
2010-07-02,75,14.69
2010-07-09,70,15.84
2010-07-16,69,15.61
2010-07-23,72,16.49
2010-07-30,76,16.50
2010-08-06,74,16.80
2010-08-13,75,16.57
2010-08-20,72,16.50
2010-08-27,73,17.47
2010-09-03,71,17.91
2010-09-10,73,17.04
2010-09-17,71,16.93
2010-09-24,73,17.34
2010-10-01,74,17.58
2010-10-08,75,17.75
2010-10-15,73,17.78
2010-10-22,72,17.71
2010-10-29,70,17.31
2010-11-05,71,17.63
2010-11-12,73,17.19
2010-11-19,71,17.02
2010-11-26,73,17.00
2010-12-03,74,16.96
2010-12-10,76,17.28
2010-12-17,72,17.11
2010-12-24,68,
2010-12-31,76,17.62
2011-01-07,80,18.21
2011-01-14,79,18.57
2011-01-21,77,18.61
2011-01-28,79,18.61
2011-02-04,78,18.40
2011-02-11,78,18.96
2011-02-18,76,19.10
2011-02-25,79,18.95
2011-03-04,81,19.08
2011-03-11,82,18.93
2011-03-18,78,18.53
2011-03-25,79,18.80
2011-04-01,80,19.37
2011-04-08,79,18.98
2011-04-15,80,19.17
2011-04-22,79,
2011-04-29,74,19.45
2011-05-06,76,19.44
2011-05-13,79,20.36
2011-05-20,78,20.37
2011-05-27,76,20.24
2011-06-03,75,19.69
2011-06-10,78,19.40
2011-06-17,85,19.50
2011-06-24,84,19.48
2011-07-01,83,20.59
2011-07-08,85,20.60
2011-07-15,86,20.44
2011-07-22,81,21.06
2011-07-29,86,20.13
2011-08-05,88,19.55
2011-08-12,85,19.63
2011-08-19,87,20.24
2011-08-26,87,20.54
2011-09-02,83,20.91
2011-09-09,80,21.02
2011-09-16,81,22.18
2011-09-23,82,21.09
2011-09-30,81,21.38
2011-10-07,84,21.55
2011-10-14,82,21.75
2011-10-21,84,22.90
2011-10-28,80,22.52
2011-11-04,77,22.23
2011-11-11,81,22.47
2011-11-18,82,22.00
2011-11-25,81,21.35
2011-12-02,81,22.56
2011-12-09,79,22.25
2011-12-16,79,22.53
2011-12-23,74,23.42
2011-12-30,73,23.81
2012-01-06,81,23.00
2012-01-13,84,23.16
2012-01-20,79,22.84
2012-01-27,81,22.90
2012-02-03,81,23.01
2012-02-10,81,23.06
2012-02-17,80,23.79
2012-02-24,81,23.68
2012-03-02,82,23.69
2012-03-09,83,24.11
2012-03-16,82,23.61
2012-03-23,79,24.02
2012-03-30,75,24.35
2012-04-06,76,
2012-04-13,75,23.92
2012-04-20,76,24.41
2012-04-27,76,24.49
2012-05-04,75,24.92
2012-05-11,77,25.25
2012-05-18,79,24.43
2012-05-25,77,25.04
2012-06-01,79,24.72
2012-06-08,82,25.25
2012-06-15,82,25.34
2012-06-22,85,24.31
2012-06-29,82,24.75
2012-07-06,82,24.75
2012-07-13,83,25.15
2012-07-20,84,25.64
2012-07-27,88,25.60
2012-08-03,84,25.28
2012-08-10,80,25.17
2012-08-17,86,24.70
2012-08-24,85,24.14
2012-08-31,83,24.34
2012-09-07,84,25.30
2012-09-14,83,25.61
2012-09-21,82,25.50
2012-09-28,81,25.48
2012-10-05,81,25.73
2012-10-12,77,25.32
2012-10-19,78,25.42
2012-10-26,76,25.46
2012-11-02,75,25.22
2012-11-09,75,24.30
2012-11-16,79,23.89
2012-11-23,76,24.02
2012-11-30,75,24.17
2012-12-07,76,24.44
2012-12-14,76,24.15
2012-12-21,73,24.97
2012-12-28,69,24.63
2013-01-04,74,25.40
2013-01-11,82,25.76
2013-01-18,85,26.24
2013-01-25,99,26.66
2013-02-01,99,27.19
2013-02-08,100,26.92
2013-02-15,92,26.78
2013-02-22,86,27.20
2013-03-01,85,27.93
2013-03-08,84,28.29
2013-03-15,81,28.28
2013-03-22,81,28.39
2013-03-29,80,
2013-04-05,76,29.87
2013-04-12,78,30.63
2013-04-19,77,31.09
2013-04-26,78,30.82
2013-05-03,81,30.53
2013-05-10,78,28.74
2013-05-17,77,29.78
2013-05-24,79,28.77
2013-05-31,77,28.73
2013-06-07,80,28.53
2013-06-14,84,29.11
2013-06-21,83,28.06
2013-06-28,81,28.64
2013-07-05,80,28.62
2013-07-12,83,30.29
2013-07-19,87,30.99
2013-07-26,87,31.43
2013-08-02,88,31.09
2013-08-09,89,30.67
2013-08-16,89,29.81
2013-08-23,87,29.63
2013-08-30,85,29.26
2013-09-06,85,29.11
2013-09-13,83,29.95
2013-09-20,84,30.38
2013-09-27,83,30.67
2013-10-04,84,30.59
2013-10-11,84,30.79
2013-10-18,84,31.68
2013-10-25,77,32.32
2013-11-01,78,31.72
2013-11-08,81,31.32
2013-11-15,84,32.45
2013-11-22,80,31.86
2013-11-29,85,31.62
2013-12-06,82,31.56
2013-12-13,80,30.94
2013-12-20,79,32.86
2013-12-27,77,32.64
2014-01-03,83,32.46
2014-01-10,86,33.67
2014-01-17,86,33.89
2014-01-24,84,33.59
2014-01-31,88,34.37
2014-02-07,84,34.01
2014-02-14,85,35.17
2014-02-21,84,35.40
2014-02-28,86,34.82
2014-03-07,84,34.72
2014-03-14,82,35.31
2014-03-21,82,35.07
2014-03-28,80,35.35
2014-04-04,79,35.29
2014-04-11,80,34.74
2014-04-18,80,
2014-04-25,80,36.07
2014-05-02,84,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
