Date,COF,Price
2010-07-16,74,41.46
2010-07-23,67,40.84
2010-07-30,62,42.33
2010-08-06,58,40.92
2010-08-13,58,38.82
2010-08-20,57,37.78
2010-08-27,47,38.21
2010-09-03,50,40.69
2010-09-10,55,38.89
2010-09-17,61,38.67
2010-09-24,55,39.35
2010-10-01,63,39.30
2010-10-08,57,39.36
2010-10-15,57,36.86
2010-10-22,64,39.12
2010-10-29,66,37.27
2010-11-05,63,40.36
2010-11-12,64,39.27
2010-11-19,60,37.82
2010-11-26,53,37.00
2010-12-03,55,38.76
2010-12-10,52,42.21
2010-12-17,53,40.49
2010-12-24,48,
2010-12-31,47,42.56
2011-01-07,57,45.41
2011-01-14,58,48.38
2011-01-21,64,49.17
2011-01-28,62,48.24
2011-02-04,54,48.76
2011-02-11,59,52.06
2011-02-18,55,52.69
2011-02-25,58,49.99
2011-03-04,53,48.53
2011-03-11,49,49.57
2011-03-18,47,51.05
2011-03-25,54,52.23
2011-04-01,58,52.09
2011-04-08,54,51.65
2011-04-15,52,50.03
2011-04-22,56,
2011-04-29,54,54.73
2011-05-06,49,53.79
2011-05-13,48,52.34
2011-05-20,52,55.07
2011-05-27,55,54.04
2011-06-03,56,51.55
2011-06-10,56,49.54
2011-06-17,56,48.84
2011-06-24,49,49.51
2011-07-01,51,52.65
2011-07-08,56,53.71
2011-07-15,49,48.50
2011-07-22,55,49.64
2011-07-29,49,47.80
2011-08-05,55,42.80
2011-08-12,64,43.78
2011-08-19,59,41.30
2011-08-26,54,44.23
2011-09-02,55,42.28
2011-09-09,57,41.78
2011-09-16,61,42.97
2011-09-23,60,40.94
2011-09-30,62,39.63
2011-10-07,57,39.81
2011-10-14,55,42.06
2011-10-21,67,43.29
2011-10-28,59,46.90
2011-11-04,65,46.16
2011-11-11,59,45.02
2011-11-18,55,41.64
2011-11-25,56,40.02
2011-12-02,57,45.34
2011-12-09,59,46.07
2011-12-16,55,43.39
2011-12-23,62,43.10
2011-12-30,52,42.29
2012-01-06,58,45.16
2012-01-13,69,48.89
2012-01-20,58,46.03
2012-01-27,62,46.05
2012-02-03,65,49.30
2012-02-10,60,48.28
2012-02-17,56,48.83
2012-02-24,56,49.29
2012-03-02,59,49.89
2012-03-09,62,49.82
2012-03-16,62,54.50
2012-03-23,59,55.74
2012-03-30,58,55.74
2012-04-06,56,
2012-04-13,57,53.47
2012-04-20,60,53.85
2012-04-27,56,56.06
2012-05-04,55,54.52
2012-05-11,57,54.37
2012-05-18,57,49.13
2012-05-25,58,51.13
2012-06-01,52,48.40
2012-06-08,54,52.59
2012-06-15,58,53.81
2012-06-22,59,52.93
2012-06-29,55,54.66
2012-07-06,60,54.02
2012-07-13,56,54.42
2012-07-20,57,55.88
2012-07-27,59,57.60
2012-08-03,57,57.58
2012-08-10,61,56.10
2012-08-17,58,56.79
2012-08-24,51,56.87
2012-08-31,46,56.53
2012-09-07,55,57.41
2012-09-14,65,59.37
2012-09-21,69,57.26
2012-09-28,65,57.01
2012-10-05,61,59.00
2012-10-12,59,58.21
2012-10-19,59,60.75
2012-10-26,59,60.00
2012-11-02,57,61.40
2012-11-09,64,58.37
2012-11-16,57,55.70
2012-11-23,49,58.97
2012-11-30,56,57.60
2012-12-07,51,57.07
2012-12-14,52,56.83
2012-12-21,49,58.89
2012-12-28,41,57.10
2013-01-04,50,61.96
2013-01-11,64,61.99
2013-01-18,58,56.99
2013-01-25,68,56.32
2013-02-01,76,56.50
2013-02-08,86,57.27
2013-02-15,77,54.03
2013-02-22,87,52.28
2013-03-01,79,51.87
2013-03-08,73,54.20
2013-03-15,63,55.19
2013-03-22,61,54.10
2013-03-29,59,
2013-04-05,56,54.71
2013-04-12,60,54.66
2013-04-19,64,56.17
2013-04-26,58,57.15
2013-05-03,56,58.52
2013-05-10,60,59.51
2013-05-17,57,60.83
2013-05-24,55,61.13
2013-05-31,53,60.93
2013-06-07,57,62.33
2013-06-14,62,61.01
2013-06-21,70,61.36
2013-06-28,63,62.81
2013-07-05,67,65.66
2013-07-12,65,66.81
2013-07-19,73,69.14
2013-07-26,69,68.76
2013-08-02,68,69.59
2013-08-09,57,68.23
2013-08-16,59,67.16
2013-08-23,64,66.67
2013-08-30,62,64.55
2013-09-06,65,65.38
2013-09-13,55,67.49
2013-09-20,53,69.10
2013-09-27,58,68.92
2013-10-04,56,70.32
2013-10-11,55,71.91
2013-10-18,60,71.60
2013-10-25,59,70.38
2013-11-01,59,69.39
2013-11-08,67,69.59
2013-11-15,64,70.37
2013-11-22,54,69.61
2013-11-29,61,71.63
2013-12-06,54,72.60
2013-12-13,59,71.47
2013-12-20,57,74.73
2013-12-27,49,75.78
2014-01-03,55,77.34
2014-01-10,59,78.02
2014-01-17,64,72.39
2014-01-24,62,70.57
2014-01-31,59,70.61
2014-02-07,58,71.40
2014-02-14,57,72.40
2014-02-21,55,70.97
2014-02-28,50,73.43
2014-03-07,51,75.01
2014-03-14,51,72.19
2014-03-21,56,75.40
2014-03-28,57,76.09
2014-04-04,98,76.70
2014-04-11,54,74.04
2014-04-18,52,
2014-04-25,55,73.34
2014-05-02,56,
