Date,MAS,Price
2005-12-02,44,30.43
2005-12-09,42,29.52
2005-12-16,43,30.64
2005-12-23,43,30.02
2005-12-30,42,30.19
2006-01-06,38,30.40
2006-01-13,40,30.25
2006-01-20,42,29.38
2006-01-27,43,29.62
2006-02-03,42,29.61
2006-02-10,44,29.85
2006-02-17,44,31.22
2006-02-24,44,31.39
2006-03-03,42,30.90
2006-03-10,45,31.12
2006-03-17,46,32.24
2006-03-24,46,32.11
2006-03-31,46,32.49
2006-04-07,47,32.60
2006-04-14,42,
2006-04-21,49,32.75
2006-04-28,49,31.90
2006-05-05,49,32.76
2006-05-12,50,32.40
2006-05-19,48,30.81
2006-05-26,51,30.94
2006-06-02,53,31.49
2006-06-09,52,28.97
2006-06-16,52,28.40
2006-06-23,49,28.35
2006-06-30,48,29.64
2006-07-07,48,27.95
2006-07-14,49,27.07
2006-07-21,49,26.00
2006-07-28,49,26.89
2006-08-04,48,27.36
2006-08-11,46,26.53
2006-08-18,49,27.33
2006-08-25,50,26.75
2006-09-01,49,27.74
2006-09-08,49,27.02
2006-09-15,48,28.23
2006-09-22,47,26.61
2006-09-29,50,27.42
2006-10-06,50,27.54
2006-10-13,48,27.38
2006-10-20,48,27.83
2006-10-27,48,28.36
2006-11-03,48,27.08
2006-11-10,49,27.87
2006-11-17,48,28.97
2006-11-24,48,28.70
2006-12-01,47,28.76
2006-12-08,46,29.96
2006-12-15,46,29.28
2006-12-22,46,29.25
2006-12-29,46,29.87
2007-01-05,43,29.25
2007-01-12,43,30.28
2007-01-19,44,31.88
2007-01-26,46,30.90
2007-02-02,46,33.93
2007-02-09,46,31.97
2007-02-16,46,31.17
2007-02-23,50,30.54
2007-03-02,48,28.92
2007-03-09,49,28.15
2007-03-16,49,27.52
2007-03-23,49,27.98
2007-03-30,49,27.40
2007-04-06,43,
2007-04-13,49,26.87
2007-04-20,49,27.61
2007-04-27,52,27.82
2007-05-04,50,30.50
2007-05-11,52,29.59
2007-05-18,54,29.64
2007-05-25,56,29.89
2007-06-01,55,29.44
2007-06-08,56,28.70
2007-06-15,53,29.31
2007-06-22,50,28.34
2007-06-29,52,28.47
2007-07-06,53,28.69
2007-07-13,51,28.38
2007-07-20,52,27.53
2007-07-27,50,25.88
2007-08-03,51,26.96
2007-08-10,52,25.78
2007-08-17,52,26.30
2007-08-24,56,26.85
2007-08-31,55,26.02
2007-09-07,54,25.04
2007-09-14,54,24.77
2007-09-21,54,23.87
2007-09-28,55,23.17
2007-10-05,54,24.66
2007-10-12,55,23.41
2007-10-19,53,22.37
2007-10-26,53,23.07
2007-11-02,53,23.59
2007-11-09,52,23.17
2007-11-16,53,23.34
2007-11-23,61,21.65
2007-11-30,60,22.40
2007-12-07,57,23.93
2007-12-14,50,21.97
2007-12-21,50,21.92
2007-12-28,52,21.63
2008-01-04,49,19.77
2008-01-11,50,19.65
2008-01-18,53,18.85
2008-01-25,54,21.40
2008-02-01,53,23.33
2008-02-08,53,21.06
2008-02-15,52,19.15
2008-02-22,55,19.27
2008-02-29,56,18.69
2008-03-07,55,18.54
2008-03-14,56,18.25
2008-03-21,52,
2008-03-28,56,19.28
2008-04-04,58,19.95
2008-04-11,60,19.03
2008-04-18,60,20.14
2008-04-25,63,19.17
2008-05-02,59,18.60
2008-05-09,61,18.20
2008-05-16,62,19.47
2008-05-23,62,17.86
2008-05-30,61,18.54
2008-06-06,60,17.18
2008-06-13,63,17.74
2008-06-20,64,16.65
2008-06-27,60,15.92
2008-07-04,60,
2008-07-11,59,14.48
2008-07-18,61,16.38
2008-07-25,60,15.83
2008-08-01,60,16.64
2008-08-08,62,17.92
2008-08-15,62,18.65
2008-08-22,63,18.29
2008-08-29,66,19.06
2008-09-05,65,18.26
2008-09-12,63,19.15
2008-09-19,61,19.28
2008-09-26,65,18.98
2008-10-03,64,16.13
2008-10-10,64,13.18
2008-10-17,63,13.08
2008-10-24,64,10.29
2008-10-31,64,10.15
2008-11-07,62,8.80
2008-11-14,63,7.69
2008-11-21,62,7.44
2008-11-28,65,9.58
2008-12-05,60,10.18
2008-12-12,59,10.21
2008-12-19,57,11.67
2008-12-26,59,10.62
2009-01-02,57,11.37
2009-01-09,56,11.30
2009-01-16,59,10.36
2009-01-23,62,9.04
2009-01-30,61,7.82
2009-02-06,62,8.13
2009-02-13,62,6.44
2009-02-20,64,5.66
2009-02-27,64,5.15
2009-03-06,66,3.90
2009-03-13,68,5.09
2009-03-20,70,6.60
2009-03-27,69,7.40
2009-04-03,70,7.66
2009-04-10,64,
2009-04-17,70,8.65
2009-04-24,74,10.09
2009-05-01,73,8.99
2009-05-08,73,10.84
2009-05-15,73,9.54
2009-05-22,76,9.96
2009-05-29,76,10.36
2009-06-05,74,10.71
2009-06-12,75,9.93
2009-06-19,74,9.07
2009-06-26,71,9.41
2009-07-03,71,
2009-07-10,73,8.35
2009-07-17,73,9.68
2009-07-24,72,11.05
2009-07-31,73,13.93
2009-08-07,73,15.13
2009-08-14,74,14.11
2009-08-21,77,14.36
2009-08-28,79,14.51
2009-09-04,82,13.08
2009-09-11,79,14.18
2009-09-18,74,14.13
2009-09-25,79,12.83
2009-10-02,79,12.10
2009-10-09,75,12.88
2009-10-16,74,13.70
2009-10-23,74,13.54
2009-10-30,75,11.75
2009-11-06,73,12.60
2009-11-13,76,14.01
2009-11-20,73,14.04
2009-11-27,78,13.53
2009-12-04,74,14.60
2009-12-11,70,13.55
2009-12-18,70,13.39
2009-12-25,70,
2010-01-01,71,
2010-01-08,69,15.58
2010-01-15,72,15.00
2010-01-22,73,13.91
2010-01-29,71,13.56
2010-02-05,74,14.14
2010-02-12,76,13.81
2010-02-19,75,13.60
2010-02-26,74,13.37
2010-03-05,75,14.39
2010-03-12,78,15.17
2010-03-19,78,15.00
2010-03-26,83,15.19
2010-04-02,71,
2010-04-09,81,16.10
2010-04-16,81,16.96
2010-04-23,83,18.35
2010-04-30,85,16.23
2010-05-07,82,13.66
2010-05-14,83,14.74
2010-05-21,85,13.74
2010-05-28,88,13.35
2010-06-04,85,12.40
2010-06-11,84,12.36
2010-06-18,80,12.32
2010-06-25,78,11.81
2010-07-02,78,10.70
2010-07-09,75,11.51
2010-07-16,75,10.47
2010-07-23,78,11.42
2010-07-30,79,10.28
2010-08-06,76,10.94
2010-08-13,76,10.48
2010-08-20,78,10.56
2010-08-27,80,10.68
2010-09-03,78,11.43
2010-09-10,80,10.93
2010-09-17,75,10.94
2010-09-24,77,11.00
2010-10-01,78,11.18
2010-10-08,79,12.06
2010-10-15,78,11.01
2010-10-22,78,10.95
2010-10-29,79,10.66
2010-11-05,76,11.56
2010-11-12,81,11.36
2010-11-19,80,11.03
2010-11-26,78,10.72
2010-12-03,74,11.99
2010-12-10,73,13.53
2010-12-17,71,13.06
2010-12-24,75,
2010-12-31,72,12.66
2011-01-07,73,13.77
2011-01-14,77,14.00
2011-01-21,79,13.28
2011-01-28,79,13.29
2011-02-04,78,14.02
2011-02-11,80,14.17
2011-02-18,80,13.30
2011-02-25,78,13.19
2011-03-04,76,13.31
2011-03-11,80,13.87
2011-03-18,83,13.95
2011-03-25,87,14.17
2011-04-01,85,14.12
2011-04-08,88,13.41
2011-04-15,85,13.18
2011-04-22,78,
2011-04-29,84,13.42
2011-05-06,85,13.36
2011-05-13,88,13.22
2011-05-20,88,14.25
2011-05-27,88,14.29
2011-06-03,88,13.30
2011-06-10,86,11.81
2011-06-17,84,12.13
2011-06-24,83,12.01
2011-07-01,83,12.46
2011-07-08,81,11.92
2011-07-15,83,11.37
2011-07-22,82,11.42
2011-07-29,82,10.55
2011-08-05,86,9.18
2011-08-12,84,8.56
2011-08-19,86,7.56
2011-08-26,89,8.05
2011-09-02,89,7.98
2011-09-09,88,7.80
2011-09-16,87,7.97
2011-09-23,89,7.14
2011-09-30,88,7.12
2011-10-07,86,7.49
2011-10-14,84,8.47
2011-10-21,86,9.00
2011-10-28,86,9.88
2011-11-04,81,9.39
2011-11-11,84,9.55
2011-11-18,85,9.01
2011-11-25,83,8.42
2011-12-02,83,9.32
2011-12-09,80,9.39
2011-12-16,80,9.16
2011-12-23,80,10.20
2011-12-30,81,10.48
2012-01-06,74,11.40
2012-01-13,80,12.09
2012-01-20,80,12.41
2012-01-27,81,12.33
2012-02-03,81,12.92
2012-02-10,81,12.72
2012-02-17,81,12.10
2012-02-24,79,11.57
2012-03-02,82,11.56
2012-03-09,85,12.11
2012-03-16,82,13.38
2012-03-23,85,13.58
2012-03-30,82,13.37
2012-04-06,76,
2012-04-13,84,12.14
2012-04-20,83,12.00
2012-04-27,83,13.44
2012-05-04,84,14.40
2012-05-11,83,13.97
2012-05-18,85,11.85
2012-05-25,86,12.60
2012-06-01,88,12.04
2012-06-08,85,13.50
2012-06-15,85,13.60
2012-06-22,85,12.76
2012-06-29,83,13.87
2012-07-06,81,14.16
2012-07-13,83,14.05
2012-07-20,81,14.15
2012-07-27,86,13.30
2012-08-03,85,12.71
2012-08-10,85,12.97
2012-08-17,84,13.89
2012-08-24,90,14.13
2012-08-31,89,14.16
2012-09-07,88,14.15
2012-09-14,88,15.80
2012-09-21,88,16.25
2012-09-28,89,15.05
2012-10-05,89,15.97
2012-10-12,86,14.30
2012-10-19,88,15.04
2012-10-26,88,14.60
2012-11-02,84,15.89
2012-11-09,85,15.29
2012-11-16,84,14.92
2012-11-23,84,16.90
2012-11-30,81,16.96
2012-12-07,78,15.99
2012-12-14,80,16.12
2012-12-21,76,16.27
2012-12-28,80,16.04
2013-01-04,77,17.47
2013-01-11,78,17.69
2013-01-18,80,17.78
2013-01-25,82,18.36
2013-02-01,81,18.55
2013-02-08,82,17.79
2013-02-15,81,20.00
2013-02-22,81,18.92
2013-03-01,82,19.22
2013-03-08,85,19.94
2013-03-15,86,19.96
2013-03-22,85,20.60
2013-03-29,81,
2013-04-05,87,19.28
2013-04-12,87,20.11
2013-04-19,88,19.27
2013-04-26,87,20.62
2013-05-03,88,21.60
2013-05-10,90,21.56
2013-05-17,89,22.74
2013-05-24,90,22.14
2013-05-31,91,21.02
2013-06-07,89,20.21
2013-06-14,91,20.79
2013-06-21,88,19.06
2013-06-28,86,19.49
2013-07-05,85,19.79
2013-07-12,90,20.75
2013-07-19,89,20.89
2013-07-26,87,19.84
2013-08-02,86,21.55
2013-08-09,86,19.90
2013-08-16,91,19.02
2013-08-23,90,19.35
2013-08-30,91,18.92
2013-09-06,90,19.63
2013-09-13,87,20.81
2013-09-20,84,21.99
2013-09-27,91,21.12
2013-10-04,87,20.96
2013-10-11,90,20.55
2013-10-18,91,19.98
2013-10-25,88,20.99
2013-11-01,87,21.02
2013-11-08,87,20.35
2013-11-15,91,21.20
2013-11-22,89,21.79
2013-11-29,86,22.42
2013-12-06,81,21.64
2013-12-13,82,21.28
2013-12-20,80,21.69
2013-12-27,80,22.47
2014-01-03,78,23.16
2014-01-10,84,23.46
2014-01-17,86,22.10
2014-01-24,87,21.45
2014-01-31,88,21.16
2014-02-07,86,22.02
2014-02-14,87,22.46
2014-02-21,87,22.44
2014-02-28,85,23.35
2014-03-07,94,23.38
2014-03-14,100,22.76
2014-03-21,91,21.89
2014-03-28,92,22.04
2014-04-04,91,22.71
2014-04-11,87,21.35
2014-04-18,87,
2014-04-25,94,20.78
2014-05-02,91,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
