Date,CAM,Price
2009-01-16,72,22.58
2009-01-23,70,22.83
2009-01-30,74,23.16
2009-02-06,78,23.26
2009-02-13,70,21.80
2009-02-20,71,19.32
2009-02-27,70,19.28
2009-03-06,74,18.36
2009-03-13,68,20.54
2009-03-20,70,22.59
2009-03-27,72,23.32
2009-04-03,72,23.52
2009-04-10,73,
2009-04-17,72,25.45
2009-04-24,69,26.59
2009-05-01,69,26.28
2009-05-08,70,30.50
2009-05-15,70,27.55
2009-05-22,70,29.53
2009-05-29,71,31.23
2009-06-05,72,30.27
2009-06-12,68,31.43
2009-06-19,70,28.18
2009-06-26,69,28.90
2009-07-03,72,
2009-07-10,74,26.42
2009-07-17,73,29.17
2009-07-24,73,31.85
2009-07-31,73,31.23
2009-08-07,75,34.19
2009-08-14,71,33.53
2009-08-21,72,36.66
2009-08-28,71,36.64
2009-09-04,72,35.98
2009-09-11,69,37.33
2009-09-18,67,38.77
2009-09-25,69,36.91
2009-10-02,67,35.92
2009-10-09,67,39.51
2009-10-16,68,41.59
2009-10-23,67,40.16
2009-10-30,68,36.97
2009-11-06,69,39.24
2009-11-13,71,40.06
2009-11-20,70,37.48
2009-11-27,72,37.24
2009-12-04,76,37.35
2009-12-11,77,37.95
2009-12-18,86,39.88
2009-12-25,94,
2010-01-01,96,
2010-01-08,91,44.86
2010-01-15,77,41.65
2010-01-22,79,39.08
2010-01-29,77,37.66
2010-02-05,81,37.31
2010-02-12,83,40.86
2010-02-19,76,41.94
2010-02-26,83,41.13
2010-03-05,79,44.43
2010-03-12,82,44.65
2010-03-19,78,41.81
2010-03-26,78,41.10
2010-04-02,82,
2010-04-09,82,45.23
2010-04-16,78,44.75
2010-04-23,76,47.31
2010-04-30,75,39.46
2010-05-07,77,35.58
2010-05-14,76,37.30
2010-05-21,76,35.84
2010-05-28,81,36.20
2010-06-04,81,33.23
2010-06-11,78,36.43
2010-06-18,77,37.97
2010-06-25,78,35.55
2010-07-02,79,32.53
2010-07-09,78,35.20
2010-07-16,78,34.75
2010-07-23,79,38.58
2010-07-30,78,39.59
2010-08-06,80,39.07
2010-08-13,80,37.94
2010-08-20,78,36.84
2010-08-27,81,37.97
2010-09-03,82,38.92
2010-09-10,77,40.22
2010-09-17,74,39.54
2010-09-24,74,42.07
2010-10-01,76,43.63
2010-10-08,79,43.49
2010-10-15,79,43.09
2010-10-22,78,42.92
2010-10-29,80,43.75
2010-11-05,84,46.13
2010-11-12,88,44.23
2010-11-19,87,48.69
2010-11-26,94,47.48
2010-12-03,92,51.36
2010-12-10,89,49.35
2010-12-17,95,49.54
2010-12-24,97,
2010-12-31,100,50.73
2011-01-07,87,48.68
2011-01-14,92,52.23
2011-01-21,81,50.28
2011-01-28,78,52.48
2011-02-04,80,57.01
2011-02-11,76,56.54
2011-02-18,78,59.18
2011-02-25,81,59.72
2011-03-04,83,61.98
2011-03-11,85,59.04
2011-03-18,78,59.10
2011-03-25,77,59.08
2011-04-01,84,56.64
2011-04-08,95,55.49
2011-04-15,87,53.35
2011-04-22,88,
2011-04-29,93,52.72
2011-05-06,81,48.07
2011-05-13,82,49.65
2011-05-20,82,48.16
2011-05-27,81,47.37
2011-06-03,82,46.27
2011-06-10,78,44.78
2011-06-17,81,46.11
2011-06-24,79,45.70
2011-07-01,81,50.43
2011-07-08,79,51.15
2011-07-15,79,50.61
2011-07-22,79,52.94
2011-07-29,81,55.94
2011-08-05,79,47.89
2011-08-12,78,47.93
2011-08-19,80,44.42
2011-08-26,86,48.76
2011-09-02,84,49.63
2011-09-09,75,48.28
2011-09-16,83,52.43
2011-09-23,79,43.74
2011-09-30,77,41.54
2011-10-07,80,45.46
2011-10-14,77,49.68
2011-10-21,78,49.75
2011-10-28,80,51.78
2011-11-04,81,50.97
2011-11-11,79,52.19
2011-11-18,79,49.32
2011-11-25,79,46.29
2011-12-02,81,52.87
2011-12-09,82,53.02
2011-12-16,83,47.55
2011-12-23,86,49.63
2011-12-30,95,49.19
2012-01-06,87,49.87
2012-01-13,78,51.23
2012-01-20,78,53.35
2012-01-27,74,53.45
2012-02-03,87,55.83
2012-02-10,83,56.50
2012-02-17,78,56.09
2012-02-24,76,56.85
2012-03-02,79,55.44
2012-03-09,80,54.26
2012-03-16,74,52.94
2012-03-23,76,51.78
2012-03-30,77,52.83
2012-04-06,79,
2012-04-13,80,50.81
2012-04-20,79,49.00
2012-04-27,77,51.28
2012-05-04,81,48.73
2012-05-11,82,48.56
2012-05-18,78,44.71
2012-05-25,78,47.94
2012-06-01,82,44.54
2012-06-08,81,45.97
2012-06-15,80,44.75
2012-06-22,78,41.11
2012-06-29,80,42.71
2012-07-06,81,42.82
2012-07-13,79,43.62
2012-07-20,80,45.66
2012-07-27,82,51.82
2012-08-03,79,52.09
2012-08-10,80,52.29
2012-08-17,80,53.92
2012-08-24,81,53.71
2012-08-31,85,54.71
2012-09-07,79,56.02
2012-09-14,77,58.99
2012-09-21,81,57.73
2012-09-28,79,56.07
2012-10-05,79,54.93
2012-10-12,77,53.22
2012-10-19,79,55.21
2012-10-26,78,51.24
2012-11-02,100,49.71
2012-11-09,78,50.97
2012-11-16,78,52.27
2012-11-23,79,54.47
2012-11-30,83,53.95
2012-12-07,83,55.09
2012-12-14,84,53.21
2012-12-21,86,56.28
2012-12-28,91,54.18
2013-01-04,86,58.52
2013-01-11,76,57.55
2013-01-18,82,58.90
2013-01-25,82,60.72
2013-02-01,78,65.46
2013-02-08,80,65.41
2013-02-15,77,64.58
2013-02-22,78,63.95
2013-03-01,80,62.85
2013-03-08,81,65.45
2013-03-15,80,66.66
2013-03-22,80,63.19
2013-03-29,83,
2013-04-05,78,61.46
2013-04-12,76,62.64
2013-04-19,74,59.19
2013-04-26,75,60.40
2013-05-03,80,63.21
2013-05-10,78,63.36
2013-05-17,74,64.47
2013-05-24,77,62.65
2013-05-31,78,60.87
2013-06-07,76,62.55
2013-06-14,78,62.10
2013-06-21,76,61.53
2013-06-28,76,61.16
2013-07-05,77,63.16
2013-07-12,76,64.70
2013-07-19,78,65.76
2013-07-26,80,57.18
2013-08-02,80,58.91
2013-08-09,79,57.51
2013-08-16,79,55.99
2013-08-23,77,56.84
2013-08-30,79,56.79
2013-09-06,77,58.40
2013-09-13,77,57.93
2013-09-20,75,60.21
2013-09-27,77,59.01
2013-10-04,77,61.52
2013-10-11,76,63.36
2013-10-18,78,65.11
2013-10-25,77,53.25
2013-11-01,79,54.64
2013-11-08,76,54.65
2013-11-15,80,55.96
2013-11-22,82,55.50
2013-11-29,84,55.39
2013-12-06,83,55.98
2013-12-13,83,56.09
2013-12-20,84,58.71
2013-12-27,90,59.50
2014-01-03,88,58.35
2014-01-10,82,59.47
2014-01-17,82,58.69
2014-01-24,78,57.97
2014-01-31,78,59.97
2014-02-07,77,58.65
2014-02-14,79,61.07
2014-02-21,76,61.83
2014-02-28,79,64.06
2014-03-07,79,63.00
2014-03-14,72,61.92
2014-03-21,72,62.85
2014-03-28,74,61.46
2014-04-04,72,63.97
2014-04-11,70,60.66
2014-04-18,76,
2014-04-25,76,64.60
2014-05-02,78,
