Date,M&T Bank Corp.,Price
2012-09-21,93,94.99
2012-09-28,92,95.16
2012-10-05,90,98.51
2012-10-12,89,96.32
2012-10-19,86,103.70
2012-10-26,97,103.44
2012-11-02,87,103.55
2012-11-09,91,99.09
2012-11-16,93,97.10
2012-11-23,91,99.67
2012-11-30,90,97.73
2012-12-07,91,97.64
2012-12-14,90,97.91
2012-12-21,91,99.86
2012-12-28,88,97.55
2013-01-04,89,102.80
2013-01-11,88,103.24
2013-01-18,86,103.29
2013-01-25,86,103.99
2013-02-01,89,103.92
2013-02-08,86,104.39
2013-02-15,85,104.83
2013-02-22,87,104.73
2013-03-01,87,102.66
2013-03-08,86,103.96
2013-03-15,89,104.35
2013-03-22,87,103.12
2013-03-29,89,
2013-04-05,88,101.20
2013-04-12,90,100.24
2013-04-19,88,98.75
2013-04-26,89,99.82
2013-05-03,88,100.77
2013-05-10,90,103.52
2013-05-17,87,105.94
2013-05-24,86,104.71
2013-05-31,85,104.90
2013-06-07,87,103.74
2013-06-14,88,102.51
2013-06-21,86,106.25
2013-06-28,86,111.75
2013-07-05,84,116.40
2013-07-12,85,117.78
2013-07-19,88,118.23
2013-07-26,85,117.25
2013-08-02,84,119.12
2013-08-09,82,117.67
2013-08-16,86,116.77
2013-08-23,85,118.26
2013-08-30,90,113.34
2013-09-06,87,114.98
2013-09-13,92,111.93
2013-09-20,92,111.53
2013-09-27,92,112.08
2013-10-04,91,112.83
2013-10-11,89,114.45
2013-10-18,92,114.80
2013-10-25,92,112.55
2013-11-01,93,111.90
2013-11-08,88,113.87
2013-11-15,95,113.23
2013-11-22,95,116.12
2013-11-29,94,115.36
2013-12-06,95,114.30
2013-12-13,92,113.75
2013-12-20,91,114.34
2013-12-27,92,116.07
2014-01-03,89,115.21
2014-01-10,88,116.00
2014-01-17,90,111.99
2014-01-24,88,111.27
2014-01-31,91,111.51
2014-02-07,91,113.00
2014-02-14,89,114.06
2014-02-21,90,113.51
2014-02-28,92,116.59
2014-03-07,92,119.38
2014-03-14,94,117.43
2014-03-21,92,121.13
2014-03-28,94,120.44
2014-04-04,93,120.55
2014-04-11,93,118.22
2014-04-18,92,
2014-04-25,94,122.24
2014-05-02,91,
