Date,TE,Price
2008-08-15,54,17.28
2008-08-22,53,17.34
2008-08-29,54,17.84
2008-09-05,54,16.17
2008-09-12,54,16.95
2008-09-19,53,17.22
2008-09-26,55,16.84
2008-10-03,55,14.82
2008-10-10,53,12.30
2008-10-17,54,13.96
2008-10-24,55,13.54
2008-10-31,53,11.54
2008-11-07,53,11.99
2008-11-14,55,12.08
2008-11-21,54,11.78
2008-11-28,55,13.00
2008-12-05,52,11.36
2008-12-12,55,12.11
2008-12-19,53,11.96
2008-12-26,56,11.62
2009-01-02,56,12.71
2009-01-09,52,12.01
2009-01-16,53,12.09
2009-01-23,53,11.89
2009-01-30,56,12.01
2009-02-06,55,12.50
2009-02-13,56,11.26
2009-02-20,56,9.71
2009-02-27,55,9.59
2009-03-06,57,9.27
2009-03-13,57,10.12
2009-03-20,58,11.00
2009-03-27,58,11.05
2009-04-03,57,11.09
2009-04-10,58,
2009-04-17,59,10.60
2009-04-24,60,10.50
2009-05-01,60,11.27
2009-05-08,60,12.20
2009-05-15,62,11.09
2009-05-22,61,10.91
2009-05-29,62,11.22
2009-06-05,62,11.51
2009-06-12,61,12.04
2009-06-19,61,11.96
2009-06-26,61,11.73
2009-07-03,58,
2009-07-10,61,11.27
2009-07-17,61,12.09
2009-07-24,61,12.92
2009-07-31,64,13.49
2009-08-07,66,13.33
2009-08-14,64,13.05
2009-08-21,66,13.59
2009-08-28,66,13.43
2009-09-04,64,13.28
2009-09-11,64,13.20
2009-09-18,63,14.07
2009-09-25,67,14.07
2009-10-02,65,13.59
2009-10-09,65,14.32
2009-10-16,63,14.40
2009-10-23,64,14.24
2009-10-30,64,14.34
2009-11-06,62,14.64
2009-11-13,62,14.65
2009-11-20,63,14.54
2009-11-27,66,14.53
2009-12-04,63,15.34
2009-12-11,62,15.88
2009-12-18,61,16.20
2009-12-25,63,
2010-01-01,65,
2010-01-08,62,16.21
2010-01-15,63,16.32
2010-01-22,64,15.57
2010-01-29,62,15.57
2010-02-05,64,14.93
2010-02-12,63,14.90
2010-02-19,65,15.64
2010-02-26,64,15.33
2010-03-05,65,15.79
2010-03-12,67,15.86
2010-03-19,68,15.90
2010-03-26,69,15.75
2010-04-02,69,
2010-04-09,70,16.21
2010-04-16,70,16.34
2010-04-23,71,17.00
2010-04-30,72,16.93
2010-05-07,76,15.48
2010-05-14,76,16.02
2010-05-21,75,15.04
2010-05-28,76,15.55
2010-06-04,77,14.97
2010-06-11,76,15.65
2010-06-18,75,16.19
2010-06-25,73,15.60
2010-07-02,72,15.11
2010-07-09,72,16.15
2010-07-16,71,16.09
2010-07-23,74,16.66
2010-07-30,77,16.34
2010-08-06,75,17.17
2010-08-13,75,16.14
2010-08-20,76,16.41
2010-08-27,75,17.09
2010-09-03,73,17.45
2010-09-10,76,17.05
2010-09-17,74,16.96
2010-09-24,72,17.48
2010-10-01,72,17.50
2010-10-08,73,17.62
2010-10-15,73,17.53
2010-10-22,73,17.75
2010-10-29,74,17.59
2010-11-05,75,17.59
2010-11-12,74,16.97
2010-11-19,73,16.95
2010-11-26,74,16.88
2010-12-03,70,17.02
2010-12-10,73,16.98
2010-12-17,71,17.49
2010-12-24,73,
2010-12-31,74,17.80
2011-01-07,73,18.09
2011-01-14,73,18.20
2011-01-21,74,18.14
2011-01-28,73,18.25
2011-02-04,73,18.25
2011-02-11,74,17.79
2011-02-18,76,17.80
2011-02-25,76,17.92
2011-03-04,73,18.07
2011-03-11,72,18.14
2011-03-18,71,17.74
2011-03-25,75,18.25
2011-04-01,77,18.86
2011-04-08,75,18.97
2011-04-15,78,18.86
2011-04-22,74,
2011-04-29,77,19.27
2011-05-06,76,19.27
2011-05-13,79,19.15
2011-05-20,77,19.11
2011-05-27,79,19.06
2011-06-03,78,18.56
2011-06-10,77,18.44
2011-06-17,79,18.61
2011-06-24,78,18.50
2011-07-01,74,19.16
2011-07-08,77,19.17
2011-07-15,76,18.68
2011-07-22,78,19.25
2011-07-29,80,18.53
2011-08-05,82,17.18
2011-08-12,83,16.91
2011-08-19,85,17.15
2011-08-26,85,17.75
2011-09-02,83,17.71
2011-09-09,84,17.51
2011-09-16,83,18.49
2011-09-23,83,17.04
2011-09-30,83,17.13
2011-10-07,82,17.09
2011-10-14,83,17.86
2011-10-21,83,18.07
2011-10-28,87,18.81
2011-11-04,87,19.01
2011-11-11,87,18.82
2011-11-18,87,18.28
2011-11-25,89,17.51
2011-12-02,90,18.42
2011-12-09,91,18.46
2011-12-16,95,18.33
2011-12-23,96,19.09
2011-12-30,97,19.14
2012-01-06,96,18.94
2012-01-13,98,18.60
2012-01-20,100,18.30
2012-01-27,100,18.36
2012-02-03,97,18.28
2012-02-10,96,17.65
2012-02-17,94,18.10
2012-02-24,91,18.11
2012-03-02,92,17.94
2012-03-09,94,17.78
2012-03-16,90,17.75
2012-03-23,90,17.53
2012-03-30,86,17.55
2012-04-06,85,
2012-04-13,88,17.18
2012-04-20,87,17.85
2012-04-27,84,17.94
2012-05-04,85,17.85
2012-05-11,84,17.81
2012-05-18,82,17.23
2012-05-25,81,17.35
2012-06-01,81,17.20
2012-06-08,81,17.74
2012-06-15,80,18.13
2012-06-22,80,17.83
2012-06-29,81,18.06
2012-07-06,80,18.17
2012-07-13,80,18.29
2012-07-20,80,18.24
2012-07-27,80,18.22
2012-08-03,85,17.98
2012-08-10,81,17.94
2012-08-17,85,17.88
2012-08-24,84,17.61
2012-08-31,83,17.36
2012-09-07,86,17.54
2012-09-14,83,17.46
2012-09-21,83,17.51
2012-09-28,84,17.74
2012-10-05,83,17.55
2012-10-12,78,17.52
2012-10-19,80,17.89
2012-10-26,81,17.61
2012-11-02,78,17.82
2012-11-09,78,16.92
2012-11-16,77,16.51
2012-11-23,77,16.21
2012-11-30,77,16.81
2012-12-07,76,16.84
2012-12-14,74,16.60
2012-12-21,74,17.03
2012-12-28,75,16.56
2013-01-04,73,17.18
2013-01-11,74,17.14
2013-01-18,76,17.02
2013-01-25,79,17.19
2013-02-01,74,17.77
2013-02-08,74,17.05
2013-02-15,75,16.90
2013-02-22,74,17.12
2013-03-01,77,17.35
2013-03-08,77,17.32
2013-03-15,75,17.44
2013-03-22,79,17.35
2013-03-29,80,
2013-04-05,78,18.16
2013-04-12,78,18.45
2013-04-19,78,18.47
2013-04-26,80,18.83
2013-05-03,79,18.94
2013-05-10,81,18.63
2013-05-17,80,18.98
2013-05-24,78,18.29
2013-05-31,81,17.61
2013-06-07,78,17.50
2013-06-14,79,17.33
2013-06-21,78,16.76
2013-06-28,78,17.19
2013-07-05,78,16.71
2013-07-12,78,17.56
2013-07-19,81,17.83
2013-07-26,80,17.66
2013-08-02,79,17.78
2013-08-09,79,17.91
2013-08-16,81,16.71
2013-08-23,79,16.80
2013-08-30,79,16.53
2013-09-06,76,16.59
2013-09-13,77,16.35
2013-09-20,77,16.71
2013-09-27,79,16.51
2013-10-04,79,16.50
2013-10-11,79,16.99
2013-10-18,79,17.17
2013-10-25,79,17.61
2013-11-01,77,17.34
2013-11-08,78,17.07
2013-11-15,76,17.42
2013-11-22,79,17.16
2013-11-29,76,17.04
2013-12-06,73,17.34
2013-12-13,74,16.81
2013-12-20,73,17.04
2013-12-27,74,17.14
2014-01-03,75,16.96
2014-01-10,74,17.14
2014-01-17,78,16.91
2014-01-24,79,16.69
2014-01-31,78,16.38
2014-02-07,75,16.31
2014-02-14,81,16.65
2014-02-21,76,16.70
2014-02-28,77,16.78
2014-03-07,78,16.34
2014-03-14,77,16.93
2014-03-21,77,16.69
2014-03-28,78,16.97
2014-04-04,77,17.14
2014-04-11,78,17.22
2014-04-18,78,
2014-04-25,78,18.38
2014-05-02,79,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
