Date,KEY,Price
2007-01-26,31,38.00
2007-02-02,32,38.77
2007-02-09,32,39.05
2007-02-16,30,39.50
2007-02-23,31,39.08
2007-03-02,31,37.60
2007-03-09,30,37.94
2007-03-16,31,36.89
2007-03-23,30,38.55
2007-03-30,30,37.47
2007-04-06,31,
2007-04-13,30,37.55
2007-04-20,28,36.74
2007-04-27,29,36.10
2007-05-04,30,36.34
2007-05-11,30,36.64
2007-05-18,30,36.83
2007-05-25,31,35.72
2007-06-01,30,36.23
2007-06-08,30,35.44
2007-06-15,28,36.06
2007-06-22,28,34.99
2007-06-29,28,34.33
2007-07-06,29,34.93
2007-07-13,29,35.29
2007-07-20,29,36.20
2007-07-27,29,34.99
2007-08-03,30,33.34
2007-08-10,29,33.29
2007-08-17,30,34.43
2007-08-24,28,34.39
2007-08-31,29,33.30
2007-09-07,28,32.31
2007-09-14,29,32.85
2007-09-21,29,33.70
2007-09-28,31,32.33
2007-10-05,31,33.77
2007-10-12,30,33.04
2007-10-19,29,28.69
2007-10-26,28,28.55
2007-11-02,31,26.27
2007-11-09,29,26.50
2007-11-16,30,25.50
2007-11-23,34,25.05
2007-11-30,37,26.34
2007-12-07,36,25.28
2007-12-14,31,22.67
2007-12-21,31,23.46
2007-12-28,34,23.65
2008-01-04,34,21.84
2008-01-11,32,23.23
2008-01-18,31,21.10
2008-01-25,31,25.03
2008-02-01,31,26.42
2008-02-08,32,24.65
2008-02-15,31,24.34
2008-02-22,31,23.95
2008-02-29,30,22.05
2008-03-07,30,20.94
2008-03-14,29,21.24
2008-03-21,30,
2008-03-28,29,21.88
2008-04-04,29,23.72
2008-04-11,30,23.61
2008-04-18,28,24.68
2008-04-25,29,24.34
2008-05-02,29,25.48
2008-05-09,29,23.99
2008-05-16,28,23.72
2008-05-23,30,21.87
2008-05-30,29,19.47
2008-06-06,30,17.30
2008-06-13,31,11.73
2008-06-20,31,11.53
2008-06-27,34,11.14
2008-07-04,36,
2008-07-11,36,9.84
2008-07-18,39,11.36
2008-07-25,51,11.16
2008-08-01,100,10.97
2008-08-08,45,11.94
2008-08-15,35,11.73
2008-08-22,32,11.47
2008-08-29,31,12.01
2008-09-05,30,12.97
2008-09-12,35,13.37
2008-09-19,33,14.88
2008-09-26,31,14.70
2008-10-03,31,12.55
2008-10-10,30,6.79
2008-10-17,31,10.08
2008-10-24,31,10.12
2008-10-31,30,12.41
2008-11-07,31,11.24
2008-11-14,33,9.60
2008-11-21,31,6.27
2008-11-28,31,9.38
2008-12-05,31,8.39
2008-12-12,32,8.00
2008-12-19,31,8.07
2008-12-26,35,7.70
2009-01-02,36,8.87
2009-01-09,33,7.58
2009-01-16,32,6.31
2009-01-23,43,7.62
2009-01-30,33,7.28
2009-02-06,32,8.47
2009-02-13,31,7.05
2009-02-20,33,6.07
2009-02-27,33,7.01
2009-03-06,32,5.36
2009-03-13,31,7.70
2009-03-20,31,7.47
2009-03-27,32,8.32
2009-04-03,32,8.54
2009-04-10,32,
2009-04-17,31,9.05
2009-04-24,30,7.00
2009-05-01,30,5.88
2009-05-08,30,6.97
2009-05-15,31,5.80
2009-05-22,30,5.26
2009-05-29,30,5.00
2009-06-05,31,5.43
2009-06-12,31,6.12
2009-06-19,29,6.07
2009-06-26,29,5.20
2009-07-03,30,
2009-07-10,31,5.12
2009-07-17,30,5.11
2009-07-24,31,5.26
2009-07-31,31,5.78
2009-08-07,31,6.78
2009-08-14,31,6.65
2009-08-21,30,6.73
2009-08-28,31,6.68
2009-09-04,31,6.22
2009-09-11,31,5.93
2009-09-18,31,6.63
2009-09-25,31,6.24
2009-10-02,30,6.17
2009-10-09,30,6.19
2009-10-16,30,6.45
2009-10-23,30,6.48
2009-10-30,31,5.39
2009-11-06,30,5.73
2009-11-13,29,5.59
2009-11-20,30,5.73
2009-11-27,30,5.57
2009-12-04,31,6.16
2009-12-11,31,6.07
2009-12-18,29,5.56
2009-12-25,32,
2010-01-01,33,
2010-01-08,33,6.50
2010-01-15,32,6.88
2010-01-22,31,7.25
2010-01-29,32,7.18
2010-02-05,33,6.89
2010-02-12,32,6.79
2010-02-19,32,6.79
2010-02-26,32,7.15
2010-03-05,34,7.25
2010-03-12,31,7.55
2010-03-19,33,7.60
2010-03-26,55,7.86
2010-04-02,37,
2010-04-09,33,8.35
2010-04-16,30,8.00
2010-04-23,30,9.19
2010-04-30,30,9.02
2010-05-07,30,7.88
2010-05-14,29,8.43
2010-05-21,29,7.87
2010-05-28,28,8.02
2010-06-04,29,7.77
2010-06-11,28,8.24
2010-06-18,29,8.37
2010-06-25,30,8.27
2010-07-02,29,7.22
2010-07-09,29,8.35
2010-07-16,28,7.75
2010-07-23,29,8.03
2010-07-30,29,8.46
2010-08-06,30,8.17
2010-08-13,28,7.82
2010-08-20,30,7.64
2010-08-27,38,7.58
2010-09-03,29,8.03
2010-09-10,28,8.22
2010-09-17,27,8.23
2010-09-24,27,7.90
2010-10-01,28,8.11
2010-10-08,28,8.40
2010-10-15,28,8.03
2010-10-22,28,8.30
2010-10-29,28,8.20
2010-11-05,29,8.40
2010-11-12,29,8.02
2010-11-19,29,7.66
2010-11-26,27,7.48
2010-12-03,27,8.20
2010-12-10,27,8.38
2010-12-17,26,8.42
2010-12-24,27,
2010-12-31,28,8.85
2011-01-07,28,8.73
2011-01-14,27,8.77
2011-01-21,27,8.78
2011-01-28,27,8.79
2011-02-04,27,9.45
2011-02-11,27,9.54
2011-02-18,27,9.53
2011-02-25,27,9.29
2011-03-04,28,9.26
2011-03-11,27,9.08
2011-03-18,26,8.92
2011-03-25,27,8.72
2011-04-01,27,8.95
2011-04-08,27,8.87
2011-04-15,26,8.82
2011-04-22,27,
2011-04-29,26,8.67
2011-05-06,26,8.53
2011-05-13,26,8.27
2011-05-20,26,8.40
2011-05-27,26,8.45
2011-06-03,26,8.06
2011-06-10,25,8.01
2011-06-17,26,8.30
2011-06-24,26,7.93
2011-07-01,26,8.44
2011-07-08,25,8.26
2011-07-15,25,7.93
2011-07-22,25,8.41
2011-07-29,26,8.04
2011-08-05,26,7.25
2011-08-12,26,6.43
2011-08-19,25,6.01
2011-08-26,24,6.42
2011-09-02,24,6.24
2011-09-09,24,6.12
2011-09-16,25,6.53
2011-09-23,25,5.71
2011-09-30,25,5.93
2011-10-07,25,6.16
2011-10-14,25,6.51
2011-10-21,25,6.95
2011-10-28,25,7.33
2011-11-04,25,7.33
2011-11-11,25,7.47
2011-11-18,25,7.08
2011-11-25,25,6.67
2011-12-02,25,7.20
2011-12-09,25,7.38
2011-12-16,26,7.18
2011-12-23,26,7.78
2011-12-30,26,7.69
2012-01-06,26,7.98
2012-01-13,26,8.32
2012-01-20,25,8.30
2012-01-27,26,8.01
2012-02-03,26,8.24
2012-02-10,26,7.94
2012-02-17,27,8.12
2012-02-24,27,8.06
2012-03-02,27,7.98
2012-03-09,26,8.02
2012-03-16,26,8.54
2012-03-23,25,8.36
2012-03-30,25,8.50
2012-04-06,26,
2012-04-13,26,7.97
2012-04-20,25,7.87
2012-04-27,25,8.11
2012-05-04,26,7.82
2012-05-11,24,7.89
2012-05-18,26,7.41
2012-05-25,26,7.50
2012-06-01,25,7.14
2012-06-08,25,7.28
2012-06-15,24,7.43
2012-06-22,25,7.62
2012-06-29,24,7.74
2012-07-06,26,7.70
2012-07-13,25,7.85
2012-07-20,25,7.89
2012-07-27,24,8.18
2012-08-03,24,8.24
2012-08-10,24,8.34
2012-08-17,25,8.36
2012-08-24,26,8.35
2012-08-31,26,8.43
2012-09-07,26,8.61
2012-09-14,25,9.04
2012-09-21,27,8.91
2012-09-28,26,8.74
2012-10-05,27,8.88
2012-10-12,26,8.33
2012-10-19,26,8.74
2012-10-26,26,8.39
2012-11-02,25,8.37
2012-11-09,26,8.29
2012-11-16,26,8.03
2012-11-23,25,8.45
2012-11-30,25,8.08
2012-12-07,25,8.11
2012-12-14,25,8.14
2012-12-21,24,8.44
2012-12-28,26,8.35
2013-01-04,26,8.95
2013-01-11,26,8.84
2013-01-18,25,9.28
2013-01-25,26,9.29
2013-02-01,26,9.47
2013-02-08,26,9.57
2013-02-15,26,9.48
2013-02-22,25,9.51
2013-03-01,25,9.33
2013-03-08,25,9.86
2013-03-15,26,10.11
2013-03-22,25,10.05
2013-03-29,25,
2013-04-05,24,9.66
2013-04-12,25,9.84
2013-04-19,25,9.41
2013-04-26,25,9.80
2013-05-03,24,10.03
2013-05-10,24,10.30
2013-05-17,24,10.80
2013-05-24,24,10.66
2013-05-31,23,10.78
2013-06-07,23,10.86
2013-06-14,23,10.41
2013-06-21,23,10.54
2013-06-28,24,11.04
2013-07-05,25,12.00
2013-07-12,24,11.79
2013-07-19,25,12.04
2013-07-26,24,12.40
2013-08-02,23,12.55
2013-08-09,24,12.23
2013-08-16,24,12.16
2013-08-23,24,12.20
2013-08-30,25,11.67
2013-09-06,24,11.90
2013-09-13,25,11.97
2013-09-20,24,11.57
2013-09-27,24,11.36
2013-10-04,24,11.64
2013-10-11,24,11.88
2013-10-18,24,12.60
2013-10-25,25,12.69
2013-11-01,25,12.54
2013-11-08,24,13.02
2013-11-15,25,12.85
2013-11-22,25,12.98
2013-11-29,24,12.75
2013-12-06,24,12.95
2013-12-13,24,13.04
2013-12-20,25,13.32
2013-12-27,23,13.40
2014-01-03,25,13.32
2014-01-10,25,13.63
2014-01-17,25,13.54
2014-01-24,25,12.93
2014-01-31,24,12.76
2014-02-07,24,12.74
2014-02-14,26,12.92
2014-02-21,26,12.85
2014-02-28,26,13.17
2014-03-07,26,13.90
2014-03-14,26,13.79
2014-03-21,25,14.36
2014-03-28,25,14.14
2014-04-04,24,14.21
2014-04-11,25,13.18
2014-04-18,24,
2014-04-25,25,13.54
2014-05-02,25,
