Date,LLL,Price
2010-07-02,56,70.43
2010-07-09,52,73.22
2010-07-16,49,71.63
2010-07-23,53,75.15
2010-07-30,51,73.04
2010-08-06,52,74.43
2010-08-13,48,70.26
2010-08-20,50,69.27
2010-08-27,48,68.71
2010-09-03,52,70.68
2010-09-10,48,68.50
2010-09-17,45,70.73
2010-09-24,53,71.61
2010-10-01,52,71.72
2010-10-08,52,70.78
2010-10-15,50,71.05
2010-10-22,50,69.80
2010-10-29,51,72.18
2010-11-05,54,73.90
2010-11-12,49,70.62
2010-11-19,55,71.30
2010-11-26,52,71.38
2010-12-03,51,73.25
2010-12-10,52,71.39
2010-12-17,50,70.44
2010-12-24,50,
2010-12-31,56,70.49
2011-01-07,54,78.23
2011-01-14,54,75.87
2011-01-21,56,77.57
2011-01-28,50,76.39
2011-02-04,51,78.58
2011-02-11,54,80.04
2011-02-18,55,80.85
2011-02-25,53,79.95
2011-03-04,53,79.20
2011-03-11,54,79.68
2011-03-18,51,78.54
2011-03-25,58,79.62
2011-04-01,54,79.10
2011-04-08,54,79.52
2011-04-15,57,76.14
2011-04-22,51,
2011-04-29,65,80.19
2011-05-06,58,83.04
2011-05-13,56,83.50
2011-05-20,59,83.53
2011-05-27,57,81.60
2011-06-03,60,79.47
2011-06-10,60,78.88
2011-06-17,52,81.87
2011-06-24,57,84.54
2011-07-01,60,88.31
2011-07-08,57,85.28
2011-07-15,55,82.03
2011-07-22,62,82.90
2011-07-29,58,79.12
2011-08-05,58,69.93
2011-08-12,59,68.98
2011-08-19,63,63.01
2011-08-26,57,64.61
2011-09-02,60,64.69
2011-09-09,58,63.84
2011-09-16,62,67.17
2011-09-23,67,60.15
2011-09-30,66,61.97
2011-10-07,61,64.70
2011-10-14,63,69.08
2011-10-21,61,70.37
2011-10-28,65,69.74
2011-11-04,67,68.58
2011-11-11,66,69.62
2011-11-18,66,66.71
2011-11-25,66,63.29
2011-12-02,64,66.24
2011-12-09,64,66.16
2011-12-16,68,64.45
2011-12-23,68,67.39
2011-12-30,67,66.68
2012-01-06,63,67.07
2012-01-13,64,69.31
2012-01-20,67,70.50
2012-01-27,68,69.91
2012-02-03,66,70.62
2012-02-10,67,70.14
2012-02-17,63,70.95
2012-02-24,64,70.28
2012-03-02,62,68.83
2012-03-09,66,68.19
2012-03-16,65,71.00
2012-03-23,65,69.56
2012-03-30,65,70.77
2012-04-06,64,
2012-04-13,61,69.02
2012-04-20,62,69.91
2012-04-27,60,73.49
2012-05-04,68,72.00
2012-05-11,62,70.53
2012-05-18,63,67.58
2012-05-25,70,67.19
2012-06-01,68,67.11
2012-06-08,68,69.62
2012-06-15,66,71.74
2012-06-22,71,73.21
2012-06-29,71,74.01
2012-07-06,72,72.73
2012-07-13,66,72.31
2012-07-20,69,70.64
2012-07-27,65,69.86
2012-08-03,66,69.79
2012-08-10,69,70.39
2012-08-17,67,69.17
2012-08-24,69,69.98
2012-08-31,68,70.24
2012-09-07,66,71.40
2012-09-14,72,73.10
2012-09-21,71,72.46
2012-09-28,66,71.71
2012-10-05,69,73.46
2012-10-12,66,72.32
2012-10-19,66,73.61
2012-10-26,64,73.42
2012-11-02,63,75.85
2012-11-09,65,74.47
2012-11-16,67,73.97
2012-11-23,69,76.33
2012-11-30,63,76.85
2012-12-07,66,76.65
2012-12-14,66,75.28
2012-12-21,67,77.77
2012-12-28,68,75.71
2013-01-04,67,77.71
2013-01-11,64,77.88
2013-01-18,60,78.81
2013-01-25,64,78.71
2013-02-01,63,75.22
2013-02-08,73,77.67
2013-02-15,65,77.67
2013-02-22,60,76.88
2013-03-01,64,76.40
2013-03-08,60,77.18
2013-03-15,61,81.13
2013-03-22,61,80.43
2013-03-29,63,
2013-04-05,60,82.40
2013-04-12,63,82.45
2013-04-19,61,81.38
2013-04-26,59,81.39
2013-05-03,57,83.42
2013-05-10,61,83.78
2013-05-17,58,85.55
2013-05-24,61,85.19
2013-05-31,59,85.09
2013-06-07,58,86.81
2013-06-14,63,86.04
2013-06-21,60,84.17
2013-06-28,61,85.74
2013-07-05,60,87.09
2013-07-12,61,90.22
2013-07-19,59,92.37
2013-07-26,59,92.15
2013-08-02,60,94.32
2013-08-09,61,92.89
2013-08-16,56,91.20
2013-08-23,58,92.65
2013-08-30,55,90.33
2013-09-06,58,91.19
2013-09-13,57,94.25
2013-09-20,57,95.22
2013-09-27,57,95.43
2013-10-04,61,92.88
2013-10-11,57,93.94
2013-10-18,57,94.77
2013-10-25,59,97.53
2013-11-01,57,100.76
2013-11-08,60,101.50
2013-11-15,55,101.95
2013-11-22,53,102.34
2013-11-29,54,103.46
2013-12-06,55,101.80
2013-12-13,54,102.23
2013-12-20,53,105.49
2013-12-27,53,107.12
2014-01-03,57,105.38
2014-01-10,57,106.32
2014-01-17,54,107.57
2014-01-24,55,104.17
2014-01-31,57,111.07
2014-02-07,56,113.02
2014-02-14,53,113.50
2014-02-21,57,115.58
2014-02-28,56,115.40
2014-03-07,55,117.25
2014-03-14,58,115.30
2014-03-21,56,116.01
2014-03-28,58,117.41
2014-04-04,58,116.34
2014-04-11,54,113.66
2014-04-18,58,
2014-04-25,59,115.27
2014-05-02,54,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
