Date,ADBE,Price
2007-03-30,80,41.70
2007-04-06,65,
2007-04-13,71,41.64
2007-04-20,74,42.14
2007-04-27,72,42.89
2007-05-04,67,41.33
2007-05-11,49,41.70
2007-05-18,67,43.59
2007-05-25,64,42.38
2007-06-01,69,44.53
2007-06-08,74,43.04
2007-06-15,93,42.75
2007-06-22,86,40.84
2007-06-29,73,40.15
2007-07-06,83,41.02
2007-07-13,67,41.18
2007-07-20,70,41.64
2007-07-27,68,40.39
2007-08-03,71,38.75
2007-08-10,62,41.06
2007-08-17,62,40.32
2007-08-24,61,40.41
2007-08-31,60,42.75
2007-09-07,63,42.96
2007-09-14,67,43.41
2007-09-21,85,41.95
2007-09-28,66,43.66
2007-10-05,57,44.64
2007-10-12,66,46.12
2007-10-19,66,46.27
2007-10-26,61,47.00
2007-11-02,75,47.88
2007-11-09,71,43.24
2007-11-16,73,42.19
2007-11-23,70,41.91
2007-11-30,61,42.14
2007-12-07,71,44.37
2007-12-14,59,42.11
2007-12-21,74,42.18
2007-12-28,60,42.93
2008-01-04,56,40.36
2008-01-11,70,38.05
2008-01-18,66,35.33
2008-01-25,63,34.84
2008-02-01,74,34.48
2008-02-08,67,33.19
2008-02-15,60,34.67
2008-02-22,55,35.09
2008-02-29,65,33.65
2008-03-07,63,32.55
2008-03-14,65,32.61
2008-03-21,80,
2008-03-28,68,35.33
2008-04-04,65,36.97
2008-04-11,59,35.98
2008-04-18,62,36.27
2008-04-25,56,36.89
2008-05-02,61,40.38
2008-05-09,68,39.89
2008-05-16,60,42.26
2008-05-23,58,41.25
2008-05-30,57,44.06
2008-06-06,67,42.30
2008-06-13,61,42.71
2008-06-20,75,40.55
2008-06-27,69,39.80
2008-07-04,62,
2008-07-11,70,39.24
2008-07-18,56,41.98
2008-07-25,65,40.90
2008-08-01,51,41.22
2008-08-08,58,45.15
2008-08-15,50,45.11
2008-08-22,53,44.91
2008-08-29,69,42.83
2008-09-05,56,40.91
2008-09-12,54,40.47
2008-09-19,64,40.94
2008-09-26,65,39.99
2008-10-03,67,33.69
2008-10-10,73,27.12
2008-10-17,73,28.18
2008-10-24,80,23.89
2008-10-31,72,26.64
2008-11-07,62,24.59
2008-11-14,72,22.34
2008-11-21,61,21.38
2008-11-28,58,23.16
2008-12-05,64,21.66
2008-12-12,61,22.43
2008-12-19,54,22.13
2008-12-26,58,21.08
2009-01-02,50,23.02
2009-01-09,51,24.01
2009-01-16,44,21.06
2009-01-23,54,19.70
2009-01-30,55,19.31
2009-02-06,49,21.70
2009-02-13,49,21.10
2009-02-20,54,18.04
2009-02-27,52,16.70
2009-03-06,62,17.16
2009-03-13,60,18.68
2009-03-20,58,20.46
2009-03-27,46,21.84
2009-04-03,53,24.16
2009-04-10,46,
2009-04-17,51,24.70
2009-04-24,41,26.42
2009-05-01,55,27.46
2009-05-08,54,25.42
2009-05-15,54,25.92
2009-05-22,53,26.48
2009-05-29,41,28.18
2009-06-05,48,29.98
2009-06-12,44,30.15
2009-06-19,53,29.33
2009-06-26,52,28.00
2009-07-03,41,
2009-07-10,45,27.58
2009-07-17,49,31.02
2009-07-24,42,32.63
2009-07-31,42,32.42
2009-08-07,41,33.22
2009-08-14,40,32.27
2009-08-21,38,32.84
2009-08-28,41,31.73
2009-09-04,45,32.05
2009-09-11,40,34.65
2009-09-18,61,32.95
2009-09-25,43,32.03
2009-10-02,36,32.35
2009-10-09,43,34.64
2009-10-16,48,35.67
2009-10-23,53,34.78
2009-10-30,42,32.94
2009-11-06,46,34.65
2009-11-13,53,36.51
2009-11-20,46,35.81
2009-11-27,41,35.38
2009-12-04,45,36.50
2009-12-11,37,35.38
2009-12-18,48,37.34
2009-12-25,41,
2010-01-01,37,
2010-01-08,47,36.69
2010-01-15,52,35.87
2010-01-22,45,34.38
2010-01-29,51,32.30
2010-02-05,50,32.77
2010-02-12,42,31.45
2010-02-19,48,33.88
2010-02-26,45,34.65
2010-03-05,42,35.16
2010-03-12,43,35.16
2010-03-19,47,34.67
2010-03-26,54,35.51
2010-04-02,47,
2010-04-09,44,35.47
2010-04-16,51,34.00
2010-04-23,59,36.25
2010-04-30,62,33.60
2010-05-07,39,32.42
2010-05-14,56,33.72
2010-05-21,51,32.18
2010-05-28,47,32.08
2010-06-04,42,31.59
2010-06-11,53,31.73
2010-06-18,40,33.52
2010-06-25,57,29.85
2010-07-02,57,26.73
2010-07-09,47,27.20
2010-07-16,44,27.39
2010-07-23,45,29.23
2010-07-30,49,28.72
2010-08-06,43,29.23
2010-08-13,45,28.01
2010-08-20,44,27.92
2010-08-27,37,27.98
2010-09-03,40,29.49
2010-09-10,43,32.20
2010-09-17,44,32.78
2010-09-24,89,26.88
2010-10-01,55,26.27
2010-10-08,73,26.99
2010-10-15,41,28.08
2010-10-22,46,28.21
2010-10-29,51,28.15
2010-11-05,40,29.14
2010-11-12,45,29.54
2010-11-19,39,28.86
2010-11-26,40,28.72
2010-12-03,33,29.14
2010-12-10,31,28.71
2010-12-17,36,28.79
2010-12-24,61,
2010-12-31,36,30.78
2011-01-07,39,32.04
2011-01-14,44,33.79
2011-01-21,37,33.27
2011-01-28,40,32.49
2011-02-04,39,33.36
2011-02-11,45,33.67
2011-02-18,49,35.39
2011-02-25,42,34.63
2011-03-04,36,35.27
2011-03-11,37,34.61
2011-03-18,39,31.99
2011-03-25,40,32.64
2011-04-01,29,34.16
2011-04-08,31,34.15
2011-04-15,33,34.51
2011-04-22,33,
2011-04-29,33,33.55
2011-05-06,33,33.40
2011-05-13,35,35.33
2011-05-20,36,35.31
2011-05-27,28,34.29
2011-06-03,29,33.27
2011-06-10,32,31.67
2011-06-17,35,30.47
2011-06-24,38,29.97
2011-07-01,31,31.53
2011-07-08,29,31.54
2011-07-15,30,29.29
2011-07-22,29,29.72
2011-07-29,31,27.71
2011-08-05,31,25.62
2011-08-12,34,24.10
2011-08-19,29,22.69
2011-08-26,28,24.54
2011-09-02,28,24.15
2011-09-09,27,24.64
2011-09-16,30,25.52
2011-09-23,35,24.88
2011-09-30,31,24.17
2011-10-07,30,25.28
2011-10-14,32,26.81
2011-10-21,38,27.30
2011-10-28,33,29.02
2011-11-04,35,29.79
2011-11-11,44,28.43
2011-11-18,32,27.18
2011-11-25,30,25.83
2011-12-02,32,27.11
2011-12-09,31,28.04
2011-12-16,37,28.20
2011-12-23,29,28.29
2011-12-30,31,28.27
2012-01-06,31,28.72
2012-01-13,33,28.97
2012-01-20,33,30.50
2012-01-27,34,31.05
2012-02-03,35,31.85
2012-02-10,32,32.21
2012-02-17,32,32.75
2012-02-24,27,33.41
2012-03-02,30,33.73
2012-03-09,31,33.64
2012-03-16,31,33.82
2012-03-23,34,33.81
2012-03-30,28,34.31
2012-04-06,28,
2012-04-13,27,33.18
2012-04-20,23,33.06
2012-04-27,25,33.58
2012-05-04,26,32.61
2012-05-11,27,32.20
2012-05-18,28,31.31
2012-05-25,24,31.60
2012-06-01,24,29.82
2012-06-08,27,31.65
2012-06-15,30,32.39
2012-06-22,29,31.57
2012-06-29,25,32.37
2012-07-06,25,31.37
2012-07-13,25,30.65
2012-07-20,25,31.38
2012-07-27,24,31.90
2012-08-03,26,32.02
2012-08-10,23,32.64
2012-08-17,28,33.80
2012-08-24,23,32.26
2012-08-31,22,31.27
2012-09-07,22,32.46
2012-09-14,21,33.34
2012-09-21,30,33.83
2012-09-28,24,32.44
2012-10-05,22,32.47
2012-10-12,22,31.94
2012-10-19,20,33.24
2012-10-26,20,34.01
2012-11-02,23,34.39
2012-11-09,25,32.90
2012-11-16,24,32.65
2012-11-23,19,33.40
2012-11-30,21,34.61
2012-12-07,22,35.48
2012-12-14,26,37.56
2012-12-21,25,37.71
2012-12-28,25,36.90
2013-01-04,24,38.13
2013-01-11,38,38.09
2013-01-18,27,37.98
2013-01-25,23,38.32
2013-02-01,27,38.34
2013-02-08,23,39.12
2013-02-15,25,38.63
2013-02-22,23,38.55
2013-03-01,24,39.83
2013-03-08,26,41.50
2013-03-15,21,41.38
2013-03-22,25,42.97
2013-03-29,21,
2013-04-05,20,43.38
2013-04-12,22,45.03
2013-04-19,22,44.74
2013-04-26,26,44.91
2013-05-03,19,47.01
2013-05-10,30,44.02
2013-05-17,23,44.61
2013-05-24,20,42.43
2013-05-31,20,42.91
2013-06-07,20,44.12
2013-06-14,19,42.84
2013-06-21,30,44.77
2013-06-28,21,45.56
2013-07-05,24,47.00
2013-07-12,23,48.39
2013-07-19,23,48.07
2013-07-26,21,47.64
2013-08-02,17,47.45
2013-08-09,18,47.18
2013-08-16,17,45.40
2013-08-23,22,45.77
2013-08-30,18,45.75
2013-09-06,17,46.87
2013-09-13,19,47.76
2013-09-20,33,52.31
2013-09-27,21,52.03
2013-10-04,26,51.57
2013-10-11,22,52.19
2013-10-18,20,52.63
2013-10-25,21,53.81
2013-11-01,20,54.61
2013-11-08,20,54.84
2013-11-15,24,57.35
2013-11-22,22,56.41
2013-11-29,23,56.78
2013-12-06,20,55.60
2013-12-13,29,60.89
2013-12-20,29,59.26
2013-12-27,17,59.51
2014-01-03,19,59.16
2014-01-10,21,59.53
2014-01-17,27,61.37
2014-01-24,26,59.09
2014-01-31,25,59.19
2014-02-07,27,62.88
2014-02-14,28,68.34
2014-02-21,26,68.22
2014-02-28,25,68.63
2014-03-07,20,68.52
2014-03-14,19,67.19
2014-03-21,31,67.14
2014-03-28,24,64.88
2014-04-04,25,61.32
2014-04-11,25,60.50
2014-04-18,24,
2014-04-25,23,61.61
2014-05-02,18,
