Date,CCI,Price
2009-07-03,51,
2009-07-10,53,23.77
2009-07-17,42,25.42
2009-07-24,48,27.38
2009-07-31,45,28.74
2009-08-07,41,28.11
2009-08-14,41,27.60
2009-08-21,44,28.92
2009-08-28,49,27.63
2009-09-04,52,27.83
2009-09-11,56,29.75
2009-09-18,54,30.95
2009-09-25,54,31.11
2009-10-02,54,30.49
2009-10-09,54,31.46
2009-10-16,54,33.66
2009-10-23,55,32.27
2009-10-30,44,30.22
2009-11-06,49,33.53
2009-11-13,43,36.63
2009-11-20,48,37.45
2009-11-27,48,36.46
2009-12-04,48,36.89
2009-12-11,45,35.98
2009-12-18,41,38.29
2009-12-25,31,
2010-01-01,29,
2010-01-08,47,38.96
2010-01-15,48,38.69
2010-01-22,50,37.35
2010-01-29,52,36.94
2010-02-05,50,35.28
2010-02-12,50,37.33
2010-02-19,49,38.62
2010-02-26,51,37.80
2010-03-05,48,39.40
2010-03-12,47,39.28
2010-03-19,47,38.39
2010-03-26,47,37.04
2010-04-02,43,
2010-04-09,40,37.57
2010-04-16,46,37.46
2010-04-23,45,38.41
2010-04-30,48,37.85
2010-05-07,47,35.80
2010-05-14,42,36.52
2010-05-21,48,36.03
2010-05-28,44,37.03
2010-06-04,45,36.11
2010-06-11,48,39.14
2010-06-18,47,39.25
2010-06-25,42,38.65
2010-07-02,42,36.80
2010-07-09,41,38.02
2010-07-16,37,36.47
2010-07-23,40,39.56
2010-07-30,37,39.51
2010-08-06,35,40.54
2010-08-13,33,38.76
2010-08-20,35,40.60
2010-08-27,38,41.09
2010-09-03,41,42.04
2010-09-10,46,42.40
2010-09-17,48,41.81
2010-09-24,44,43.40
2010-10-01,47,44.11
2010-10-08,45,42.54
2010-10-15,45,42.42
2010-10-22,43,42.56
2010-10-29,42,43.12
2010-11-05,41,42.95
2010-11-12,40,42.42
2010-11-19,44,42.70
2010-11-26,43,42.19
2010-12-03,41,42.28
2010-12-10,42,42.29
2010-12-17,43,41.69
2010-12-24,31,
2010-12-31,27,43.83
2011-01-07,44,42.60
2011-01-14,43,40.73
2011-01-21,46,41.82
2011-01-28,43,43.05
2011-02-04,42,44.90
2011-02-11,45,45.97
2011-02-18,46,43.78
2011-02-25,43,42.67
2011-03-04,40,40.93
2011-03-11,38,39.39
2011-03-18,42,39.16
2011-03-25,42,40.28
2011-04-01,43,43.10
2011-04-08,42,42.67
2011-04-15,39,42.73
2011-04-22,40,
2011-04-29,35,42.86
2011-05-06,39,41.96
2011-05-13,41,41.90
2011-05-20,42,41.38
2011-05-27,39,41.78
2011-06-03,37,40.37
2011-06-10,39,40.29
2011-06-17,37,40.41
2011-06-24,37,40.60
2011-07-01,36,42.61
2011-07-08,38,42.67
2011-07-15,33,42.35
2011-07-22,37,42.40
2011-07-29,33,43.40
2011-08-05,30,40.80
2011-08-12,30,41.39
2011-08-19,29,40.05
2011-08-26,35,41.62
2011-09-02,37,42.28
2011-09-09,39,41.81
2011-09-16,40,43.87
2011-09-23,39,41.25
2011-09-30,38,40.67
2011-10-07,38,40.25
2011-10-14,36,43.32
2011-10-21,39,43.07
2011-10-28,36,42.32
2011-11-04,31,41.84
2011-11-11,36,42.02
2011-11-18,37,40.21
2011-11-25,38,39.44
2011-12-02,36,43.70
2011-12-09,34,43.24
2011-12-16,35,42.88
2011-12-23,27,44.39
2011-12-30,24,44.80
2012-01-06,37,45.05
2012-01-13,38,46.00
2012-01-20,39,46.22
2012-01-27,40,48.72
2012-02-03,38,49.22
2012-02-10,41,49.31
2012-02-17,39,51.37
2012-02-24,39,52.55
2012-03-02,37,53.15
2012-03-09,39,54.43
2012-03-16,39,52.23
2012-03-23,36,53.20
2012-03-30,36,53.34
2012-04-06,36,
2012-04-13,32,53.86
2012-04-20,37,54.90
2012-04-27,37,56.61
2012-05-04,31,55.80
2012-05-11,34,55.64
2012-05-18,31,52.86
2012-05-25,38,54.17
2012-06-01,34,53.08
2012-06-08,36,55.89
2012-06-15,36,57.75
2012-06-22,36,56.65
2012-06-29,35,58.66
2012-07-06,35,59.42
2012-07-13,33,60.66
2012-07-20,31,59.00
2012-07-27,31,61.69
2012-08-03,29,62.52
2012-08-10,26,62.42
2012-08-17,25,62.49
2012-08-24,31,61.89
2012-08-31,34,63.46
2012-09-07,35,64.50
2012-09-14,35,63.49
2012-09-21,37,65.26
2012-09-28,39,64.10
2012-10-05,37,65.80
2012-10-12,34,64.65
2012-10-19,36,65.72
2012-10-26,37,66.46
2012-11-02,30,67.70
2012-11-09,35,66.83
2012-11-16,38,65.18
2012-11-23,36,67.55
2012-11-30,37,67.52
2012-12-07,34,68.45
2012-12-14,32,71.16
2012-12-21,31,71.26
2012-12-28,22,70.65
2013-01-04,30,73.54
2013-01-11,41,72.78
2013-01-18,40,74.29
2013-01-25,43,73.45
2013-02-01,42,71.49
2013-02-08,42,70.79
2013-02-15,45,67.90
2013-02-22,43,69.97
2013-03-01,41,70.14
2013-03-08,38,71.79
2013-03-15,40,69.99
2013-03-22,40,70.74
2013-03-29,40,
2013-04-05,36,70.83
2013-04-12,38,73.39
2013-04-19,37,75.01
2013-04-26,36,77.38
2013-05-03,34,78.23
2013-05-10,29,78.71
2013-05-17,36,77.87
2013-05-24,36,73.72
2013-05-31,37,71.25
2013-06-07,37,70.28
2013-06-14,37,70.34
2013-06-21,36,68.53
2013-06-28,34,72.39
2013-07-05,34,72.21
2013-07-12,33,77.30
2013-07-19,33,76.72
2013-07-26,31,73.35
2013-08-02,28,69.30
2013-08-09,28,68.76
2013-08-16,24,67.91
2013-08-23,30,69.73
2013-08-30,33,69.42
2013-09-06,34,70.55
2013-09-13,37,69.86
2013-09-20,37,70.62
2013-09-27,36,72.71
2013-10-04,37,70.66
2013-10-11,35,71.37
2013-10-18,38,75.96
2013-10-25,35,76.11
2013-11-01,32,75.18
2013-11-08,34,74.54
2013-11-15,32,76.09
2013-11-22,34,74.19
2013-11-29,34,74.23
2013-12-06,34,75.40
2013-12-13,34,73.91
2013-12-20,31,71.98
2013-12-27,20,72.57
2014-01-03,23,71.24
2014-01-10,37,71.85
2014-01-17,37,74.22
2014-01-24,37,71.37
2014-01-31,37,70.96
2014-02-07,37,71.56
2014-02-14,38,75.02
2014-02-21,39,74.88
2014-02-28,36,75.90
2014-03-07,33,74.63
2014-03-14,34,74.94
2014-03-21,36,73.70
2014-03-28,37,74.61
2014-04-04,35,74.75
2014-04-11,34,72.10
2014-04-18,34,
2014-04-25,31,72.78
2014-05-02,29,
