Date,HPQ,Price
2010-12-10,22,42.62
2010-12-17,22,41.96
2010-12-24,19,
2010-12-31,15,42.10
2011-01-07,22,45.09
2011-01-14,24,46.25
2011-01-21,25,47.23
2011-01-28,20,45.51
2011-02-04,21,47.43
2011-02-11,28,48.64
2011-02-18,22,48.67
2011-02-25,45,42.68
2011-03-04,25,42.61
2011-03-11,21,41.73
2011-03-18,27,41.32
2011-03-25,22,42.53
2011-04-01,19,40.98
2011-04-08,19,40.70
2011-04-15,19,40.26
2011-04-22,20,
2011-04-29,17,40.37
2011-05-06,19,40.81
2011-05-13,19,40.41
2011-05-20,38,35.98
2011-05-27,21,36.96
2011-06-03,17,36.11
2011-06-10,19,35.25
2011-06-17,19,35.00
2011-06-24,15,34.90
2011-07-01,17,37.05
2011-07-08,16,36.43
2011-07-15,15,35.09
2011-07-22,18,36.70
2011-07-29,17,35.17
2011-08-05,20,32.63
2011-08-12,29,32.32
2011-08-19,73,23.60
2011-08-26,57,24.82
2011-09-02,33,24.34
2011-09-09,25,22.65
2011-09-16,25,23.53
2011-09-23,55,22.32
2011-09-30,33,22.45
2011-10-07,30,24.88
2011-10-14,26,26.11
2011-10-21,20,25.38
2011-10-28,33,27.94
2011-11-04,27,26.97
2011-11-11,25,27.58
2011-11-18,23,27.99
2011-11-25,34,25.39
2011-12-02,23,27.68
2011-12-09,25,27.90
2011-12-16,20,25.84
2011-12-23,19,25.88
2011-12-30,14,25.76
2012-01-06,17,26.40
2012-01-13,17,26.49
2012-01-20,17,28.13
2012-01-27,18,27.88
2012-02-03,18,29.07
2012-02-10,18,28.70
2012-02-17,20,29.59
2012-02-24,30,26.64
2012-03-02,21,25.32
2012-03-09,18,24.18
2012-03-16,19,24.49
2012-03-23,24,23.63
2012-03-30,18,23.83
2012-04-06,15,
2012-04-13,19,24.57
2012-04-20,17,24.51
2012-04-27,16,24.75
2012-05-04,17,24.27
2012-05-11,15,23.15
2012-05-18,19,21.46
2012-05-25,45,22.33
2012-06-01,18,21.25
2012-06-08,15,22.31
2012-06-15,17,21.64
2012-06-22,17,20.37
2012-06-29,17,20.11
2012-07-06,15,19.57
2012-07-13,19,18.98
2012-07-20,22,18.61
2012-07-27,18,18.57
2012-08-03,19,18.26
2012-08-10,21,19.70
2012-08-17,16,19.52
2012-08-24,41,17.58
2012-08-31,25,16.88
2012-09-07,22,17.42
2012-09-14,21,18.17
2012-09-21,19,17.59
2012-09-28,21,17.06
2012-10-05,53,14.73
2012-10-12,33,14.41
2012-10-19,22,14.48
2012-10-26,19,14.09
2012-11-02,18,13.76
2012-11-09,24,13.61
2012-11-16,23,12.85
2012-11-23,62,12.44
2012-11-30,32,12.99
2012-12-07,32,13.94
2012-12-14,30,14.75
2012-12-21,23,14.34
2012-12-28,17,13.68
2013-01-04,26,15.14
2013-01-11,27,16.16
2013-01-18,28,17.11
2013-01-25,24,16.99
2013-02-01,24,16.46
2013-02-08,24,16.87
2013-02-15,20,16.79
2013-02-22,37,19.20
2013-03-01,34,20.15
2013-03-08,32,21.00
2013-03-15,30,22.18
2013-03-22,38,23.04
2013-03-29,31,
2013-04-05,36,21.97
2013-04-12,32,20.90
2013-04-19,20,19.56
2013-04-26,19,19.97
2013-05-03,20,20.63
2013-05-10,21,21.54
2013-05-17,19,21.27
2013-05-24,41,24.21
2013-05-31,25,24.42
2013-06-07,23,24.81
2013-06-14,19,24.74
2013-06-21,19,24.15
2013-06-28,18,24.80
2013-07-05,17,25.58
2013-07-12,20,26.19
2013-07-19,22,25.14
2013-07-26,21,25.99
2013-08-02,22,27.00
2013-08-09,20,26.77
2013-08-16,23,26.42
2013-08-23,41,22.40
2013-08-30,22,22.34
2013-09-06,16,22.42
2013-09-13,22,22.07
2013-09-20,20,21.22
2013-09-27,17,21.17
2013-10-04,16,21.26
2013-10-11,25,22.80
2013-10-18,19,23.48
2013-10-25,17,24.00
2013-11-01,18,25.92
2013-11-08,19,25.94
2013-11-15,19,25.21
2013-11-22,18,25.26
2013-11-29,38,27.35
2013-12-06,29,27.70
2013-12-13,20,26.77
2013-12-20,23,27.79
2013-12-27,17,28.19
2014-01-03,19,28.34
2014-01-10,20,27.70
2014-01-17,23,29.80
2014-01-24,24,28.49
2014-01-31,20,29.00
2014-02-07,18,29.07
2014-02-14,18,30.02
2014-02-21,30,29.79
2014-02-28,19,29.88
2014-03-07,16,30.34
2014-03-14,16,29.07
2014-03-21,23,31.95
2014-03-28,20,32.04
2014-04-04,21,32.64
2014-04-11,20,32.45
2014-04-18,17,
2014-04-25,16,31.58
2014-05-02,15,
